screen_name,created_at,text,id
BankingPractice,2015-10-07T08:27:00,"@Accenture - In-Branch Life Services Are Key to #DigitalBanking Success 

http://t.co/IL9r9N1VNM http://t.co/HNP4FfZQ8q",651675081689665536
AOTMP,2015-10-07T13:50:00,@Accenture Releases Enhanced Version of Accenture #Cloud Platform http://t.co/NPt8hw3wT9 #iot,651756569869320192
HDS_EMEA,2015-10-07T15:14:00,@Accenture @Actifio @ArrowHitachi @Asigra @AsystecDMS @Atos @Avnet @AxiansUK @Bechtle_AG @Brocade @Bull_De #vmworld http://t.co/rnU7gAba8u,651777639196282880
Console_com_2,2015-10-07T15:54:00,@Accenture A unique chance for your future projects:  http://t.co/kxQ6dgAKlF is offered for sale! http://t.co/cg4meVf5tq,651787738904154112
mbrindlmay001,2015-10-07T16:04:00,@Accenture's impact tracker may be useful for #monitoring youth programs. #youtheo @MakingCentsIntl,651790272691609601
rpehrson,2015-10-07T16:55:00,"@Accenture Strategy Officer announces the formation of an AWS Business Group at #reinvent ""Cloud Sherpas for AWS"".",651803123040710656
divinap,2015-10-07T16:57:00,@Accenture launches AWS Business Group #reInvent #cionz http://t.co/dTuB4UJRF8,651803537614217216
_John_Campbell,2015-10-07T19:33:00,@Accenture tried out your google glasses http://t.co/woVNokrM4a,651842783020470274
kayoken123454,2015-10-07T19:40:00,"@Accenture http://t.co/iwGRHXj9K9
http://t.co/oU62WZ4S05",651844619408244736
katrienstroebel,2015-10-07T20:00:00,@Accenture thanks for sharing,651849656461299712
ImAkeeper1979,2015-10-07T20:01:00,@Accenture,651849931582517252
ShuklaJitendra,2015-10-07T20:01:00,@Accenture  https://t.co/dVpPjEq7ze,651849787415773184
pjtec,2015-10-08T00:15:00,@Accenture forms business unit with #Amazon to migrate enterprises to #AWS http://t.co/RFQWdnTIxJ #cloud #ensw,651913786203459584
RanjitSinghra18,2015-10-08T01:23:00,@Accenture yes please,651930915661221888
unaiskomath,2015-10-08T04:02:00,@Accenture &amp; @salesforce rocks... https://t.co/qtH1yjCj7m,651970968466780160
prasun29,2015-10-08T04:36:00,"@Accenture , or shall i take these to ceo? as no one reply me?",651979464050503681
prasun29,2015-10-08T04:36:00,@Accenture C5098969 still waiting as many oping i get but u ppl hr r unprofessional and not reply why wait me so long and waste my time,651979401010122752
harishchawla49,2015-10-08T08:50:00,@Accenture   Superb.Thanks.,652043405057392640
KashACN,2015-10-08T08:52:00,@Accenture helps to speed your journey to the As-A-Service economy #cloud http://t.co/L4kRsB3nuI http://t.co/NaBxNFD6PB,652043772998516736
TelecomTV,2015-10-08T09:00:00,@Accenture &amp; #AmazonWebServices created a business group to help clients more quickly move their business to the #Cloud @awscloud,652045869659869184
arunksaksena,2015-10-08T09:43:00,"@Accenture Cyber Security assumes even more criticality, vitality &amp;importance. Measures required to be configured to ensure safety &amp;security",652056836074377217
TMTInnovation,2015-10-08T10:15:00,@Accenture named in the winner’s circle in the #IoT Services Report by HfS http://t.co/L6e3h222Vh,652064852685496320
aecspain,2015-10-08T10:46:00,"@Accenture Las #apps , herramienta fundamental para la empresa. http://t.co/j0gFMlCSj7",652072636760104960
