screen_name,created_at,text,id
sleepylemur,2015-10-09T01:35:00,@AmericanExpress I don't have an #AmEx card since @costco dropped electric car charging.,652296338680352768
Shaheen_BK,2015-10-09T02:33:00,@AmericanExpress $AMEX just went from 5 star satisfaction to 1 star for me! I'm so mad and unhappy!!!!,652310912615841793
LuisOlguinM,2015-10-09T06:20:00,@AmericanExpress where i can report a problem of payment as a vendor of AMEX? i need support ASAP,652367951660609537
CarolSt34307056,2015-10-09T07:51:00,@AmericanExpress #amexhomedepot,652390925168168960
cdorminey,2015-10-09T12:49:00,@AmericanExpress How do I learn about Twitter AmEx offers when they happen? I missed out on WS because I didn't learn about it until 2 late.,652465998302441472
MustacheChuck,2015-10-09T15:50:00,@AmericanExpress I LOVE AMEX BEST CARD AND SERVICES ANYWHERE,652511487521619968
VizWanderer,2015-10-09T16:07:00,@AmericanExpress you all interest are too high and don't care about your customers,652515671994200064
LarryCl38445015,2015-10-09T17:03:00,@AmericanExpress @RonB007 @AskAmex ok,652529717300592640
Dr_Flamengo,2015-10-09T20:44:00,@AmericanExpress always an excellent customer service from #amex #AmexGold,652585436385280001
deannapool,2015-10-10T01:51:00,@AmericanExpress #amexgift,652662829703540736
jillieclements,2015-10-10T03:09:00,@AmericanExpress Did someone forget my Chinese appraisers?  I think Chenault did not have enough information... before he acted.,652682462510747648
aatricus,2015-10-10T14:10:00,@AmericanExpress #AmexGift #AmexGD,652848590876987392
drAmexCostco,2015-10-11T00:46:00,@AmericanExpress #AmexPB,653008763587158016
ronald4908,2015-10-11T03:44:00,@AmericanExpress thanks to your concierge service. Great seats at the Penn and Teller show in Las Vegas.,653053658288930816
YKostrubin,2015-10-11T17:44:00,@AmericanExpress #AmexDollarGen,653264851444346880
garyswhite,2015-10-12T00:38:00,@AmericanExpress: #AmexSW,653369106016698368
amitbehari,2015-10-12T01:13:00,@AmericanExpress #amexexxonmobil,653377894950039554
amitbehari,2015-10-12T01:14:00,@AmericanExpress #AmExLeads,653378192108060672
RonB007,2015-10-12T03:08:00,@AmericanExpress Thank You very much. What would someone who has lost their card do since they could not look on the back for the #.,653406801526923264
MusicMadeNova,2015-10-12T06:57:00,"@AmericanExpress @SamsClub ✌Yo wsp can you listen to my new song ""On One"" RT &amp; FAV (NP)➡➡➡ https://t.co/SFn8QOhLfn #BayArea 🔊🎵🔥💯",653464544820367361
jesssberkowitz,2015-10-12T14:21:00,@AmericanExpress is awful also 😡😡,653576334011158528
aobrien4,2015-10-12T14:58:00,@AmericanExpress @banach_karol want this... Swap me off my Gold to this bad boy #yesplease,653585460950880256
iMariopolis,2015-10-12T15:56:00,@AmericanExpress The worst service I've ever recived A month waiting for my CC and no one has respond in phone service... 30min and counting,653600015445721088
KevinS63103,2015-10-12T18:04:00,"@AmericanExpress 
special #hashtags",653632359422562304
inphantry,2015-10-12T18:39:00,@AmericanExpress killed it at the US Open by transforming the game of golf with #holographics http://t.co/x9ztqwwruJ http://t.co/KTPpbPqC7r,653641076612431872
Kell0605,2015-10-12T18:56:00,@AmericanExpress @smithwollensky  #AmexSW,653645378139635712
Rev_Snugglehard,2015-10-12T21:12:00,@AmericanExpress: Tweet #AmexRocketmiles,653679551730479104
jillieclements,2015-10-12T23:28:00,"@AmericanExpress ""The Female of the Species"" by Rudyard Kipling (read by Tom O'Bedlam) https://t.co/NLAOWw9GlC",653713995346481152
GPTW_Global,2015-10-13T14:55:00,@AmericanExpress people make values alive. Congratulations #10 #WorldsBest #BestWorkplaces http://t.co/PRuGKBHUyd http://t.co/ui7vUlZxnU,653947123147403264
jillieclements,2015-10-13T20:11:00,"@AmericanExpress The eleven profiles in the eastern half of the chamber face left and the eleven in the western half face right,",654026808380157952
jillieclements,2015-10-13T20:23:00,@AmericanExpress Charlton Heston - Resisting Cultural Persecution https://t.co/CGIkWRSdnk,654029594366906368
slayer3323,2015-10-13T20:58:00,@AmericanExpress  why cant i log ini my account.or even check my balance?,654038420491272192
MSitley,2015-10-13T21:42:00,@AmericanExpress #AmexUCT,654049488785551361
jillieclements,2015-10-13T23:11:00,@AmericanExpress @CityofPHoenixAZ @PhoenixNewTimes He scored a big victory developing and trying a racketeering case against the HA,654071910980976640
onlyplumbing,2015-10-14T13:46:00,@AmericanExpress @smithwollensky #AmexSW,654292253024776192
Pasty,2015-10-14T16:55:00,@AmericanExpress Centurion Lounge = 👌🏻,654339639176728576
