screen_name,created_at,text,id
0089ali,2015-10-07T06:11:00,"@AIGinsurance of course, great work",651641007432450048
BladeGamers1,2015-10-07T12:09:00,@AIGinsurance,651730979422244864
aliali_zzzli333,2015-10-07T14:22:00,@AIGinsurance http://t.co/qgqrJHLA34,651764612833103872
ozgemurat226,2015-10-07T15:10:00,@AIGinsurance New fashion is pretty emails Change your old emails to pretty fashion email .Your emails deserve it http://t.co/6nENRE0jrv,651776592784556033
mayerlinclaret,2015-10-07T15:51:00,@AIGinsurance siganme soy nueva en esto.:) saludos,651786956523892740
HelloGreenway,2015-10-07T19:06:00,@AIGinsurance volunteers did a great job weeding in the North End Parks this morning! Thanks! http://t.co/zeXehBSBwn,651836002043076612
hermawaneinstei,2015-10-07T20:23:00,@AIGinsurance QCQ1e  T wY,651855408810713088
SiamoLeAli,2015-10-08T15:05:00,"@AIGinsurance su come la ""new age"" #digitale dell'#InternetOfThings trasformerà tutto .
#siamoleali #riskmanagement
http://t.co/JCTC4h27FP",652137716419682304
IE_RoseJ,2015-10-08T15:28:00,@AIGinsurance @ATLHawks @BuzzFeed @AriaGemsInc are joining the #DigiMarketing debate next March - are you? http://t.co/4QwZ9nQXzL,652143435416100864
profevirtualcol,2015-10-08T17:09:00,"@AIGinsurance The IoT has limits because we prefer use water for drinking.
#LaudatoSi #Cop21
@WWF @pnud @wef Control to TI Industry",652168907638317056
Ali82Samir,2015-10-08T17:12:00,@AIGinsurance http://t.co/lH8lJlWhGnمتظاهرون-إيرانيون-يطالبون-بطرد-العرب-من--من-مشهد-كرد-على-حرق-أنصار-المرجع-الصرخي,652169822067912704
dondecahedron,2015-10-08T17:21:00,"@AIGinsurance I'd say that's interesting, but it's not. I have no idea why you'd send that tweet to anyone, especially to me.",652171910520901633
ToddKostecki,2015-10-08T17:32:00,@AIGinsurance #MUSTBEAHINT,652174720666836992
hajhasni,2015-10-08T21:00:00,"@AIGinsurance you can make a lot of money with google ! 
http://t.co/rqeeTqR4LQ",652227079837196292
miss_ironbox,2015-10-08T23:19:00,"@AIGinsurance wow, Aig insurance offers trophy hunting insurance.  #fuckyouaig and #fuckcannedhunters",652262105928855552
manojku13791464,2015-10-09T05:41:00,@AIGinsurance good...,652358143091970048
mohaned_sayed,2015-10-09T18:06:00,@AIGinsurance you are not welcome in ahly club,652545618389401600
chriswater22,2015-10-09T18:32:00,"@AIGinsurance Don't use contractors 4 appraisals. Can be unreliable. Waiting on 1, gave me 8-10am window. It's 11:30, still no show or call.",652552253023215616
FreedomRadiouk,2015-10-09T19:21:00,"@AIGinsurance Insurers are interfering with child sexual abuse investigations 
 7 p.m. (GMT) Sunday October 11th 
http://t.co/S8KsXzLiv1",652564495022325764
IE_RoseJ,2015-10-09T20:26:00,@AIGinsurance @Loreal @ATLHawks @BuzzFeed &amp; many more join us in NYC for #DigiMarketing - the unmissable meeting of minds !,652580822071951360
ryszkiewicz5,2015-10-10T06:30:00,"@AIGinsurance OGÓLNONARODOWE TRUCIE POLAKÓW FLUOREM,WYRZUĆ PASTĘ DO ZĘBÓW Z FLUOREM.Tylko niedobór BIAŁKA powoduje próchnicę zębów ! ! !",652732809900093440
insaan_78,2015-10-10T07:01:00,@AIGinsurance #peseiro_no,652740660039057408
FutureTrendsUSA,2015-10-10T14:06:00,"@AIGinsurance 
Please see special invitation to China Reception http://t.co/qYBgcKLU1B",652847757900840961
Deaf12222Sees,2015-10-10T19:58:00,ولدالعراق@AIGinsurance,652936141876936704
doanhai03,2015-10-11T09:43:00,@AIGinsurance https://t.co/1huiRPleeg,653143888798986240
CheaperInsureMe,2015-10-11T09:44:00,@AIGinsurance launches its Apprenticeship Programme. #Insurance #Apprenticeship http://t.co/ghAC7v3jrm,653144007715893248
ManosOnView,2015-10-12T06:04:00,@AIGinsurance i want my fish frozen not stirred!,653451136465268736
yourguy77333777,2015-10-12T08:01:00,"@AIGinsurance 
The Illuminati love to ""hide in plain sight"" putting their ""one eye"" in designs like this one",653480536250302464
FutureTrendsUSA,2015-10-12T21:03:00,@AIGinsurance Please see special invitation to China Reception http://t.co/QWj0foEezS,653677460257677313
iStridMX,2015-10-12T22:21:00,@AIGinsurance cumple 50 años en México! http://t.co/hOUyDAsjhN,653696999858962433
kevex_2,2015-10-13T01:14:00,@AIGinsurance Sucks,653740546125623296
kevex_2,2015-10-13T01:18:00,"@AIGinsurance                     Thanks for all the pain!!!!
Lea wilinson get's paid to lie....aig suck's",653741626972631045
KurdoNevye,2015-10-13T12:46:00,@AIGinsurance HSBCTR İÇİNDE sensör tak #agit tamimini okuyamıyor piçler; görüntü ile anlarlar..,653914661579059200
HartfordHabitat,2015-10-13T13:26:00,@AIGinsurance working hard to finish up #willowstreet sheet rocking #buildathon2015 #weekofgiving http://t.co/k8FFdViWou,653924658920689664
GarrettChiT,2015-10-13T14:31:00,@AIGinsurance Horrid service for customer for 20 yrs.Insisting on immediate payment after your inability to confirm information for 2 months,653941056266989569
IE_RoseJ,2015-10-13T17:37:00,@AIGinsurance @Loreal are coming to #DigiMarketing NYC - are you? http://t.co/4QwZ9nQXzL,653987827563126785
Tovil,2015-10-13T22:00:00,@AIGInsurance,654054225630990337
dr_maged7,2015-10-14T00:39:00,@AIGinsurance http://t.co/Ef8eGn9QSC,654094028791775232
yivupujova1,2015-10-14T01:15:00,"@AIGinsurance كل ما تودّ معرفته عن آيفون  6s و 6s Plus 
&gt;&gt;&gt;&gt;https://t.co/9wwaJOLOEu",654103262728192004
segallsays,2015-10-14T02:00:00,@AIGinsurance Hillary says your a shadow bank. #RuhRoh,654114462421483521
yosofhod,2015-10-14T09:21:00,@AIGinsurance تب الاسلام,654225423946137600
erykus_papa,2015-10-14T11:28:00,@AIGinsurance check this out tooo   http://t.co/jLfOGRqs2I,654257435977359360
f73539d6c1264d5,2015-10-14T23:07:00,@AIGinsurance,654433302531735552
standardsusers,2015-10-15T07:50:00,"@AIGinsurance Check out ""B2C Building Confidence on Online Business to Consumer Transaction"" workshop http://t.co/d7JMmydji3",654564919828869121
Aishx8,2015-10-15T19:33:00,"@AIGinsurance r you reading this?
Please get us some Macs too!Also, thanks @michaelobrady for moving us to iPhones
 http://t.co/nnGbRtpFOd",654741827333951488
abo_abduilh_,2015-10-15T19:43:00,@AIGinsurance,654744433888399360
EnigmaNetxx,2015-10-15T20:18:00,"@AIGinsurance To Collect Your money under the Auspices of Returning it When You Need it...
but Never Truely Intending to Do So",654753260910215168
haaa122369,2015-10-15T23:39:00,@AIGinsurance,654803807906299909
BBARACUDA53,2015-10-16T00:32:00,@AIGinsurance moneymoneymoney&amp;MONEY,654817140600520704
eerohokkanen,2015-10-16T06:19:00,"@AIGinsurance, CER &amp; East Office organized #Arctic seminar 'Deep Freeze' about to begin in Helsinki. #arktinen http://t.co/p2iUZV97XA",654904558452408321
Ins_Innovator,2015-10-16T10:51:00,@AIGinsurance names #data #scientist #MadhuTadikonda  Global Commercial Chief #Underwriter: http://t.co/FRt4ew2rPK via @WSJ $AIG #insurance,654972929390850049
erkansx,2015-10-16T13:18:00,@AIGinsurance,655009804700819456
JAWisconsin,2015-10-16T18:01:00,"@AIGinsurance and JA are teaching students #entrepreneurship, finance&amp;work skills right here in Shawano. #AIGforJA http://t.co/8lJccaZCRp",655081057058992128
Stellataranto55,2015-10-16T21:44:00,@AIGinsurance All we need is AYG for our s lives.!,655137275282653184
zohosucu1,2015-10-17T11:47:00,"@AIGinsurance بالفيديو| سيارة تسير وهي مقلوبة على ظهرها
&gt;&gt;&gt;&gt;https://t.co/ZcTRxSFOaX",655349451662364672
soroj651,2015-10-17T18:53:00,@AIGinsurance j,655456671641284608
ownedpuppymax,2015-10-17T19:14:00,"@AIGinsurance to me it means Big Brother Is Watching You, unlawful spying.",655461867167567873
Katy_Fomina,2015-10-18T07:28:00,"@AIGinsurance ‼️Слушать всем‼️Как #ЦБ #АСВ грабили #ПРОБИЗНЕСБАНК , малый и средний бизнес https://t.co/jijZKm6tIp",655646631312887808
pkuleon,2015-10-18T08:06:00,@AIGinsurance gr8,655656192295829504
smeetsfrans,2015-10-18T08:56:00,@AIGinsurance It means control and the and of freedom of movement. Thanks by the way for this. What are your sexual preferences in bed?,655668783030366208
DarkVoid1986,2015-10-18T12:18:00,@AIGinsurance 67,655719545286631424
yosofhod,2015-10-18T13:02:00,@AIGinsurance تب قبل الموت الاسلام,655730665745424384
mhPilgrim,2015-10-18T14:56:00,@AIGinsurance Can't insure me because I answered yes to the mental illness question? #mentalhealth,655759239667929089
PadreCohen,2015-10-19T20:45:00,@AIGinsurance No wonder AIG is one of the most hated companies in America. Don't buy life insurance from these charlatans. They lie.,656209480875511808
marcela78840719,2015-10-20T02:14:00,@AIGinsurance,656292440488484864
GFamBlack,2015-10-20T10:27:00,@AIGinsurance wtf is going on with your insurance department?? Over a month to review a case?? Very poor. Pulling all my stock.,656416484617527296
np_izmir,2015-10-20T11:26:00,@AIGinsurance Bu saat niye ters takılı?,656431270663180288
Azalealuna,2015-10-20T16:20:00,"@AIGinsurance ESCANDALOSO INDICE DE POBREZA EN ESPAÑA Y CINISMO DEL GOBIERNO
https://t.co/Bz4NDDSM5m",656505341656604672
RonyRonaldo77,2015-10-20T20:57:00,@AIGinsurance https://t.co/j55wOhqRj6,656574868817887233
Jenn_chaps2003,2015-10-21T02:43:00,@AIGinsurance - why not pay my w/c instead of putting on Medicare? How abt paying back out of pocket I spent - which injured not supposed 2,656662104271908864
vjanbazian,2015-10-21T02:43:00,@AIGinsurance agents are dicks. #truestory,656662138489020416
bubbadeloach,2015-10-21T08:06:00,@AIGinsurance ISN'T THIS THE SAME CO. THAT STARTED THE 2ND GREAT DEPRESSION ?!,656743306341146625
AnnaKarisiva,2015-10-21T15:43:00,@AIGinsurance RANDEVU İÇİN 0539 670 53 56@0531 296 14 87@,656858239146004480
SampathPanini,2015-10-21T16:17:00,@AIGinsurance a little disappointed in no mention of #BacktotheFutureDay. The DeLorean was a true Internet of Things!,656867003324571648
juraminator,2015-10-22T12:25:00,"@AIGinsurance launching #consulting company to advise corporate clients on efficient #legal operations
https://t.co/SGuEqI4cRq",657170829252403200
fdOoDrM8epcNUyL,2015-10-22T16:56:00,@AIGinsurance https://t.co/QNQ7MNhgr1,657239079390724097
juraminator,2015-10-22T20:04:00,"@AIGinsurance launching consulting company to advise corporate clients on efficient #legal operations
https://t.co/SGuEqI4cRq",657286360722776064
LupeErwin,2015-10-23T16:52:00,"@AIGinsurance PCG Risk Management Conference 2015 with Loretta Kirchoff, DLD Insurance and Tyler Banks @WillisGroup. https://t.co/oXFTkoE3tO",657600496232976384
LupeErwin,2015-10-23T17:30:00,"@AIGinsurance PCG 2015 Conference with Robin Farrell, AIG PCG https://t.co/1O2iR3Tp5Q",657610039134433280
LupeErwin,2015-10-23T21:30:00,@AIGinsurance 2015 PCG conference with Eric Gordon of the Denver Agency. https://t.co/hSeDwGsxXw,657670407357669377
LupeErwin,2015-10-23T22:30:00,"@AIGinsurance 2015 PCG Conference with Deseree Thigpen of AIG, and insurance associate Loretta https://t.co/Z8o4MlbR5k",657685438392619008
keego101,2015-10-23T23:26:00,"@AIGinsurance just seen your add on tv saying your claims department is great.
#bull #shit  rude agents, refuse to pay out.
im owed €30k???",657699577735327745
keego101,2015-10-23T23:30:00,"@AIGinsurance refuse to pay claims if your car gets stolen.. #cheats #scammers
they will fuck you over big time.
#stayaway",657700552911028224
