screen_name,created_at,text,id
HVETtraining,2015-10-06T18:34:00,"@AngloAmerican such an unusual color, lovely !",651465636380459008
metalfirez,2015-10-07T07:15:00,@AngloAmerican obama wants to shut down your careers...,651657074460524545
Wayne90921,2015-10-07T08:54:00,@AngloAmerican Hey You Guys Need A Break We Will take A Shift.. http://t.co/3a2JeyyYml,651681919525089280
itisup2usnow,2015-10-07T13:04:00,@AngloAmerican I would appreciate you getting your propaganda off my feed... #fossilfools,651745019389317120
unclepete_100,2015-10-07T23:32:00,@AngloAmerican What is your contribution to combating global warming? The ultimate safety issue. #AGW #CO2mitigation,651902889875472384
thebombsters,2015-10-08T02:06:00,@AngloAmerican Thumbs Up to Miners and the Work They Do. Much Appreciated. http://t.co/ME8Ogaxd8w,651941662185418752
JTheMagicRobot,2015-10-08T03:43:00,@AngloAmerican humm,651966070685765632
Ribu_SpiceXxx2,2015-10-08T06:13:00,@AngloAmerican cnt wait to meet our CEO💃🏻,652003815303065600
Miss_Diddy,2015-10-08T06:47:00,@AngloAmerican I think @LonrhoPlc is better than you 😁😵🙈😩😱,652012447776309248
aylabr,2015-10-08T14:43:00,@AngloAmerican I'm a student graduating in May 2016 - what opportunities are available to me?,652132137110401024
FrancisPScott,2015-10-08T16:06:00,@AngloAmerican Hi. Would like to know if you offer work experience/apprenticeships/opportunities for under 18s in the UK? Thanks.,652153163705815044
CreativeSpaceMe,2015-10-08T16:38:00,"@AngloAmerican @follow_transnet @Powerfm987 Our proud partners at this prestigious event, join us on 12 &amp; 13 October 2015 @ESDConference",652161151590006784
hamzakikiout2,2015-10-08T16:41:00,@AngloAmerican انا احب الخير لكامل الناس و مانديرش العيب..نولي و ماسمحتش .كيف كيف انا و محي الدين..و..http://t.co/yAdCl3nknX  .NIGRO,652161952555270144
hamzakikiout2,2015-10-08T17:02:00,@AngloAmerican انا احب الخير لكامل الناس و مانديرش العيب..نولي و ماسمحتش .كيف كيف انا و محي الدين..و..http://t.co/yAdCl3nknX  .NIGRO,652167300099866624
bongani18470844,2015-10-09T08:17:00,"@AngloAmerican 
          hy my name is Bongani gatebe 25 years of age got matric looking for a general job please",652397346580496389
FrancisPScott,2015-10-09T11:04:00,@AngloAmerican Thanks I see you offer some great scholarships and bursaries! Do you offer work experience for under 18s in the UK as well?,652439490909356032
FrancisPScott,2015-10-09T11:12:00,@AngloAmerican Many thanks for your help :),652441533602504704
Skhalokutumela1,2015-10-09T11:33:00,"@AngloAmerican hi, i just wanted to know if any of the anglo platinum mines in S.A offer learnerships in the finance department for matrics?",652446663538311168
VellyMukhari,2015-10-09T12:20:00,@AngloAmerican,652458649806315520
VellyMukhari,2015-10-09T12:23:00,"@AngloAmerican 
          
 where to start when I want to be part of your CIMA training programme",652459492278452224
FrancisPScott,2015-10-09T13:18:00,@AngloAmerican Cheers :) nothing for under 18s at the moment is that the case all year round?,652473285100367874
_digital_impact,2015-10-09T15:30:00,"@AngloAmerican and @EdelmanPR have been shortlisted in the best evaluation strategy category at the #DIAwards, congratulations!",652506383883960321
FrancisPScott,2015-10-09T15:40:00,@AngloAmerican No problem cheers for the info,652509034956894208
EverettTheda,2015-10-09T20:38:00,"@angloamerican :Um, anglo American, you have a pic of an AA on your Twitter handle...",652583854109270016
JUprise,2015-10-09T21:56:00,@AngloAmerican @_digital_impact @EdelmanPR,652603559851245569
43a6f0ce5dac4ea,2015-10-11T05:49:00,@AngloAmerican with all the job losses in Aussie mining the Twitter community of miners will be all thats left,653085095067185152
LouPawlowich,2015-10-11T15:34:00,"@AngloAmerican I want to travel the world,25 years in safety,can save you money and injuries,let me help",653232141271199744
taraturk1,2015-10-11T19:09:00,@AngloAmerican Love the way your company has set up your Twitter accounts - very clever and very strategic. Love the in-country interaction.,653286267451523076
dawn_1989,2015-10-12T08:03:00,"@AngloAmerican shame on you, miners lives matter too! #silicosis #TAC http://t.co/1d1RftX0K2",653481074434179072
wardiamonds,2015-10-12T08:58:00,@AngloAmerican owns @DeBeers &amp; @forevermark sells blood diamonds that fund war crimes #BDS http://t.co/zIsrBCKinH http://t.co/sjGN45mjdS,653494881806086144
Youth_StopAIDS,2015-10-12T09:21:00,@AngloAmerican shame on you. Workers rights matter too! Justice for gold miners in South Africa #silicosis http://t.co/T3J3csxYZn,653500665021485056
AfricaSkills,2015-10-13T08:33:00,"@AngloAmerican #SA #skillsdevelopment Doing awesome work in Community. Especially Kathu, NorthernCape branch. Rina and her Team Rocks!",653851108956311552
drillingrigsuny,2015-10-13T14:17:00,"@AngloAmerican @TheBigHoleSA @debeersgroup Yeah, It looks beautiful, can be developed as a travelling site.",653937696822263808
wardiamonds,2015-10-13T20:06:00,@AngloAmerican @DeBeers @forevermark Your blood diamonds from Israel are funding a brutal terrorist regime #CSR #BDS https://t.co/iCVwnjY75F,654025526483505152
SunilKumarAu,2015-10-13T22:31:00,@AngloAmerican Biased hiring processes. Not a company of my choice.,654062004651454464
Geo_Recursos,2015-10-14T11:39:00,@AngloAmerican recibe oferta x #Chagres pero desacuerdo con Codelco-Mitsui traba negociación https://t.co/shhz3nQB57 http://t.co/T28bunJHfW,654260122202587137
_digital_impact,2015-10-14T20:13:00,"@AngloAmerican and @EdelmanPR claim the top prize for best 
evaluation strategy! #DIAwards #gold",654389699843387392
tamilartist,2015-10-15T02:30:00,@AngloAmerican Hope you Follow for my #paintings ... http://t.co/cRJv6JHgTC,654484391905861632
dsace09,2015-10-15T03:13:00,@AngloAmerican So are you like private miners or contracted or what? I'd really like to know.,654495328826228736
4DEEPkooFILMS,2015-10-15T06:17:00,@AngloAmerican RT @SexxxFiends @TINYTSEXXFIENDS PSA Help Prevention of (AIDS) Get Tested @CDCgov   @thepublicist222 https://t.co/daWwpGgjU6,654541517135089664
