screen_name,created_at,text,id
Pebbls,2015-10-09T18:51:00,"@AppleCare my playlist doesn't play in its entirety since iOS 9.2, repeats 1st song. Is this issue being fixed? #apple #music #iphone6",652556887876104192
SkittlezArtist,2015-10-10T18:26:00,@iTunesMusic why when I sync music to my iPhone does it display the wrong cover arts,652913138346627072
DubDaMac,2015-10-15T17:55:00,@iTunesMusic Peep @DubDaMac #WARDRUMS Ft. @CharleyBrownn8D on #iTunes today! #RawHipHop #UndergroundMusic https://t.co/C1GlBACqO4 #hipHop,654717160321781760
dallasmalik96,2015-10-15T18:51:00,@AppStore #nov13 porpuse,654731437556371457
SwapItOut_Love,2015-10-15T18:52:00,@AppStore @christiand @cierraramirez @TaylorCutFilms me segue,654731679890714629
dreewsmile,2015-10-15T18:52:00,@AppStore @christiand @cierraramirez @TaylorCutFilms @justinbieber Follow me #EMABiggestFansJustinBieber,654731622017724417
dallasmalik96,2015-10-15T18:52:00,@AppStore #nov13 purpose,654731700715393025
Agustizzle,2015-10-15T18:52:00,@AppStore @MattFtJBMyBaes_ @christiand @cierraramirez @TaylorCutFilms NOV 13 #EMABiggestFansJustinBieber,654731693970997248
emmieatthedisco,2015-10-15T18:53:00,"@AppStore @jbsfollowlist @christiand @cierraramirez @TaylorCutFilms 
please follow me Justin, I've been voting for you so much😔",654731814892736512
Yxh_1dslxt,2015-10-15T18:54:00,@AppStore @christiand @cierraramirez @TaylorCutFilms #EMABiggestFansJustinBieber @justinbieber,654732044325359616
horanbeemygrey,2015-10-15T18:54:00,@AppStore @christiand @cierraramirez @TaylorCutFilms @justinbieber #EmmaBiggestJustinBieber nzkwlñqsl,654732092157267969
Biebersgirl7845,2015-10-15T18:54:00,@AppStore @christiand @cierraramirez @TaylorCutFilms #EMABiggestFansJustinBieber,654731999878340608
NeyCassi,2015-10-15T18:55:00,"@AppStore @christiand @cierraramirez @TaylorCutFilms  
I cut me and I will be back soon. @justinbieber  #EMABiggestFansJustinBieber",654732257794502656
drewserial,2015-10-15T18:55:00,@AppStore @christiand @cierraramirez @TaylorCutFilms @justinbieber please #EMABiggestFansJustinBieber,654732428209029122
uniquenashgrier,2015-10-15T18:56:00,@AppStore @christiand @cierraramirez @TaylorCutFilms christian's smile 😍,654732490121150464
xjdomhugx,2015-10-15T18:56:00,@AppStore @christiand @cierraramirez @TaylorCutFilms JUST FOLLOW ME PLS💜 @justinbieber,654732583264104449
SwapItOut_Love,2015-10-15T18:56:00,@AppStore @christiand @cierraramirez @TaylorCutFilms come on Justin Bieber,654732577979236352
horanbeemygrey,2015-10-15T18:56:00,@AppStore @christiand @cierraramirez @TaylorCutFilms @justinbieber #EmmaBiggestJustinBieber jsksksks,654732705209257984
sofiachavez12,2015-10-15T18:56:00,@AppStore @christiand @cierraramirez @TaylorCutFilms #EMABiggestFansJustinBieber :v,654732498795020289
horanbeemygrey,2015-10-15T18:57:00,@AppStore @christiand @cierraramirez @TaylorCutFilms @justinbieber #EmmaBiggestJustinBieber uususus,654732784955604993
YesicaRdgz5,2015-10-15T18:58:00,@AppStore @christiand @cierraramirez @TaylorCutFilms @justinbieber,654733030125252608
wenndyReynna,2015-10-15T18:58:00,@AppStore @MdsIdols @christiand @cierraramirez @TaylorCutFilms Justin follow me please @justinbieber #EMABiggestFansJustinBieber 😁,654733042850775040
horanbeemygrey,2015-10-15T18:58:00,@AppStore @christiand @cierraramirez @TaylorCutFilms @justinbieber #EmmaBiggestJustinBieber :(,654733168541433857
JAILEY_FALSIANE,2015-10-15T18:59:00,@appstore @christiand @cierraramirez @taylorcutfilms  justin pleaseeeee follow meee  @justinbieber,654733423626424321
SwapItOut_Love,2015-10-15T18:59:00,@AppStore @christiand @cierraramirez @TaylorCutFilms follow here Justin,654733310065704960
Floorcolombani,2015-10-15T18:59:00,@AppStore @christiand @cierraramirez @TaylorCutFilms #EMABiggestFansJustinBieber,654733252494651392
jdbmcx,2015-10-15T19:00:00,@AppStore yess,654733569781186560
Enmary_1D,2015-10-15T19:02:00,@AppStore @christiand @cierraramirez @TaylorCutFilms I love you justin Please could you follow me? @justinbieber  #nov13,654734196829614081
JAILEY_FALSIANE,2015-10-15T19:02:00,"@appstore @christiand @cierraramirez @taylorcutfilms  PLEASEEEEEE FOLLOW ME,NOTICEEEEE ME. LOVE YOU MY BLONDIE.   @justinbieber",654734126197530624
AquelaLanger_,2015-10-15T19:02:00,@AppStore @christiand @cierraramirez @TaylorCutFilms dhdu #EMABiggestFansJustinBieber,654734142899261445
horanbeemygrey,2015-10-15T19:06:00,@AppStore @christiand @cierraramirez @TaylorCutFilms @justinbieber #EMABiggestFansJustinBieber 😝😝😝😝😝😝😝😝😝,654735202661494784
horanbeemygrey,2015-10-15T19:06:00,@AppStore @christiand @cierraramirez @TaylorCutFilms @justinbieber #EMABiggestFansJustinBieber 😣😣😣,654735005512417280
xo_CobrasNBH,2015-10-15T19:06:00,@AppStore @christiand @cierraramirez @TaylorCutFilms @justinbieber follow me please,654735035422019585
jdbmcx,2015-10-15T19:07:00,@AppStore @christiand @cierraramirez @TaylorCutFilms @justinbieber GOOD,654735347079733248
horanbeemygrey,2015-10-15T19:08:00,@AppStore @christiand @cierraramirez @TaylorCutFilms fuck everything :(,654735592173862912
xjdomhugx,2015-10-15T19:14:00,@AppStore @christiand @cierraramirez @TaylorCutFilms JUSTIN FOLLOW ME BÆ💖 @justinbieber,654737070007582720
__DanyDuran17,2015-10-15T19:14:00,@AppStore @ProyectoH4F @christiand @cierraramirez @TaylorCutFilms @justinbieber #Nov13Purpose,654737118564978688
NdiaBurton,2015-10-15T19:22:00,@AppStore what is this 🍠,654739209740156928
arianatorka,2015-10-15T19:27:00,@AppStore @christiand @cierraramirez @TaylorCutFilms never say never! #EMABiggestFansJustinBieber,654740483269222401
arianatorka,2015-10-15T19:30:00,@AppStore @christiand @cierraramirez @TaylorCutFilms #EMABiggestFansJustinBieber,654741038582501377
JubsJB1994,2015-10-15T19:37:00,@AppStore @christiand @cierraramirez @TaylorCutFilms @justinbieber #EMABiggestFansJustinBieber FOLLOW ME?,654742965127024640
arianatorka,2015-10-15T19:37:00,"@AppStore @christiand @cierraramirez @TaylorCutFilms There’s an energy,when you hold me. When you touch me #EMABiggestFansJustinBieber",654742928993062913
Alyyahi,2015-10-15T19:59:00,@AppStore @jdfollowhelp @christiand @cierraramirez @TaylorCutFilms @justinbieber,654748390127898624
LARRYDELILOUIS,2015-10-15T20:34:00,@AppStore @ProjetoJBFollow @christiand @cierraramirez @TaylorCutFilms @justinbieber FOLLOW ME GOSTOSO,654757217518792709
yewKidrauhl,2015-10-15T20:53:00,@AppStore @PfollowJBHelp @christiand @cierraramirez @TaylorCutFilms @justinbieber follow me,654762108001779713
TAKETOCUSPE,2015-10-15T20:54:00,@AppStore @ProjetoFFans @christiand @cierraramirez @TaylorCutFilms #EMABiggestFansJustinBieber,654762284888121344
