screen_name,created_at,text,id
MCMMargherita,2015-10-07T18:35:00,@ARMCommunity Inspiring meeting!,651828329977397248
AdeleHars,2015-10-08T14:19:00,@ARMCommunity @Freescale Thanks for the retweet! #FDSOI,652126290913443840
Cannybots,2015-10-09T17:01:00,@ARMCommunity Thank you for the RT - so many people are happy to hear of us and our progress. Feels great to be so supported!,652529426165571584
Hikalubing,2015-10-11T01:41:00,@ARMCommunity @element14 @TXInstruments  Check this out a A80 dev board with SATA and Gigbyte Ethernet https://t.co/CSoPXoSupP,653022676265504768
sondrel_ic,2015-10-13T11:33:00,"@ARMCommunity
Good news for custom SoC development for IoT applications 
http://t.co/xEmLUNrurk
For Sondrel IoT http://t.co/A7iUrKFswP",653896269845368832
HackLabUK,2015-10-13T12:25:00,@armcommunity say cheese! @code_and_chips http://t.co/AoZUbn7daD,653909463712288768
stegrego,2015-10-13T13:46:00,@ARMCommunity @conkers3 @FindingAda her daughter Linda did some great work on Video tech too 😁,653929921534914560
sondrel_ic,2015-10-19T08:21:00,@ARMCommunity Sondrel to Exhibit at the #ARMTechCon in Santa Clara 10 - 12 November http://t.co/po8rsdAhlI http://t.co/vDNT2N3Dzj,656022326870462464
sondrel_ic,2015-10-19T09:51:00,@ARMCommunity Sondrel to Exhibit at the #ARMTechCon in Santa Clara 10 - 12 November - Sondrel Ltd http://t.co/FWzuMc7o4m,656044931681767424
lindaanton1,2015-10-21T16:46:00,@ARMCommunity thank you for volunteering @TheTechMuseum #teamarm @TechChallengeSV https://t.co/AsZxIuaJR6,656874154772201472
androdort,2015-10-21T22:57:00,"@ARMCommunity thanks for sharing ARM Community, have a great Thursday :) (insight by https://t.co/36DrrFImAb)",656967615995387904
gearkeeper,2015-10-27T19:08:00,@ARMCommunity Hello. I thought you might want to follow back. I tweet about safety issues in industry. Thanks. Eileen,659084252223434752
Krewell,2015-10-28T22:03:00,@ARMCommunity Congratulation on the new Austin facility.,659490603181326336
