screen_name,created_at,text,id
mrmikehealy,2015-10-06T19:30:00,@AstraZeneca to sponsor the Vital Signs Conference http://t.co/R96EhwiRBl who do i contact to make this happen? thanks,651479674728660992
LIUPharmlab,2015-10-07T18:04:00,@AstraZeneca Employees use #Box Drive Change through Innovation the cloud. Smart ways on how to work collaborative  https://t.co/S7GGxhgj3l,651820523119362048
ZenopaLtd,2015-10-08T09:35:00,@AstraZeneca reports positive data from studies of brodalumab in psoriasis:: http://t.co/Jxehziyf8x #pharmanews http://t.co/KrZr61LaV8,652054613579972608
HotMilkMedia,2015-10-08T13:10:00,RT @AstraZeneca: Education and screening programmes have been shown to improve #breastcancer mortality  #NBCAM,652108748597653505
LifeSciIndex,2015-10-08T13:10:00,RT @AstraZeneca: Education and screening programmes have been shown to improve #breastcancer mortality  #NBCAM,652108749616885760
womenofteal,2015-10-08T14:56:00,@AstraZeneca Has Stage at diagnosis dropped since consensus statement on symptoms or still 60 % late stage . #gyncsm We need screening test,652135526120620032
ZenopaLtd,2015-10-08T17:45:00,@AstraZeneca reports positive data from studies of brodalumab in psoriasis:: http://t.co/XQciKxHz15 #pharmanews http://t.co/RLsNbt7frq,652178057940369408
Thomash1964,2015-10-09T00:47:00,@AstraZeneca Pay your taxes.,652284108756926464
mca178,2015-10-09T01:25:00,"@AstraZeneca Ajay Gautam: looking for cities with high level research AND entrepreneurship - Singapore, Shanghai, Melbourne #AusBio15",652293750924800000
Pharmafocus,2015-10-09T16:15:00,@AstraZeneca's Moventig for OIC now available in England and Wales through NHS http://t.co/GtYuIXawNR,652517665957744640
jagasquet,2015-10-10T10:10:00,@AstraZeneca Temporarily Halts #LungCancer Drug Combination Trials (#AZD9291 with #durvalumab) http://t.co/B80grsofIv #ImmunoOnc,652788344938754049
PVickers2020,2015-10-10T12:00:00,@AstraZeneca Why do you not pay any taxes despite billions of pounds in profit?,652816044550156288
pash22,2015-10-11T22:04:00,@AstraZeneca Halts Two Lung Cancer Drug Combination Trials After Lung Disease Reports http://t.co/XV0oLyKXoz via @biospace,653330239284715520
USJobsForAll,2015-10-12T03:24:00,"@AstraZeneca http://t.co/jwDsfIk30H
join @esrjobsforall",653410919519686656
lasaceo,2015-10-12T05:27:00,@astrazeneca DIG looking 'beyond the pill' to achieve lifestyle goals for heart patients 'day by day' @thinkpublic #lasa2015 #agedcare,653441732672139264
LASANational,2015-10-12T05:27:00,@astrazeneca DIG looking 'beyond the pill' to achieve lifestyle goals for heart patients 'day by day' @thinkpublic #lasa2015 #agedcare,653441733301305344
mariemcgowin,2015-10-12T05:46:00,"@AstraZeneca #CRPS Documentary by Celebrity Chef @CMattocks1 
http://t.co/qBConZQrkS
http://t.co/9JkcJN4vIM",653446719745695744
ELDERCAREADVOCA,2015-10-12T13:42:00,“@AstraZeneca: Early detection is key to improve #breastcancer outcome and survival #NBCAM”Proven to Save Lives!  Get Screened &amp; Mammograms!,653566385264705536
PlexusVentures,2015-10-13T12:02:00,@AstraZeneca puts two #cancer trials on hold after #lungdisease reports http://t.co/tSOu8uWUuR @PharmaTimes #pharma #LungCancer,653903696351358976
ELDERCAREADVOCA,2015-10-13T13:00:00,"@AstraZeneca Proven Research Results Are Key In Curing Breast Cancer,As With All Cancers,In The Never Ending Fight Against The Beast Always!",653918330617786369
MagnusX71,2015-10-13T15:02:00,@AstraZeneca Jag förväntar mig nu att Göteborgs blåvita stadsvapen med lejonet hissas utanför KC varje dag. #AstraZenecaGothenburg,653948857093652480
rlclab,2015-10-14T09:16:00,@AstraZeneca pls RT...free industry STEM resource for UK schools http://t.co/JB2uv8EAan … AZ sponsor http://t.co/kRSoTSovWg,654224181232566272
Rx_Queen3,2015-10-14T19:12:00,@AstraZeneca where can I find a mailing address?,654374127575298048
dyellowelephant,2015-10-15T05:30:00,"@AstraZeneca  gamified medicine training getting 97% of their large network of agents to participate, See results -.http://t.co/3boHgIz308",654529664187166724
AmChamGr,2015-10-15T10:16:00,"@AstraZeneca @GileadSciences @GSK @Pharmaserve Healthworld 2015, 19 &amp; 20 October @ Athens Ledra Hotel
Info: http://t.co/rYNgdAjfqe",654601848729530368
ylevich,2015-10-16T02:52:00,@AstraZeneca Did I seriously just see a commercial about a woman being BFFs with her anthropomorphic prescription painkiller?,654852506435108865
ylevich,2015-10-16T02:56:00,@AstraZeneca You should just go ahead and license the rolling stones for your next Movantik ad. https://t.co/z6y9KUy1dH,654853336504651776
laboratorynews,2015-10-16T10:00:00,@AstraZeneca and @OfficialUoM have announced a collaboration to deliver personalised healthcare for #cancer patients http://t.co/ax3V78vmAs,654960124491145216
flangdoodle,2015-10-16T18:20:00,@AZhelps thank you. but please butt-out.,655085938477940736
ShorStratHealth,2015-10-16T19:09:00,@AstraZeneca Fails to Win @FDA Approval for #Diabetes Drug Combination http://t.co/kD3iy8tLXC,655098131936362497
laboratorynews,2015-10-16T22:01:00,@AstraZeneca and @OfficialUoM have announced a collaboration to deliver personalised healthcare for #cancer patients http://t.co/L271cFI7rn,655141612725645312
nikhilkarani1,2015-10-17T04:43:00,@AstraZeneca fails to win FDA backing for #saxagliptin #dapaglidlozin combo,655242762816782337
Volvob9r,2015-10-17T15:01:00,"@AstraZeneca Applied Graduate IT Prog India in Jan15, qualified 1st round, was told that second round interview to held in Sep15.No news yet",655398228259504133
LionbridgeLife,2015-10-19T23:32:00,@AstraZeneca Anjay Gautam on innovation in #emergingmarkets https://t.co/38jlfrB825 @totalbiopharma,656251507088580608
MilitaryRosary,2015-10-20T00:47:00,"@AstraZeneca seriously, if you're gonna use a BBQ competition for an ad, kindly get it right. that is SO the absolutely OPPOSITE of the way",656270578509176832
LindseyPatter19,2015-10-20T11:38:00,@AstraZeneca thanks for helping in this fight. Happy #Pinktober. Please Share or RT this infographic-https://t.co/DY4qy8bs9X,656434372757843968
ericbellamy11,2015-10-20T12:44:00,"@AstraZeneca opens new $224M drug factory in Russia

https://t.co/8rortoBXCj",656450839767289856
LionbridgeLife,2015-10-20T15:05:00,@AstraZeneca opens up new factory in #Russia: https://t.co/xv0Gd8bQqz,656486310031552512
azihbar,2015-10-20T20:31:00,@AstraZeneca https://t.co/axJ9KVvvAk,656568321559691264
HealthBizBlog,2015-10-21T12:02:00,@AstraZeneca commits $18M to clinical trial bioinformatics collaboration https://t.co/JVHgcXbMRK,656802646817402880
DiabetesRC,2015-10-21T14:10:00,@AstraZeneca #diabetes #drug combination faces delay after @US_FDA rebuff https://t.co/L8hbD1Rdpn #diabetescare,656834841543991296
GHovhanesian,2015-10-22T02:32:00,@AstraZeneca how can I get a discount on Tenormin in the United States?  I need to take brand name.,657021600135520256
jagasquet,2015-10-22T08:44:00,@AstraZeneca and #Lilly expand #ImmunoOnc research collaboration with new combinations  https://t.co/9dqwGvTbji,657115179331776512
PlexusVentures,2015-10-22T13:00:00,@AstraZeneca &amp; @EliLillyCo expand #immunooncology research collaboration with new combos https://t.co/Squp1OgLGl @WorldPharmaNews #pharma,657179715875315712
Kobedobydoo,2015-10-23T01:17:00,@AstraZeneca fuck u and your drug pushing ways get off my football games. No one gives a shyt you money grubbing bastards. I'll boycott you,657365204846649344
ViralOncolytics,2015-10-23T02:44:00,"@AstraZeneca @LillyPad Expand #ImmunoOncology Collaboration

#PD1 
#Immunotherapy 
#oncolytics 
#OpenTherapeutics 

 https://t.co/1ENzDKQUPJ",657386978325848065
SallyOkun,2015-10-23T12:52:00,@AstraZeneca Dr John Yee talks about the complex landscape of diabetes treatments at first #DiabetesLinkup meeting,657539999915769857
azihbar,2015-10-23T15:56:00,@AstraZeneca  https://t.co/axJ9KVvvAk,657586402864009216
VisualMedia,2015-10-24T07:13:00,@AstraZeneca good luck!,657817296598122496
TheALCF,2015-10-25T16:53:00,@AstraZeneca,658325563740827648
Sofrigam,2015-10-26T16:20:00,@AstraZeneca @LillyPad extend their #ImmunoOncology collaboration: https://t.co/aMIBr0Evk3 #pharmaresearch #therapy https://t.co/Qf0pEWGULa,658679514298503168
romanieo,2015-10-27T05:20:00,"@AstraZeneca 6 Yr Old Chemist Speaks @DukeU 10/30/15
https://t.co/cm9vh2L5M7
#dreambig #MLK #earlyed https://t.co/nivUBSDR2b",658875796141023232
Oceanwavemat,2015-10-27T11:10:00,"Hi @AstraZeneca We have a bespoke fish service that delivers in alderley edge around one of you sites, please could you give us a RT👍👍🎣🎣",658963981026140160
FLGenomics,2015-10-27T11:45:00,"@AstraZeneca 2 Principal Scientists, 1 Head of Biology and an Exec VP walk into a festival
https://t.co/tAZp2pVHlm https://t.co/HmeyfrO2Pd",658972871641968640
BioMfg,2015-10-27T13:09:00,@AstraZeneca opens plant in Russia: U.K. drugmaker also has #biologics facilities underway in U.S. and Sweden https://t.co/UkU5phs6mk #mfg,658994048741548032
sivaitvlr,2015-10-28T08:35:00,@AstraZeneca :Joined @AstraZeneca  Great place to work with :),659287448678100992
WStrokeCampaign,2015-10-29T10:57:00,@AstraZeneca @boehringerus @Medtronic @BSC_EU_Heart Thanks for your partnership and support and for helping us make #WorldStrokeDay happen.,659685520138727424
