screen_name,created_at,text,id
MrsBakerInCO,2015-10-14T03:18:00,@ATT Thanks! Keeping families connected and #StrongerSaturday for fans all around,654134079793696768
kajdance1,2015-10-14T03:25:00,@ATT thanks for sponsoring Joshua's tour. I'll always have you as my phone service now :),654135816793550848
ALGuLICK,2015-10-14T04:56:00,@ATT What difference does it make whether I buy out my 2-year contract paying upfront or over the remaining 12 months? No sense! AT ALL!,654158833749635072
AY_Mikee,2015-10-14T05:25:00,@ATT @TMobile I'm looking to get away from @sprint if possible what do you guys provide in regards to plans,654166124737622016
Daaanyelll,2015-10-14T05:37:00,@ATT I'm glad I pay for wifi that sucks so bad I have to shut it off when I am home so I can even use my phone 😡😡😡😡,654169230703767552
summerdayzz,2015-10-14T13:05:00,@ATT 21502 zip having network issues due to problems with 2 cell towers. Can u check how long before fixed? can't receive or make calls,654281978833932288
AJScab,2015-10-14T14:36:00,@ATT coverage in Lawrence/Princeton NJ area is weaker than tissue paper. Outside - (4) LTE bars. Walk in a house - (1) 4G bar. 0 penetration,654304719192621056
epicurlean,2015-10-14T15:29:00,@ATT Shout out to Kim from the Atlanta office - she is awesome and very helpful!,654318044907479042
enewsdigest,2015-10-14T16:22:00,"@ATT announces NumberSync, a way to use one phone number across several devices http://t.co/xDchad1NYW   https://t.co/HSsumFiXFm",654331337827090432
nazani14,2015-10-14T18:24:00,"@ATT Allow unlimited data for DSL customers. I'm a shareholder giving you ""unsolicited"" advice!",654362071551856640
Wilrausure,2015-10-14T19:21:00,@ATT DONT CARE ABOUT SERVICE.. just WANTS YOU MONEY!!  DONT DO IT. YEARS W/them and mess over in the end.,654376586142089216
haney8604,2015-10-14T19:49:00,@ATT announced google voice today. cool. cool cool. #numbersync,654383583264665600
ITISME_PAT15,2015-10-14T19:56:00,"@ATT Any plans on catching up to your competitors, as far as Internet speeds goes?? This ""24Mbps"" is not cutting it smh. Gonna make me...",654385223967203328
Summer_Rollins,2015-10-14T20:03:00,@ATT are you guys short on customer service reps or just bad at answering the phone? #50minutewaittime,654387036195917824
MinetteKelly,2015-10-15T00:12:00,@ATT Royals game starting up and cable goes out. #epicfail,654449707654082560
__Helel__,2015-10-15T00:40:00,@ATT you guys have horrible service I'm so upset w the service I've been receiving you guys should be ashamed,654456692890071040
sundaephilly,2015-10-15T00:53:00,@ATT @ATTCares .  Looks like you don't care to help out long time customers .  Trying to reach you for days.  Paid 4 service in cuba.#not,654460028129177600
JediJoelPaauwe,2015-10-15T01:33:00,@ATT Trying to log in to Disney XD on my laptop and I'm getting this crap..please help and stop sucking. http://t.co/ApNm7E0Jkn,654470151765651456
ceeandrea_,2015-10-15T06:00:00,@ATT y'all wifi is shit !,654537365227094016
lendinggrace1,2015-10-15T13:12:00,@ATT  @ATTCustomerCare #RandallStephenson debacle.  https://t.co/P5YujcNzvO,654645967635943425
inkedvet,2015-10-15T14:17:00,@ATT you all suck. Throttling data. All im saying. And now will be switching carriers.,654662375354724352
toofoul4yall,2015-10-15T14:25:00,@ATT @Uverse is thee worst when it comes to customer appreciation i need to take my  cash to @DIRECTV  or @BrightHouseNow or  @comcast,654664288670380033
lwfos,2015-10-15T17:44:00,"@Att  still holding ... 23:30 .. on top of ignoring the call, the music is crap --- rip-off",654714496808714240
_LuckiestCharm,2015-10-15T19:05:00,"@ATT obviously, y'all pay employees to tweet all day. Do THEY have unlimited data?",654734953414983680
IamTammiJ,2015-10-15T19:36:00,"@ATT too many prompts!!!!!
Parents(seniors) been without landline for a week!!!!!!!  Terrible service!!!!!",654742683919892480
_LuckiestCharm,2015-10-15T19:52:00,@ATT SUCK A MASSIVE AMOUNT OF DICKS! I swear I hate y'all. http://t.co/8lSKRgzdM7,654746766709927936
linneahenson,2015-10-15T21:10:00,@ATT I have requested that Carmen Vara contact me twice to resolve a HUGE problem ATT has caused.  Still no contact and no resolution!,654766258026450945
