screen_name,created_at,text,id
AvivaUKSupport,2015-10-06T16:25:00,@m_cheesbrough I'm pleased you got through but sorry you had to wait. If you need any help in future please don't hesitate to tweet ~ Dave,651433140003700742
AvivaUKSupport,2015-10-06T18:09:00,"@robinmeltzer Perfect, I hope it's all sorted. Please feel free to drop us a tweet if you need us in future. Have a nice evening ~ Nicki",651459188279873536
AvivaUKSupport,2015-10-06T19:03:00,Good evening for now Twitizens! Have a fab evening and we'll see you bright and early tomorrow at 8am! :) ~ Nicki,651472855931224065
AvivaUKSupport,2015-10-07T06:57:00,Hey guys! Welcome back. The team are here to assist with your #Aviva queries so get in touch if you need us! :) ~ Steph,651652622324232192
AvivaUKSupport,2015-10-07T07:21:00,"@JDPPhotoUK Hi, sorry if our quote is more than you were hoping for! Would you like me to review your details to check this is the best...",651658502994284544
AvivaUKSupport,2015-10-07T07:34:00,"@Natalieeee1990 You're very welcome, have a great time! :) ~ Steph",651661970500898816
AvivaUKSupport,2015-10-07T15:50:00,"@HJOHNHAIR Hi, we can't DM you as you're not following us but if you can DM us your full name, date of birth, post code and policy number",651786627191296000
AvivaUKSupport,2015-10-07T18:23:00,"@LewMitchell1 I do appreciate that, unfortunately 4 years does carry a lesser discount and the increased premium is likely to be relevant...",651825130319015936
AvivaUKSupport,2015-10-08T08:34:00,@andymorris021 ..as soon as possible. Have you got a claim ongoing that you'd like me to chase with our Claims team? Thanks. ~ Marv,652039327841681408
avivaplc,2015-10-08T08:42:00,RT @womenoffuture: Check out page 27 of the Financial Times today! @pinkylilani #WOF10yrs http://t.co/by3Hfks17B,652041468476043264
avivaplc,2015-10-08T13:05:00,RT @theRE100: Going 100%: read about @AvivaUK’s investment in renewables – incl solar PV on its own building http://t.co/gJcXB3obO5 #RE100,652107566743486464
avivaplc,2015-10-08T13:31:00,RT @sarahmorris2015: Excited to see the plans for the @avivaplc digital garage in Singapore @abrem. #fintech #disruption #leadthefuture htt…,652114198529503232
AvivaUKSupport,2015-10-08T13:32:00,@mattgrime Hi Matt. There is a cancellation cost of £40.28 and we'd calculate any refund of premiums paid on a pro-rata basis. Will you..,652114247674109952
AvivaUKSupport,2015-10-08T17:46:00,@nicola150 check these are still correct if you'd like me to? And have you checked out our Aviva Drive app to see if we could save you...,652178353055768576
AvivaUKSupport,2015-10-08T18:14:00,@nicola150 are all correct for the forthcoming year or did you do this on the phone with the advisor? ~ Nicki,652185279843991552
AvivaUKSupport,2015-10-08T18:33:00,"@verlandstores I'm really sorry to see this. Is your policy through a broker? If you DM me your full name, address, registration number and",652190001770418176
AvivaUKSupport,2015-10-08T18:33:00,"@verlandstores telephone number, I'll liaise with the relevant teams and ask them to contact you to discuss. Thanks ~ Nicki",652190073933406208
AvivaUKSupport,2015-10-08T18:34:00,"@nicola150 That's such a shame :( If you have time to give the Aviva Drive app a go, do as it can save up to 20%. If you need anything from",652190339483181057
AvivaUKSupport,2015-10-08T18:36:00,"@murderburgh They can investigate your comments for you. If you'd like me to liaise with them, please DM your full name, address &amp;",652190748692086784
AvivaUKSupport,2015-10-09T09:43:00,@ladyurbanfox I'm really sorry to see this. Would you like me to refer to the Claims team to chase things up &amp; contact you? Or are you..,652419063080206336
AvivaUKSupport,2015-10-09T09:52:00,@ladyurbanfox Apologies again. Feel free to us posted &amp; DM us here if you need us to chase things. Thanks. ~ Marv,652421362758369281
avivaplc,2015-10-09T12:11:00,See Ai Weiwei’s Forever take shape – watch the installation of the latest addition to #London's #sculptureinthecity http://t.co/gjyNHXuThv,652456373054259200
AvivaUKSupport,2015-10-09T13:18:00,@elliotthutchins No problem Elliott. The team are on 0345 030 7077 (same opening hours as our Twitter bio). Thanks. ~ Marv,652473169127862272
AvivaUKSupport,2015-10-09T14:31:00,@molge  number and I'll do all I can to help. Thanks ~ Nicki,652491589659529217
AvivaUKSupport,2015-10-09T14:34:00,@molge  soon as I have an update ~ Nicki,652492440922910721
AvivaUKSupport,2015-10-10T08:00:00,Morning folks! I'm here for all your #Aviva needs today so please pop me a tweet if I can help with anything. Enjoy your day ~ Dave :),652755561537236993
AvivaUKSupport,2015-10-10T08:03:00,"@mikop90 Hi Michael, yep you're covered to drive your old vehicle until you collect your new one. Please tweet if you need anything ~Dave :)",652756369423093764
AvivaUKSupport,2015-10-10T10:51:00,"@JDPPhotoUK email but if you'd like me to check on the policy, please DM me your name, dob, post code and policy no &amp; I'd be happy to ~ Dave",652798547465764864
AvivaUKSupport,2015-10-10T11:35:00,"@morganjury Good choie Morgan, but sorry to see you're on hold. Have we managed to take your call and answer your query? ~ Dave",652809581186445312
AvivaUKSupport,2015-10-10T13:56:00,@Duck_Tweets I'm sorry to see this. Have you spoken to anyone in customer services to see if there's anything we can do? ~Dave,652845035667476480
AvivaUKSupport,2015-10-10T14:16:00,"@vhyland147 Hi Vicky it may effect the price yes, if your policy is due for renewal soon then you wont be able to update it online but I can",652850167633330176
AvivaUKSupport,2015-10-11T09:00:00,"Morning Folks! Here's hoping its as lovely and sunny where you are, as it is here in Norwich. Please tweet me if you need anything ~ Dave :)",653132936833802240
AvivaUKSupport,2015-10-11T12:28:00,"@Nicki_NYC Oh no I'm sorry to see that Nicki. Can you email me at social@aviva,co.uk what happened and please include",653185470063616000
AvivaUKSupport,2015-10-11T12:29:00,"@Nicki_NYC your full name, dob, post code and policy and I'll investigate ~ Dave",653185549243686912
AvivaUKSupport,2015-10-11T12:46:00,"@Nicki_NYC Thanks Nicki, if you want to DM them instead of email I'll look in to it. Cheers ~ Dave",653189951803248640
AvivaUKSupport,2015-10-12T07:00:00,Morning all! Here's hoping you're well. We're back online and here to help so please tweet if you need us ~ Dave :),653465172644888580
