screen_name,created_at,text,id
Benjidav,2015-10-07T06:36:00,@AvivaUKSupport good morning wondered if you could help please,651647235642499072
laurenb_01,2015-10-07T12:42:00,@AvivaUKSupport Fantastic customer service this morning from your team! :),651739283456401408
sammy_h_xx,2015-10-07T13:37:00,@AvivaUKSupport Can I cash my pension in? What are my options?,651753236882395136
LewMitchell1,2015-10-07T18:12:00,@AvivaUKSupport no I have only realised now it is 4 years not 5. But £218? Ridiculously excessive I would understand £50.,651822388661886977
hassanrh,2015-10-07T18:58:00,@AvivaUKSupport useless website trying to renew my car policy but can't seem to find it! And the call centre is closed,651834017814286336
hassanrh,2015-10-08T08:05:00,"@AvivaUKSupport no problem, I phoned up this morning and renewed, so it's all good",652032035150766080
andymorris021,2015-10-08T09:00:00,@AvivaUKSupport my dad is due to be putting through the claim today but thanks for your help Marv,652045936542253056
Cat_1964,2015-10-08T09:41:00,@AvivaUKSupport Thank you so much for your prompt response,652056316479971328
mattgrime,2015-10-08T13:17:00,"@AvivaUKSupport hi. I'm looking to sell my car, is there a cost to cancel my insurance with you? If so, how much?",652110558540468224
mattgrime,2015-10-08T14:37:00,"@AvivaUKSupport sorry no I won't be getting another car as I'm looking to move away. Thanks though, I'll ring up closer to when I'm sure",652130629132251141
amydaynes,2015-10-08T15:14:00,"@avivaplc Hi Aviva. Is your website down? I can't seem to log in, your online chat is unavailable and I can't access the contact-us page.",652139966781243392
nicola150,2015-10-08T18:18:00,"@AvivaUKSupport Thanks Nicki, details are exactly the same with no claims. I spoke to an advisor and lowest offer was still £120 more :-(",652186326868082688
murderburgh,2015-10-08T18:19:00,@AvivaUKSupport do I have to tell them specifically not to give my details out?,652186686378639365
amydaynes,2015-10-08T18:50:00,@AvivaUKSupport I just need to update the address on my husband's account. I'll get him to give you guys a call in the morning. 😊 Thanks.,652194479173201920
murderburgh,2015-10-08T18:50:00,@AvivaUKSupport message sent,652194266056400897
murderburgh,2015-10-08T18:53:00,@AvivaUKSupport sucks that you use a data mining company like Facts International to do research. Does customer data privacy not matter?,652195146621153280
murderburgh,2015-10-08T19:01:00,@AvivaUKSupport http://t.co/XXfMsMRDQN,652197127267971072
colinmead69,2015-10-09T07:31:00,@AvivaUKSupport Hi if I put on social media im on holiday and get broke into am I covered? Thanks..,652385782867623936
colinmead69,2015-10-09T08:51:00,@AvivaUKSupport The reason for the question was this that I saw...http://t.co/IGNuBzEqki,652405899433279488
ladyurbanfox,2015-10-09T09:44:00,"@AvivaUKSupport currently on hold, feeling quite desperate",652419406614691840
patersonpt,2015-10-09T09:53:00,@AvivaUKSupport well I'm clearly a careful driver so you're assuming my car is getting stolen/written off twice a year?,652421732826017794
MarkLeather1,2015-10-09T11:20:00,"@AvivaUKSupport I sent it to Helpdesk@aviva on the 5th. Will forward it on now, could do with a response today",652443473338073088
elliotthutchins,2015-10-09T13:16:00,@AvivaUKSupport Actually I'll phone the renewals team in a bit :) What's their number?,652472752595668992
molge,2015-10-09T14:16:00,"@AvivaUKSupport spent 25 minutes on hold, got put through to my claim handler, they put the wrong number in and the call cut out, fuming!",652487929500147712
molge,2015-10-09T14:35:00,@AvivaUKSupport thanks so much!,652492517498339328
JDPPhotoUK,2015-10-10T10:37:00,"@AvivaUKSupport Hi there, my new policy starts this evening but I haven't been instructed to send through my proof of no claims Do i need to",652795061902647296
PhilSpencer3,2015-10-10T11:55:00,@AvivaUKSupport Just on a call now with you guys! Keep up with the soul music!,652814697700425728
Duck_Tweets,2015-10-10T13:57:00,@AvivaUKSupport Too late. If it can be lower that is the price I should be my renewal price. I shouldn't only get offered a lower price 1/2,652845414698381312
Duck_Tweets,2015-10-10T13:58:00,@AvivaUKSupport if I complain. It's terrible customer service. Someone else can have my business if that's how you treat your customers,652845630843416576
vhyland147,2015-10-10T14:07:00,"@AvivaUKSupport Hi, On my current policy I've just noticed that for the question ""kept overnight"" garage had been ticked instead 1/2",652847979930484736
magicmyerson,2015-10-11T10:08:00,@AvivaUKSupport DM Done.,653150129269153792
magicmyerson,2015-10-11T11:36:00,@AvivaUKSupport Thanks for all your help sorting out my issue. Much appreciated.,653172349341204480
Nicki_NYC,2015-10-11T12:57:00,@AvivaUKSupport email sent!,653192738708582400
lanyardlooter,2015-10-11T19:09:00,"@AvivaUKSupport Quick tweet to say thanks for the Lanyard, very much appreciated :) #lanyard #thanks http://t.co/sUHViFessl",653286276465061888
prime_gary,2015-10-11T20:14:00,@AvivaUKSupport pick up my new car at 5pm Friday. How do I keep my old car insured but then insure the new car from 5pm. Online can only 1/2,653302690697625600
JaneBremer,2015-10-12T08:29:00,@AvivaUKSupport have just DMed the info over. Love the name for the car!!,653487605787529216
becfrancis28,2015-10-12T08:35:00,"@AvivaUKSupport DM sent, any closer to an answer?",653489071789092864
CherryStealer,2015-10-12T09:49:00,"@AvivaUKSupport Hi,  yes. I have already changed repairers. What would the excess be for?",653507766728966144
CherryStealer,2015-10-12T10:05:00,"@AvivaUKSupport Hi Andy, it won't be applicable as mine was a complaint  but I'd like to know when the excess would be applicable",653511689107841024
CherryStealer,2015-10-12T10:18:00,@AvivaUKSupport thank you. Would nissan be classed as approved?,653515030537863168
fatima_alg313,2015-10-12T10:25:00,@AvivaUKSupport @farazzz_ are u gonna give me a discount😩,653516796805423104
fatima_alg313,2015-10-12T10:38:00,@AvivaUKSupport @farazzz_ tf am i gonna do with a amazon voucher 😩,653520137975369728
nats148,2015-10-12T10:57:00,@AvivaUKSupport Thanks Andy I managed to get through to someone :),653524835805609984
AndreaKidd91,2015-10-12T11:10:00,@AvivaUKSupport I have sent you a DM #pleasehelpme,653528285373140992
mcgills2511,2015-10-12T14:07:00,@AvivaUKSupport emailed that address and all they have done is pass it to the idiots at #FriendsLife Thanks for nothing.....,653572638791598080
ante1974,2015-10-12T17:54:00,"@AvivaUKSupport Why is it that you can't send a written statement to an elderly Lifetime Mortgage policy owner, very strange?",653629861861441537
WTC1981,2015-10-12T20:47:00,@AvivaUKSupport you have a few DMs.,653673302737743874
vale_ryan,2015-10-12T22:05:00,"@AvivaUKSupport the moistest of cabbages, Dave, the moistest,",653693075395616768
co5design,2015-10-13T07:34:00,@AvivaUKSupport you promised me an email confirming that you would extort 1 final payment - where is it? Why are you so incompetent?,653836130249502720
becfrancis28,2015-10-13T07:56:00,@AvivaUKSupport Morning! MyAviva still not showing my policy correctly... Just realised it thinks it's 2016!Sorry! http://t.co/RqVkrJmZTA,653841723932680192
teryntarrontino,2015-10-13T08:44:00,@AvivaUKSupport @teryntarrontino,653853906112483328
KirrieGrace,2015-10-13T08:48:00,I already spoke to your Cust Services. I've not claimed for two years and my lease car provider has proven that.  @AvivaUKSupport,653854695073689600
cxm_andy,2015-10-13T09:32:00,@AvivaUKSupport looks like you've forgotten to tag someone here friends :),653865806984556544
cxm_andy,2015-10-13T09:46:00,"@AvivaUKSupport more coffee is always a good shout friends.

I'll keep trying to help you out with the other thing :) :)",653869300135149568
Katie_L_R,2015-10-13T10:16:00,"@AvivaUKSupport 
Got life insurance with you, do I need to  do anything special/inform you about pregnancy/birth?",653876941745950721
fcaidan,2015-10-13T10:57:00,"@AvivaUKSupport Kind of you, but no call needed. Point is general, &amp; my rant has full details: In sum: Have a human answer right away #EndOf",653887376574545920
LukerWelch,2015-10-13T15:02:00,@AvivaUKSupport please can you send me the link to a live chat please :),653949029689225216
LukerWelch,2015-10-13T15:16:00,"@AvivaUKSupport okay, I have a discount code through my employment for car insurance and just wanted to make sure it works before buying",653952576891822080
LukerWelch,2015-10-13T15:39:00,@AvivaUKSupport Thankyou I'll do that now :),653958120125939712
Just_It_Apps,2015-10-13T16:02:00,@AvivaUKSupport Thanks Andy you have been a great help :) i look forward to hearing from you,653963996656193536
jshiell,2015-10-13T17:12:00,"@AvivaUKSupport I’ve now found it via http://t.co/7qU7g2PgnZ, but it’s a touch silly you don’t include this in your emails",653981533217361920
jshiell,2015-10-13T17:24:00,"@AvivaUKSupport that’s great to see - thank you, and thanks for your help =)",653984546380189696
OJayPT,2015-10-14T09:52:00,"@AvivaUKSupport done now Andy, ta",654233198092775424
StuartFreeman7,2015-10-14T12:01:00,@AvivaUKSupport  Why is the 3rd party claim line still down after 6 days?? My broker needs to progress my claim but no one will speak to him,654265865563709440
crag08,2015-10-14T12:16:00,@AvivaUKSupport rang for a quote. To be told im going to have to ring you back... Still waiting awful,654269552868630528
gogetemfloyd,2015-10-14T12:34:00,"@avivaplc @debiodonovan Given more than one in 10 is an idiot, I'm surprised that figure isn't a lot higher…",654274011208286208
katherine_youle,2015-10-14T14:49:00,"@AvivaUKSupport I spoke to a Scottish guy, I don't know who he was but he was very helpful and should be commended 😊",654308127689601024
JoshBarrie,2015-10-14T16:34:00,"@AvivaUKSupport I've been trying to get through to the existing claims department all day which is now shut, what can I do?",654334465880289280
JoshBarrie,2015-10-14T16:54:00,@AvivaUKSupport Cheers!,654339403100364800
barnesy07,2015-10-14T17:04:00,"@AvivaUKSupport Hi, I've just got a letter from you which I never authorised. How can I be removed from your mailing list?",654341946375323649
ante1974,2015-10-14T17:17:00,@AvivaUKSupport Thanks for calling my mum and agreeing to send the letter. I hope all your customers will be treated in this way.,654345386014978049
SkyBlueJay,2015-10-14T17:22:00,@AvivaUKSupport hi I've just DM'd you regarding an incident that happened to me this evening. Could someone come back to me please,654346617252921344
theharval,2015-10-14T17:56:00,@AvivaUKSupport sorry wrong company but thanks for you're speedy response.  It's a 3rd party I needed and have spoke to them thanks,654355096944422913
theharval,2015-10-14T17:59:00,@AvivaUKSupport it's all sorted will consider you for ins you're very quick to respond even though I got the wrong company!!,654355808449372160
DenvMais,2015-10-15T07:24:00,@avivauksupport Thanks. I'll do that.,654558376198848512
Andy7Lawrence,2015-10-15T10:02:00,"@AvivaUKSupport hi, I have a question, please can you follow",654598280219914240
The_Good_Nate,2015-10-15T14:17:00,@VGJames @Shaunlappin @JoelZGibbs priceless response from @AvivaUKSupport,654662492321218564
haleofbay,2015-10-15T16:55:00,"@AvivaUKSupport aw bless you, Aviva trains. You can relax.",654702020998230018
paul5mith1001,2015-10-15T18:18:00,@AvivaUKSupport Thanks :) I'll mull it over about what to wear.#wanttogetoutalive,654722912667070465
becs3004,2015-10-15T19:32:00,@AvivaUKSupport no but I will be downloading it to use in the future 👍🏻,654741768362070016
OddbodsCleaning,2015-10-16T12:17:00,@AvivaUKSupport JUST 2 DAYS TO GO!!! Can you help raise £1000 -we are at £900 - so so close now!!  https://t.co/ov2j6H5UbM - PLS donate &amp; RT,654994447118258176
TopazInsurance,2015-10-16T16:06:00,"@AvivaUKSupport yes please, preferably in the next 10 minutes. 01707653760",655052153824878593
maxoleary1989,2015-10-16T21:08:00,@AvivaUKSupport The app keeps crashing. Something wrong with it?,655128098069979136
stueyriley,2015-10-17T08:14:00,@AvivaUKSupport nothing you can do as someone sold no my details and I still bear the brunt of nuisance calls...,655295724167499776
stueyriley,2015-10-17T08:33:00,@AvivaUKSupport well you already have and dealt with it internally but there is nothing you can do about these calls at my end...thanks,655300636070801408
