screen_name,created_at,text,id
justadreamer,2015-10-06T14:06:00,@Abercrombie that's so true ☕️,651398180958027776
newstoreinc,2015-10-06T20:04:00,"@Abercrombie Hi, if you have a few minutes, visit us at #863 to have a chat about omnichannel technology &amp; the future of retail! #shoporg15",651488193288765440
imrn85,2015-10-07T09:06:00,"@AbercrombieHelp customer service mail said I'll be contacted by the resolution team over my payment issue,been a long while, what to do?",651685107431026688
ronlozada,2015-10-07T13:32:00,@Abercrombie 's best store visited so far. #Abercrombie #A&amp;F #Paris @ Abercrombie &amp; Fitch https://t.co/SJsQxe7xGz,651752033398190081
reem_153984,2015-10-07T13:36:00,@Abercrombie where your shop in dubai?,651752854005395456
luigi9marval,2015-10-07T13:55:00,@Abercrombie http://t.co/LdS2bpR0de,651757854135681024
kuarahy90,2015-10-07T18:10:00,@Abercrombie please shipping me this shirt please to #Paraguay please we don't have a store! http://t.co/0AhivA11Hs,651821856304013312
PaulaAshlee,2015-10-07T19:59:00,@Abercrombie - it’s time for you to get deforestation and human rights abuses #OutOfFashion! Will you listen? http://t.co/EpDYJXwBB8,651849324561743872
Lola_Roma,2015-10-07T20:05:00,@Abercrombie - it’s time for you to get deforestation and human rights abuses #OutOfFashion! Will you listen? http://t.co/lUwAmIJBPm,651850833903157249
ilbrescio,2015-10-07T20:16:00,@Abercrombie - it’s time for you to get deforestation and human rights abuses #OutOfFashion! Will you listen? http://t.co/6cddkMnIXW,651853578240397312
jacintavegangal,2015-10-07T20:30:00,@Abercrombie It's time for your business to stop #HumanRightsAbuses and #Deforestation You're #OutOfFashion,651857108837736448
Co_inne,2015-10-07T20:39:00,@Abercrombie - it’s time for you to get deforestation and human rights abuses #OutOfFashion! Will you listen? http://t.co/z565a0Bkkl,651859299564548096
LizCarlton2,2015-10-07T22:10:00,@Abercrombie - get deforestation/ human rights abuses #OutOfFashion! Will you listen? http://t.co/0qVSj6Aj2n slave clothes are ugly clothes,651882335202344960
neiltdubai,2015-10-08T05:33:00,@Abercrombie It’s time for you to get deforestation and human rights abuses #OutOfFashion! Will you listen? http://t.co/lWyYCKQpFH,651993676227452928
ClareDuerden,2015-10-08T07:10:00,@Abercrombie - it’s time for you to get deforestation and human rights abuses #OutOfFashion! http://t.co/Ps49oKu8Jb,652018206530408448
JessicaNuti,2015-10-08T12:07:00,@Abercrombie - it’s time for you to get deforestation and human rights abuses #OutOfFashion! Will you listen? http://t.co/WDJZFciONF,652092953557467136
Jamv_mexicano,2015-10-08T15:21:00,"@AbercrombieHelp I would like to know the minimum  temperature withstand by the coat WEB ITEM: 104614 and the WEB ITEM: 98885, Thanks you",652141817442381827
