screen_name,created_at,text,id
SinotoCentre,2015-10-07T10:00:00,@Airbus 25 per cent fuel savings~ #AirbusTrivia #A350Finnair,651698571926880257
HkiBuzz,2015-10-07T10:04:00,@Airbus it's 25%! #AirbusTrivia Looking forward to seeing #A350Finnair in Helsinki!,651699635778650112
sochoup,2015-10-07T10:06:00,@Airbus 25% :) #AirbusTrivia,651700006202834944
KokoetteEffiong,2015-10-07T10:10:00,@Airbus 25%,651701073510559748
RRottawa,2015-10-07T10:10:00,@Airbus  #AirbusTrivia #A350Finnair 25% fuel savings,651701059602239488
josiebarosie,2015-10-07T10:11:00,@Airbus #A350Finnair 25% savings,651701330009030656
josiebarosie,2015-10-07T10:13:00,@Airbus 25% fuel savings @Finnair #airbustrivia #A350Finnair #A350XWB,651701759115677696
NgQuanHao,2015-10-07T10:21:00,@Airbus 25% #AirbusTrivia,651704009695227904
Cargobase,2015-10-07T10:27:00,"@airbus #A350Finnair That's 25% savings, come send that plane over. The SQ A380 needs company at the Cargobase HQ! http://t.co/ZkoJk9uFFL",651705510438158336
planemadblog,2015-10-07T10:32:00,@Airbus 25% #AirbusTrivia #A350Finnair,651706696394539008
CathayA340,2015-10-07T10:32:00,@Airbus 25%! #AirbusTrivia,651706734415867904
DogeOkRBLX,2015-10-07T10:36:00,@Airbus 25% #AirbusTrivia,651707732995796992
gwalker9169,2015-10-07T10:36:00,@Airbus 25%,651707632684826624
TanyaSolomon,2015-10-07T10:41:00,@Airbus #A350 25% fuel savings. #AirbusTrivia,651708797724008449
_Ultram,2015-10-07T10:42:00,@Airbus 25% fuel savings. ✈,651709158140592129
thareelwarren,2015-10-07T10:43:00,@Airbus the A350 XWB offers 25% fuel effeciency. #A350Finnair #A350 #avgeek #AirbusTrivia #Airbus,651709397761171456
Scotsman37,2015-10-07T10:44:00,@Airbus 25%,651709670659358720
lucafizzarotti,2015-10-07T10:58:00,@Airbus about 25% #A350 #A350Trivia,651713167681318912
askontio,2015-10-07T11:17:00,@Airbus 30% #AirbusTrivia,651717862768418817
IvanNavarro96,2015-10-07T11:18:00,@Airbus 25%!! #AirbusTrivia ✈A350,651718176301035520
Boeing76F,2015-10-07T11:29:00,@Airbus 25% #AirbusTrivia,651720999507988480
OswaldoJDL,2015-10-07T11:46:00,@Airbus #A350 XWB offers fuel savings about 25% https://t.co/qgOk2GsNyQ,651725371268837377
tujuhtigatujuh,2015-10-07T11:53:00,@Airbus beautiful!,651727033320366080
robjones87,2015-10-07T12:03:00,@airbus 25% fuel savings #A350Finnair,651729522665091072
Rasta_Knight,2015-10-07T12:22:00,@Airbus 25% #AirbusTrivia,651734312023379969
frogspix,2015-10-07T12:23:00,@Airbus #AirbusTrivia #A350Finnair 25% as said by CEO Fabrice Bregier !,651734577644498944
LawHammer21,2015-10-07T12:24:00,@Airbus 25%  #Airbustrivia,651734940376240128
KatJohanna,2015-10-07T12:30:00,"@Airbus Welcome home, #A350 !!  😍 @aeroport_tls @HelsinkiAirport",651736328137232385
zulienz,2015-10-07T12:30:00,@Airbus Pas trop triste de voir le bébé partir? 😉,651736354276175872
RicardoDelpiano,2015-10-07T12:35:00,@Airbus 25% #AirbusTrivia,651737514462593024
GhislainTaddei,2015-10-07T12:37:00,@Airbus 25% of course #AirbusTrivia  #A350Finnair,651738049496395776
diego_tomasino,2015-10-07T12:43:00,@Airbus 25% #AirbusTrivia,651739565217181697
zulienz,2015-10-07T12:55:00,"@Airbus Par la même occasion, j'apprends que le bébé est une fille 😉. On doit dire ""une"" A350 alors? 😏",651742593143992320
mokaryo,2015-10-07T13:13:00,@Airbus 25% or twenty-five percent #AirbusTrivia,651747125114482688
DanielArceoPrec,2015-10-07T13:50:00,@Airbus @Finnair,651756391598682116
grabantmilan,2015-10-07T14:05:00,@Airbus 25% :D  #AirbusTrivia,651760268452732929
worldtrip79,2015-10-07T14:13:00,@Airbus 25% great saving,651762323850330112
sabre999ukair,2015-10-07T14:22:00,@Airbus #AirbusTrivia 25%,651764499968565248
PatiAviation,2015-10-07T14:26:00,@Airbus 🏠&gt;🚖&gt;🚋&gt;🚄&gt;🚉&gt;🛄&gt;🛃&gt;🛂&gt;🕙&gt;💺&gt;✈️🇫🇮&gt;🇫🇮,651765613954646016
Spencerjohn7,2015-10-07T15:24:00,"@Airbus 25% less fuel per seat mile....while looking gorgeous too!!!
#A350Finnair",651780043681714181
Ndschmid,2015-10-07T15:35:00,@Airbus 25% #AirbusTrivia,651782857820663809
madmommy,2015-10-07T16:11:00,@Airbus files patent for double seating. This image shows how foot and other body odors will travel in the cabin. jk http://t.co/xEUy1eZkv8,651792014489464836
anderssonleumas,2015-10-07T16:33:00,@Airbus 25% fuel savings 😊 #AirbusTrivia,651797602208489473
Ahmed_Touzii,2015-10-07T18:09:00,@Airbus La classe !!,651821673562439680
Blardone,2015-10-07T18:17:00,@Airbus A M A Z I N G ! Good luck in all skies of the world!,651823726384779264
avgeekanthony,2015-10-07T18:52:00,@Airbus 25 % #AirbusTrivia #A350Finnair,651832480346075141
DavidJonesGB,2015-10-07T19:11:00,@Airbus A 25% improvement is not to be sniffed at. 👍,651837165358465024
Alhpa_uno,2015-10-07T19:20:00,@Airbus 25%,651839473081315328
Gianluca_A350,2015-10-07T19:36:00,@Airbus With #A350 XWB you can save more 25% fuel with fuselage of 70% advanced materials and efficient engines (RR Trent XWB) #AirbusTrivia,651843643955916800
_purpleface,2015-10-07T19:39:00,@Airbus 25%,651844261047103492
SandraMLageSure,2015-10-07T20:54:00,"@Airbus @Finnair #A350XWB. http://t.co/BE5b3GaRyU""",651863251052011520
cptklutz,2015-10-07T22:38:00,@Airbus @pekkavau @Finnair @A350fans @HelsinkiAirport Touchdown at HEL http://t.co/OqgwR5WWV5,651889435622117376
RonNewsDay,2015-10-08T00:41:00,"@Airbus Files #Patent for Split-Level Passenger Seat Design http://t.co/8BZBSSqExA

#travel #industry #aviation #business #flying @NTSB",651920421969747968
eyeRbee,2015-10-08T02:52:00,@Airbus @Airbus 25% over equivalent wide bodies in service such as the 777 300ER.,651953391107641344
Jirbee05,2015-10-08T05:12:00,@Airbus 25% :) #AirbusTrivia,651988588171669504
ZakSpotter,2015-10-08T07:27:00,@Airbus 25% #AirbusTrivia,652022483848167424
