screen_name,created_at,text,id
AWAREIPCALS,2015-10-14T19:43:00,@google @Starbucks @KimReynoldsIA @ChelseaClinton : Parents and families have great impacts on empowering children to achieve their dreams.,654382129980116994
shawe,2015-10-14T20:27:00,@google can you try to reduce battery drain? http://t.co/fgpeovFwRe,654393136073060352
ararog,2015-10-14T20:29:00,@google wth! http://t.co/ewymBxwtGv,654393585589190656
chrisdonlon1,2015-10-14T21:35:00,"@google awarded #patent for design of contact lens with sensors, memory, microprocessor &amp; solar power, why would i need a phone or watch?",654410156290080768
sunilbharatpur,2015-10-15T05:10:00,@google @GoogleFacts What's this? https://t.co/n39wfAwdTL,654524636407926784
syedsan11,2015-10-15T08:47:00,@google @ghc @NatAndLo,654579243028840448
28aa3f86188c4af,2015-10-15T10:51:00,@google http://t.co/2uW2H9mwM9,654610553445335040
CaratIreland,2015-10-15T11:57:00,@google with these cupcakes you really spoiling us! Having a great day the Carat Connects Event http://t.co/qF0IzNPvOu,654627096334082048
goandychurch,2015-10-15T12:13:00,@google Would like to send reminders to Google contacts for Now notifications. Will need permissions and queuing to slot and limit. thx,654631170370461696
JollyVeronica,2015-10-15T13:00:00,"@google Why People Are Still Offline
http://t.co/li29F6s9R6",654643130659115009
Nunnsby,2015-10-15T13:03:00,@google @googleresearch @Microsoft @MSFTResearch Please get on-board with sponsoring @letsencrypt for a FREE and SECURE Internet! :),654643848816250880
DimensionalDmon,2015-10-15T13:18:00,@google I need help,654647626978033664
yangeunjin85,2015-10-15T15:35:00,@google google. Mobile drag.search.not easy. Try drag up.search. notcomport.,654682081314762752
joecase_,2015-10-15T15:55:00,@google @googlechrome @googledrive @GoogleUK Get your company sorted pls... http://t.co/YUvPCPnVM5,654687003649290240
salve_sons,2015-10-15T16:10:00,"@google #google ""We've limited the information we provide"" because we are a black box ripoff and if we gave details we couldn't rip you off.",654690753784909825
halosmartlabs,2015-10-15T16:55:00,"@Google’s first router is the key to new smart homes. #smarttech #homeautomation  
 http://t.co/AXHxloaffA",654702215118979072
riazrahaman,2015-10-15T17:02:00,@google @sundarpichai Are you kidding me !!! http://t.co/ApKS7ynsnw,654703993487097856
koentjeeh_frohn,2015-10-15T17:35:00,"@google hey google, ur awesome!",654712254554738688
obiadekanobi,2015-10-15T17:37:00,"@google this is just not acceptable as a welshman, our @WelshRugbyUnion team is no 2 in the #world http://t.co/YAUeXSoAOc",654712832940879872
CorbinsHeart,2015-10-15T18:38:00,@google Today is Pregnancy&amp;child loss awareness day.It would be amazing if you could help us share by using #gopinkandblue.honor the babies!,654727980124499969
jamasghar100,2015-10-15T19:03:00,@google  google  should  translate  urdu language  as well.,654734449582538752
DeesChiro,2015-10-15T22:01:00,"@google @yahoo #victordees #victorldees #drvictordees @victorldees @victordees @wordpress @atlanta #ATL
… [pic] — https://t.co/Xod60ZQgXt",654779170107453440
JohnAVeltri,2015-10-15T22:04:00,@google tops list of most In Demand companies to work for http://t.co/tk4pOQJh1g #career,654779917272379392
jimrogersenergy,2015-10-15T22:20:00,@Google providing high speed access to Ghana’s cities. http://t.co/JhGS8Ocf8g The big challenge is electricity for rural poor.,654783843430371328
elleBOOGS,2015-10-15T22:22:00,@google Google is officially the love of my life. I'm prepared to shout it from the mountain tops. #love #Google,654784544566960129
