screen_name,created_at,text,id
AudiUKCare,2015-10-06T12:16:00,"@janeywoo Hi Jane, it means a bulb has blown and needs replaced. Your local Audi Centre will be able to assist you: http://t.co/owtA8X477H",651370438606594049
AudiUKCare,2015-10-06T14:16:00,"@CCavagin Hi Chris, we're sorry to hear that you're upset. Could you DM us more details, as we'd like to try and help? Thank you.",651400697326514176
Audi,2015-10-06T21:36:00,"@brochelll  Hello Rochelle.  We would like to learn more about this,  Please provide us with your VIN and contact information in a DM.",651511485831737344
Audi,2015-10-06T22:33:00,4 rings. 3 generations. 1 undeniable truth—there’s nothing quite like an #AudiTT. http://t.co/3kgH4wRnr0 http://t.co/ocEdMskOoI,651525592718921728
Audi,2015-10-07T01:58:00,@JosephVona For good reason. Are you soon-to-be owners?,651577293417119745
AudiUKCare,2015-10-07T10:59:00,"@Gibbo8 Hi Steve, can you DM us more details so we can see if there's anything we can do? Thank you.",651713494811836416
AudiUKCare,2015-10-07T11:28:00,"@bobbylord1 Hi Bobby, we're sorry to hear you're upset. Could you DM us more details? We'd like to try and help. Thank you.",651720730044944384
AudiUKCare,2015-10-07T12:04:00,"@RobertSeager62 Hi Rob, we're sorry to hear this. Have you had a chance to speak to your local Audi Centre about this?",651729797039693824
AudiUKCare,2015-10-07T12:13:00,"@SophieNorman09 Hi Sophie, we're sorry to hear that you're unhappy. Could you DM us more details please as we would like to help?",651732099754532864
AudiUKCare,2015-10-07T12:21:00,@startsoftware We're sorry to hear this. Did you have a chance to speak to our Customer Care team?,651734029084033024
AudiUKCare,2015-10-07T13:56:00,"@startsoftware Could you DM us your full name and case number, so we can locate you on our system? Thank you.",651757986239676416
AudiUKCare,2015-10-07T15:24:00,"@Prawnie11 Hi Shaun, as previously requested, please DM us your contact number, so we can raise a call back request with Doncaster Audi.",651780198132805636
AudiUKCare,2015-10-07T15:34:00,"@The_No1_IT_Girl Hello Hayley, we're sorry to hear this. Could you DM us more details as we'd like to try and help? Thank you.",651782770587471872
Audi,2015-10-07T17:38:00,@atuljaggi1 Please contact our colleagues @AudiIN  for assistance.,651813951894876160
