screen_name,created_at,text,id
CoachStalls1,2015-10-06T19:00:00,@Audi And after the trial period you only pay $100 per 5GB data used!!! #WTF,651472057096499201
Urbe_redaccion,2015-10-07T00:20:00,"@Audi En 2016, #llamado a #revisión de #autos #VW con #motores #trucados
http://t.co/UaQ6cTQMxs #VWGate #VolkswagenScandal",651552679253135360
JosephVona,2015-10-07T01:17:00,@Audi we're loving the Q5! http://t.co/MpoDAqdfzg,651566956101939200
maria_lollis,2015-10-07T02:31:00,@Audi Fact: I WAS BORN DEAF! GOD healed Me! Just sharing a piece of my soul in song! :) Enjoy plz RT thx https://t.co/rcss2MMocg,651585533924110336
corycornell62,2015-10-07T04:10:00,"@Audi let's video chat on ooVoo! 
https://t.co/x0JuxjmSUL",651610632802865152
JATO_Dynamics,2015-10-07T09:45:00,@Audi #A3 sales regs in #Europe. #Germany &amp; #UK count for +50% of total #carsales #automotive @autobild @amsonline http://t.co/ngCqz5zlkI,651694821661364224
NW_503,2015-10-07T17:30:00,@Audi cold option ever coming out for the seats?,651811770546282496
sexxophone,2015-10-07T21:12:00,@Audi @DanSkelton2312 @rihanna @lvdxo,651867711815847936
seeverist,2015-10-07T22:33:00,@Audi Now just do it as a plug-in hybrid that can go 30 or miles per charge. Need something between the A3 and Q7 in plug-in hybrid.,651888169529380864
UNabaga,2015-10-07T23:57:00,@audi,651909194400985088
Urbe_redaccion,2015-10-08T00:33:00,"@Audi #Planta de #Puebla cumplirá con #normas #ambientales: @AudiMXNews
http://t.co/zMKMKr3DAk",651918346158493696
udouseless,2015-10-08T00:36:00,"@Audi
@Audi_Online
@SKODAUK
@SKODAUK_Media
@vwgroup_en
@SEAT_cars_UK
@SEATOfficial
@VW_Wolfsburg
The VWGroup can be never #trusted
#Criminal",651919009118560256
HolmesEllis,2015-10-08T10:03:00,@Audi @Greg_Parkes,652061808191238144
AmeenAlmomen,2015-10-08T11:26:00,"@Audi
Hello I have purchased new q7 in Saudi Arabia
I cannot found Audi mmi in my car
So install sim card ,please show me",652082557752901632
Urbe_redaccion,2015-10-08T20:38:00,"@Audi Tiene #Volkswagen capacidad para #corregir #rumbo: @RafaMorenoValle
http://t.co/7Hs1gl2ezf #VWGate #VolkswagenScandal",652221563924795394
jennisms2,2015-10-08T21:21:00,@Audi .Thank u for not fixing the 07 turbo that went bad at 60000 miles and think it's normal,652232455647313920
jennisms2,2015-10-08T21:23:00,@Audi thank you for not caring I spent $10000 for an oil leak in same 07 audi and it's my fault as I was told bcs I used my own mechanic,652232769234423812
NasirHR,2015-10-08T22:09:00,@Audi what’s the difference between A8L 4.0 and tfsi 60?,652244549629267970
Bignose996,2015-10-09T03:54:00,@Audi and @AudiAG heads discuss how to handle #VW's #Diesel problem #TDi #Issues http://t.co/ihVwcOvkNA,652331193594183681
sphiwe80989065,2015-10-09T09:51:00,@Audi @lynnhaaa very nice BT pls may I ask u guy for job because I have liesense with PDP my liesense code is c1 that 10 thanks.,652420994896896000
fpjindia,2015-10-09T12:30:00,"@Audi , @Volkswagen to conduct voluntary recalls in #Australia
http://t.co/YPayavYvwA http://t.co/Bcn2NuPWq1",652461168829689856
infogatecl,2015-10-09T12:33:00,"@Audi Si tienes un #VW, #Audi o #Skoda diésel esto es importante para tu seguridad http://t.co/aqGbNC8LY6",652461987239194624
MunsifZaira,2015-10-09T22:34:00,@Audi I gotta get me one of these #goals,652613102391963649
A_ALSENAN,2015-10-09T23:01:00,@Audi sexy😍🚗,652619834128076802
SaluteDeezNuts,2015-10-09T23:04:00,@Audi TT i love this car,652620624943296512
TommyCleary32,2015-10-09T23:47:00,@Audi do audi still make the r8v10+,652631511846490116
PFlores92,2015-10-10T01:08:00,@Audi for a huge foreign car brand you guys have some shitty fucking wifi,652651903235420160
3bigbadblack,2015-10-10T08:38:00,@Audi Audi Cool,652765240799703040
