screen_name,created_at,text,id
bagpiper1980,2015-10-07T12:11:00,@BAESystemsplc commercial CDY keeping me on my toes today! All good though,651731598270943233
alyshaisanerd,2015-10-10T10:21:00,@BAESystemsplc I can't apply for a job! I keep getting an error message! #help,652791102303522816
hirosetyou14572,2015-10-10T14:49:00,"@BAESystemsplc 　Japan International Aerospace Exhibition 2016 (Oct.12-15, 2016) https://t.co/eQhef7jGQP  @YouTubeさんから",652858539229097984
LucsandraGPetre,2015-10-10T20:43:00,@BAESystemsplc this system's view has so much to do with the strategy!,652947666800873472
LucsandraGPetre,2015-10-10T20:46:00,@BAESystemsplc through the strategy an organisation can layer many environments differentiated through interferences,652948324073500672
LucsandraGPetre,2015-10-10T20:47:00,"@BAESystemsplc I can imagine that an organisation that can deliver such an innovation, has an approach towards making ships to disappear!",652948583415697408
LucsandraGPetre,2015-10-10T20:48:00,"@BAESystemsplc I'm not launching false expectations this organisation can give, I'm basing my thinking on this prototype innovated",652948835719872512
LucsandraGPetre,2015-10-10T20:49:00,"@BAESystemsplc Essentially for me is to think further than this development! what changes can I see in time having been ""injected"" already",652949157343297536
LucsandraGPetre,2015-10-10T20:50:00,"@BAESystemsplc with the idea that lots of people can think solutions by identifying changes in advance, because this is what the technology",652949357017305088
LucsandraGPetre,2015-10-10T20:51:00,"@BAESystemsplc is about, and I like the location-filtered search thinking I can make use of looking at this prototype of ship!",652949595086045184
MaxRotor,2015-10-11T19:55:00,@BAESystemsplc will unveil its 'expeditionary light tank'. For army Mobile Protected Firepower capability #AUSA2015 http://t.co/VSJwKE0MJr,653297859761176576
sweeneygov,2015-10-13T12:09:00,"@BAESystemsplc did respond to the Norwegian artillery RFI in August 2014 despite the fact Norway withdrew from Swedish Archer
@ShephardNews",653905481308762112
Apprenticeships,2015-10-13T20:30:00,@BAEsystemsplc Award for Large Employer of the Year in South West goes to South West Water Limited. Congratulations! #AppAwards15,654031551366361088
UllswaterCentre,2015-10-14T08:03:00,@BAESystemsplc @OutwardBoundUK Self Programmed Abseil - Apprentice delegates operating at a high level CH http://t.co/zjWptKYyf0,654205921153941504
mikeyb7248_burt,2015-10-17T18:41:00,"@BAESystemsplc @Naval_IMarEST @ASVLtd Remember a forerunner of this in the mid sixties, the Ryan Firefish, HMS Terror Singapore.",655453486876901377
DorsetRebel,2015-10-19T10:04:00,@BAESystemsplc @LabourNHSJAN He would say that with the monopoly his company has in the UK,656048235325321216
BrianRooikatz,2015-10-21T17:28:00,"@BAESystemsplc Nice ....... And how many have China already ""borrowed""?",656884839677825024
UllswaterCentre,2015-10-22T15:39:00,@BAESystemsplc enjoying a jump in the lake after expedition CH https://t.co/4ZeipccrtV,657219835865268224
projectSEDA,2015-10-23T11:13:00,@BAESystemsplc great sentiment of your company and hope to see more #OpenInnovation working and allowing #SMEs to own IP,657515287877677056
NSAForum,2015-10-25T15:10:00,"@BAESystemsplc Uses #IDT Technology to Develop New Space-Grade Chip to Speed Data
https://t.co/rronpiZDPR https://t.co/tTALpGwUSx",658299660717694976
DanMoss15,2015-10-26T16:28:00,"@BAESystemsplc Do you happen to know when the Humberside Apprentice applicants, will get the results of the interview stage ? :)",658681520547364864
FHF1419,2015-10-26T22:21:00,@BAESystemsplc We need Yr help convincing 250 businessmen to pledge each 1.000£. https://t.co/bVlPgyA1wt … https://t.co/mDzhKeGvnM … #WW1,658770327120584704
IndustrialCadet,2015-10-27T08:35:00,@BAESystemsplc today @TheEDTUK launch Routes into STEM programme which #IndustrialCadets is accrediting at Bronze level. Good luck.,658924950586302464
BoltonYMCA,2015-10-27T20:26:00,"@BAESystemsplc hi, can you follow us? A youth charity helping Bolton young people since 1884 #BYMCA",659103855926517760
Apprenticeships,2015-10-27T20:46:00,@BAEsystemsplc Award for Large Employer of the Year in East of England goes to MBDA Congratulations! #AppAwards15,659108997925085188
Poohb88,2015-10-28T15:10:00,@BAESystemsplc BAES Systems provides superb equipment &amp; systems to both counter the physical &amp; cyber threats!🇺🇸👍,659386832249946112
IndustrialCadet,2015-10-29T08:31:00,@BAESystemsplc today @TheEDTUK Routes into STEM programme see young ppl graduate as Bronze  #IndustrialCadets after 3 days activities.,659648794720645120
