screen_name,created_at,text,id
b0e78522acc14f2,2015-10-09T03:41:00,@BofA_News. The xy chromosome doesn't change.,652328094813061120
KarolinaProjekt,2015-10-09T18:49:00,"@BofA_News whoever stole copies of ""@Rockefeller_Chi""Heiress/""@JFKLibrary""Kin/@USAgov AUTH/Hostage Financial Docs 2 pay RAN$OM 2 B charged.",652556552348508160
trichards848,2015-10-10T20:55:00,"@BofA_News Great cooking tips ad campaign. Add lemon to guacamole? Did you invent that? Beef, chicken, turkey AND veggie sliders? Bold stuff",652950537881563136
Original_Maven,2015-10-11T15:33:00,"@BofA_News 

Women must be paid equally &amp; have equal opportunity.

VOTE @BernieSanders http://t.co/MPqMHgJwHi",653231917542707200
debtanchor,2015-10-12T20:58:00,@BofA_News @lisacapacd @CAPACD With those of us this bank has harmed in their foreclosure process and @FannieMae you should be closed.,653676035649597440
b0e78522acc14f2,2015-10-13T14:52:00,@BofA_News @shurifukunaga. Predatory banking practices by bank of America. Selective overdraft processing of your checks.,653946374640259072
Gdguilder,2015-10-13T16:59:00,@BofA_News wile stealing homes from Americas via robo-signing #evilGREEDYpricks pricks with a lower case p. http://t.co/haGkXQNy98,653978500148297728
JustinDorsen,2015-10-13T19:09:00,"@BofA_News Yes, I would definitely go back home if i forgot my smartphone. #BofAMobility.",654011201287004161
andhanni,2015-10-13T21:06:00,@BofA_Help I can't understand why BOA lacks a process to refresh upon request a Debit Card w/o shutting down my current card.,654040655816060928
kneekneele,2015-10-13T21:25:00,@BofA_Help nah stop tweeting me,654045252320256000
b0e78522acc14f2,2015-10-13T22:10:00,"@BofA_News @TheBanker @joymacknight. Predatory banking practices by bank of America. Selective overdraft processing, senate banking",654056538571710464
PookEveryday,2015-10-13T22:35:00,@BofA_Help yall really wanna know,654062876806770688
HungSolo615,2015-10-13T22:51:00,@BofA_Help requested a new debt card on 10/3/15 and got the email confirmation on 10/5. It is 10/13 today and I still haven't gotten my card,654066901149175808
HungSolo615,2015-10-13T23:47:00,@BofA_Help 7-10 days or 7-10 Business days ?,654080930085257219
bobnweave,2015-10-14T00:31:00,"@BofA_Help I love that this is the answer from an official @bankofamerica account. Not we made a mistake, it's the customers fault",654092196191166464
SucculentWife,2015-10-14T01:13:00,@BofA_Help I am an hold with a rep. 39 min and counting.,654102619372187648
anaeeess,2015-10-14T03:01:00,@BofA_Help fixed :-),654129832461078528
BlairCadet,2015-10-14T04:36:00,"@BofA_Help having an account with you was like being in an abusive relationship, I finally left, bye! #bank #BankofAmerica #TooBigToFail",654153900329537536
RussellRead,2015-10-14T13:46:00,@BofA_Help hi ^av - I have DM'd you.,654292262071980032
mythaisunrise,2015-10-14T14:45:00,@BofA_Help now @30 min waiting on the phone no live person and I have to hang up and go to work. I HATE THIS BANK #BankofAmerica,654306970598404098
CarasikPFS,2015-10-14T15:46:00,@BofA_Help Finally got through. You weren't able to help. I have to make time to go to a branch.,654322376293908480
sophillyguy,2015-10-14T15:59:00,@BofA_Help just trying to gat an auth lifted on a debit card for a customer. Now 8 transfers in.,654325587595669504
tamaraleighllc,2015-10-14T16:06:00,Got it resolved! Thx - Just a long wait time. :( @BofA_Help,654327432535777280
Ademseker21,2015-10-14T17:18:00,@BofA_News @ErikSchatzker @BloombergTV,654345463676715008
sh,2015-10-14T17:19:00,@BofA_Help I didn't have a problem. I was just commenting on your robotic language! I'd love to help YOU fix it!,654345901687726080
_blanketthief,2015-10-14T17:56:00,@BofA_Help is severely unhelpful. Waiting 40 minutes now.,654355188787085312
kylegolfmtnbike,2015-10-14T19:52:00,@BofA_Help you folks don't respect or want to help with issues all you want to do is deliver piss poor customer support.,654384384854855680
TheLionShane,2015-10-14T20:09:00,@BofA_Help thx done.,654388482509533185
KoRnoholic,2015-10-14T20:23:00,"@BofA_Help not as of yet, but a lady just answered and is currently looking into it. Thank you for the response.",654392169441026049
dragonbait205,2015-10-14T20:53:00,@BofA_Help I was. I just had to download the app again. Thanks!,654399587038289921
I_amkitty3,2015-10-14T21:24:00,@BofA_Help yes. No issue. Thanks.,654407477165953024
EmilyJonse,2015-10-14T21:25:00,@BofA_Help they are of no help,654407680304545792
bodyincite,2015-10-14T21:38:00,@BofA_Help Need your help!,654411050398257152
chlorinemuxer,2015-10-14T22:12:00,@BofA_Help I need help with my account and the phone reps aren't helping,654419410652819460
JasmineAguilar,2015-10-14T22:18:00,@BofA_Help if I want to purchase something from Mexico why is my card not going threw.,654421128933322752
MirandaPurcell,2015-10-14T22:40:00,@BofA_Help in australia and my parnter just got an email saying account open card on way to address in florida. Worried about identity theft,654426485155991553
Mr_Burundi,2015-10-14T23:45:00,@BofA_Help no,654443049771212801
AbdulazizQasim,2015-10-14T23:46:00,"@BofA_Help
No need for calls back and forth, everthring is well explained in the twitter secure message sent to U, plz check UR mailbox",654443141685096448
RuthBradford,2015-10-14T23:56:00,@BofA_Help I love the after hours teller help desk.  You guys just keep getting better and better. http://t.co/EqCzfelKZg,654445744041013249
blamberr,2015-10-15T00:59:00,@BofA_Help That happened like eight years ago. The people at the bank were the worst people on earth. I closed my account on the spot.,654461524522704896
Richardleal1981,2015-10-15T03:20:00,@BofA_Help hello,654496998653980672
b0e78522acc14f2,2015-10-15T11:00:00,@BofA_News. Predatory banking practices by bank of America. Selective overdraft processing,654612811155394561
kg4hunnid,2015-10-15T12:49:00,@BofA_Help I did it last night but thanks 🤑,654640324623638529
ItsBirdBaby,2015-10-15T14:22:00,@BofA_Help no I was not able to resolve this issue,654663626511355908
NebraskaJonesII,2015-10-15T14:31:00,@BofA_Help this has nothing to do with my account and has everything to do with Big Banks and our lack of regulations on you all.,654665924717359104
lromero_1022,2015-10-15T14:33:00,@BofA_Help I spent two days to get my money.,654666357594652672
NancyinVa,2015-10-15T15:14:00,@BofA_Help The BoA customer service when calling from Italy is no help. Put on hold for over 10 minutes. I finally hung up.,654676659975548928
eht109,2015-10-15T16:10:00,@BofA_Help trying to add my boa debit card to Apple Pay and it keeps giving me an error msg it couldn't be added?? Help plz!,654690771702972416
rebeinstein,2015-10-15T16:23:00,@BofA_Help how about make it easier to reach an articulate human on the phone? That would be a great start!,654694113288192001
JohnnyMcClain,2015-10-15T17:28:00,"@BofA_Help Greg Giggie II, Old Town, ME 04468. for starters, it'd be just as easy for me to chat now on my computer &amp; figure it out, thanks",654710454929895424
Josephmontero32,2015-10-15T17:37:00,@BofA_Help my money hasnt been transferred to my account.,654712627491303429
TMTYL,2015-10-15T17:52:00,@BofA_Help Impossible to get through to debit card fraud support for business. Called multiple times wasting over an hour of my life. .,654716583688802304
Jellybean0220,2015-10-15T18:26:00,@BofA_Help I Sent a direct message,654725122272555008
iyamiyam,2015-10-15T18:37:00,"@BofA_Help Yw, but I still haven't been able to do anything with it yet.",654727744429817856
