screen_name,created_at,text,id
mrTallents,2015-10-13T20:53:00,@BarclaysUKHelp thanks 4 reply yes updated on a replacement phone today. Entered all the correct details 4 times each time same message.,654037170542481409
TKasinski,2015-10-14T09:17:00,"@BarclaysUKHelp your www saying I can use Pingit app for business , however your app explicitly say ""use pingit only with personal account""",654224484392677376
chelseafc200,2015-10-14T10:00:00,@BarclaysUKHelp has any bank accounts been affected by this hacking situation that has just occurred in the @itvnews,654235232917393409
TKasinski,2015-10-14T12:06:00,@BarclaysUKHelp only partial help :( They cancelled my registration but still asking me to use an app which is not possible for business!?:(,654266991902068736
JupiterSmith,2015-10-14T12:52:00,@BarclaysUKHelp of course. The multiple choice asked me the month 'pauline' was born in... her name is Paula. And the address was also wrong,654278621629181953
mrschalkyy,2015-10-14T12:55:00,"@BarclaysUKHelp i don't have online banking, it's about an old account",654279327736066048
JupiterSmith,2015-10-14T13:13:00,@BarclaysUKHelp she was extremely apologetic and directed me to the mobile app where I wouldn't face the same line of questioning,654283805822439424
MartinMcAndrew,2015-10-14T14:10:00,"@BarclaysUKHelp Ewelina from Bournemouth hopefully sorted 5 calls, 3  visits... fingers crossed.  The premier advisor never showed up",654298190754246656
TKasinski,2015-10-14T14:25:00,@BarclaysUKHelp Well that's what I know but why your website giving false information?,654302094300717056
TKasinski,2015-10-14T14:44:00,@BarclaysUKHelp just say sorry and let the web-master edit the website because it confuses customers. THERE IS NO PINGIT APP FOR BUSINESS!!!,654306713399599104
rogered98295566,2015-10-14T17:15:00,@BarclaysUKHelp thank you for Your prompt reply.  I'll get one ordered tonight,654344809277227008
NathanLewis1987,2015-10-14T21:40:00,@BarclaysUKHelp how much as online banking changed since the first ever version was released to customers?,654411558378979328
JupiterSmith,2015-10-14T21:54:00,@BarclaysUKHelp doesn't fix the problem. Or the fact I should have been able to do it in a Branch!,654415129455538177
22rand,2015-10-15T03:17:00,@BarclaysUKHelp That is nonsense and irrelevant. What is relevant is that I have been unable to enjoy my holiday because of this,654496391776051200
Speaking_Rabbit,2015-10-15T09:34:00,@BarclaysUKHelp plz chk ur dm,654591175911804928
knealschocolate,2015-10-15T10:01:00,@BarclaysUKHelp Thank you for the response. Still a BIG inconvenience when you're trying to finish orders on time.......,654597889012969472
ortwentythree,2015-10-15T10:04:00,"@BarclaysUKHelp Appreciated, but going into a branch (not Barclays customer) is a major inconvenience, why not just send me an unlock code?",654598778146672640
JayHampson5,2015-10-15T10:16:00,@BarclaysUKHelp yeah. The guy apologised. But figured I'd bring it to attention so next time the call staff know what they're saying,654601665128067072
Charlie_Martin_,2015-10-15T12:00:00,"@BarclaysUKHelp no I didn't, they said if I request a new one it should be contactless tho 🙏🏻",654627822061907968
jamdaw,2015-10-15T12:22:00,"@BarclaysUKHelp hey, is it possible to get a personalised debit card with contactless pay? If not I'd like to switch to regular card.",654633318097526784
Matt_B_7,2015-10-15T14:15:00,@BarclaysUKHelp yeah its being sorted thank you :),654661758808813568
AshleyHayesssss,2015-10-15T14:46:00,@BarclaysUKHelp in other words neither were logged and they've cheekily put my first as closed when it was open and second was closed..,654669558968483840
JayHampson5,2015-10-15T15:17:00,@BarclaysUKHelp no worries. Hopefully the next person gets the right advice the first time haha,654677602477568000
MattGarswood,2015-10-15T15:57:00,@BarclaysUKHelp when are you doing the Apple Pay?,654687559650422784
AshleyHayesssss,2015-10-15T16:05:00,"@BarclaysUKHelp it's been resolved now, lovely chat with a member of staff once I got through. Thanks for your help I'll respond too",654689584261955584
BestBroadsYacht,2015-10-15T16:51:00,@BarclaysUKHelp Problem with a Purchase Plan that yr online service could not resolve. Advised me to 'phone. Now you advise online!,654701139359694848
curvychorister,2015-10-15T17:28:00,@BarclaysUKHelp complaint registered but he said I wouldn't get any charges back,654710515046813699
Chelsea_nemo,2015-10-15T18:05:00,"@BarclaysUKHelp I've had quite a lot of money taken out of my bank, nothing has been resolved after an hour on the phone",654719671501848576
DanielHutch100,2015-10-15T20:00:00,@BarclaysUKHelp no how can I do this they weren't to bothered I was cancelling it,654748591035039745
katielouisemo,2015-10-15T21:04:00,@BarclaysUKHelp @bpfcustomercare I've made a lump sum payment to you but you carnt find it no one is helping me you are affecting my credit,654764885465673728
fwz_mhmd,2015-10-15T22:56:00,@BarclaysUKHelp I dont need the helpdesk if you cant help im good. Thanks.,654792926438952960
gracieart67,2015-10-16T06:58:00,@BarclaysUKHelp we took a loan out raised a claim on our purchase but BPF did not ask us if resolved they asked company we had issues with!!,654914308124618752
gracieart67,2015-10-16T06:59:00,@BarclaysUKHelp so we will be left to pay for goods &amp; services not at all happy with! Surely if BPF asked us?? @financialombuds legal??,654914646453964800
kaya_evans,2015-10-16T09:37:00,@BarclaysUKHelp I've private messaged you,654954310510489600
CrispRebekah,2015-10-16T10:21:00,@BarclaysUKHelp I got a new card on the 3rd and my PIN number won't work and you're blocking my card from doing anything. Help?,654965311968575488
MissAnya,2015-10-16T11:58:00,"@BarclaysUKHelp yes, I told that out last November. Does it renew automatically or cancel at the end of its term?",654989817122574336
fuzzmonkey,2015-10-16T14:41:00,@BarclaysUKHelp i recently opened a foreign currency account and it's not appearing on mobile banking. 1/2,655030936522780674
kimmilewlew,2015-10-16T14:42:00,@BarclaysUKHelp I've been in branch for the both times I've moved. Im disgusted and worried what else you have sent to previous address,655031090613198848
MissGuscoth,2015-10-16T15:24:00,@BarclaysUKHelp I don't use mobile banking,655041664206163969
FMTranscendence,2015-10-16T15:24:00,@BarclaysUKHelp don't know why the Trowbridge bank is so special that they shut at 4:30.. Everyone else is 5? Explain.,655041622074355712
ZhaHamilton,2015-10-16T17:24:00,@BarclaysUKHelp i know you usually send a text. My issue is you didnt. It was random. And it was unessasary.,655071746761052161
SallyL88,2015-10-16T20:02:00,@BarclaysUKHelp Not personally but I hear no end of customers saying the same thing when they're at the cash point!,655111495345270784
djweeman89,2015-10-16T21:28:00,@BarclaysUKHelp hey is Apple Pay approved yet? #apple,655133310620966912
fuzzmonkey,2015-10-17T01:14:00,"@BarclaysUKHelp business GBP account, have just added a AUD account that shows online but not mobile",655190024942546944
mista_laplace,2015-10-17T09:32:00,"@BarclaysUKHelp thank you, very helpful",655315373273796608
KANGERNAKR,2015-10-17T09:49:00,"@BarclaysUKHelp If i sent a cheque to you in an insured letter, would you pick it up from the post or do you need to receive it directly?",655319743214260224
Shaf1988,2015-10-17T12:21:00,@BarclaysUKHelp why do you only have one person working at the cashier? It's getting busier but can't see a second person,655358055706701824
