screen_name,created_at,text,id
ClassofYourOwn,2015-10-07T10:35:00,@Barrattplc @uk_cw ref #Apprenticeships - wanting to attract best talent and raise quality of applications. #DEC feeds your #BarrattAcademy,651707511372951552
vicksrmay,2015-10-07T12:48:00,@Barrattplc I need to make a formal complaint can you send me an email address,651740871239540736
Alfie831,2015-10-07T12:53:00,@Barrattplc do you guys offer part exchange at greenkeepers mews?,651742204415877120
Linobhoy,2015-10-07T17:28:00,"@Barrattplc Why don't you connect cold water to the mains instead of a tank? Result is ""stale"" water and poor pressure. Inexcusable! 😠",651811395504357377
yecatsnotwal,2015-10-08T19:17:00,"@Barrattplc hi, what's the best email address for Barratts northwest? Got some issues to report, thanks",652201260876234752
yecatsnotwal,2015-10-09T10:12:00,@Barrattplc message incoming 👍,652426367162810368
graeme183,2015-10-10T12:42:00,@Barrattplc When will the road in Hazel Walk be completed!? We're told by Sept but obv that's not happened! You have left it in a state!,652826421728051200
HelptoBuyShow,2015-10-12T08:49:00,@barrattplc Thank you for exhibiting at the #Cheshire show! #HelptoBuy,653492746825678849
CroydonGardener,2015-10-12T08:50:00,@Barrattplc @BerkeleyGroupUK intergrating edible green rooftop/communal Gardens better than Grassed/Concrete spaces http://t.co/cvYPguaeBJ,653492847241465856
Liverpool_5T,2015-10-12T12:58:00,"@Barrattplc hello, looking for some help please?",653555315552686080
gareth_pockett,2015-10-12T17:43:00,@Barrattplc @BBCWatchdog Shocked!!! The worst customer experience I've EVER had. ZERO customer care from Barratt Homes.,653627046392934405
Vicki_Fletcher_,2015-10-12T18:11:00,@Barrattplc a corrupted text or targeting foreign investors using British phone numbers? Would like opt out please http://t.co/2RbLxYZFUx,653634057511813120
Liverpool_5T,2015-10-12T18:52:00,"@Barrattplc resolved now, I rang up. Thanks though!",653644442545573888
newhomeshist,2015-10-12T20:12:00,@Barrattplc @DavidWilsonHome have 3 developments in #Shrewsbury with a new David Wilson site arriving soon. Certainly got the town covered,653664521706446848
Heather_1425,2015-10-13T07:46:00,@Barrattplc when will pennine view in Hyde be finished off? The way you have left it is an absolute disgrace!!,653839317522075648
adamsheffu,2015-10-13T08:19:00,@Barrattplc my thermostat for boiler has stopped working after changing batteries am I covered under my nhbc guarantee?,653847499082493952
my_name_is_eve,2015-10-13T13:32:00,@Barrattplc I love the Cookham http://t.co/jUvetodPIR,653926193293606912
EasyLarry,2015-10-14T09:55:00,"@Barrattplc Please pledge support for @goodfoodcatford and invest in our shopping parades. Good Food's gain, is Catford's gain, is your gain",654234151558758400
groundworkers1,2015-10-15T12:48:00,@Barrattplc we would like to register our interest with your company as a supplier of groundworks and civils.,654639916807233536
stuartdevons,2015-10-15T15:31:00,"@Barrattplc what's the chance of putting a dead end sign on Westcott Road, Kidderminster as it is a cul-de-sac? #unadopted",654680884914749441
lolachild,2015-10-15T16:02:00,"@Barrattplc @gareth_pockett its your money and open green spaces they want, not interaction.",654688747376672769
AdeMobile,2015-10-16T07:27:00,"Morning @Barrattplc I have DM the detains however oil damage too. Ours, neighbours and pavement http://t.co/60tn8y3C02",654921696974127104
AdeMobile,2015-10-16T07:28:00,I am not happy with @Barrattplc Is this how you operate businesses?,654921956911939584
stuartdevons,2015-10-16T16:05:00,@Barrattplc you know you want to respond to my previous tweet but perhaps you do not monitor your Twitter account enough? #DescEnd signage,655051835850498049
damiancoates,2015-10-16T21:54:00,@Barrattplc told me that when it comes to the construction industry I must expect hassle and that they won't compensate me for being hassled,655139871825272833
