screen_name,created_at,text,id
zizi4201,2015-10-08T04:32:00,"@BGGroup Illegal oil distribution block, the building offers an interlayer resolve patent deal of noise.
http://t.co/uF0etRXcCa",651978486362411008
DakotaChance13,2015-10-08T17:29:00,@BGGroup received the Consul General Award for their philanthropy at the 6th Annual @BABChouston Awards Luncheon,652173923983843328
GastechEvent,2015-10-14T08:30:00,"@BGGroup, @WorleyParsons and Jera Co., discuss the impact of new #LNG exports on Asia's #gas market http://t.co/NR0eDJPaDC #Gastech",654212647764783106
TelB2BEvents,2015-10-15T07:17:00,@BGGroup's Dr Richard Moore will feature in the Telegraph's #InnovateinBrasil Seminar in London on Oct 29 http://t.co/nMMA5eL0tE,654556586602426368
SarwarzadEnergy,2015-10-16T16:26:00,@BGGroup Nice pic #oil #gas  @eni is co-operator with BG Plc.,655057187849555968
FUNDACIONBETAN,2015-10-22T04:47:00,"@BGGroup Making the impossible possible I am waiting for your answer, cloning process OIL AND WATER https://t.co/lxjZutfIyF",657055724401500160
lanyard_Man,2015-10-26T10:25:00,"@BGGroup Hello, I'm trying to get over 500 lanyards for my collection and I was wondering if you could give me a spare? thank you",658590298562547712
SusanSakmar,2015-10-27T06:49:00,"@BGGroup CEO Helge Lund at #Gastech says despite recent challenges, he's optimistic about longterm outlook for #LNG. https://t.co/uuoP7NKdqh",658898223008841728
lpalti,2015-10-27T21:00:00,@BGGroup quotes Einstein “In the middle of difficulty lies opportunity” and Churchill ; a lesson of optimism for #LNG industry #Gastech,659112406002606080
lanyard_Man,2015-10-28T07:56:00,"@BGGroup Hello, I'm trying to get over 500 lanyards for my collection and I was wondering if you could give me a spare? thank you",659277524720029696
WoodMackenzie,2015-10-28T09:47:00,@BGGroup cocktail hour is going down a storm at #gastech2015 @GastechEvent https://t.co/V0iIJwd7Tu,659305512866029568
Elaboratecomms,2015-10-28T14:31:00,"@BGGroup: Get out of the comfort zone and be flexible.

Inspiring the next generation in shipping #gastech2015 https://t.co/JspHS6Ye3k",659376854252593153
kav2216,2015-10-28T16:25:00,@BGGroup @GastechEvent why?,659405634933272576
GSInfoServices,2015-10-29T01:46:00,@BGGroup: A rapid tilt to commoditization of LNG unlikely in the near future @GastechEvent #naturalgas #gasstrategies #gas #Gastech,659546731563061248
MsSuessigkeit,2015-10-29T02:42:00,"@BGGroup CEO Lund: weak #oilprice environment
makes it easier to drive the #scale of
#change that's required"" https://t.co/tUaFZ9O9ll",659560918007726080
Edwards8,2015-10-29T13:23:00,"@BGGroup @GastechEvent It is highly likely I'd be bored rigid by this, so no thank you. The only news I need from you is a price reduction",659722234810994690
