screen_name,created_at,text,id
UnitedWayStoon,2015-10-07T17:50:00,@BHPBilliton employees cooking up some pancakes for their United Way Campaign Kick-Off! #wearepossibility http://t.co/E4hwTfQJYk,651816837760614400
ACP_Colombia,2015-10-08T16:46:00,@bhpbilliton ¿Qué harías en un mundo sin petróleo? Entérate en #CongresoACP  http://t.co/AaqS70sJpK  Síguenos en https://t.co/ibofDgigW4,652163203149926400
Chewnstoon,2015-10-09T00:10:00,@bhpbilliton &amp;  @ARPANSANews will be hosting an @iaeaorg workshop on  #uranium #mining in Adelaide next wk. Safe travels for those oversea.,652274884014272516
tarrdarc,2015-10-09T14:53:00,@bhpbilliton and??,652497153613426688
tarrdarc,2015-10-09T14:55:00,@bhpbilliton and???,652497721425686528
hamzakikiout2,2015-10-11T23:46:00,@bhpbilliton انا احب الخير لكامل الناس و مانديرش العيب..نولي و ماسمحتش .كيف كيف انا و محي الدين..و..http://t.co/yAdCl3EVMx .NIGRO,653356086884442112
BIICL,2015-10-12T09:24:00,"@bhpbilliton @BIICL is now offering a training course:""Human Rights for Business People"" http://t.co/pVhnDCkPB8 #HumanRightsforBusiness",653501592621158400
JulesBecci,2015-10-12T19:57:00,@bhpbilliton @RioTinto vont récupérer part de marché considérables d'ici 2018-2020--&gt; faillite petits producteurs (surtout Chinois),653660761231859712
JulesBecci,2015-10-12T20:08:00,"@bhpbilliton @RioTinto #ValeGroup @ArcelorMittal  = parfait ""oligopole"" occidental du #FER d'ici quelques années via leur stratégie dumping",653663575203037184
lilifuhr,2015-10-13T11:16:00,@bhpbilliton : report climate risks!  Transparency on viability of #coal projects under climate constraints @EITIorg http://t.co/neI2tdVLC4,653891943114608640
lagranmineria,2015-10-14T06:09:00,@bhpbilliton Súmate  como auspiciador de la próxima edición del Juego de la Gran Minería Chilena. Más info en http://t.co/AafOG06tYQ,654177225466617856
andysidette,2015-10-15T02:45:00,@bhpbilliton dream to work there.,654488210236551168
andysidette,2015-10-15T02:48:00,@bhpbilliton superb.,654488996454596608
SAnD_CSM,2015-10-16T16:21:00,@bhpbilliton thank you for your continuous support! #fortheloveofscience,655055939024785408
AnuKashyap14,2015-10-17T01:05:00,@bhpbilliton Jansen comedy night event to support @UnitedWayStoon What a great facility @pat kills http://t.co/EBWRCQAfeU,655187841828319232
AnuKashyap14,2015-10-17T01:33:00,@bhpbilliton Jansen event off to a rocking start in support of @UnitedWayStoon TY http://t.co/TScM7Qv6WV,655194857888071680
0a6ba9dce20a492,2015-10-17T02:53:00,@bhpbilliton please help me raise awareness and funds for my brothers heartsurgery http://t.co/jaFZdOg7UE thankyou for your generous help,655214957307424768
Ryan_POshea,2015-10-17T11:38:00,@bhpbilliton Thanks to BHP For their Awesome donation to #telethon7,655347106991902720
JKstrongman,2015-10-17T19:06:00,@bhpbilliton great day at the Jansen Project #engineering #megaproject http://t.co/QUvOWvgjVx,655459799656566784
ACP_Colombia,2015-10-19T21:01:00,@bhpbilliton Agradecemos a toda nuestra comunidad por seguir el #CongresoACP a través de @Acp_Colombia y https://t.co/fa5KwoG5Rm,656213547022725121
hartz40,2015-10-21T16:47:00,@bhpbilliton ##XiJinping #Mazda #Ebay help becausenew apartment https://t.co/YbmJyDkwHF … … … … … … #Putin https://t.co/FlWoTbq5jP,656874414009622528
taasila,2015-10-21T21:03:00,"@bhpbilliton This is so amazing :') I would like to work in this place 
Best of luck !!",656938820353572865
AnuKashyap14,2015-10-22T00:43:00,@bhpbilliton talent night for @UnitedWayStoon Great hanging out with our LR's @_Bear_S &amp; Denise! https://t.co/EYFobPMYgd,656994161912971264
UnitedWayStoon,2015-10-22T02:05:00,"@bhpbilliton ""talent"" night for United Way kicks off with two amazing emcees Derek Rope &amp; Mitch Strom https://t.co/mZgWYyirMd",657014984891699200
AnuKashyap14,2015-10-22T02:51:00,@bhpbilliton @patkolla cuts his hair for @UnitedWayStoon https://t.co/VjtMpYKxXw,657026554694791168
FUNDACIONBETAN,2015-10-22T03:59:00,"@bhpbilliton Making the impossible possible I am waiting for your answer, cloning process OIL AND WATER https://t.co/hi0qhpTECw",657043629723262976
JulieAnnaN,2015-10-22T11:07:00,@bhpbilliton chairman Jack Nasser pressed by shareholder on if the company is borrowing/would borrow to cover the dividend #BHPAGM,657151173724610560
KhalilWesam,2015-10-25T21:08:00,@bhpbilliton @USChamber Absoulty true  under fairness concept.,658389755604914177
leongettler,2015-10-25T23:10:00,@bhpbilliton's Andrew McKenzie says BHP Billiton's London listing is good for Australia https://t.co/Z2nqxRBMQi,658420394156666880
HeraldSunBiz,2015-10-26T21:16:00,"@bhpbilliton and @RioTinto not making most of mining downturn says AFIC: https://t.co/qEMOZgYHbN
#ausbiz",658753980667854848
iDeserveABells,2015-10-29T05:26:00,@bhpbilliton put your boy on,659602145172463616
co2degrees,2015-10-29T06:11:00,"Great initiative, @bhpbilliton. @DiscoverAMSI #STEM",659613620339261440
thmallet_SE,2015-10-29T10:32:00,"@bhpbilliton Nick Allen: ""we have maintained our 2006 emission level while increasing output by 37%"" https://t.co/PIrBpd4kG4",659679092325941248
farayapedrero,2015-10-29T16:01:00,@bhpbilliton compromete financiamiento por tres años más a @stgoamil,659761887270330368
atnmag,2015-10-30T04:53:00,"@bhpbilliton confirms a switch to Toll for its general freight services at Roxby Downs.

https://t.co/WV3O4n957p https://t.co/fWOhpZdotF",659956214038564865
