screen_name,created_at,text,id
MINI,2015-10-07T07:42:00,"@JessicaBaldock_ Sorry to hear about this. Please email your VIN, MINI Centre&amp;contact details to contact.us@mini.co.uk so we can investigate",651663827776499712
MINI,2015-10-07T09:17:00,The new MINI #Clubman’s Chester Indigo Blue leather seats look good and feel right: http://t.co/6T2EIjkbRT http://t.co/UC4TOuq2h8,651687665163706368
MINI,2015-10-07T10:42:00,"@bell100100 Hi, sorry to hear about this. Please email your VIN, MINI Centre &amp; contact info to contact.us@mini.co.uk so we can investigate.",651709058970480642
MINI,2015-10-07T10:46:00,"@jesswiftt Hi, sorry to hear about this. Please email your VIN, MINI Centre &amp; contact details to contact.us@mini.co.uk so we can investigate",651710105147305984
MINI,2015-10-07T10:47:00,"@ItisGee Hi, Best thing to do is to contact your local centre who can inspect them and look at your model. Thanks",651710316930318336
BMWGroup,2015-10-07T11:41:00,#BMW #Concept #Stunt G 310 – Street. Style. Stunt. http://t.co/OURaw1HKgn #BMWGroup @BMWMotorrad http://t.co/3uuURCg6nA,651724081272913920
MINI,2015-10-07T12:21:00,"@muddyhighheels Sorry to hear this, Abigail. Can you please DM us your contact and vehicle details so that we can get in touch with you?",651734050655326212
MINI,2015-10-07T14:01:00,@swingingout Please visit your local @MINIUSA dealer for assistance.,651759305088217088
MINI,2015-10-07T14:25:00,See what the actors got up to when the #VR camera was off. #miniconnected http://t.co/xKcJRFG6t9,651765186416803840
MINI,2015-10-07T17:27:00,"Between takes on the #mini360 set, the actors discovered #miniconnected. http://t.co/PzpXuytyW2",651810988350570496
MINI,2015-10-08T07:14:00,"@johnande Hi John, unfortunately we are unable to understand your question. Would it be possible for you to write it again in English?",652019127817773056
MINI,2015-10-08T07:18:00,"@Misstowner618 Hi Sarah, I believe it is the MINI 3-Door Hatch you are referring to. More info can be found here: https://t.co/0oWksxw3hr",652020209172221952
MINI,2015-10-08T08:42:00,"@bell100100 Hi Iain, can you please DM us your contact and vehicle details so that we can investigate this for you?",652041307142115328
MINI,2015-10-08T10:46:00,Why follow a map when you can follow your instincts? http://t.co/PcU3vqwSvx #GoWithYourGut http://t.co/JrTPVdTIrY,652072668611657728
BMWGroup,2015-10-08T13:23:00,The new @BMW​ #M4 #GTS. http://t.co/tnTdcetbyE #BMWGroup #BMW http://t.co/x33RRQIogq,652112110990831616
MINI,2015-10-08T14:56:00,RT @burtonsnowboard: The 5th annual #BurtonRailDays presented by @Mini hits Tokyo Nov. 14! Head to http://t.co/VFjhykcstD for details. http…,652135466813100033
MINI,2015-10-09T08:44:00,"@mimi_laselle Hi Mimi, we are no longer producing the MINI Convertible. We will let our fans know if there is any new info re a successor.",652404372291366912
MINI,2015-10-09T09:05:00,Lose yourself in the details. http://t.co/n6qCsfI6NY,652409439652196352
BMWGroup,2015-10-09T09:51:00,#BMWMotorrad​ achieves new all-time high in the third quarter. http://t.co/o2d0foz5Hb #BMWGroup @BMWMotorrad http://t.co/c2RCIGQgt2,652421191618179076
MINI,2015-10-09T11:10:00,"@mairitee Hi Mairi, yes, you can do this via your local MINI Centre or you can call our Customer Service team for help on 0370 5050122.",652440947284963328
MINI,2015-10-09T11:27:00,"@Binky_2301 Hi Steve, here is our official statement on the matter: http://t.co/1Az2u06lmV",652445169170685952
MINI,2015-10-09T11:29:00,"@iSyCoDeath Hi Craig, can you please DM us your MINI Centre and contact details so that we can look into this for you?",652445663930785792
BMWGroup,2015-10-09T13:03:00,"@TomasAMartinez Dear Mr Martinez, we have received your email and have forwarded it on to our respective colleagues.",652469559073632256
MINI,2015-10-09T13:54:00,@mandah476 MINI dealers are independently owned/operated &amp; responsible for their loaner fleet. Consult your dealer for their policy.,652482311557120000
MINI,2015-10-09T14:10:00,@mandah476 Sorry for your frustrations. Please discuss directly w/ Service Manager at your MINI dealer.,652486206287126528
MINI,2015-10-09T14:30:00,MINI is now on @LinkedIn. Connect with us and join our journey: http://t.co/F1rLqJcrbU,652491281604571137
MINI,2015-10-09T16:09:00,Following your instinct at the wheel is easy with MINI #Connected. http://t.co/0sGve8QWqZ #GoWithYourGut http://t.co/8ThLq1yzMm,652516335814111233
MINI,2015-10-09T17:59:00,Your next adventure is just around the corner. #TGIF http://t.co/qC19VXvhNR,652543825093652480
MINI,2015-10-10T09:09:00,Always in search of new paths to discover. http://t.co/LJLaMHid7w,652772831655129088
MINI,2015-10-10T12:17:00,"Step out of your comfort zone this weekend with your off-road ally, the MINI #Countryman: http://t.co/Awz46wamdb",652820130028630019
MINI,2015-10-10T15:04:00,"Get out of the city, and into the wilderness. http://t.co/lvU5MaHWvP",652862172427452420
MINI,2015-10-11T09:00:00,Set yourself amidst the colours that complete you. http://t.co/FTM8TO1yz7,653132962087616513
MINI,2015-10-11T11:59:00,"How long does it take for gut instinct to kick in? Find out with the new MINI Clubman: https://t.co/KeRz9yjoTx 
#GoWithYourGut",653177991728508930
MINI,2015-10-11T16:21:00,"Another Sunday, another sunset. http://t.co/TtiwxA4QFj",653243932109737984
BMWGroup,2015-10-12T07:25:00,"@jimmyhibbs1977 Dear Mr Hibbert, we're sorry for your bad experience. If you wish to discuss this, please send us your contact data via DM.",653471541666127872
MINI,2015-10-12T07:41:00,"@aebuddy_2006 Hi Andy, we currently have no info regarding this but your nearest dealer can be found in Charleston: http://t.co/0TeMiZXBjM",653475452242292736
MINI,2015-10-12T07:43:00,"@TiannaHolder Hi there, we currently have no new info regarding this but our fans will be the first to know should that change.",653476130150817792
MINI,2015-10-12T09:02:00,"@johnande Hi John, there is currently an internal MINI Event in Stockholm and that is why there are so many new MINI Clubmans on the street.",653496016218509313
BMWGroup,2015-10-12T10:20:00,#BMWGroup achieves record September sales: http://t.co/UkSyO5vt5n http://t.co/fADaxG3okn,653515457744490496
MINI,2015-10-12T10:25:00,"@molzzz17 Hi there, can you please DM us your contact and vehicle details so that we can look into this for you?",653516895090511872
MINI,2015-10-12T10:27:00,"@DarrenLBerry Sorry to hear this, Darren. Can you please DM us your contact details and the MINI Centre in question so we can investigate?",653517301027880960
MINI,2015-10-12T11:30:00,Get places faster. http://t.co/2ORUWZNnif  #miniconnected http://t.co/G1WEfrn3ru,653533246026838016
MINI,2015-10-12T11:57:00,"@HannahYanacopo1 Sorry to hear this, Hannah. Can you please send us a DM with your vehicle and contact info so that we can look into this?",653540014194868224
MINI,2015-10-12T13:53:00,"@RjDooZy To determine if your MINI is affected by a recall, enter your VIN on @MINIUSA website: http://t.co/9qB425cTJ6.",653569272963301376
MINI,2015-10-12T16:40:00,Pure Burgundy is just one of 12 MINI #Clubman colours. Explore them all: http://t.co/QZsvzFG6p4 http://t.co/llvFl1WM0W,653611264543993856
BMWGroup,2015-10-13T06:24:00,@pside_prince Please email our colleagues at customer.service@bmw.com &amp; tell them about your issues. Don't forget to incl. your contact data,653818574440677376
BMWGroup,2015-10-13T06:26:00,"@pside_prince Alternativly you can go to your local BMW dealer, they can have a direct look at it and try to assist you.",653819135235870720
MINI,2015-10-13T08:26:00,RT @Interbrand: There’s nothing small or compact about this win! @MINI takes Best Global Brands for a Top 100 spin: http://t.co/3NhqNo2Emn …,653849215362318336
BMWGroup,2015-10-13T13:06:00,#BMWGroup is partner of Frieze Art Fair in London. Learn more: http://t.co/T8pxSWwYVg http://t.co/Rp3IoUkCnx,653919813019004928
MINI,2015-10-13T14:03:00,"@HannahYanacopo1 Hi Hannah, did you send us a DM or an email?",653934079541383168
MINI,2015-10-13T14:22:00,Enjoy 30 million songs on the road with Spotify: http://t.co/bj4upAChvo #miniconnected http://t.co/q9OlzqqtKO,653938964416565248
MINI,2015-10-13T15:56:00,RT @UNIT9: Our very own Henry Cowling @henrydinosaur and Michelle Craig talk #VR on @FastCompany! @MINI http://t.co/Bc2DM9cCeL http://t.co/…,653962430515691520
BMWGroup,2015-10-14T10:06:00,The new @BMW M2 Coupe. Find out more: http://t.co/cfRGpxxYQa #BMWGroup http://t.co/K45wvdG1l8,654236861850894336
MINI,2015-10-14T13:39:00,"@mattgoode Thanks for your feedback, Matt. We are continually exploring expanding our offerings for our Android users.",654290534945718272
MINI,2015-10-14T15:50:00,Stay one step ahead with Real Time Traffic information. #miniconnected http://t.co/WxFtW2n6XQ,654323455333167104
BMWGroup,2015-10-14T16:15:00,The @BMW Startup Garage is now accepting applications for the 2016 program! http://t.co/pFcKdDmlFn #BMWGroup http://t.co/D5jXXnKQpL,654329579633553408
MINI,2015-10-14T16:25:00,Real Time Traffic gets you places faster: http://t.co/w17sVAE7ts #miniconnected http://t.co/5j5i2bK0NS,654332110057017344
BMWGroup,2015-10-15T06:51:00,"@timmyloveridge If you like to talk about what happened, please send all the details to customer.service@bmw.com incl your full contact data",654550137650454528
BMWGroup,2015-10-15T06:54:00,@Liquicom Have you been contacted from someone of @BMW @knightsbmw or @knightsstoke yet? If not please email customer.service@bmw.com,654551019737718784
MINI,2015-10-15T09:07:00,Dial back the clock to an historical dash from the International Mini Meeting. #TBT http://t.co/Ltj1rV3bLP,654584483371335680
