screen_name,created_at,text,id
swingingout,2015-10-06T21:07:00,@mini 2014. how can i fix this and what happened? faded and streaky with chalk mark looking scratches. http://t.co/QDNSwcsmt7,651504173075275776
agustinvelacoe1,2015-10-06T22:26:00,@BMWGroup http://t.co/5l09fvhReP,651523855350018048
automotivespace,2015-10-07T09:18:00,@MINI Looks Fine. ;),651688016277278720
portofino,2015-10-07T10:01:00,@BMWGroup We would like to add you in our APP @portofino. We would need to talk to the person in charge. We look forward.,651698919265714176
muddyhighheels,2015-10-07T11:16:00,"@MINI as a mini owner, owned two &amp; all members of family has one I'm a good customer &amp; I get the most awful customer service this morning.",651717780564217856
cnc2002uk,2015-10-07T13:09:00,@mini made in oxford and driven on the streets of china @ChinaBritain @UKTI @businessisgreat @OpentoExport http://t.co/YyEYiMef8N,651746279001690116
CCubicos,2015-10-07T15:00:00,"@MINI no solo fabrica coches... ¡también monopatines a motor! La marca británica lo ha bautizado como ""CitySurfer"". http://t.co/4JYqRF6ZQL",651774148369383425
macmontesinos,2015-10-07T16:33:00,@MINI el rey de los chicos,651797491126394881
Gabriella_L_B_,2015-10-07T19:50:00,@MINI help make a dream come true ? thank you ! https://t.co/K7os44OLKr,651846968868794368
Gabriella_L_B_,2015-10-07T19:50:00,@MINI help make a dream come true ? https://t.co/K7os44OLKr,651847185659785217
Gabriella_L_B_,2015-10-07T19:50:00,@MINI would you help make a dream come true ? https://t.co/K7os44OLKr thank you!,651847099991093249
Gabriella_L_B_,2015-10-07T19:53:00,@MINI  would you mind helping make a dream come true ?https://t.co/K7os44OLKr,651847887769456640
Gabriella_L_B_,2015-10-07T19:53:00,@MINI thank you for existing! would you help make a dream come true ? https://t.co/K7os44OLKr,651847755653099521
tiagocha81,2015-10-07T22:04:00,@MINI me gustan los carros,651880795502723072
BlazeRu1,2015-10-08T03:10:00,@BMWGroup im a Proud owner of A Gt550I and roadside assistance was Horrible service Appreciate if BmwFind a 5star with better services,651957750428233728
BlazeRu1,2015-10-08T03:17:00,@BMWGroup Bmw need to hire a better roadside assistance team if it should still have Five stars even close to its service,651959520248352769
RAMAZANTOPTA,2015-10-08T06:44:00,@BMWGroup Hız da görecelidir. Madde (E=mc2) ışık hızının katlarınca yol alsa bile enerji kazanmaya devam eder. https://t.co/z2cn1zeipf,652011731259125760
mikehealy2009,2015-10-08T10:12:00,@MINI love my r53 http://t.co/ekWPgxKS9m,652063981331476480
DemardJulien,2015-10-08T13:36:00,"@BMWGroup @BMW Give it to me, please !!!",652115235537596416
Alterauto,2015-10-08T14:40:00,"@BMWGroup @BMWFrance M4 GTS, 500 ch et 700 exemplaires pour la plus fougeuse des M4. http://t.co/2U3MLNfJIM",652131361927462912
mandah476,2015-10-08T16:28:00,@MINI  told me on the phone I could drop my car off Thursday and pick it up Tuesday even if the work was done early because I was going to,652158723662548993
mandah476,2015-10-08T16:30:00,@MINI told me on the phone I could drop my car off Thursday and pick it up Tuesday even if the work was done early because I was going to be,652159105721757697
mandah476,2015-10-08T16:31:00,"@MINI  later. ARE YOU FREAKING KIDDING ME? Considering a taxi home during rush hour would at least be over $100, a rental car even from",652159322940534785
mandah476,2015-10-08T16:33:00,"@MINI Had to drop my car off for recall and told I could pick up rental car, instead they told me I could taxi everywhere, UNREAL",652159904698904576
DeclanC71,2015-10-08T18:40:00,@BMWGroup so apparently all BMW vehicles burn oil now? I have to add 2 liters every 3000kms INSANE!!! And more insane..ITS A FRIGGIN HYBRID!,652191746651242496
mairitee,2015-10-08T19:00:00,@MINI what's the best way to get a mini One on hire purchase? Can I do that through my local mini dealer in Edinburgh? Thanks!!,652197010460803072
syamhudi20,2015-10-09T02:12:00,@BMWGroup BMW Luncurkan Sedan Mewah Seri 7 Generasi Keenam http://t.co/1gBakXgsWN http://t.co/Gq566fC4qT,652305509236609024
autostargroup,2015-10-09T08:23:00,"@MINI Republic è arrivata a #Udine! Ti aspettiamo domani e domenica in Piazza Duomo. Ci sarà anche lei, la #MINI #JCW http://t.co/AwNnqJD1T3",652399079973105669
kirstiebenedict,2015-10-09T09:12:00,@MINI i absolutely adore the fat brake lights. i only wish y'all kept detail of the center speedometer like my 2004 baby😔,652411301424168960
JfCloudZzzz,2015-10-09T11:16:00,@BMWGroup,652442598984912896
