screen_name,created_at,text,id
AviationAirRout,2015-10-06T06:49:00,"@Boeing @BoeingAirplanes #b707 
Very rare Pisa until 1996
By s.Orsucci

http://t.co/SyirY36QLL http://t.co/Jg2Sq9MRjk",651288125348646912
aircargoweek,2015-10-06T11:10:00,@Boeing and AfA give approval to TPP agreement http://t.co/69uSn71ytr via @aircargoweek #aircargo #aviation,651353915125035008
ChefHarlie,2015-10-06T16:29:00,"@Boeing @FlyANA_official , why not #R2D9? kinda works, dual @RollsRoyce powered, Dreamliner 9 .... eh? http://t.co/Xk39i7tbpa",651434106677559298
riveradelcondor,2015-10-07T00:54:00,"@Boeing SONNENKÖNIG_RIVERA MUÑOZ HUGO IVÁN_11_10_1977.
Te Espera Fidel Para darte Tú Muerte Santa.
Nuclear Technology Provinzial_1977.",651561297461514240
9730cb9124c3419,2015-10-07T17:08:00,@Boeing This is amazing,651806333788794880
riveradelcondor,2015-10-07T18:23:00,"@Boeing SONNENKÖNIG_RIVERA MUÑOZ HUGO IVÁN_11_10_1977.
1919 ZENTRAL DIE RUßLAND,GEGRÜNDET 1949.
Nuclear Technology Provinzial_1977.",651825278013075457
ourability,2015-10-07T18:30:00,@Boeing Recruit future employees with disabilities here - sign up to post your jobs today! http://t.co/fazGgHblT4,651826961115955200
FrankNichols12,2015-10-07T22:34:00,@Boeing  Cool tech.,651888257836417024
riveradelcondor,2015-10-08T00:12:00,"@Boeing SONNENKÖNIG_RIVERA MUÑOZ HUGO IVÁN_11_10_1977.

Fellah You played many matches with él.
Nuclear Technology Provinzial_1977.",651913031958593537
TamaramaPD,2015-10-08T01:20:00,@Boeing is going to sell their airplanes regardless of the TPP says @AmbLocke at #civiccocktail @Crosscut @SeattleCityClub @SeattleChannel,651930214797197312
defaiya,2015-10-08T07:00:00,@Boeing Upgrades All #US Air Force F-22 Simulators http://t.co/rvvO8TIsje,652015649754103808
shallah33,2015-10-08T07:46:00,"@Boeing Non load bearing structure or secondary structure yes, not primary.",652027341351297024
lovusa4,2015-10-08T11:16:00,@Boeing WOW! Good Job Boeing that material cld be able to be used to protect our Law Enforcment People&amp;Their Vest =Try it @OneLastRun54,652080208674099200
SaudiSSR,2015-10-08T12:55:00,"@Boeing 
http://t.co/BENFuGAs4G  need your support to Saudi Sustainability Social Responsibility Website http://t.co/sNewU9BDh4",652104968292462593
JimWil12,2015-10-08T16:04:00,@Boeing Love new advances in materials!!,652152526075117568
MegMRivers,2015-10-08T18:57:00,"@Boeing donates $100,000 for flooding relief in South Carolina @WLTX",652196140700561408
riveradelcondor,2015-10-08T19:18:00,"@Boeing Der Chiasmus 1979, Ella es Santa ella no Culea, not Toma Alkohol, Not dice Mala Palabras y Obra Mal
Nuclear Provinzial_1977.",652201445756960768
spinello_jamie,2015-10-09T00:56:00,@Boeing Please #donate #support #MILTARY wife fundng 4 service animal #Dysautonomia #POTS #HELP retweet apprec https://t.co/i8qBDXukuU,652286353363890176
BinePreis,2015-10-09T21:18:00,"@Boeing I love humans with heart. For luck the pilots are realy fair and human. Better is here ""Drohnen"".",652593966894944256
danfriedmanme,2015-10-09T23:01:00,.@boeing But where's the video of the egg dive? This metal is so light it can balance on top of a dandelion: http://t.co/alVVLjUSNX,652619893951569921
riveradelcondor,2015-10-09T23:45:00,"@Boeing  SONNENKÖNIG_RIVERA MUÑOZ H.IVÁN_11_10_1977.
No te da pena que llore,Dolores,No te da pena de mi
Thermonuclear_09_16_45_110_7_Orbit.",652630990897213440
riveradelcondor,2015-10-10T00:45:00,"@Boeing SONNENKÖNIG_RIVERA MUÑOZ HUGO IVÁN_11_10_1977
Jamás en la vida podrás tú saber,hasta en el momento te habré de querer.
Provinzial_77",652646141910208512
a1aa12000,2015-10-10T13:54:00,"@Boeing 
تكنولوجيا رائعة تجمع بين القوة و التماسك وخفة الوزن
السؤال هل تدوم فترات طويلة دون الحاجة للصيانة
وهل بوينج سوف تستخدمهافي طائراتها",652844640983490560
CraigStevens_11,2015-10-10T14:00:00,"@Boeing @BoeingAirplanes @BoeingDefense Vietnam 787-9 banking away from Heathrow 😆.
http://t.co/CylECixFaG http://t.co/LOFPoCuTta",652846050751959041
riveradelcondor,2015-10-10T15:17:00,"@Boeing SONNENKÖNIG_RIVERA MUÑOZ HUGO IVÁN_11_10_1977.
Hace tiempo que no siento nada al hacerlo contigo
Nuclear Technology Provinzial_1977.",652865629444284416
ShaggieTV,2015-10-11T00:11:00,"@Boeing Made the Lightest Metal Material in the World - a structure that is 99.99% air. 
Although, @LAYS  has had this technology for years.",653000042559598592
NouhraKaram,2015-10-11T03:05:00,@Boeing Utility is aircraft usage will depend on economics though :-),653043614524674048
ProfSerajANSARI,2015-10-11T08:33:00,"@Boeing Dear Sir, I request you to promote One World One Education system has innovated/adopted by INOU University http://t.co/48YORr73L2",653126228560375808
FutureTrendsUSA,2015-10-11T10:11:00,"@Boeing 
Please see special invitation to China Reception http://t.co/DxwlYA31O4",653150953038815232
beatriz_camara,2015-10-11T13:54:00,@Boeing @_pol1lima MIGA OLHA QUE DEMAIS,653206999182778368
JesseMillette,2015-10-11T14:15:00,@Boeing I would really appreciate a follow back from you!,653212424984764416
CesRivas,2015-10-11T15:43:00,"@Boeing presenta el metal más ligero del mundo , la microrreticula metálica.
Video https://t.co/IyR2oNYmEc http://t.co/j9InKdRrU0",653234387123875840
Densined,2015-10-11T17:07:00,@Boeing БІЛЛ   ВОГНЕ   РАКЕТ    СІСТЕМУ  ЛУЧ  Х     З  КИЄВА   ДАМО ПРОПОЗІЦІЯ   НА  АТАРКА....СУПЕР   СІСТЕМА   ШО  ЗАБОРОНИЛИ   У  СРСР.,653255712580239360
riveradelcondor,2015-10-12T00:54:00,"@Boeing SONNENKÖNIG_RIVERA MUÑOZ HUGO IVÁN_11_10_1977.
The State Pension formerly the Retirement Pension.
Solidarität: SOZIALEN RECHT.",653373106988417026
camillelalou_,2015-10-12T10:57:00,"@Boeing @ANivaggioli tu vois ce que je te disais, regarde au début ça tiens sur un pissenlit",653524770605170688
FutureofTrans,2015-10-12T13:24:00,@Boeing Buys Company For Pilot Training Software http://t.co/UnzRq6vtuz http://t.co/TBgXin9Zad,653561842548277248
nunovargas,2015-10-12T13:31:00,"@Boeing On How They Developed The World's Lightest Material

http://t.co/Cd4Hl138B1",653563675991764993
FastenerTV,2015-10-12T14:50:00,@Boeing Showcases Micro-Lattice Super-Material | http://t.co/UWGxg6q8u3 | #metal #metals @FastenerNews #Boeing http://t.co/H7h7uOc2Wr,653583406425501696
InfolotniczeEn,2015-10-12T15:21:00,@Boeing Celebrates Delivery of Oman Air’s First 787 Dreamliner https://t.co/ehen2if0vm,653591217888849920
_tode,2015-10-12T17:47:00,@Boeing Metal!,653628192977223680
127Dh,2015-10-12T20:17:00,@Boeing do not get rid of the 747 8 what ever you do,653665870967885824
riveradelcondor,2015-10-12T20:52:00,"@Boeing Política y Culturalmente Una Peseta.
Informática,tecnología e Internet

Nuclear Technology Provinzial_1977. http://t.co/d6YSjV9dWP",653674564359200768
kcreedy,2015-10-12T22:13:00,@Boeing releases video of world's lightest material. http://t.co/dAXw2e7tHN,653694976166117376
SCTCbrevard,2015-10-12T22:13:00,@Boeing releases video of world's lightest material. http://t.co/RrXrTiZZI6,653694976191279105
riveradelcondor,2015-10-12T22:20:00,"@Boeing Y hoy que quieres comprar mis Amores,
tendré que cantarte la misma cancion:

Thermonuclear_09_16_45_110_7_Orbit.",653696662343426048
INREMIN,2015-10-12T22:22:00,"@Boeing desarrolla ""el metal más ligero del mundo"" para quitar peso a sus futuros aviones http://t.co/xE8pKYmEVG ingeniería de materiales",653697297172295680
riveradelcondor,2015-10-12T23:40:00,"@Boeing Not Pintes en la Cara colores Artificiales, que los tuyos son Bonitos y además son NATURALES.
Thermonuclear_09_16_45_110_7_Orbit.",653716823947538436
Anthony88263264,2015-10-13T00:14:00,"@Boeing  will launch crews from LC-41, @SpaceX will launch crews from LC-39A.  Will @blueorigin launch humans from LC-36?",653725577980063745
