screen_name,created_at,text,id
judedas_,2015-10-08T05:20:00,@BATPress i hope you can make handrolling dunhill available in Malaysia. Please.,651990631154233344
robert_cockroft,2015-10-08T12:09:00,@BATPress @ImperialTobacco Please can you help? Remind your customers that cigarette butts are not biodegradable http://t.co/OJWR8ssU4z ...,652093397528920065
Day911Simon,2015-10-10T21:56:00,"@BATPress I know that smoking is bad. but without morning coffee and cigarette, your brand Lucky Strike I can not start the good day. ;)",652965993711575042
ninyamaubach,2015-10-12T10:38:00,@BATPress what are you most proud of? Massive death toll? Lying about science? Child labour on tobacco farms? So many things to chose from!,653520219768360960
Day911Simon,2015-10-14T14:24:00,@BATPress good tabacco Lucky Strike,654301790251413504
paulbirch99,2015-10-14T23:10:00,@BATPress your corporate generosity is exceptional. Donations to cancer charities £0 I assume?,654434058664022016
1961VM,2015-10-23T07:21:00,"@BATPress İnsanlığın huzur ve mutluluğu için,Dünya-Alemi Sevgi ve Barışa davet etmeye var mısın?Muradım barış dolu bir dünya.",657456835297943552
ern263,2015-10-23T12:20:00,@BATPress @BATA_Media Kindly fix the typo on the Zimbabwe Contact on your website - Tobacc'a' - See the ScreenShot https://t.co/5TLW9ATBln,657532051910959104
ern263,2015-10-23T14:36:00,@BATPress Its all good [zvakanakai],657566215460802560
PatyGallardo,2015-10-24T21:27:00,@BATPress  7 años ya de la partida de Diego Segura #QEPD y se lo extraña  https://t.co/ESmTGNkyfK,658032119227265029
I_Report_Store,2015-10-27T10:04:00,@BATPress and @InsidePMI are the leading foreign companies operating in #China #cigarettes market,658947267022340097
jpk_jon,2015-10-28T05:11:00,@BATPress @BAT_Sci Where will I find info on engineering products for addiction?,659236135751696385
jpk_jon,2015-10-28T05:19:00,@BATPress @BAT_Sci Great to hear you will stop selling cigarettes! Oh wait...,659237964908658688
jpk_jon,2015-10-28T05:26:00,"@BATPress @BAT_Sci Sounds great, when will you be shutting down sales of your products that kill your customers?",659239720128352256
