screen_name,created_at,text,id
Burberry,2015-10-06T10:52:00,Puddles and raindrops in #London today #BurberryWeather 18°C | 64°F https://t.co/VCeKLlHPwC http://t.co/f03Nc0NP6y,651349422350159873
Burberry,2015-10-07T05:00:00,Amber Anderson and @ClaraPaget wearing colourful cashmere trench coats with Ranald Macdonald for @Burberry A/W15 http://t.co/WHfi46CMZm,651623001121800192
Burberry,2015-10-07T08:00:00,Coloured cashmere trench coats and sartorial men's outerwear behind the scenes on the @Burberry A/W15 campaign shoot http://t.co/tXJ5O0ETXk,651668319834144768
Burberry,2015-10-07T11:00:00,"Between takes on the @Burberry A/W15 campaign set with Ranald Macdonald, @ClaraPaget and Amber Anderson http://t.co/Pp5X5PlEI7",651713602349604864
Burberry,2015-10-09T09:00:00,"Leather and shearling in the A/W15 campaign with Harry Treadaway, Florence Kosky and musician @TomPeterOdell http://t.co/vboBDbgnDa",652408173924601856
Burberry,2015-10-09T09:30:00,American actor @BryanCranston wearing @Burberry tailoring to the @BFI #LondonFilmFestival for the premiere of #Trumbo http://t.co/mZtHaXcQTo,652415909672448000
Burberry,2015-10-09T12:00:00,Framing the shot with Harry Treadaway during the @Burberry A/W15 campaign shoot http://t.co/dGfIm4aH5i,652453477789122560
Burberry,2015-10-09T16:00:00,British musician @TomPeterOdell wearing shearling outerwear behind the scenes on the @Burberry A/W15 campaign shoot http://t.co/5Ofe49dzTa,652513883366785028
Burberry,2015-10-09T17:00:00,Watch @BrokenHandsBand perform 'Alarms' for #BurberryAcoustic - taken from their debut album 'Turbulence' http://t.co/buEiVOH6SM,652528989332971521
Burberry,2015-10-09T19:00:00,Discover 'Turbulence' the debut album from #BurberryAcoustic artist @BrokenHandsBand http://t.co/Lta7cHkPAP,652559195934453761
Burberry,2015-10-10T07:00:00,Amber Anderson in the new @Burberry make-up look inspired by the A/W15 runway collection http://t.co/Km6piKlRkb,652740372712587264
Burberry,2015-10-10T08:00:00,Model Amber Anderson in the opening look and A/W15 make-up before the @Burberry show http://t.co/1kowD0lkUN,652755464854368256
Burberry,2015-10-10T09:00:00,Discover the new A/W15 make-up look featuring @Burberry model Amber Anderson http://t.co/hCI4zxoI7a,652770559114264576
Burberry,2015-10-10T11:00:00,Bohemian eye colours are at the heart of the A/W15 make-up look from @Burberry http://t.co/T6E8EZ9oPV http://t.co/3EKUgxpNRm,652800769075380224
Burberry,2015-10-10T12:00:00,Explore the A/W15 make-up collection featuring The Runway Palette in camouflage http://t.co/T6E8EZ9oPV http://t.co/MvU8KtMxxI,652815865931546624
