screen_name,created_at,text,id
RonnieOfChCh,2015-10-06T16:50:00,@Burberry @lakekomo  well done you are extremely talented have you a post on Facebook ?,651439488250482688
LisaLisaD1,2015-10-07T02:32:00,@burberry Plum Lips today~ Will share this and more New Burberry on Friday! #VS #leathermoto 😍… https://t.co/qGb6W4SREA,651585971914301440
deluxesmadrid,2015-10-07T08:38:00,@Burberry opens new flagship store in Seoul,651678061205827584
LuxuryCouncilLA,2015-10-07T14:01:00,"@Burberry Revamps Its Image in #Japan
#luxury 
http://t.co/JtA2Yhmrkq http://t.co/P5oLtjrjCe",651759352454496257
Rockincoffee85,2015-10-07T20:36:00,@Burberry @ClaraPaget beautiful,651858769882824704
PraiseGarnet,2015-10-08T08:39:00,@Burberry how would you describe this cat? http://t.co/yw1DUDO9Lk,652040599659524096
davidplatten,2015-10-08T09:14:00,@Burberry can you not? This IS NOT FAIR. I don't have enough money to buy one in every colour! #ScarfBar #Burberry https://t.co/oq9X0V811V,652049366291755008
smithmcqueen,2015-10-08T12:20:00,@burberry long sleeve #polo for the win #Menswear #MensStyle #MensFashion #Fashion #Style #MensBlog… https://t.co/ZGj9vF0E5y,652096196077592576
CordovaNorina,2015-10-08T14:15:00,@Burberry @ClaraPaget,652125058110853121
james_sherwood_,2015-10-09T09:03:00,@Burberry Must be marvellous to live in a world where everybody is under 20 #LogansRun,652409098974199809
oc95oa37b17461,2015-10-09T11:16:00,@Burberry @BryanCranston @BFI great actor,652442446366838784
dinamedland,2015-10-09T11:43:00,@Burberry appoints Leanne Wood (frm Diageo) 2new role Chief People/Corporate Affairs officer + Fumbi Chima CIO #leadership #CorpGov #women,652449252845727744
katmchughmusic,2015-10-09T12:46:00,@Burberry and idea on the retail price? http://t.co/W3Yqzd7E40,652465065120145408
bethhairx,2015-10-09T16:28:00,@Burberry @tompeterodell @lizziedeann,652520910117859328
perla_saucedo,2015-10-10T07:13:00,"@Burberry where can I buy your cosmetics in Mexico?, pls help me to find them :D",652743792336855040
mallick_star,2015-10-10T08:02:00,@Burberry So Nice,652755986437021696
MrThorne,2015-10-10T08:06:00,@Burberry New YT video in my favourite #Burberry polo :) https://t.co/TsRSGdjKoJ #phonics,652756963739181056
shaguftaaltaf1,2015-10-10T10:00:00,@Burberry nice,652785841094402048
carolgxie,2015-10-10T15:38:00,@Burberry @VilirsaRajadura @Neeshanth_S you know you're ballin when..,652870941219926016
markie_ramone_,2015-10-10T17:26:00,@Burberry @_kellyhoffman OH MY GOD,652897946552414208
mjbarry101,2015-10-10T18:27:00,@Burberry You left the lights on http://t.co/qU3BiUl55P,652913368781725696
kosmosunicorn,2015-10-11T06:43:00,@Burberry Love it,653098469645643776
RymaRimouch,2015-10-11T12:04:00,@Burberry https://t.co/vbwmz1939h,653179321096491008
dwinning1,2015-10-11T12:18:00,@Burberry @rachelmcneice 😍,653182861877596162
M_Yakudima,2015-10-11T13:56:00,"@Burberry: Discover how to achieve the @Burberry A/W15 make-up look with @WendyRoweMakeup http://t.co/xlgck35Bz6"" @miko_salma @its_mss_mab",653207503870763009
xatiaxatia406,2015-10-11T15:09:00,@Burberry,653225941821456384
candycr01737194,2015-10-11T15:39:00,@Burberry @C_Wiggins_ amazing!,653233343971110912
I_Daniella_I,2015-10-11T19:15:00,@Burberry Pretty much the only shade of green that I like!,653287902621732864
Andrewdav1s,2015-10-11T20:50:00,"@burberry #Brit @ Aldgate East, London https://t.co/tNJJNNYWic",653311625433235456
Laurelle_Dash,2015-10-11T22:14:00,@Burberry @chandre_brown,653332837781909504
ECLondon1,2015-10-11T23:30:00,"@Burberry - Congrats! You made our list of the October 2015 Top 100 Twitter Users in London, England - http://t.co/PqH1TGTkTs",653351891292717057
VcCarver,2015-10-12T00:36:00,@Burberry @MzLiz61 @VcCarver,653368569430806528
MzLiz61,2015-10-12T00:43:00,@Burberry #Nailstopper With my undivided attention #NYC Autumn color wow!!,653370330027790336
MJayyee,2015-10-12T07:03:00,@Burberry please restock your riding boots size 38 THANKS !!!!!!! fall almost here !!!,653465932996546560
SamrahFarha,2015-10-12T10:07:00,@Burberry m loving this color,653512223462162433
CaliWaay,2015-10-12T12:56:00,@Burberry https://t.co/DLVw3QE6dz,653554734863880192
nina214st,2015-10-12T14:50:00,@Burberry,653583461677051904
hardips25,2015-10-12T15:00:00,@Burberry,653585928288620544
DianaWeiFang,2015-10-12T16:05:00,@burberry I was gifted a coat that’s too big. Can I exchange it for a smaller size? No receipt :/,653602413610442753
JoeBraxtonTouch,2015-10-12T17:25:00,@Burberry #SummerEdition smells so good.,653622481429864448
_thebrunettes_,2015-10-12T19:39:00,"@Burberry 💄♥ 

https://t.co/tJgbY3JAe5

#blog #blogger #beauty #burberry #lipstick #love #fashion #style #picture http://t.co/HFNhm7ROO6",653656151796662273
nina214st,2015-10-13T11:05:00,good morning @Burberry,653889209174880258
blushnglow,2015-10-13T11:33:00,@Burberry Rosewood &amp; Field Rose Lip Mist review &amp; swatches http://t.co/GDFjzydPLB via @blushnglow #bblogger #makeup #bbloggeruk,653896233455628289
nina214st,2015-10-13T13:10:00,@Burberry,653920679138426880
tamutamu0077,2015-10-13T14:24:00,"@Burberry 
Mr. Christopher Welcome to Japan💖",653939389458812928
Lissie_Kate,2015-10-13T17:01:00,@Burberry has the prettiest shoes #INeedToWinTheLottery,653978998561615872
