screen_name,created_at,text,id
BarberSandra,2015-10-06T18:19:00,@santanderuk trying get cash from atm. Says no reply from your bank. Whats going on??? #desperatehere,651461732674727937
nattashaa_,2015-10-07T11:04:00,@santanderuk is the shitest bank. Trying to charge me £75 for overdraft useage when my bank is in credit. #SHIT,651714634462928896
Ldavies283,2015-10-07T11:26:00,@santanderuk fed up with your customer service and numerous empty promises - glad I’m moving away. #creditcardsdivision #unhappycustomer,651720171946659840
FernBartholomew,2015-10-07T12:15:00,@santanderuk why do i have a £54 charge on £5 odd on an account that can be £12 or less overdrawn. #MoneyGrabbing #DaylightRobbery,651732545902637057
Aiken_Drumn,2015-10-07T13:52:00,"@santanderukhelp requested security number replacement weeks ago, what has happened to it?",651757092760604674
roboma,2015-10-07T14:12:00,"@santanderukhelp filled application online, then did as you asked and took passport plus council tax bill and unity bill to local branch",651762098834403328
roboma,2015-10-07T14:13:00,@santanderukhelp you now claim you only have the passport. My daughter is 16 the Bulls were in our name ... She doesn't have bills !!!,651762326677422081
laurennnnx,2015-10-07T16:24:00,@santanderuk on hold for 40 minutes and then get told you can't speak to me because I can't remember when somebody last put money in my bank,651795145243926532
jameslaw1989,2015-10-07T16:56:00,"@santanderuk cheeky fucking cunts increasing the 1|2|3 account fee by 150%. Time for a new bank a think, you interested @AskHalifaxBank ??",651803271477207041
IskrenKulev,2015-10-07T18:11:00,@santanderuk increasing the monthly fee for current account holders to 5£ - time to change banks :(,651822043827183616
Libbylyle1,2015-10-07T19:00:00,@santanderuk can someone answer the phone on customer service that's my 4th attempt today at 45mins each time holding!!!! What the hell,651834479066091521
ChelseaAVTees,2015-10-07T21:39:00,@santanderuk #Spendlytics app is amazing! Really puts your spending habits into perspective. Everyone should have it!,651874583268720640
sebdunnett,2015-10-07T21:52:00,@santanderuk You're not getting any points for online credit card management. Can't pay it off until I get a statement? @RBSGroup let me...,651877831761338368
sebdunnett,2015-10-08T07:46:00,"@santanderukhelp Thanks, have just sent email.",652027150980222976
tomholt,2015-10-08T07:57:00,@santanderukhelp I believe there were two people suspiciously at the cash point together just before me at 7pm... If you've got CCTV on it!,652029960933257216
Gabriellelowe02,2015-10-08T10:18:00,@santanderukhelp yes how about stop charging me for being in my overdraft when I have a STUDENT account 😡😡😡😡,652065546549202944
FrankieKelly24,2015-10-08T10:55:00,@santanderukhelp is there a problem with the Android app? It's not working on phone or tablet? #firstworldproblems could use the laptop...,652074713309671424
jay_tyler,2015-10-08T11:19:00,@santanderuk Fantastic service in the Bothwell Street branch today. Even some printer problems didn’t put them off their stride!,652080854110486529
FrankieKelly24,2015-10-08T11:20:00,@santanderukhelp seems to be working now.. managed to log in,652081058213707776
bam_mobile,2015-10-08T11:30:00,@santanderuk http://t.co/H83jfJOhoH You're in our review of mobile friendly UK banks #santander #repsonsive #mobile,652083562070474752
Libbylyle1,2015-10-08T13:32:00,@santanderukhelp thank u will do.,652114439383195648
LewisMarsh_,2015-10-08T14:21:00,@santanderukhelp I was trying to buy an item earlier but it said my card failed to authorised. I then got a phone call saying my account was,652126709718888448
steveoreilly7,2015-10-08T14:48:00,@santanderukhelp can a CS Agent tell me what pending Card payments are on my account? Seems a discrepancy between available and balance?,652133437764059136
only1jones,2015-10-08T16:43:00,"@santanderuk your ""faster payments"" take anywhere from 2 to 16 hours? Faster than what, a horse and cart? #Santander",652162319909163008
hairy_gav,2015-10-09T10:16:00,@santanderuk thank you. My day is so much better!  https://t.co/p1aPPqpY2j,652427376786284544
ObsidianDev,2015-10-09T10:20:00,@santanderuk why doesn't online banking have a page listing all CPAs? Clearly you know it's a CPA - you should list them like DDs,652428412406136832
smerkzlel,2015-10-09T12:22:00,@santanderukhelp Is there another way? I never seem to get an email response,652459071870763008
robgrainge,2015-10-09T14:26:00,@santanderuk I requested an email or some correspondence to provide as evidence to the payee n was told it was not possible. #banking #joke,652490354415955968
robgrainge,2015-10-09T14:31:00,@santanderuk pls put on international payments webpage that the cutoff for processing is 12pm each day so this never happens again #banking,652491522005295105
cafcwillo,2015-10-09T14:34:00,@santanderuk justify you new account fees at over 60% not even been with you a year 💰💰💰💰💰💰💰💰💰💰💰💰💰,652492426301558785
Andycarwrecker,2015-10-09T16:12:00,@santanderuk do you have an international number for your consumer finance team? Thanks,652516925730332672
RlCattani,2015-10-09T21:14:00,@santanderuk @TheBHF TOTAL BOYCOTT  SPAIN! DO NOT BUY ANYTHING FROM SPAIN! CHANGE LAW AND STOP  KILL BULLS,652593060770148352
ArronJHamilton,2015-10-10T09:33:00,@santanderukhelp she said it just appeared when she visited the site to login to her banking. Possibly an advert or some kind of promo,652778901345816576
balenolad,2015-10-10T09:47:00,@santanderuk trying to open account for 11yo daughter but so hard! They had HER on phone for 25mins #hard http://t.co/IR4aEN9ljl,652782460237926400
RossK_W,2015-10-10T10:20:00,@santanderukhelp email sent. Over to you.,652790703882432513
jessblakeleyox,2015-10-10T11:27:00,@santanderuk charge me unnecessarily one more time I'm guna flip,652807696400392192
ArronJHamilton,2015-10-10T16:20:00,"@santanderukhelp no, definitely your site- it was yesterday, she was avoiding all websites but thought Santander would be safe..",652881515718836224
Kai_2k,2015-10-10T18:06:00,@santanderuk is there a way to enable #touchid authentication on your #iphone personal banking app please?,652908082398404608
Christy_Lee__,2015-10-10T22:42:00,@santanderuk WHY DOES MY DEBIT CARD NEVER WORK WHEN ONLINE SHOPPING??,652977626353664001
coolkilo45,2015-10-11T11:59:00,@santanderukhelp why is my card being declined when buying something on Amazon!,653178159383334913
HeyIamLuke,2015-10-11T13:43:00,@santanderuk I have just found out you are increasing my joint account monthly fee from £2 to £5. We only joined a few months ago...,653204338156945408
timjonti,2015-10-12T02:41:00,@santanderuk On 123 account do you pay monthly charge,653400169812246528
