screen_name,created_at,text,id
RussellShelbyKa,2015-10-06T14:57:00,"@blackrock credit risk everywhere, could make 2008 scare, new reality",651410838797053952
Mark_FidFin,2015-10-06T22:26:00,"@blackrock thanks for sharing BlackRock®, have a great Tuesday :) (insight by http://t.co/phR7UAkGJQ)",651524038175653888
AhmedRamzyR,2015-10-07T10:26:00,"@blackrock could you send this statement 
http://t.co/a9IjrjSJQr",651705271392317440
ChrisSchmutz1,2015-10-07T12:07:00,@blackrock #chinaproblems  https://t.co/obWuvOsgRq,651730624978382849
AP_InvestEurope,2015-10-07T12:42:00,@blackrock in #FSSUMMIT to talk #realestate securities. #assetmanagement @InvEurope,651739485059837952
AP_InvestEurope,2015-10-07T12:47:00,"@blackrock #FSSUMMIT James Wilkinson, co-global CIO, @blackrock real estate securities to talk.",651740558738722816
RussellShelbyKa,2015-10-07T13:04:00,"@blackrock China was purposely excluded from last trade deal, they did not want China dictating policy",651744827642617856
kurtosys,2015-10-07T16:06:00,"@blackrock congrats, you're ranked #15 on this week's The Asset Managers Power 100. http://t.co/BdC3t2OQgn #AMPower100",651790770932948993
BarryWright519,2015-10-07T19:28:00,@blackrock Time to increase your holdings in $MHR? Shares trading far below fair value.  https://t.co/GWToeraXY5,651841559135055872
optionscalpers,2015-10-07T20:04:00,@blackrock http://t.co/XffTzLjFGb,651850640566710273
RossKerber,2015-10-07T20:21:00,@BlackRock to boost shareholders' power after backing reform elsewhere http://t.co/tgCjUmEXCk via @Reuters #corpgov,651854803593658370
dsxV11x11V,2015-10-07T21:35:00,@blackrock @FfwdOrg when the ships going down (america)are you still making money/if you can keep your head when all about you are losing t?,651873542259257344
deborahfuhr,2015-10-07T22:23:00,@BlackRock seeks share trading rules shift - @ishares #ETFs @FT http://t.co/DSoucDLNrl,651885497854390272
dsxV11x11V,2015-10-08T01:58:00,@blackrock black rock vs fed. richer than godzillions?no,651939660030189572
02d16b8d4c0846a,2015-10-08T02:33:00,@blackrock http://t.co/k8Pf75ewj2,651948406466867200
TPAtweets,2015-10-08T06:35:00,@BlackRock decides to give shareholders a vote on proxy access #corpgov #investorrelations #ESG http://t.co/bbYqwYWqWw,652009411402203136
deborahfuhr,2015-10-08T11:29:00,"@BlackRock taps into @Google, @Twitter for 'nowcasting'  @Ignites  http://t.co/l5Hz1n3Vy4",652083375797325824
HIPinvestor,2015-10-08T13:42:00,"@Blackrock $4.7 Trillion asset manager, Michelle Edkins: #ESG easier to hear as ""Operational Excellence"" #futurerisk http://t.co/E7qnQbDUBp",652116812889497600
PamDevereux,2015-10-08T13:43:00,@blackrock Michelle Edkins tells us that analyst questions about #supplychain efficiency are really about #sustainability #NewMetrics,652117190766891010
PamDevereux,2015-10-08T13:48:00,"@blackrock Michelle Edkins Over time, direct engagement, dialogue should replace shareholder resolutions #NewMetrics",652118325770723328
CoClearCo,2015-10-08T13:50:00,@blackrock investors influencing directors to look for 'operational excellence' at #NewMetrics http://t.co/VDgb1diFnj,652118881344057344
davidamichaels,2015-10-08T14:48:00,"@blackrock is not even a planet, guys http://t.co/2Y2ouvi3my",652133484975161344
OrrickImpact,2015-10-08T16:24:00,@blackrock &amp; @DevalPatrick lay out the challenge to use consistent metrics &amp; learn from related experiences in #impinv #SOCAP15,652157678974693376
Roth_Immoinvest,2015-10-08T18:43:00,@Blackrock CEO Fink considers German #Bund no longer a safe #investment  http://t.co/l3rEgkPrNG via @welt,652192690566766592
kofinakos,2015-10-08T20:51:00,@blackrock,652224747552514048
rockeyfiya,2015-10-08T21:48:00,@blackrock  im rockey fiya,652239147017498624
larry8061,2015-10-09T00:57:00,"@blackrock bullshit.  Even you know, it is POLITICS!",652286717664342016
honeykfyi,2015-10-09T17:06:00,@blackrock Get a personal loan at a low rate . . . http://t.co/Yrno7JQbOc http://t.co/of6ML8FD8U,652530505259327488
Zlicepromos,2015-10-10T02:58:00,@blackrock #ZliceAlbumz http://t.co/wGSuwdxlsQ,652679455413006336
horsetree100,2015-10-10T07:40:00,"@blackrock 40%ROI$95K WE BUILD HOMES FOR PEOPLE W/DISABILITIES! WE NEED HELP W/FUNDING! ALL FUNDS ESCROW!40%ROI$95K!
horsetree100@gmail.com",652750573746282496
dsxV11x11V,2015-10-10T20:04:00,@blackrock oh it speaks?save me im broke?,652937777848434689
PJHORNAK,2015-10-11T02:06:00,@blackrock one of your best info graphics,653028950235549696
DCoska,2015-10-11T02:11:00,@blackrock stupid model : was In Capri this summer and all prices did +50% because Italians were waiting for American tourists USD,653030019887828992
ClutchIsHome,2015-10-11T11:32:00,"@blackrock Yes, advertise on Twitter. I know grandma is scrolling through favoriting selfies and thinking about retirement. #ReTweet",653171394478403584
bsandersonrocks,2015-10-11T11:32:00,@blackrock aren't jobs a lagging indicator?,653171334755823616
devinvest,2015-10-11T11:41:00,"@blackrock @TheBubbleBubble @sobata416 What ""solid jobs gains""?",653173461511106561
dsxV11x11V,2015-10-11T13:22:00,@blackrock pensons are wise will we get one?prob not so were gonna need a hussle?fx?so buy dukascope?y and fxcm my nana dog was called duk E,653198931611021313
dsxV11x11V,2015-10-11T13:23:00,@blackrock buy stock not completely buy,653199262789074944
BasicAlexis,2015-10-12T06:57:00,@blackrock Plz be open 24 hours . I ❤️ u,653464410724241408
Charlesanb67,2015-10-12T07:09:00,@blackrock#I have a Dream#PEACE#YESWECAN# http://t.co/mwVKon3bSw,653467495366586368
EzekielProphecy,2015-10-13T01:03:00,@blackrock Considering the Fed loaded up on TIPS with maturities extending to 2043 = yes. It's time.,653737846705025024
rrryandc,2015-10-13T03:48:00,@blackrock Targets Idealistic Millennials With Do-Good #investing http://t.co/Q7KPa9GOco,653779362433495040
burgessansm,2015-10-13T12:38:00,@BlackRock Targets Idealistic #Millennials With Do-Good Investing http://t.co/kudeLojo8W via @business #wallstreet #markets,653912627798786048
dchadreed,2015-10-13T12:44:00,"@blackrock , which manages $4.7 trillion in assets, launches Blackrock #Impact U.S. Equity Fund",653914212142440448
AnneinParis,2015-10-13T12:49:00,@blackrock Tries Do-Good Investing http://t.co/qYn2izTtmp @sangwonyoon Margaret Collins @ethanbronner http://t.co/nsT3gcFBA3,653915354578616321
SharonAConklin,2015-10-13T13:27:00,@blackrock Please fix your 13F for 9/30/2015.   It looks like you sold everything.,653925013234524160
PabloRionyA,2015-10-13T14:45:00,@blackrock cerró la adquisición del fondo de inversión mexicano Infraestructura Institucional (I2),653944661447282689
RogueTechTM,2015-10-13T16:17:00,@BlackRock for Whitlock,653967692324544512
NYCricket,2015-10-13T20:47:00,@blackrock Who is your head of your Americas Events Group? I'd like to reach out.,654035845217959936
TeethInMyNeck7,2015-10-13T21:38:00,@blackrock @AdamCadamsnyd,654048666261549056
HIPinvestor,2015-10-13T22:10:00,@blackrock funds target idealistic #Millennials Wlwith Do-Good Investing http://t.co/0tFjjYzt5F  @business #esg #risk #impinv #SRI,654056679911374848
