screen_name,created_at,text,id
nenecuevasm,2015-10-06T18:37:00,@CarnivalPLC Biembenidos a Rep.Dom,651466349047209984
PuertoPlata_POP,2015-10-07T00:56:00,@CarnivalPLC @CarnivalCruise it was great to receive the first cruise today! Felt just like its name: Victory! http://t.co/cktpVqvDCh,651561736814759936
Travel1Denise,2015-10-07T15:04:00,@CarnivalPLC @PrincessCruises,651775027986214912
MartecSpa,2015-10-07T15:15:00,@CarnivalPLC announces 2020 #sustainability goals  #marine,651777872789680128
xqueenoffoolsx,2015-10-08T01:49:00,@CarnivalPLC @CarnivalCruise she is so ready for a cruise! #CruiseSmile #sweepstakes http://t.co/0UJK9aDah7,651937505072259072
VikramNair1,2015-10-08T10:32:00,@CarnivalPLC New #cruise destination opens in Dominican Republic http://t.co/nV3jac3rcU via @USATODAY,652068957625688064
costamedmx,2015-10-08T18:36:00,@CarnivalPLC Congrats for the new dock in #PuertaMaya @FCCAupdates now 3 @CarnivalCruise visit  #Cozumel http://t.co/g7NZPxpd5v,652190835770007553
CruisePortalNZ,2015-10-09T01:58:00,"@CarnivalPLC has celebrated the opening of its third berth in Cozumel, #Mexico. Full details here: http://t.co/aa3bDptV8Q",652301965058179072
CruiseReport,2015-10-09T10:53:00,@CarnivalPLC Adds Third Berth to #Cozumel Pier -  http://t.co/uy9wNSQ1p0 #cruise #travel http://t.co/FI2caOTsT7,652436820509102080
gaiazzi,2015-10-09T15:55:00,@CarnivalPLC announces 2020 #sustainability goals  #marine,652512769254817792
ActiveNationSot,2015-10-09T17:06:00,@CarnivalPLC Get active for FREE with @ActiveNationSot this Discovery Weekend http://t.co/oeY9EyAkBH http://t.co/CqpSQgZIij,652530656082313216
xqueenoffoolsx,2015-10-12T01:08:00,@CarnivalPLC @CruiseSmile @CarnivalCruise #CruiseSmile #sweepstakes  Nassau smiles! http://t.co/FQFIzK8aMS,653376715079720961
HudsonsView,2015-10-12T12:00:00,"@CarnivalPLC @fathomtravel look to Cuba: CEO-wherever we dock, we help local economy. https://t.co/5LHB9riBnc @WLRN #SunshineEconomy 9aET",653540667835092996
HudsonsView,2015-10-12T12:17:00,"@CarnivalPLC @fathomtravel hope to sail @PortMiami to Cuba in May, '16. Will CEO Arnold Donald be on board? @WLRN 9a https://t.co/ybtXDYRrnq",653544917575163904
hopeless11,2015-10-12T20:00:00,@CarnivalPLC @SeabournCruise #CruiseSmile #sweepstakes http://t.co/ttbW72gYSi,653661434971160577
HudsonsView,2015-10-12T22:36:00,@CarnivalPLC CEO will “absolutely” be on 1st cruise to Cuba. https://t.co/ybtXDYRrnq @WLRN #SunshineEconomy 7pET,653700688782819328
HudsonsView,2015-10-12T22:57:00,"@CarnivalPLC CEO: Wherever we dock, it’s good for the local economy: https://t.co/5LHB9riBnc @WLRN #SunshineEconomy 7pET",653705990462816256
barbra_csr,2015-10-13T02:38:00,@CarnivalPLC tackles #plastic in the #oceans in 2020 #sustainability goals. #TravelMatters  https://t.co/z1q87tmb5T http://t.co/i9TSn90NNi,653761763704483840
Cohen_Spencer,2015-10-13T02:55:00,@CarnivalPLC @SeabournCruise #CruiseSmile #Sweepstakes selfie 4 a chance to win a 7 day cruise http://t.co/89XwUJ9Q2w,653766088262557696
VikramNair1,2015-10-13T10:23:00,@CarnivalPLC Will Double #Cruise Lines Serving #China Market in 2017 http://t.co/0SbCSKRzNn via @business,653878655249174533
_Pat_Clarke,2015-10-13T13:06:00,@CarnivalPLC to Expand with Two More Brands in #China by 2017 | TravelPulse http://t.co/mRILLF3azg,653919662049206272
DMPicone,2015-10-13T16:18:00,@CarnivalPLC @MickyArison @CarnivalCruise @aida_de The addition of Aida is a bit interesting.,653968065877704705
mrgrumpy1956,2015-10-13T22:24:00,@CarnivalPLC THATS A LOT OF PEOPLE FRENDS YOUR TAKING ON.,654060284781457408
CubaExpert,2015-10-13T23:35:00,@CarnivalPLC's @fathomtravel announces 7-day #cuba #cruise itinerary &amp; cultural activities http://t.co/GPfxx8Ee8c http://t.co/DkJxRofrFM,654078103895932928
beachjamie1234,2015-10-14T05:36:00,@CarnivalPLC WHO DO I HAVE TO KNOW TO GET SOME CUSTOMER SERVICE???? ALL EMAILS HAVE BEEN IGNORED!!!!!,654168967595094016
HBAR_Andrews,2015-10-14T09:56:00,@CarnivalPLC continuing expansion in the Asian market - 'three year-round ships and three seasonal ships' http://t.co/Tf1UqzzsL7 …,654234276091838464
STLRunner29,2015-10-14T15:48:00,@CarnivalPLC I also how I love when I asked them to take it off my bill they refused because they said I should have refrigerated it!,654322860522110976
mrgrumpy1956,2015-10-15T20:00:00,@CarnivalPLC @CarnivalCruise @AmericanCancer well done all,654748704851693568
scottlara1961,2015-10-16T15:48:00,@CarnivalPLC @HALcruises Did someone say #HollandAmerica? https://t.co/p1erjSvk1x,655047661024841729
hopeless11,2015-10-16T18:10:00,@CarnivalPLC @HALcruises #CruiseSmile #sweepstakes http://t.co/eYMXNPeeWG,655083441327726592
Travel_lushs,2015-10-17T05:20:00,"@CarnivalPLC @PrincessCruises 

Sail away with a smiley http://t.co/4puvVw4ZrV",655251949810556928
PattyCakes_65,2015-10-19T01:52:00,@CarnivalPLC @CarnivalCruise #CruiseSmile #CruiseMonth http://t.co/RSPDin90po,655924401876180993
hopeless11,2015-10-19T03:58:00,@CarnivalPLC #CruiseSmile #sweepstakes http://t.co/GsRMNkGnke,655956188132065281
atschki,2015-10-19T19:25:00,@CarnivalPLC @CarnivalCruise #CruiseSmile #Sweepstakes https://t.co/dNABB1CMXx,656189499135889408
kte116,2015-10-19T20:07:00,@CarnivalPLC @CarnivalCruise #CruiseSmile #sweepstakes https://t.co/9ZNHXuPuth,656199894198308864
mommy3sons,2015-10-19T22:08:00,@CarnivalPLC @CarnivalCruise #sweepstakes #CruiseSmile https://t.co/SpDn4KRYCu,656230513066254336
CNBCtravel,2015-10-21T16:26:00,@CarnivalPLC forms JV in China to launch Chinese cruise brand  $CCL,656869286305243136
_Pat_Clarke,2015-10-21T17:37:00,@CarnivalPLC Announces Joint Venture to Launch Domestic Chinese #Cruise Brand #China | TravelPulse https://t.co/ckSVk5ZI0G,656887151913734144
ukcruising,2015-10-21T17:54:00,@CarnivalPLC forms joint venture in China with China State Shipbuilding Corp and China Investment Corporation on a new cruise venture,656891433346056192
