screen_name,created_at,text,id
TWC,2015-10-06T18:15:00,The most romantic place to celebrate a wedding anniversary is a car dealership according to Louis. Watch @FreshOffABC tonight at 8:30pm ET.,651460864642519040
TWC,2015-10-06T18:58:00,The adventures of a boy and dinosaur. #GoodDino in theaters November 25. https://t.co/LFr3T1ioGK,651471678191497217
TWC,2015-10-06T20:31:00,The team tries to solve the secrets of the monolith with the help of an Asgardian tonight on #AgentsofSHIELD at 9/8c on @ABCNetwork.,651495021322076160
TWC,2015-10-06T21:18:00,RT @EW: Marvel's #BlackPanther hires a writer: http://t.co/LDGuDOTAFJ http://t.co/UjUdUSNY5E,651506923582328832
TWC,2015-10-07T00:01:00,It's a Shaq attaq tonight on #BestTimeEver! Tune in at 10/9c on @nbc.,651547970530320384
TWC,2015-10-07T00:15:00,"Tonight on the season premiere of #FindingCarter, Carter learns the outcome of Lori's trial. Tune in at 10/9c on @MTV.",651551416469856256
TWC,2015-10-07T10:15:00,Don't miss the South Africa vs USA Rugby match today at 10:30am ET order it now on #PayPerView: http://t.co/rVpDMLJn4r,651702369584054272
TWC,2015-10-07T13:31:00,Explore the legend of King Arthur tonight on #ExpeditionUnknown with host @joshuagates on the @TravelChannel tonight at 9/8c.,651751696234889216
TWC,2015-10-07T14:02:00,There is no such thing as a secure building. #MysteriesofLaura is tonight at 8/7c on @nbc.,651759425498292224
TWC,2015-10-07T17:31:00,Star City is under attack by the evil Damien Darhk and his team of assassins tonight on the season premiere of #Arrow at 8/7c on @CW_Arrow.,651812133907378176
TWC,2015-10-07T20:31:00,Cookie and Anika hope to catch the attention of #MrWorldwide. @pitbull guest stars tonight on #Empire at 9/8c on @FOXTV.,651857429114830849
TWC,2015-10-07T21:15:00,".@ABCNetwork nails it with Tuesday night family comedies! Watch #TheMiddle, #TheGoldbergs, @ModernFam and #blackish starting at 8/7c.",651868543873626113
CharterCom,2015-10-07T22:30:00,The legend returns and doesn’t miss a beat! Watch @JayLeno assist Jimmy's @FallonTonight Show monologue: https://t.co/2ILFDqiGEs,651887273135337472
TWC,2015-10-07T22:31:00,The Darkness is here. Watch the #Supernatural season 11 premiere tonight at 9/8c on @cw_spn. RT if you're tuning in!,651887591642537984
TWC,2015-10-07T23:45:00,IT'S FINALLY HERE! RT if you're checking in to Hotel Cortez! The season premiere of #AHSHotel is tonight at 10/9c on @AHSFX.,651906255381000193
TWC,2015-10-08T00:42:00,RT @Variety: #OrphanBlack’s Tatiana Maslany is in talks to join Jake Gyllenhaal in #Stronger http://t.co/9YMDssRuTV http://t.co/YI4rT0cMNL,651920596922556417
CharterCom,2015-10-08T15:55:00,RT if you watched #ChicagoCubs’ Jake Arrieta pitch a complete-game shutout in the most anticipated post-season game. http://t.co/CfaJCSPmAo,652150371175915523
TWC,2015-10-08T16:02:00,Things are getting bizarre on #Chopped. See what delicious dishes the chefs make with bizarre ingredients tonight at 8/7c on @foodnetwork.,652152122067161088
TWC,2015-10-08T16:15:00,Team Chubby has a sponsor! Cheer on your favorite hockey league team tonight on #Benders at 10/9c on @IFC.,652155487597662213
TWC,2015-10-08T16:47:00,RT @EW: Marvel announces #AntMan sequel and its surprising title: http://t.co/WwuxDWrktG http://t.co/dxpqbiVOO2,652163448281808897
CharterCom,2015-10-08T17:11:00,We got hands-on to help a veteran/cancer survivor who is newly widowed. #CharterOurCommunity http://t.co/IcyRFq0koH http://t.co/EbavsRwvbH,652169470736076801
TWC,2015-10-08T17:31:00,Zombies and ghosts tonight on #FluffyBreaksEven at 10/9c on @fusetv.,652174511769546752
TWC,2015-10-08T18:16:00,Host @donwildman visits a real-life monument to a celluloid boxer tonight on #MysteriesattheMonument at 9/8c on @travelchannel.,652185692743856128
TWC,2015-10-08T19:16:00,#Thirstdays are back! Don't miss the season premieres of #TheVampireDiaries and #TheOriginals tonight beginning at 8/7c on @CW_network.,652200833598291968
TWC,2015-10-08T19:45:00,Happy birthday @WWE Superstar @mikethemiz!,652208309617983488
TWC,2015-10-08T20:16:00,Liz is still on the run and Red is the only person she can trust. Watch #TheBlacklist tonight at 9/8c on @nbc.,652215904583974912
TWC,2015-10-08T22:02:00,"A bottle of wine &amp; our favorite spot on the couch. We're ready for #TGIT! #GreysAnatomy, #Scandal and #HTGAWM tonight starting at 8/7c.",652242718668783616
TWC,2015-10-08T22:45:00,What does Pandora have planned for #SleepyHollow? More monsters and evil will be let loose tonight at 9/8c on @FOXTV.,652253545916448768
TWC,2015-10-08T23:58:00,.@EPIXHD &amp; #TWCExclusives want to send you to the premiere of @TheHungerGames: #MockingjayPart2. Enter Now: http://t.co/9AlXdd04lu,652272002342850560
TWC,2015-10-09T01:45:00,"Never miss a touchdown on Sunday afternoons, get TWC Sports Pass with @NFLRedZone from @NFLNetwork: http://t.co/ts0phlUJ4D",652298810274791425
TWC,2015-10-09T11:02:00,Happy birthday #CrimsonPeak director @RealGDT! @crimsonpeak is in theaters October 16!,652438971558023168
TWC,2015-10-09T13:45:00,"Watch the @Rangers and @BlueJays square off in Game Two of the ALDS, LIVE at 12:30pm ET on @MLBNetwork. http://t.co/GycN2NJVuZ",652480095932837888
TWC,2015-10-09T15:02:00,Happy birthday #NCISNOLA star @ScottBakula! Don't miss @NCISNewOrleans Tuesday nights at 9/8c.,652499456974319617
TWC,2015-10-09T16:31:00,"Troy Carter, chairman and CEO of Atom Factory, is the ""guest shark"" tonight on #SharkTank at 9/8c on @ABCNetwork.",652521887336144896
