screen_name,created_at,text,id
xluss,2015-10-10T03:43:00,@TWC I fucking hate you guys.,652690932014301184
kingausv,2015-10-10T03:49:00,@TWC @TWC_Help what's going on with the Internet??,652692287709810688
OG_OGHI,2015-10-10T04:21:00,@TWC how am i supposed to Netflix and Chill with no internet???? If its not fixed by the time this girl comes over im switching over to @ATT,652700345374654464
iamparamedic,2015-10-10T06:15:00,@TWC lagging for days now!  Home business suffering...HELP!,652729054903209984
tg1783,2015-10-10T12:04:00,@TWC @TWC_SoCal when will the Internet be up and running? #googlefiber,652816992731205632
tg1783,2015-10-10T12:05:00,@TWC SoCal outage update???,652817276467449856
ESPNIanOConnor,2015-10-10T19:03:00,@TWC why can't I see the Texas-Oklahoma game?,652922421629054976
danny6208,2015-10-10T19:03:00,"@TWC ok Chris from Raliegh, expecting to see a service technician very soon",652922415849279488
CindyEveryday,2015-10-10T23:10:00,@TWC My internet is fasssssssst #happy,652984509596471296
jewil9,2015-10-11T00:09:00,@TWC the next available appointment to have someone fix my equipment is greater than 10 days from now. #HireSomePeople 😡,652999413464461312
MalRochester,2015-10-11T00:10:00,@TWC I have never been treated so poorly by any #customerservice operators. It's been a problem for about a week now &amp; no one can help.,652999716049850368
Salvato231Janet,2015-10-11T15:19:00,@TWC @ABCNetwork http://t.co/Hsux3KE2kY,653228420877414401
jfsjoe,2015-10-11T17:31:00,@TWC Why is the Bears game blacked out in Kenosha?,653261732417302528
dannmartin91,2015-10-11T19:11:00,"@TWC this outage, BRUH.",653286703260504064
Steelcityterror,2015-10-11T22:43:00,"@TWC  after trying to get our bill straight, and no solution or answers, this.. in our driveway without permission. http://t.co/nHPlDp9WO4",653340057185746944
CocaineNinja1,2015-10-12T00:54:00,"@TWC CEO would have received an 80,000,000 bonus for selling to Comcast. Yet my service doesn't work properly.",653373031096561664
idawg387,2015-10-12T01:04:00,@TWC @Rangers @BlueJays Funny because it doesn't work...,653375673919213568
jacobgr56,2015-10-12T03:17:00,@TWC Missed another week of football due to missing channels. Weekly customer service calls should not be part of watching TV,653409184558514176
daneahunderwood,2015-10-12T04:14:00,@TWC seriously?!Get your game in #westhollywood together! How about a night where I watch a movie WITHOUT it stalling at the best part?,653423584539377665
OldMaidWhovian,2015-10-12T13:29:00,"@TWC ,  why don't I just get rid of you altogether, since you think you can just screw this customer,  &amp; use the library computer for FREE?",653563064026054657
WKUChuckClark,2015-10-12T15:52:00,"@TWC For the third time, TWC  scheduled appointment to fix off-and-on internet. And for the third time, NO ONE SHOWED UP.",653599042165952512
paulh891,2015-10-12T17:41:00,@TWC Again you've proven to have the worst customer service! Not able to tell me when you'll show up for my request made 9/21 is RIDICULOUS!,653626611204497408
riddle_elijah,2015-10-12T19:31:00,@twc amber Still acts like I have nothing to be mad at. So looks like att fios will be my next provider.,653654346303836160
DCHRISM,2015-10-13T01:27:00,@TWC way to blow it with the Dodgers vs Mets game.,653743914378072064
Decker313,2015-10-13T02:05:00,@TWC has complete garbage Internet service,653753408512479233
jhelm102288,2015-10-13T02:07:00,@TWC 👎👎👎,653753945706393600
Josh_Wilensky,2015-10-13T02:10:00,@TWC @TWC_Help every channel I try to watch the Mets game on is blacked out. What's going on?? #TWCfail,653754588084994048
Sheriefahmed,2015-10-13T02:28:00,@TWC why pay this much money for any type of service that doesn't work?,653759292487663616
InHollywoodland,2015-10-13T03:07:00,@TWC your wifi is terrible 😕,653768958491930624
Omnicry,2015-10-13T04:49:00,"@TWC I have tried over and over to be patient with your company and to no avail.  After numerous ""tech supervisors"" service still sucks",653794709081473024
Omnicry,2015-10-13T04:51:00,"@TWC numerous credits for the past 2 months with no permanent fix, so I have decided to switch and hope that others too shy away.",653795171289534464
Buzzy1952,2015-10-13T13:41:00,@TWC and #AMHQ already talking up lame winter storm names that nobody else uses or wants to!,653928655064825856
atlasgeographic,2015-10-13T13:45:00,@TWC what's the ETA on service restoration in Wilmington?,653929635311435776
iztoku,2015-10-13T14:07:00,"@TWC, outage in CLT? For almost 6 hours now. What gives? ETA for fix?",653934972416446465
KovichOatskovh,2015-10-13T20:16:00,@TWC your internet is quite crap. Good thing version is on my side,654027848571858948
JokzR_,2015-10-13T21:08:00,"@TWC @TWC_Help Get your fucking shit together, enough with the outages losers.",654040915082936320
kevynfairchild,2015-10-14T00:18:00,@TWC web DVR manager down + being stuck at work + @CNN not being part of @TWC cable provider for @cnngo (idiotic) = no debate &amp; @TWC sucks,654088757868654592
aprilmwyatt,2015-10-14T01:39:00,@TWC @TheBastardEx @FXNetworks I am betting Wolf.,654109167192412160
imcarrieh,2015-10-14T02:16:00,"@TWC May i please get an eta for restoral, ourage in 92311 area since late afternoon #helpnotvdataphone",654118585732718592
BBWS_ROCK,2015-10-14T04:04:00,@TWC why does my IP address 99%   Of the time show me here 😡. http://t.co/bMYVIWLytZ http://t.co/ekqiFi62KU,654145737001799680
ejrood11,2015-10-14T04:18:00,@TWC my internet is horrible. Streaming a 30 min episode on Netflix takes an hour because it's constantly buffering!!!,654149156546682880
KnightisRight,2015-10-14T21:31:00,@TWC don't ever call my phone again soliciting packages or I will switch internet to windstream and then you really won't get a dime from me,654409094934196226
MasonDicob,2015-10-15T00:59:00,@TWC Why is your internet connection so slow and your tech support can't speak English?,654461666789212160
AllranA,2015-10-15T01:16:00,@TWC any news on the outage in Charlotte,654465828298051584
michaelselkirk,2015-10-15T02:16:00,@TWC So who do I have to fuck to unsubscribe from your spam?  Because the unsubscribe link is clearly just to humor us for another 10 days.,654480918086860804
kmccraight,2015-10-15T03:06:00,@TWC cheap ass. You go buy me a box connector thing and give me back food network for free,654493601548890116
aIItjmetrash,2015-10-15T03:13:00,@TWC my house phone isnt working because your wifi is down now we dont have anything for emergencies except cell,654495225893621760
UncleWillmott,2015-10-15T04:02:00,"@TWC @SouthPark @ComedyCentral Bernie sanders won last night's debate. Even if you did contribute to Hilary's campaign, she lost.",654507720444379136
wgroch,2015-10-15T05:10:00,@twc cable and internet out in Penfield again,654524722819006464
steel207,2015-10-15T12:00:00,@TWC http://t.co/MCquuYeYp2,654627802541629440
