screen_name,created_at,text,id
Chevron,2015-10-06T19:26:00,"@nicholasjbrewer Chevron will continue rolling out Apple Pay for in-store sales to 3,000 stores this year.",651478664320786432
Chevron,2015-10-06T19:42:00,@mouse09 Thx 4 bringing this to our attention. We'll pass this along to the appropriate parties. Please DM us the station location.,651482706044436480
Chevron,2015-10-06T20:42:00,Support #edu when you fill-up in Oct. How your purchase can help fund Chevron @FuelYourSchool: http://t.co/9MOC2Q1g9Q http://t.co/ysVGnjjZGB,651497816167215104
Chevron,2015-10-06T21:47:00,@jnotenboom Thank you for contacting Chevron. The pump limits have not changed for NFC-enabled payments.,651514165983621120
Chevron,2015-10-06T21:50:00,RT @changeequation: The @49ers teamed up with middle school students to paint a #STEM-themed mural for @ChevronSTEMZONE: http://t.co/bzzPrL…,651514772077322240
Chevron,2015-10-06T22:44:00,RT @ChronRhiannon: Chevron's CEO calls for an end to the crude export ban http://t.co/osJMkk6rOg,651528360494018560
Chevron,2015-10-06T23:42:00,RT @FuelYourSchool: Utah's @GovHerbert commits to teachers &amp; education. Watch this @Chevron #FuelYourSchool classroom delivery here: http:/…,651542956768366592
Chevron,2015-10-07T00:16:00,@HoustonPubMedia Thanks for the tweet! Chevron is proud to support.,651551512976617472
Chevron,2015-10-07T00:22:00,@IU1FabLab Looking good—thanks for sharing!,651553022833750016
Chevron,2015-10-07T14:40:00,"@itszero In addition to San Ramon, we R also accepting NFC mobile payments at the pump in  Cupertino 
10023 South De Anza Blvd in Cupertino",651769119042314244
Chevron,2015-10-07T18:22:00,"RT @AmazonPost: Chevron in today's @financialpost: Shameful that fraud continues to be perpetrated around the globe.
http://t.co/0W9VzI5j04",651824813921669121
Chevron,2015-10-07T19:08:00,Excited to participate in #HENAAC conf next week &amp; support #Hispanics in #engineering. Find us at Booth 123: http://t.co/5J9I1XYaLd,651836391006056449
Chevron,2015-10-07T20:26:00,"Since 2011, the Angola Sickle Cell Initiative has screened and tested 121,000+ newborn babies.
https://t.co/JH5VGuuOAA",651856031610368000
Chevron,2015-10-07T21:12:00,Chevron volunteers helped 100 Bay Area organizations like @PLTWorg during 22nd annual volunteer week #weekofcaring http://t.co/JhLOGp0YB9,651867600310415361
Chevron,2015-10-07T21:33:00,@AnnalaSusan Please send a DM w/ your contact info (email/phone) &amp; station location and we'll pass this along to the appropriate parties.,651873007456100352
Chevron,2015-10-07T22:34:00,RT @ChevronRichmond: Do you ever wonder about the clouds you sometimes see over the refinery? They are made up of steam. http://t.co/WB0oVf…,651888232184082432
Chevron,2015-10-08T13:28:00,@_TRIBVL_ please visit http://t.co/vtCqDdyWo5 to see when we might be at a school in your area.,652113355147223040
Chevron,2015-10-08T14:57:00,@iemarketingrmf Most gas stations are independently owned &amp; operated. They are free to set retail prices. More here: http://t.co/1b5yxLq1Nq.,652135616394596354
Chevron,2015-10-08T15:07:00,@iemarketingrmf Most gas stations are independently owned &amp; operated. They are free to set retail prices. More here: http://t.co/N0DW9ERpYT.,652138203709706240
Chevron,2015-10-08T17:24:00,Chevron &amp; @NAE_DC team up to bring #EngineeringDesign to PreK-12 classrooms http://t.co/tj5iMsUVwh @STEMConnector http://t.co/7x6mwxwoaV,652172608729939968
Chevron,2015-10-08T19:56:00,RT @ErikaConner: .@Chevron Pipe Line Company Pres. Al Williams gives advice to students @msstate http://t.co/IjdsNAq0zM @msstate,652210857670279168
Chevron,2015-10-08T20:42:00,"RT @FuelYourSchool: Support local teachers this October through Chevron #FuelYourSchool! Learn how: http://t.co/L8nduJtHMk.
https://t.co/Xq…",652222436331638784
Chevron,2015-10-08T22:40:00,@GripeO_Feed Thx 4 bringing this to our attention. We'll pass this along to the appropriate parties. Please DM us the station location.,652252246898540544
Chevron,2015-10-08T22:50:00,@ZOEcg Thanks for contacting Chevron. We'll pass this along to the appropriate parties.,652254753443971072
