screen_name,created_at,text,id
FakeRobotGamer,2015-10-06T17:58:00,yeah fuck those other kids. goddamned assholes. @Chevron,651456612406657024
AdSport,2015-10-06T18:26:00,@Chevron pumps hundreds of thousands of dollars into local schools - http://t.co/gMhZ2UUONq #Utah #Education #STEM #Education,651463679276224512
HLM_59,2015-10-06T19:38:00,@Chevron I'm sure will support engineers unless they start making more viable modes of transportation to reduce our consumption of their oil,651481671619903488
Kiteh_Kawasaki,2015-10-06T21:46:00,"@Chevron Today, the United States and Japan are MILITARY ALLIES under the Treaty of San Francisco - imagine that: http://t.co/ut4RujC8s6",651514006797094912
DolphinTeacher1,2015-10-07T02:14:00,@Chevron @FuelYourSchool Thank you for funding my coworker's project! She's going to get some much-needed technology for her classroom!,651581394003451905
DisasterConv,2015-10-07T05:45:00,"@Chevron Do you know about the 4 day #InternationalDisasterConvention2015 in #Dubai ??
More Details at https://t.co/r4aRauCsnS",651634308709351424
contoguris,2015-10-07T08:47:00,@Chevron Working on interesting FLNG project in Black Sea. Interested in Teaser? Pls let me know to send NDA,651680284136615936
AnnalaSusan,2015-10-07T19:52:00,@Chevron u are about to lose a long time customer over this issue with your pumps &amp; BMO card holders! How long does it take to fix this?!?😖,651847586190458880
MEBriefing,2015-10-07T21:32:00,@Chevron #Saudi-#Russian #Oil Dialogue After #Syria http://t.co/VjrYdPjkiw,651872767084630016
BL00DB0RN,2015-10-07T21:53:00,@Chevron great work!,651877927185985536
AMaurno,2015-10-07T22:16:00,@Chevron true,651883764612620289
diabolic76,2015-10-07T22:43:00,@Chevron Are we leveraging them? Whats the % of patents under litigation which deems them unusable until verdict arrives??,651890578846715904
viptownsend,2015-10-07T22:56:00,@Chevron,651893771739664384
AnnalaSusan,2015-10-07T23:16:00,@Chevron It is MULTIPLE locations that have this issue and I already sent an email to your customer service.,651899038510399488
sodaskelly,2015-10-07T23:43:00,@Chevron that is a really jarring gif to the eyes,651905657138905088
raftofwater,2015-10-08T00:27:00,@Chevron How many copyrights?,651916857805438976
jakenolen,2015-10-08T01:16:00,@Chevron stop pretending like you're doing our state a favor. #GreenEnergy,651929177420005376
jakl,2015-10-08T01:41:00,@Chevron so I guess you don't support abolishing software patents to improve the current state of the industry... https://t.co/0F1zyWurCu,651935413871882240
jasonscheirer,2015-10-08T02:20:00,"@Chevron I #love to #interact with #brands like you, @chevron ! Please keep up the #good #gifs that don't make me #motionsick at all",651945265683795968
DoD_Ascendants,2015-10-08T03:22:00,@Chevron you mean like big oil holding patents on the true gas saving electric  cars. . Yes dooers doing. . Smh,651960938690707456
Nialist,2015-10-08T03:48:00,@Chevron http://t.co/Rs7zLMX6jG,651967428990271488
Living_Crayon,2015-10-08T04:14:00,@Chevron poop,651973928454262784
mattkingsfan,2015-10-08T04:32:00,@Chevron and that sign is the reason,651978423754092544
julnuev,2015-10-08T04:33:00,@Chevron @PLTWorg @andrespaezid #Ecuador http://t.co/TBi6hkAa7Z,651978597108948992
emmanuelheifa,2015-10-08T16:19:00,VKON™ Commodity Index II Revision (R) @WSJ; Canada Revenues $3.900 T to $8.900 T via @Chevron Hamilton Oil Donation:http://t.co/ZlsavqsggF,652156302794231808
