screen_name,created_at,text,id
mariodelacruz,2015-10-06T21:33:00,@Cisco presente en #Canieti2015 @CANIETI @CiscoPubPolicy @CiscoMexico @CiscoNoticias @Cisco_LA http://t.co/oUpvenbneI,651510627748327424
uncompromise,2015-10-06T23:52:00,@Cisco &amp; @ubiglobal talking about their initiative to accelerate social businesses globally http://t.co/ZOfd2Opq4y #impinv #socent #SOCAP15,651545600928825344
OSHEANKevin,2015-10-07T00:01:00,@Cisco @CiscoSecurity any plans to incorporate TouchID into AnyConnect? Would allow ease of connecting w complete credentials,651547771032465409
dougwestervelt,2015-10-07T02:25:00,@Cisco disrupts $60M ransomware biz http://t.co/HiYABQJgzZ #infosec,651584096531910656
JayngoUnchained,2015-10-07T04:20:00,@Cisco Thanks for teaching an entire generation about women's underwear 👍,651613069894811648
SoCalSciCafe,2015-10-07T08:42:00,@Cisco ($CSCO) seeks to boost #cybersecurity with Portcullis buy http://t.co/LIpyh3cEV3,651678855191785472
DrBrianHart,2015-10-07T08:51:00,@Cisco ($CSCO) seeks to boost #cybersecurity with Portcullis buy http://t.co/jB36KrXNQf,651681117825835008
EwelinaPyda,2015-10-07T09:17:00,@Cisco presenting IoT strategy for #challengeup and @IntelLabsEurope #IoT #OpenInnovation http://t.co/99UHkpEamM,651687686265249792
nerds_net,2015-10-07T09:42:00,"@Cisco Share any crazy inventions, innovations and smart ideas &gt; http://t.co/0m8cQ9K7Ny Please RT and Welcome! http://t.co/IvK5gPMYq1",651694037527871488
SoCalSciCafe,2015-10-07T17:16:00,@Cisco ($CSCO) seeks to boost #cybersecurity with Portcullis buy http://t.co/fbXQBAu5hJ,651808206965108736
VishalTSR,2015-10-07T17:52:00,@Cisco disrupts $30m Angler hacking operation -  http://t.co/gCTWlswMKw,651817304464998400
SupSvcMI,2015-10-07T19:01:00,@Cisco disrupts $30 million browser plug-in hacking operation | @ZDNet http://t.co/6LykMZrVCD,651834697350254592
IbrahimMalick,2015-10-07T19:28:00,"@Cisco struck a blow to hackers, disrupting a significant revenue stream generated by the Angler Exploit Kit https://t.co/KX6oGzXPIU",651841476197019648
ilariasanvito74,2015-10-07T20:32:00,@Cisco Awarded Top International Honor for #EnergyManagement http://t.co/pcenbylgyL,651857625685082113
giofranc,2015-10-07T22:49:00,@Cisco http://t.co/wH3UmkmuTT,651892220660969472
FANUCAmerica,2015-10-07T23:00:00,@Cisco partners with FANUC on product to fix robots before they break | http://t.co/yC2jQIVVEU via @FierceMobileIT #mfg,651894962653630464
BrianMcL5,2015-10-08T01:05:00,@Cisco nice of someone to run a explorer software update in the middle of the leaf hab game ...that was bright,651926373737476096
abdoshabah,2015-10-08T03:13:00,@Cisco New C.E.O. Envisions Big Changes : smart distributed clouds http://t.co/SL4DzvBPNQ,651958623166443520
in4reg,2015-10-08T06:02:00,@Cisco va réinvestir plus de 100Millions d'euros en #France #startup,652001138812825600
beckrichdambry,2015-10-08T06:55:00,@Cisco @beckrichdambry,652014477555183616
