screen_name,created_at,text,id
SegNerd,2015-10-06T16:25:00,"@AskCiti Dividend platinum select, http://t.co/tifKsBHHMy dispute section in USA",651433029450133504
bhavanajaiswal,2015-10-06T19:08:00,@AskCiti I filled up the link today morning itself. No reply in my inbox after the entire day. Gonna bother helping a premier customer?,651474174863638528
MsKBG,2015-10-06T19:43:00,@AskCiti thanks! You guys rock.,651482901142499328
MrHeelAndToe,2015-10-06T20:12:00,@AskCiti hows that citi price rewind cant find lower price on an iphone 6 plus on apple website? Its 100 bucks cheaper than i bought.,651490130935574529
afuzzyllama,2015-10-06T20:17:00,@AskCiti When I navigate to http://t.co/UPxgLh1WwE I'm getting a server error with the code Citi003.  Is this a localized problem?,651491500723994624
djanson08,2015-10-06T20:30:00,@AskCiti Did a PC from AAdvantage Platinum Select Visa to AA Bronze. I can still use my old card #! Old card # charges show up in Bronze acc,651494878141153280
doublebo7,2015-10-06T20:37:00,"@AskCiti its a waste of time, 4 weeks on I've had no update. Clearly to retrieve monies from a fraudulent acc. action needs to be prompt 1/2",651496640587677696
Jamison_IO,2015-10-06T21:33:00,"@AskCiti why isn't citi  supporting #ApplePay, @Android Pay and @SamsungMobile pay for their store branded cards? Makes zero sense.",651510583473385473
jedz2dmax,2015-10-07T00:41:00,@AskCiti yes please.,651557823973756928
maddenhill,2015-10-07T01:41:00,@AskCiti how can I get my interest rate on my credit card reduced? I never been late.,651573033312784385
mdotsC,2015-10-07T04:46:00,@AskCiti no worries!,651619636241432576
HoboGobo,2015-10-07T12:17:00,@AskCiti asking ppl to fill a form on Twitter in itself is a customer service / CRM failure. @bhairavi_jani,651733024023842816
YungTPS,2015-10-07T13:05:00,@AskCiti I have a question about my checking account. I opened a citi gold account but it looks like someone change the account type..,651745196649132032
Shmurda_Yo,2015-10-07T13:17:00,@AskCiti checking acct,651748093982081024
vongillern,2015-10-07T14:20:00,@AskCiti my bill. I don't have time for shenanigans. I'm done with you.,651764097709543424
jdotp,2015-10-07T16:16:00,"@AskCiti No.  I'm done discussing, it's time to just close the account and bank somewhere that doesn't have a fraud dept constantly blocking",651793320092405760
gitbisect,2015-10-07T16:42:00,@askCiti I can't link my new card to my account? The solution is to create another? WTF?! unacceptable. http://t.co/uhGksEf5wq,651799696818634752
Undrue,2015-10-07T17:30:00,@AskCiti my CC is issued from Jakarta but none of them proved they want to provide support. Finally the travel agent return back to my CC,651811732659154944
Undrue,2015-10-07T17:47:00,"@AskCiti okay i will do,",651816008219426817
