screen_name,created_at,text,id
Dulal_Upadhay,2015-10-06T18:17:00,@Colgate here is my #Dubsmash entry for #ColgateSaltSmash challenge! I am confident that I did it better than Kajal https://t.co/lgbBISdcZ8,651461391295971328
Dulal_Upadhay,2015-10-06T18:18:00,@Colgate my #Dubsmash 2nd entry for #ColgateSaltSmash challenge! I am confident that I did it better than Kajal https://t.co/ZeUGZ4rRXq,651461529007591424
lovelightliam,2015-10-06T20:58:00,@Colgate why does the Irish Spring Signature for men smell like Whiskey and/or Guinness beer??,651501832498343936
ruhithallon,2015-10-07T12:22:00,@Colgate Pls help 2 put right the wrongs of #PalmOil. Money needed 4 displaced #orangutan shelters @ fire risk https://t.co/KDmK5wO91Y,651734234139348992
BrandAttractive,2015-10-07T13:30:00,@Colgate -The #brand that has been keep your teeth health for years is now the #MAB2015 #OralCare catgory. http://t.co/lFAxPE3Qtl,651751352893177856
advanzis,2015-10-07T14:30:00,"@Colgate muestra que al terminar los niños sabrán que es muy importante lavarse los dientes!
#marketing http://t.co/oBH69J8U0p",651766427020587008
iammutukufred,2015-10-07T15:10:00,@Colgate kindly follow back.,651776684010668032
rlivney_granger,2015-10-07T16:16:00,@Colgate-Palmolive Mark Vollrath global director supply chain talks Integrated Business Planning at #BP4CP @SAP_CP,651793134251323392
KarlsAG,2015-10-07T23:59:00,@Colgate Puedo ser tu modelo de sonrisa? 😬😏,651909675986718720
aline604,2015-10-08T01:44:00,@Colgate what's difference between these 2 products? Same ingredients but different claims. #marketingquestions http://t.co/NaiOg8GA2B,651936199473426432
RoyalCarnation2,2015-10-08T07:14:00,@Colgate http://t.co/xKBJD6wIBj,652019292590903296
Isuprasam,2015-10-08T14:13:00,@Colgate just upgraded my toothbrush from an electronic one to a manual one 😂 http://t.co/Hsn1PO41ur,652124580878921728
deepakgurunath,2015-10-08T16:27:00,@Colgate here is my #Dubsmash entry for #ColgateSaltSmash challenge! I am confident to win https://t.co/UbTTrS5hfQ,652158403763003393
cyprian_designi,2015-10-08T16:29:00,@Colgate @Emorytarte http://t.co/8xXXzbwtN2,652158814226022400
Moumita_DD,2015-10-08T17:10:00,@Colgate My #Dubsmash entry for #ColgateSaltSmash Challenge 1st entry! https://t.co/EDi0uKPaZ5,652169309687443456
Moumita_DD,2015-10-08T17:15:00,@Colgate My #Dubsmash entry for #ColgateSaltSmash Challenge 2nd entry! https://t.co/waoIaApouq,652170405231198208
Alejo_18Bite,2015-10-08T21:28:00,"@Colgate 
Use pastas colgante desde desdé que era niño y siempre cambiaba según un nuevo modelo sacaban de dichas pastas,es una verguenza",652234238381592576
Alejo_18Bite,2015-10-08T21:29:00,"@Colgate haber usado vuestro producto durante años, son unos torturadores su marca esta manchada con sangre @PETA_Latino",652234486407544832
DAIJOLIE,2015-10-09T00:00:00,@Colgate Boa noite! Há alguma coisa na fórmula da Colgate que me da alergia. Boca incha e irrita. Isso em vários produtos. Impossível usar.,652272469550698497
cesar92hdz,2015-10-09T02:41:00,@Colgate  Gracias a su pasta se hizo esta sonrisa http://t.co/GFdT8Btb9b,652312916092305408
cesar92hdz,2015-10-09T02:55:00,@Colgate Gracias a su pasta salio esta sonrisa http://t.co/ONSXbCfU2B,652316535789228032
psatya093,2015-10-09T09:47:00,@Colgate here is my #Dubsmash entry for #ColgateSaltSmash challenge... hope to win  https://t.co/ijbM8DHFFm,652420150839259136
jsumit892,2015-10-09T10:00:00,@Colgate here is my #Dubsmash entry for #ColgateSaltSmash  https://t.co/dGCLXlFQbz,652423287021002752
aline604,2015-10-09T22:34:00,@Colgate which whitening igredient? In the label both products contains same ingredient and same amount.,652613022557442048
SaskHeadhunters,2015-10-09T23:38:00,"@Colgate Fleecy ""Fresh Air"" scent is more like ""old lady perfume in a nursing home""",652629125769768960
SharnieY,2015-10-10T13:14:00,@Colgate 😁😁😁😁 http://t.co/NxuOwr0RBe,652834705168039936
CreatingChoices,2015-10-10T21:50:00,"@Colgate Thanks, sooner rather than the future would be preferable. Could you tell me why you don't sell fluoride free toothpaste in the uk?",652964457644195840
janelson17,2015-10-11T13:08:00,@Colgate Awesome! I do hope you bring the stand-alones back someday!,653195382797770752
