screen_name,created_at,text,id
spokaneray,2015-10-13T05:15:00,"@Comcast, I believe in family friendly entertainment and I demand that you add #RFD-TV and #FAMILYNET RT @OfficialRFDTV @FamilyNet",653801127968796672
toddmillerVA,2015-10-13T17:10:00,@comcast Sherwin at the Silver Spring call center just saved your hides! #CustomerService #goldstar #OneMoreYear #DontMakeMeRegretIt,653981219235995648
IamYungStarJc,2015-10-13T17:19:00,@comcast why are y'all asking me what devices I have connected to the internet? Are you sending someone to rob me?! #Why,653983444620460032
Mrbillisk,2015-10-13T19:35:00,"@comcast wouldn't have to data cap your your Internet, smh when something as simple as this doesn't even come to your greedy minds",654017683210440704
AdamWesting,2015-10-13T20:50:00,@comcast never fails to disappoint! At least they know how to be consistent..,654036515295789057
geechavez,2015-10-13T21:36:00,@comcast you're garbage.,654048158620774400
BrianRocheWGAL,2015-10-13T22:40:00,@Comcast Tests Program That Proactively Calls Customers To Fix Problems.   http://t.co/7Hl9cu8crs,654064172481781761
dlahern,2015-10-13T23:50:00,@comcast 2/2 ...on two cab rides to service center to get a new X1 Box. Got it home and still see this http://t.co/DgCnCJb5zf,654081891168047104
MuzikchikRR,2015-10-14T00:32:00,.@comcast .@XFINITY .@Nest not in my house. It actually NEVER works.,654092361836986368
rickl420,2015-10-14T00:34:00,@comcast fix your shitty tv app.,654092940894187520
StephonJS87,2015-10-14T00:44:00,@comcast shouldnt be dissing @Uverse in commercials . Xfinity has issues too. I have with issues this it everyday,654095339520176128
Denise_Doll,2015-10-14T00:52:00,@Comcast is truly the worst,654097323983814656
WillGreenburg,2015-10-14T01:42:00,"@comcast i leave the country for a year, only to come back and find you screwing over my roommates? fuck off.",654109990941126656
Young_J_Mac,2015-10-14T01:48:00,@comcast doing @50cent dirty! Who the hell is Calvin Jackson!? http://t.co/UPbHS6jnlo,654111563490590724
__fc,2015-10-14T02:00:00,@comcast @comcastcares Can’t stream video (during playoff baseball) due to your upgrades. When will you be back online?,654114435179614208
rbisconti97,2015-10-14T02:26:00,"@comcast attempted to ""fix"" our static IP issue and made it worse. At least the internet was working before they ""fixed"" it.",654121177342939136
MelissaBrooklyn,2015-10-14T03:00:00,@comcast @XFINITY THANKS FOR YOUR CRAPPY SERVICE. I missed the last half of the 9th inning of the @Mets game,654129733735686144
Lilc1973,2015-10-14T04:26:00,@Comcast @Comcastcares @ComcastDsntCare You don't care about customers so I don't care about your equipment. It is still waiting here.,654151285034360832
Lilc1973,2015-10-14T04:31:00,@Comcast @Comcastcares @ComcastDsntCare You never did send a technician out to turn off my service or pick up the equipment as promised.,654152584027107328
jassmith87,2015-10-14T09:32:00,"@comcast why do I have to call you EVERY MONTH to have you remove a BS charge, which you always remove, THEN YOU ADD IT AGAIN. EVERY MONTH!!",654228264823558144
bryanchambo,2015-10-14T13:22:00,@comcast Really 50 minutes with no call back feature?  Where is VHT ?,654286043852599296
nversel,2015-10-14T13:40:00,"@Comcast's @sleavitt00: Build #healthinnovation on reality, not existing system - @MedCityNews http://t.co/IsLtwLKPgX #digitahealth #OWHIC",654290758950912001
ErikJTwork,2015-10-14T16:53:00,"@comcast has the worst freaking customer care I have ever witnessed. Tell my mother service on Wed, but actually it turns out it's next Wed.",654339216827092992
vtwits,2015-10-14T22:02:00,@Comcast you just lost a customer. Let me miv to  @DIRECTV,654416940614549504
SophiaZhang622,2015-10-14T23:33:00,@comcast sucks!!!,654440013640261633
jmbrsantos,2015-10-14T23:50:00,@comcast my Internet had been down since this morning and seriously lagging last night. Help!,654444260310192128
twflanagan,2015-10-15T00:30:00,@comcast @XFINITY this has happened every night this week what am I paying 200 a month for?? #comcastfail #fail http://t.co/uWO9T6JsIH,654454204392603648
