screen_name,created_at,text,id
JosephHesano,2015-10-07T06:29:00,@Diageo_News http://t.co/vSBm0BFlYg,651645620449468416
WhyAlwaysEkow,2015-10-07T09:12:00,@Diageo_News ups stakes in @GuinnessGhana. Buys @Heineken's 20%. Now owns 72% in brewery. Still Heineken’s exclusive distributor in #Ghana,651686629170614272
bellhara,2015-10-08T11:25:00,@Diageo_News @MottMacDonald bring the Guinness to Brazil,652082473753518081
RoyalCarnation2,2015-10-10T10:02:00,@Diageo_News http://t.co/U07ugCDJoJ,652786219072405504
lukeming,2015-10-11T07:32:00,@Diageo_News Cannabis is evil. Now repeat. https://t.co/MSDOv2hIUE,653110789524602880
GPTW_Global,2015-10-13T15:30:00,@Diageo_News cares about their employees. Congratulations #17 #WorldsBest #BestWorkplaces http://t.co/AXHJ6FI9ad,653955967797870592
GPTW_CAyCaribe,2015-10-14T23:25:00,"@Diageo_News obtenido el 17º lugar en el Ranking #BestWorkplacesGPTW 2015
 
¡FELICITACIONES! http://t.co/7Ii2MnatS0",654437789967249409
wur2le,2015-10-15T17:56:00,@Diageo_News hey guys where would I find Rumpleminz In the uk?,654717414622363649
cal4865,2015-10-18T18:26:00,@Diageo_News @CaptainMorganUS EQLB https://t.co/a6161mXDVd,655812236116652032
I_Report_Store,2015-10-19T11:38:00,@Diageo_News #Pagoda @Pernod_Ricard leading #HongKong #spirits market @Canadean #beverage http://t.co/s9mes1Svbo,656071813928058884
USGBC,2015-10-20T18:29:00,@Diageo_News: Voting last day for USGBC Board &amp; Advisory Council. Thanks for all you do! We value your input! https://t.co/fIf0mQXXKv,656537672127787016
SubhadeepSengu1,2015-10-23T17:00:00,"@Diageo_News  @johnniewalker_ @TheVijayMallya  REVIVE KFA ASAP. So many people died due to ur lies, U son of a bitch, bastard, asshole.",657602452116508672
RoyalCarnation2,2015-10-24T13:34:00,@Diageo_News https://t.co/cDlCLgJHxi,657913041292398592
victormgbaeza,2015-10-26T15:03:00,@Diageo_News can lead movement in Mexico at become the first alcoholic beverages company to promote certified destruction of empty bottles,658660249461624833
LucyrhiannonLee,2015-10-26T19:55:00,@Diageo_News looking forward to it!,658733775208259586
RevistaImagen,2015-10-27T01:58:00,@Diageo_News y @HKStrategies también se llevan el Oro con “Distrito Smirnoff” en la categoría #Eventos #EIKON2015,658825150360657920
GlaceLuxuryIce,2015-10-27T04:46:00,@Diageo_News @FT would love to see that and connect!,658867221150625792
tishmusicuk,2015-10-27T12:15:00,@Diageo_News #corporatetraining a night your clients will never forget! @RBTMtour tish@rockacademy.co pls RT TY https://t.co/CNCZPBngvF,658980334546108420
EMPEA,2015-10-28T14:00:00,@Diageo_News Global brand propositions resonate just as much in African countries as they do elsewhere. #FTPEA15,659369206199296000
bettieboep,2015-10-28T18:02:00,@Diageo_News Delighted to be serving European Tour 2015 @OCHdublin The Alex this evening! Thanks for the support! https://t.co/b8rZnGmqkg,659429999926231040
asiahouseuk,2015-10-29T09:46:00,@Diageo_News Experts: 'Lack of political leadership and strategy is holding back ASEAN infrastructure' https://t.co/jkfN7qIT5v,659667566328209408
lauragrazier,2015-10-29T09:52:00,@Diageo_News 's Francis Agbonlahor and @UnileverWorld 's Rana Sengupta are talking on #consumerbehaviour in #Ethiopia @EconomistEvents,659669175510675456
_jm85,2015-10-29T10:40:00,@Diageo_News - I would rather businesses stop looking at what is between peoples legs and looked at the skills they can bring to the place.,659681253281693700
