screen_name,created_at,text,id
RichBartlett,2015-10-07T10:15:00,"@DirectLine_UK I'm now connected to an operator, thank you. Surprising to hear that this is peak time for calls to a claim line though",651702284431290368
Mikute777,2015-10-07T13:26:00,"@DirectLine_UK Love Autumn this year! We always pass the park,so girls has 5 min play each morning! And jumps:) http://t.co/iPauNlzghZ",651750386869661696
ladyrare1,2015-10-07T15:34:00,@DirectLine_UK be ready for many more when FRACKING is rampant,651782654640177152
AngeloT01,2015-10-07T18:12:00,@DirectLine_UK Even in Bonnie Edinburgh? #directfix,651822404151418881
AngeloT01,2015-10-07T18:29:00,@DirectLine_UK Is that a defo?,651826576649285632
AbhiCalvin,2015-10-07T18:44:00,@DirectLine_UK website down?,651830488651403264
AbhiCalvin,2015-10-07T18:50:00,@DirectLine_UK looks like it came back up. Was giving DNS errors for a minute or two when clicking through google,651832003113943040
EllsLouise_,2015-10-07T18:56:00,@DirectLine_UK I've got through now thank you! The lady was very helpful :),651833389000093696
chezcope2011,2015-10-07T19:16:00,@DirectLine_UK will do. Can you follow me as it won't allow me to DM you,651838581871378432
liveotherwise,2015-10-08T07:31:00,@DirectLine_UK How are you at sending out good vibes for daughter taking first real exam? ;) #directfix,652023379617316864
whatmummythinks,2015-10-08T08:34:00,"@DirectLine_UK 1 baby refuses to nap, 1 house that needs packing &amp; 1 threenager to pick up at 11:30 =not a successful morning #directfix pls",652039373416988672
R1ktyl3r,2015-10-08T09:52:00,@DirectLine_UK you need to speed up the process of sending NCB. #slow #emailinstead,652059069583392768
WikiLurks,2015-10-08T11:49:00,"@DirectLine_UK  Every time I try ring you, your systems are down? They were down 3 weeks ago and you still haven't responded to email",652088439505072128
kemsing57,2015-10-08T13:27:00,@DirectLine_UK that's the pet insurance cancelled. Now for the cars....,652113085793181696
Nige_TheWineGuy,2015-10-08T16:22:00,@DirectLine_UK how do I DM you,652157228498063361
hm_mulgrove,2015-10-09T07:38:00,@DirectLine_UK aww still feel sooo poorly pls help 😓 #directfix,652387558157103104
Miss_G_1,2015-10-09T09:27:00,@DirectLine_UK email address to make a formal complaint.,652414990503280640
CharlieSykess_,2015-10-09T12:42:00,@DirectLine_UK @joevalentine99 hem hem,652464100228902912
Mike_Buckingham,2015-10-09T13:13:00,"@DirectLine_UK Is it possible to add legal cover part way through a home insurance policy?  If not, what are your charges for advice? Thanks",652471885276540928
drooperscot,2015-10-09T16:55:00,"@DirectLine_UK hmm, noting time of journey suggests your telemetric facility is dubious as anticipated. http://t.co/TYPrmZPwxM",652527722841948160
drooperscot,2015-10-09T17:19:00,@DirectLine_UK done,652533797012013058
hamzakikiout2,2015-10-10T19:08:00,@DirectLine_UK انا احب الخير لكامل الناس و مانديرش العيب..نولي و ماسمحتش .كيف كيف انا و محي الدين..و..http://t.co/yAdCl3EVMx     .NIGRO,652923577990279169
Tysess,2015-10-10T20:38:00,"@DirectLine_UK Your FAQ at http://t.co/YC8qjYrHNO states ""Please read the Important Statements page"", but where is a link to this page?",652946300028198913
im_sunshine_,2015-10-11T14:07:00,"@DirectLine_UK hi, need to change my direct debit dates is there a way I can do this quick having problems phoning out.",653210421382483968
Tysess,2015-10-11T21:35:00,"@DirectLine_UK Okay, thanks Paddy. But seems a little odd to only have access to 'Important Statements' after buying a policy.",653323021239853056
bradleyflory,2015-10-12T09:47:00,@DirectLine_UK highly unlikely they will ever come to my town nothing ever does :-(,653507286695079936
HayleyWott,2015-10-12T10:53:00,@DirectLine_UK yes Bristol based in Bradley Stoke. Everyone was sent home last week. x,653523967198785536
beinglittle,2015-10-12T11:18:00,@DirectLine_UK is it 10 pints of coffee?,653530294855798784
MrsAmyGill,2015-10-12T11:28:00,@DirectLine_UK unless you can bring a coat to the school playground then No! ;),653532748867600384
TheParentGame,2015-10-12T12:04:00,@DirectLine_UK I've left my student daughter at home doing the ironing and I forgot leave her anything for dinner! #guilt #directfix,653541827224686592
Jamesqnicholls,2015-10-12T12:05:00,"@DirectLine_UK Well, if it makes you fell sad that I’m thirsty, then hop on at Swindon or Reading tomoz with a hot choccie. Ta.",653542074575421440
TheParentGame,2015-10-12T13:25:00,@DirectLine_UK Thank you! #directfix,653562254663786496
EmPizzey,2015-10-12T15:56:00,@DirectLine_UK just got off phone for pet insurance claim and needed to send positive feedback for Neil Cundall.  Patient and helpful. A++++,653600117069606912
missmathu,2015-10-12T16:09:00,@DirectLine_UK I cannot direct message you,653603505689772032
missmathu,2015-10-12T17:51:00,@DirectLine_UK thanks for replying,653629028398694400
missmathu,2015-10-12T18:03:00,@DirectLine_UK you tell me to direct  message and you don't #thisiswhattheydo #fakepromises,653632010955661312
mort_in_exile,2015-10-12T18:07:00,"@DirectLine_UK sent, fingers crossed.",653633176737333248
chubbyjon,2015-10-12T18:19:00,@DirectLine_UK £110 admin fee just to change the policy to my new vehicle? I know where I'll be taking my business next time you thieves.,653636188197285888
Bobbodino,2015-10-12T18:55:00,@DirectLine_UK thanks Ross I have sent the details via DM,653645282605944832
malcolm1406,2015-10-12T19:03:00,@DirectLine_UK  A call last week to update car insurance. Took about 20 mins to answer 3 mins to deal with. £9 call charge. Come on!!,653647220848373765
TheParentGame,2015-10-13T07:49:00,Huge thanks to @DirectLine_UK who delivered a lovely meal for my hard working student daughter! http://t.co/UkWDv9ttgY,653840062887645184
ryanlgreer,2015-10-13T08:13:00,@DirectLine_UK definitely in need of a #directfix after yesterday and this headache I've woke up with,653846001770463232
jloustev,2015-10-13T09:00:00,@DirectLine_UK #directfix I am full of cold went out to tesco forgot to get a hair dye I have no energy to go back 😔,653857957369802752
NicholaArmo,2015-10-13T09:30:00,@DirectLine_UK My daughters bmx got stolen last night from Bristol lots of tears 😢😢this morning could you help cheer her up 😀 #directfix,653865348849139712
tomographs,2015-10-13T10:18:00,@DirectLine_UK Ok so how do you think you could help with the #coffeecockup?,653877486061776896
williammclennan,2015-10-13T11:09:00,@DirectLine_UK YES! Where do I sign?,653890254571745280
tomographs,2015-10-13T11:18:00,"@DirectLine_UK The solution would be a prosthetic hand, replacing my damaged one &amp; prevent future injury. Is that something you can supply?",653892511333789696
Juange18,2015-10-13T11:19:00,@DirectLine_UK Ummm....sure?! #confused,653892845816954880
DirectLine_UK,2015-10-13T11:25:00,"@alyssiagould Hi Alyssia, if you're interested in receiving a #directfix, please let us know by 1.30pm",653894211834650624
dave11murray,2015-10-13T11:26:00,"@DirectLine_UK needing to make a travel ins claim, but I can't get a dial tone on the number I have 4 claims dept?",653894477522857984
Leigheff,2015-10-13T12:06:00,@DirectLine_UK How kind of you! will you guys be in Newcastle at all? #DirectFix,653904747754340352
bllewellyn_,2015-10-13T12:09:00,@DirectLine_UK yaaaay,653905414543773698
Emmeey,2015-10-13T12:13:00,"@DirectLine_UK I am in Clevedon, Does that count at Bristol??",653906339144540161
