screen_name,created_at,text,id
xiaoxiaoxion,2015-10-09T18:23:00,@Discovery beautiful music 😀😁😂,652550071448268800
gizzyr83,2015-10-09T19:41:00,@Discovery @Gold_Rush how long until it is on in the UK?,652569641370390528
JillSmithjis,2015-10-09T19:56:00,@Discovery @AlaskaTLF @kilcherfrontier Enjoyed the episodes of ATLF today! Made doing household chores enjoyable-on commercial breaks-lol,652573375773188097
dokisin,2015-10-09T23:16:00,@Discovery Mother nature at her finest,652623753294180352
misticdragon923,2015-10-09T23:56:00,@Discovery,652633825353138176
DegroffMichelle,2015-10-10T10:43:00,@Discovery @DiscoveryComm #savedudeyourscrewed #Damandingwantingmoreseasons #hugebigmistake #bringbackthedudes #missthedudes,652796708880019456
AMPichotta,2015-10-10T23:23:00,@Discovery thanks for sharing!  Do you think it will stay in the area?,652987793421893633
David_Lee_Evans,2015-10-11T00:10:00,"@Discovery Thus proving the law of ""Spontaneous Generation"" cease  to be active at least 48 million years ago! Time to publish!  :)",652999732801994752
itsmelofficial,2015-10-11T00:18:00,@Discovery Science is incredibly amazing...  #prophetsofsciencefiction,653001634738368512
misticdragon923,2015-10-11T03:31:00,@Discovery,653050345749282817
buscheldebbie,2015-10-11T13:18:00,@Discovery I'll be working in Vermont. It's beautiful there especially this time of year,653197929134620672
ChazEarley,2015-10-11T13:58:00,"@Discovery 
Back on track.",653208012492959744
TheLaserExperts,2015-10-11T14:34:00,".@Discovery If you want to repeat that experiment with #Lasers, let us know.",653217111469256704
misticdragon923,2015-10-11T19:06:00,@Discovery,653285542730186756
DjonRemba,2015-10-11T19:15:00,@Discovery he is Putin,653287711734923264
HooplaHa,2015-10-12T13:50:00,"@Discovery Believe it or not, but this donkey actually paints for charity: http://t.co/em1zVWQf0b",653568462627934208
ChanakyaAli,2015-10-12T13:54:00,@Discovery A Bangladeshi-US Citizen and Inventor under Attack for his patented idea in EconomyPLEASE SIGN PETITION - https://t.co/Q3SeL7ZKIY,653569410561609729
ConejoPimienta,2015-10-12T14:18:00,"@Discovery Men, YES!",653575474698952705
BlumGarry,2015-10-12T16:27:00,@Discovery @im_not_elijah,653608018270121985
paperpilot22,2015-10-12T17:10:00,@Discovery more episodes of #FastNLoud!!!!!!,653618775367913472
charybaniqued,2015-10-12T17:18:00,@Discovery made of what?,653620745986113536
swimboy5677,2015-10-12T19:01:00,@discovery @fastnloudtv I sure like to meet the the members of the show .james,653646792353943553
swimboy5677,2015-10-12T20:07:00,@discovery @fastnloudtv i wish to meet in person.james,653663397381193728
misticdragon923,2015-10-12T21:01:00,@Discovery,653676971616919552
Deannasenior,2015-10-12T21:42:00,@Discovery @ChristoDoyle12 year old #SydneyTheCancerSlayer shares (pls share) her words of wisdom with the world  https://t.co/AGlVGSboYJ,653687331279400960
SmileSonrisaTX,2015-10-12T21:51:00,Wow! RT @Discovery: An enterprising baboon was recently spotted using makeshift dental floss http://t.co/WNxXtzYzTC http://t.co/Q5tAabr1Nm,653689427215056896
Words4Thot,2015-10-12T22:40:00,@Discovery They need to do SOMETHING to entertain themselves! It must get mind-numbingly boring down there at times.,653701899783413760
jbach2121,2015-10-12T22:46:00,@Discovery Yeah??????   AND??????????....,653703297782652928
Holistic_Ninja,2015-10-12T23:12:00,@Discovery pretty cool but Mother Nature always wins,653709758700978176
ctizz36,2015-10-13T00:01:00,@Discovery Poor King Louie.,653722294796349444
SnipperHarry,2015-10-13T11:31:00,"@Discovery
world largest heart
 http://t.co/1I79JZ7tlw",653895846124064768
BastiCoolM8,2015-10-13T17:15:00,@Discovery Nice water balloons.  Balls? Okay whatever you call it it's so cool! Your like in space!,653982286652801024
bcamaster3,2015-10-13T17:58:00,@Discovery @NakedAndAfraid  kindly follow @ http://t.co/0LTUAwapdS,653993175271505920
bcamaster3,2015-10-13T17:58:00,@Discovery  kindly follow @ http://t.co/0LTUAwapdS,653993271925022724
benkeeganbmx,2015-10-13T20:14:00,@Discovery 'gold rush' on tv has been advertised as 'brand new' however we've seen all this stuff before? What's happening?,654027328310386689
misticdragon923,2015-10-14T00:06:00,@Discovery,654085764825788416
realgamer07,2015-10-14T00:07:00,@Discovery cc: @A_Spidurr,654086062961065984
Cajunsaint,2015-10-14T01:36:00,@Discovery I will not watch rich people catch fish from their 3000.00 or more knacks,654108446128627712
misticdragon923,2015-10-14T03:02:00,@Discovery,654130154650800128
sven1118,2015-10-14T04:02:00,@Discovery #goldrush #dakotafred @goldrushtodd really wish you guys would've beat #dakotafred A$$ would've made my night #dbag,654145233303638016
shaunmichellre,2015-10-14T08:47:00,@discovery Google’s self-driving car is coming sooner than you think http://t.co/c1rrPbJZse,654216907847917569
SapirSegal,2015-10-14T11:02:00,@Discovery Pacific Warrior @kimiwerner swims towards the sharks! Listen to her amazing interview here: http://t.co/0PQU0Qq8Ze @Audio_Burst,654250834130288641
an_julia_13,2015-10-14T16:19:00,@Discovery I can't wait! Now I have something to look forward to.,654330647847174144
misticdragon923,2015-10-14T17:59:00,@Discovery @Gold_Rush,654355886777856000
donn_morgan,2015-10-14T19:23:00,@discovery It's been coming for sometime!To Spring season coming 3 weeks earlier than before due to #ClimateChange isn't good news!,654376936999776256
stevenuglyfrick,2015-10-14T20:46:00,"@Discovery RIP China when the internationals find out about this, lol.",654397856485347328
misticdragon923,2015-10-14T21:24:00,@Discovery,654407423965331457
Artillero_LM,2015-10-14T23:03:00,"@Discovery entonces el 90% somos psicópatas y eso incluye a dueños y usuarios, clientes de @Starbucks",654432350785400833
GreatestMood,2015-10-14T23:10:00,@Discovery I ALWAYS ASK Who funded the study? What was their agenda? I know thousands who drink black coffee &amp; NOT psychopaths. I call BS.,654434040762748928
