screen_name,created_at,text,id
DixonsCarphone,2015-10-07T12:01:00,RT @curryspcworld: Everything you need to know from yesterday's @Microsoft Briefing. #Windows10devices http://t.co/xvfvhBwK3Y http://t.co/y…,651729144699584512
DixonsCarphone,2015-10-07T12:26:00,RT @Lizzie_Supports: Autumn Retail Event exhibition looking good! http://t.co/IrLtavqvnb,651735230852820992
DixonsCarphone,2015-10-07T12:27:00,RT @Lizzie_Supports: Crazy Golf iD style! http://t.co/5m7Bq7AkZc,651735476492193792
DixonsCarphone,2015-10-07T20:46:00,RT @Durkatron: @willisjs and team at our first joint @DixonsCarphone Retail Event! https://t.co/ID8aC6HVLr,651861053610008576
DixonsCarphone,2015-10-08T06:30:00,Thousands of Christmas jobs up for grabs as big employers need help http://t.co/ovYHikSoM5 @JobsatDC,652008208870023168
DixonsCarphone,2015-10-08T11:43:00,RT @CPWTweets: Here's our attempt at a snappy smartphone sonnet. Happy #NationalPoetryDay! http://t.co/9D0b3fgSUq,652086963223330817
DixonsCarphone,2015-10-09T13:23:00,RT @JobsatDC: We’re already buzzing with excitement over the holiday season. We'd love for you to join us: http://t.co/bGPJGGEBtN http://t.…,652474403423449089
DixonsCarphone,2015-10-09T16:08:00,"RT @GeekSquadUK: Veteran Agents Akbar, Garbacki and Naylor proudly received their badges today. #GeekSquadCulture #BadgeCeremony http://t.c…",652516016610758657
DixonsCarphone,2015-10-09T16:41:00,@wraithdub @DCSebJ Here's to many more!,652524281398730752
DixonsCarphone,2015-10-11T12:27:00,"RT @CPWTweets: Consume whatever you want, whenever you want, when you're on a #SuperMega Personalised deal! http://t.co/uTynnAAoUp https://…",653185038620692480
DixonsCarphone,2015-10-12T12:57:00,"Here we go. Black Friday, Peak season. Bring it on! https://t.co/n758XveUNI",653555197713731584
DixonsCarphone,2015-10-12T13:05:00,"@JeldonF Thank you! @cpwtweets can pass on your feedback. Kind regards, Mark",653557092209532928
DixonsCarphone,2015-10-12T15:57:00,RT @retailgazette: @DixonsCarphone trials competitive delivery options http://t.co/Tfo7PsOtzH http://t.co/mbkkacDLuJ,653600354987282432
DixonsCarphone,2015-10-13T07:25:00,RT @T4STweets: Our new research on kids use of mobile devices at school &amp; home just in time 4 #digitalfamilies2015 @TheParentsZone http://t…,653833993733996544
DixonsCarphone,2015-10-13T09:57:00,Carphone to trial CurrysPCWorld pickups | Mobile Today http://t.co/quiEfU7CtF #Mergetastic,653872286735429632
knowhowtohelp,2015-10-13T18:52:00,"@megancarling_ Hi Megan, sorry to hear this. Please return to the store of purchase and they can take a look into this for you - Ian",654006939580559363
knowhowtohelp,2015-10-13T18:57:00,@krustyrp @DCSebJ What seems to be the problem? - Ian,654007974818656256
DixonsCarphone,2015-10-13T20:10:00,RT @T4STweets: Great advice from teachers on #esafety &amp; using #tech to empower learning. Read these top tips http://t.co/O9vGX59EjE http://…,654026485959913472
DixonsCarphone,2015-10-14T08:21:00,Currys PC World trials collections from Carphone Warehouse stores http://t.co/oviNgwQNbH,654210418265690112
knowhowtohelp,2015-10-14T08:25:00,@TomLFoster .. I will feedback this on to the store manager for you. - Amy,654211321567805440
knowhowtohelp,2015-10-14T09:09:00,@SianJSkincerity Your very welcome Sian! - I hope you make something scrumptious!- MH,654222541771415552
knowhowtohelp,2015-10-14T09:38:00,"@costateguise09 Hi Alwyn, have you spoken to Microsoft regarding this fault - Tony",654229792452182016
knowhowtohelp,2015-10-14T10:07:00,"@MrMacf Hi, apologies for this. I will get this responded to asap - Ian",654237187408531456
knowhowtohelp,2015-10-14T10:59:00,"@MisterPrice Okay, thanks for letting us know - Leanne",654250236420997120
knowhowtohelp,2015-10-14T13:20:00,"@priceymon1 Thank you. If you'd like to advise me of the repair reference given to you by my colleagues at Beko, i'll advise further.",654285745910378496
knowhowtohelp,2015-10-14T13:46:00,"@witchynic Please delete your last two tweets because it holds personal information. Kind Regards, AK",654292296645615621
knowhowtohelp,2015-10-14T13:49:00,@Slenderize22 Sorry to hear this. What's happened Jade? - Ian,654292911618658305
knowhowtohelp,2015-10-14T14:30:00,@DorisAnnW ...days as your card issued can take that long to clear the payment. - Jay,654303176590553089
knowhowtohelp,2015-10-14T14:43:00,"@bhadwin Hi Benny, Thank you for those details. I have raised an investigation for you regarding the issue on case reference CC2833409. &gt;",654306509321568260
knowhowtohelp,2015-10-14T14:49:00,@CharlesFencott ...to attend store to claim this.  I have no idea why you would be advised about a controller though as never ...,654308007782785024
