screen_name,created_at,text,id
Durkatron,2015-10-07T12:20:00,@DixonsCarphone @Lizzie_Supports is posting some great ones too!,651733739853246465
AmyJoannee,2015-10-13T08:50:00,@knowhowtohelp does the service history refer to the repairs it's had previously?,653855268921585664
J_Alternation,2015-10-13T09:41:00,@knowhowtohelp Yes thanks.... Unusual activity apparently...,653868137335685121
AmyJoannee,2015-10-13T10:19:00,@knowhowtohelp my write off request was rejected before they even checked it. But that was a month ago,653877801033015296
AmyJoannee,2015-10-13T11:01:00,@knowhowtohelp I keep getting told my laptop works fine when I have video evidence that shows its not but they still won't repair it..,653888258691190784
FredMarketing,2015-10-13T11:41:00,@knowhowtohelp Thx yes please chase up a call. I had no messages left yesterday &amp; no missed calls but I did have one unknown number hang up?,653898298093367296
supadupabianc,2015-10-13T11:53:00,@knowhowtohelp it's been sent away from Cardiff Newport rd store and it's been over two wks and I was told it'd b 10 days,653901266595250176
AmyJoannee,2015-10-13T12:34:00,@knowhowtohelp oh okay. Will someone be contacting me about this investigation then?,653911577826054144
mushy027,2015-10-13T12:53:00,@knowhowtohelp I fitted the original before it snapped,653916374247546880
naismith08,2015-10-13T15:22:00,"@knowhowtohelp it's being refunded now, just gutted!! Was a present for someone",653953844498575360
AmyJoannee,2015-10-13T15:46:00,@knowhowtohelp last time I did that it went missing for a month...,653959958690680832
sunshine497,2015-10-13T19:24:00,@knowhowtohelp 20% goodwill gesture is not adequate and I do not trust your company to offer a replacement! I'd get it on xmas eve!!,654014983911657472
Riearcher74,2015-10-14T08:51:00,@knowhowtohelp I have received a text to say you will be delivering an appliance on Wed. Will not be in. Ref no I have doesn't start 74,654218022010417153
AlphaStar86,2015-10-14T10:24:00,@knowhowtohelp it was CS.,654241398623993856
kevfrost8,2015-10-14T11:01:00,"@knowhowtohelp gas leak fixed, so waiting for faulty cooker to be arranged to be collected and new one to be delivered!",654250733106298881
CharlesFencott,2015-10-14T11:10:00,@knowhowtohelp I was overcharged for my to by £100 and also was told that I would have a dual shock PlayStation controller,654253019941466116
CharlesFencott,2015-10-14T11:12:00,@knowhowtohelp was nothing they could do to help. Have now also been truly patronised by the management at one of your stores,654253424826019840
jmscant,2015-10-14T11:34:00,"@knowhowtohelp thanks Leanne. Also, I see this item's available for purchasing online. How long would delivery take??",654259074238926848
Aroosa_96,2015-10-14T11:40:00,@knowhowtohelp if I buy a care plan and pay for it upfront would I be able to cancel it and get my money back if I haven't used it,654260557550383104
JoannePlumpton,2015-10-14T13:07:00,"@knowhowtohelp okay I will give them a call today, could you give me any advice on what wall mount I need suitable for my TV?",654282411505774596
CPWTweets,2015-10-14T13:12:00,"@DixonsCarphone Hi, if this was done in a store that is currently offering this, you should have received this with your upgrade",654283717058404352
Aroosa_96,2015-10-14T13:40:00,@knowhowtohelp how much would the pro rata refund be as I bought a care plan for my tablet and I haven't used it,654290591774326784
entichera,2015-10-14T14:01:00,@knowhowtohelp @DCSebJ I know all this. How can a customer choose a TV for terrestrial viewing when you can't view a terrestrial picture?,654296082806128640
TomKolodziejcza,2015-10-14T14:18:00,@knowhowtohelp complaint against your employee has been filed. It's a shame that your employees do not care.,654300240284139520
CharlesFencott,2015-10-14T14:42:00,@knowhowtohelp sorry jay it was purchased on the 8/10/15,654306224272502785
DaviniaMonteiro,2015-10-14T15:19:00,@knowhowtohelp who will call me and when?,654315695149314048
CharlesFencott,2015-10-14T15:27:00,"@knowhowtohelp spent 799 on a product that I am unable to use to its full extent, what is the point of having ability to stream games",654317620792041472
CharlesFencott,2015-10-14T15:28:00,"@knowhowtohelp if you have no way to play them, and actually you did have the offer on or so I was told today by he store manager",654317869401014272
sjharrison,2015-10-14T16:49:00,"@knowhowtohelp 3pm, I wanted to buy a computer. Only one guy in either store, but a lot of people standing in other sections",654338365077213184
TomFrancis_1,2015-10-14T17:49:00,@knowhowtohelp That doesn't really answer my question. Your live chat staff weren't that helpful either.,654353260858486784
Sonie_B,2015-10-14T19:56:00,@knowhowtohelp who do I email to lodge a formal complaint about the POOR customer service from currys?,654385233991725056
HuttonRKR,2015-10-14T20:30:00,"@knowhowtohelp hmm... Still no text,no email no phone call as promised to confirm replacement fridge freezer? gesture of goodwill time?",654393918210093056
ammbyx,2015-10-15T08:27:00,@knowhowtohelp Thursday - £20,654574361869987840
heliotropia,2015-10-15T09:55:00,@knowhowtohelp (2/2) the people in one department don't know what the people in another department can or can't do. Very frustrating.,654596558638444544
heliotropia,2015-10-15T09:55:00,@knowhowtohelp I've been trying to exchange one cooker for another and have been given wrong advice several times because (1/2),654596431722975232
Freddie_Dyke,2015-10-15T10:28:00,"@knowhowtohelp Reading, 162539 - I'm getting emails and calls from KNOWHOW saying Reading should be in contact, only they aren't :/",654604812873539584
louisegarnett1,2015-10-15T10:44:00,"@knowhowtohelp hi Richard, I have sent you an e mail.",654608717644754944
GrahamSharp3,2015-10-15T10:49:00,@knowhowtohelp I van't DM you if you are not following me,654610072631443456
JoannePlumpton,2015-10-15T11:55:00,@knowhowtohelp what about Speke? I tried calling yesterday to book the wall mount service x3 times but only music for 45 mins each time,654626535647899649
heliotropia,2015-10-15T13:47:00,@knowhowtohelp I have now cancelled the original order and bought a new oven so not sure if DMing you details will be of any use?,654654823145431041
crystaltipsie,2015-10-15T13:55:00,@knowhowtohelp your page has now updated so it's impossible to claim that as you started a new offer before I was allowed to claim #Unhappy,654656962169143297
heliotropia,2015-10-15T14:42:00,@knowhowtohelp installers and shop told me I'd be able to exchange one cooker for another and pay the difference without having to cancel...,654668728135626753
jimmy_brem,2015-10-15T16:52:00,"@knowhowtohelp I am looking to buy my partner an upgrade to his DLSR, he currently has the  canon d500, can you advise what the best option",654701491677085697
hatch82,2015-10-15T16:57:00,@knowhowtohelp I believe my wife has but we're not getting the best response.,654702619139567616
ReporterX2014,2015-10-15T17:03:00,@knowhowtohelp @ReporterX2014 That's great news as I don't have a penny and the item was returned by Hotpoint on Tuesday.,654704189898010624
KIREN_Starbucks,2015-10-15T18:21:00,@knowhowtohelp #BlackburnCurrys Store - Ended up purchasing the product elsewhere.,654723904708022272
hatch82,2015-10-16T10:23:00,"@knowhowtohelp Will do, can you follow me so I can dm this please.  Thanks",654965989612888064
crystaltipsie,2015-10-16T10:30:00,@knowhowtohelp Done it and got nowhere. Won't be buying from you again. Third bad exoerience in a row!,654967678843666432
ReporterX2014,2015-10-16T11:01:00,@knowhowtohelp finally it's been confirmed that the order has been cancelled. Refund should appear soon. very slow process,654975377799032832
tommosnr,2015-10-16T11:01:00,@knowhowtohelp @BBCWatchdog resolved in store after considerable inconvenience. Would never use @curryspcworld again.,654975568916664321
charsparkles88,2015-10-16T11:18:00,@knowhowtohelp LOL that made me and my colleague laugh !!!! Lovely Thankyou v much have good weekend xxxx,654979603677782016
rachelashby12,2015-10-16T11:28:00,@knowhowtohelp I couldn't complete my order because it said my postcode wasn't valid despite being able to pick my address from the dropdown,654982294403461120
jmscant,2015-10-16T11:34:00,"@knowhowtohelp also, is it on demonstration at the Staples Corner store??",654983701365923840
gwaterhouse85,2015-10-16T11:57:00,@knowhowtohelp I can send you some screenshots (providing I can recreate it today) if that would help? Not sure hat you mean by new build?,654989533428260864
_Davis_Zoe_,2015-10-16T13:27:00,@knowhowtohelp how soon will it take to get done do you know? Need it ASAP :-(,655012138398957568
JoannePlumpton,2015-10-16T14:01:00,@knowhowtohelp just seen this is out of stock :( do you have anything similar for Samsung UE40H6200 with a click stand too?,655020622859390976
SynonymousYT,2015-10-16T16:58:00,@knowhowtohelp ok thanks!,655065325801775104
ninachesworth,2015-10-16T17:39:00,@knowhowtohelp Fridge delivery due today. Lies all day from Currys. Day off wasted. Order cancelled. Will never shop with Currys again!,655075610927222784
pablogodofredo,2015-10-16T20:00:00,@knowhowtohelp ok no probs,655111153849380864
EWein2412,2015-10-17T08:54:00,"@knowhowtohelp A little flexibility from ""this is company policy"" would be welcome. You have apologized handsomely but I am still out £60.",655305815293849600
danstevo14,2015-10-17T12:55:00,@knowhowtohelp any under £350,655366422936338432
oliverpclyde,2015-10-17T15:03:00,@knowhowtohelp apparently I need a reference number can I have that ?,655398648549933056
EvieCriedWOLF,2015-10-17T16:40:00,"@knowhowtohelp no worries! Got through, 3rd time lucky!",655423205629427713
TheRiverHut,2015-10-17T16:42:00,"@knowhowtohelp please give me your e-mail address, i will email you the details",655423592985948160
Sizzles91,2015-10-17T16:48:00,"@knowhowtohelp It is definitely still happening, now affecting Youtube and such. Anybody free for Remote Support?",655425068101718017
mikecleggy,2015-10-17T17:36:00,@knowhowtohelp not happy with the service received recently. MacBook Pro still not working after it was sent in for repair,655437187463401472
TheRiverHut,2015-10-18T09:38:00,@knowhowtohelp i sent an e-mail to you guys!,655679418225065984
MarkConnell14,2015-10-18T10:07:00,@knowhowtohelp Why wasn't my order 7457252666 delivered yesterday! Ordered two TV on 16th to be delivered on 17th but got nothing? Check pls,655686751005077504
kellsuex,2015-10-18T11:29:00,@knowhowtohelp help!!!,655707368093827072
ChaurntaeB,2015-10-18T11:30:00,@knowhowtohelp I swear to god can you give any worse customer service,655707438109343744
EWein2412,2015-10-18T13:29:00,"@knowhowtohelp Yes full time. True abt email, I don't understand either. Seemed easier to get a different version of Office but clearly not!",655737377638514688
oliverpclyde,2015-10-18T14:04:00,@knowhowtohelp 👍 http://t.co/2hY9au7nvf,655746364027088897
LauraMoonxox,2015-10-18T15:03:00,"@knowhowtohelp Hi Rich, This was concerning the Hedge End/Southampton Superstore. Thanks",655761115419422724
EWein2412,2015-10-18T16:38:00,@knowhowtohelp We are raising it w the university. Do hope YOU understand that an inflexible returns policy has nothing to do with our end.,655785075267780608
protaras81,2015-10-19T10:51:00,@knowhowtohelp trying to get a fridge re-ordered and passed from dept to dept. Ended up hanging up yesterday as fed up of waiting....,656060107843837952
Mstammers,2015-10-19T11:43:00,@knowhowtohelp @curryspcworld. Been on the phone for 2 hrs so far today still no joy dont you guys employ managers?,656073247872720896
Mstammers,2015-10-19T11:58:00,@knowhowtohelp my ref is CC2842653. I had a Lenovo y510 i7 which had two NVIDIA® GeForce® GT755M. I have found a laptop to my liking but it,656076950310662144
protaras81,2015-10-19T12:29:00,@knowhowtohelp would rather not put ref in public domain. Please look up order via my last name for fridge freezer and contact me...,656084637014474752
mushy027,2015-10-19T13:12:00,@knowhowtohelp can't help! It's a leg I have a model and make what else do you need? I want a leg sending and need to know how.,656095544759197696
