screen_name,created_at,text,id
DeutscheBank,2015-10-06T14:55:00,"#dbnumber of the day: 100,000 lives could be saved each year thanks to #Nobelprize winner Youyou Tu's anti-malaria drug. #DrStephan",651410375532019712
DeutscheBank,2015-10-06T15:35:00,"#DrStephan: We need new amortization rules, simpler approval systems and more creativity to create more #urban living space",651420456902393856
DeutscheBank,2015-10-06T16:03:00,The rebounds in government spending and in credit growth offer some upside to Q4 growth for #China. http://t.co/wZdqG0UXeJ #dbresearch,651427468499382273
DeutscheBank,2015-10-07T06:55:00,Property market hat the potential to surprise #investors and offers some upside risk to the 2016 outlook http://t.co/0p7g3jVP75 #dbresearch,651651991689629696
DeutscheBank,2015-10-07T07:44:00,@ssstofff There is a mobile app for clients in Germany. For more information about all our apps pls take a look here http://t.co/yEpSnJxzti,651664439884779520
DeutscheBank,2015-10-07T07:45:00,@canvin There is a mobile app for clients in Germany. For more information about all our apps pls take a look here http://t.co/K2CtcdEVN0,651664638317326336
DeutscheBank,2015-10-07T08:05:00,"Tech Ecosystems Dialogue 2015: #Startups from #TelAviv and #Frankfurt can apply until Oct 8, 2015 http://t.co/9q8nYgUFR7",651669564061798400
DeutscheBank,2015-10-07T09:00:00,#DeutscheBank launches CORAX: a new set of proprietary foreign exchange (FX) positioning indices https://t.co/A8mEkWkFQo,651683448332156928
DeutscheBank,2015-10-07T09:15:00,"""CORAX will be published with a one working day lag &amp; is more comprehensive than other available products."" Nicholas Weng, CORAX-creator",651687191190597632
DeutscheBank,2015-10-07T09:30:00,"""CORAX is an example of the type of international market research that only a leading global #bank can create."" #FolkertsLandau",651690997454385152
DeutscheBank,2015-10-07T09:40:00,CORAX (Categorised ORderflow from Autobahn FX) launched today https://t.co/A8mEkWkFQo #dbresearch,651693491215597568
DeutscheBank,2015-10-07T10:10:00,"Weak emerging countries + commodity slump slowing down global economy. #IMF lowers GDP growth forecast by 0.2pp (2015, 2016) #DrStephan",651701042338492416
DeutscheBank,2015-10-07T10:50:00,Concerns about #China's growth has also put strain on #HSCEI. #DrStephan: Index of #China-shares traded in Hong Kong has potential in Q4,651711118872825856
DeutscheBank,2015-10-07T13:40:00,Stable spending &amp; #investment are strengthening growth in #UK. #DrStephan: Prognosis slightly raised for 2015 (to 2.6%) &amp; 2016 (to 2.5%),651753923817115648
DeutscheBank,2015-10-07T14:35:00,#Europe's #insurance companies have average dividend yield of 5.2% despite low interest rates. Sector could be interesting. #DrStephan,651767758338850816
DeutscheBank,2015-10-07T15:03:00,"With appropriate reforms, relatively high growth in #China could continue for very many more years. http://t.co/NlqUyUxW7J #dbresearch",651774858536353793
DeutscheBank,2015-10-07T15:55:00,"#dbnumber of the day: 3,868,631 #Citroen 2CVs – first shown at #MondialAuto 67 yrs ago – left the assembly lines up until 1990. #DrStephan",651787930479001600
DeutscheBank,2015-10-07T18:25:00,How can #greenbonds help in the fight against #climatechange? https://t.co/KR8JuL8nPr #EconomyViews #dbvideo,651825756742549504
DeutscheBank,2015-10-08T04:34:00,Talking point: Is #housingpolicy in #Germany heading towards the precipice? http://t.co/wkd4Yz5VnZ #dbresearch,651979021748695040
DeutscheBank,2015-10-08T06:05:00,Registration period expires today: Pitch contest for Tech Ecosystems Dialogue 2015 http://t.co/uI7KzwvXOD @goetheuni #startups,652001808538300416
DeutscheBank,2015-10-08T08:50:00,"#Commodities rally slightly: #oil price close to 50 USD per barrel, #copper up over 5% in a week. Backlash or stabilisation? #DrStephan",652043280960614401
DeutscheBank,2015-10-08T09:16:00,@JP_01X Sorry to hear this. We'll forward to our customer service colleagues @DeuBaService and ask them to respond.,652049816839655424
DeutscheBank,2015-10-08T09:35:00,"Growth in #Spain: banks + building industry stronger, export functioning. #GDP growth of 3% p.a. 2015 + 2016 possible. #DrStephan",652054611956748288
DeutscheBank,2015-10-08T11:55:00,"#DrStephan: Good #tech-firms from emerging countries remain interesting, despite stagnating growth in emerging markets.",652089868647047168
DeutscheBank,2015-10-08T13:40:00,#DrStephan: #US-labour markets + trade balance tip the scales: Fed's #ratehike not expected until March &amp; June 2016,652116345186852864
DeutscheBank,2015-10-08T15:45:00,Huge jump of building activity is necessary to reduce the demand overhang in the #German #housingmarket http://t.co/9rObjnultu #dbresearch,652147887510437889
DeutscheBank,2015-10-09T06:02:00,#Housingpolicy: Building activity has been sluggish particularly relative to the high price momentum http://t.co/RtKVUphY3o #dbresearch,652363389717626880
