screen_name,created_at,text,id
1453Fatih1987,2015-10-06T09:16:00,@DeutscheBank hello  how are you my twitter follow me pleaseeeeeeeeeeeeeeeeeeee I am TURKİSH business man @1453Fatih1987,651325251708669952
LittleBirdie43,2015-10-06T12:04:00,@DeutscheBank HEY YOU FILTHY DOG ANSHU JAIN... GET OFF MY BACK YOU JERK.KEEP UR DIRTY DOG ARJAN MULDER ON THE LEASH,651367425116495873
fletchcreative,2015-10-06T16:03:00,@DeutscheBank asks if the #corporate default cycle has started. #FLETCH #TumblrTuesday #marketing http://t.co/UKMTnpboQA,651427501831528448
msantoshkumar,2015-10-07T01:00:00,Congratulations @DeutscheBank @kurtosys,651562710082191360
kurtosys,2015-10-07T13:46:00,"@deutschebank congrats, you're still ranked #1 on this week's The Asset Managers Power 100. http://t.co/BdC3t2OQgn #AMPower1",651755506911080448
LittleBirdie43,2015-10-07T19:31:00,@deutschebank hey Anshu.. i will let u fck me if you land me the DIRECTORs job at DB. then re-joicie oroonnaa wont b able to say dream of it,651842258426269696
LisaMaret,2015-10-07T20:32:00,@DeutscheBank expects $6.97 billion third-quarter loss after write-down,651857719406817280
LittleBirdie43,2015-10-08T05:10:00,@DeutscheBank Y DOES ARJUN JAIN DESERVE TO WORK AT JP MORGAN. WHEN YOU ANSHU JAIN GOT SO MUCH DIRTY MONEY. POWER ? POWER ? POWER .AHHHHHHH,651988079528427520
LittleBirdie43,2015-10-08T05:19:00,@DeutscheBank  ANSHU U CAN PLACE A HAND OVER MY MOUTH WEN YOU FCK ME THE WAY U DESCRIBED IT TO MY HOLE NEIGHBOURHOOD N COLLEAGUES FROM HSBC.,651990334923079680
LittleBirdie43,2015-10-08T05:19:00,@DeutscheBank YOU CAN PLACE A HAND OVER MY MOUTH WEN YOU FCK ME THE WAY U DESCRIBED IT TO MY HOLE NEIGHBOURHOOD N COLLEAGUES FROM HSBC.,651990165393555457
LittleBirdie43,2015-10-08T05:20:00,@DeutscheBank ANSHU U CAN PLACE A HAND OVER MY MOUTH WEN YOU FCK ME THE WAY U DESCRIBED IT TO MY HOLE NEIGHBOURHOOD N COLLEAGUES FROM HSBC,651990455672934400
LittleBirdie43,2015-10-08T05:22:00,@DeutscheBank ANSHU U CAN PLACE A HAND OVER MY MOUTH WEN YOU FCK ME THE WAY U DESCRIBED IT TO MY HOLE NEIGHBOURHOOD N COLLEAGUES FROM HSBC.,651990919260934144
LittleBirdie43,2015-10-08T05:24:00,@DeutscheBank now dont drag me to cops n get em to tell me it didnt happen n i need mental health treatment.electric shocks!,651991424783618048
IngVersteher,2015-10-08T05:25:00,@DeutscheBank weiter im Abwärtstrend #Banking #Digitalisierung #fintech @welt  https://t.co/v70ga6Higs,651991837083848704
IngVersteher,2015-10-08T05:28:00,"@DeutscheBank erhält die Quittung für Gier, Größenwahn und Untreue #Banking  https://t.co/HzXBLdTPiR",651992539701100544
SparkasseRgbg,2015-10-08T05:32:00,@DeutscheBank kündigt Milliardenverlust an http://t.co/JDEqA7C9iC,651993525920354304
LittleBirdie43,2015-10-08T05:38:00,"@DeutscheBank  i will let u fck me if you gimme the DIRECTORs job at db
if nidhi/re-joicie /roona can get it.I GOT A HOLE TOO",651995108103991296
LittleBirdie43,2015-10-08T05:40:00,"@DeutscheBank Y DOES YOUR SON DESERVE TO WORK IN BANKING WHEN YOU R HARASSING ME FOR SEX HUH? '
I AGREE TO LET U FCK ME.GIMME THE JOB",651995564981141504
FIXGlobalOnline,2015-10-08T06:01:00,@DeutscheBank expects 3Q loss of 6.2b euros after write downs &amp; padding legal reserves. http://t.co/NBD0n3lf5R http://t.co/ua5sYDg0U2,652000929621762048
