screen_name,created_at,text,id
easyJet,2015-10-14T15:01:00,"@mariargleeson Hi Maria, Apologies about that! What was the date of your flight? ^Martyna",654311183483277312
easyJet,2015-10-14T15:02:00,"@chloedaggerz Hi Chloe, Sorry to hear that. Please see this link for the latest updates: http://t.co/wJaEeGPHSw. ^Martyna",654311443974737920
easyJet,2015-10-14T15:20:00,"@issymerlin5 Hi Isabell, Thank you for your kind words! Hope we'll have a chance to welcome you on board next year :) ^Martyna",654315828331061248
easyJet,2015-10-14T15:39:00,"@Superior_Stevie Hi Steven, Is there anything that we can help you with via Twitter? ^Martyna",654320515637772288
easyJet,2015-10-14T15:40:00,"@Superior_Stevie Hi Steven, Please keep an eye on this link for the latest updates: http://t.co/wJaEeGPHSw. ^Martyna",654320861722357760
easyJet,2015-10-14T15:53:00,"@Superior_Stevie Hi Steven, I truly hope you'll take off soon! ^Martyna",654324155526025216
easyJet,2015-10-14T16:07:00,"@hollie_x Hi Hollie, As soon as we have the updates, we'll let our Passengers know. ^Martyna",654327625234673664
easyJet,2015-10-14T16:13:00,@Superior_Stevie http://t.co/JHrop9N7a5. ^Martyna 2/2,654329285260509184
easyJet,2015-10-14T16:24:00,@SOLOVESVINTAGE http://t.co/AhNnutXVA9. ^Martyna,654331927370027008
easyJet,2015-10-14T16:31:00,"@SOLOVESVINTAGE Hi, Please have a look at my previous reply. ^Martyna",654333710918135808
easyJet,2015-10-14T16:41:00,"@UtterHannarchy Hi Hannah, Please note the staff is present at the gate up to 30 minutes prior to scheduled time of departure. Then 1/2",654336274917126144
easyJet,2015-10-14T18:42:00,"@hamishmash Hi, Please see this link for our schedule release plans: http://t.co/c4xIUbhNQK. ^Martyna",654366644572131328
easyJet,2015-10-14T19:52:00,"@MrNiallCfc Hi Niall, Hope you'll enjoy your flight! :) ^Martyna",654384179023626240
easyJet,2015-10-14T20:10:00,"@DudleyBlue Hi Steve, Sorry to hear that. Please see this link for the latest updates: http://t.co/wJaEeGPHSw. ^Martyna",654388851495038976
easyJet,2015-10-14T21:02:00,"@ailsadudley Hi Ailsa, Please have a look at my previous tweet. ^Martyna",654401963300401152
easyJet,2015-10-14T21:04:00,"@Pazza74 Hi Jason, You can travel with e.g. driving license, as it's UK domestic flight. ^Martyna",654402340070494208
easyJet,2015-10-14T21:10:00,"@AlessWood Hi Alessandra, Sorry to hear that. If there's anything that we can help with, please drop us a DM. ^Martyna",654403877958209536
easyJet,2015-10-14T21:48:00,"@SerenaLStokes Hi Serena, I'm truly glad to hear you enjoyed your flight :) Hope we'll welcome you on board again soon! ^Martyna",654413521942380544
easyJet,2015-10-15T08:00:00,"@SalamaMarine Hi Salama, it might take our CS Team longer than usual as we're experiencing an increased number of incoming messages. ^Alicja",654567489976856576
easyJet,2015-10-15T08:15:00,"@tailsy2508 Hi Andy, Animals aren't allowed on any flight, in either cabin baggage or the hold. ^Alicja",654571258198290433
easyJet,2015-10-15T11:03:00,"@DudleyBlue Hi Steve, please confirm the route of your flight. ^Alicja",654613685063839744
easyJet,2015-10-15T12:14:00,"@_Caitlin21 Hi Caitlin, you can use a driving licence on domestic flights in UK. ^Alicja",654631414789505024
easyJet,2015-10-15T14:53:00,"@LotteEmma_1990 Hi Char, No worries. Have a lovely evening! ^Martyna",654671556778418176
easyJet,2015-10-15T16:13:00,"@NthusiasticCook Hi, Apologies about that. What was the date and number of your flight? ^Martyna",654691482289332224
easyJet,2015-10-15T18:04:00,"@x0rg Hi Raddaele, I'm truly sorry to hear that and hope soon they'll find a satisfactory solution for you. ^Martyna",654719459156865025
easyJet,2015-10-15T19:37:00,"@dakawills on Cabin Crew, though! ^Martyna 2/2",654742863721336833
easyJet,2015-10-15T19:41:00,"@Zondervan1875 Hi Alan, Please have a look at my previous tweet. ^Martyna",654743942693457920
easyJet,2015-10-15T20:25:00,"@AgnieszkAxinom Hi Agnieszka, Apologies about the delay. Please keep an eye on Flight Tracker for the latest updates: 1/2",654755106315898880
easyJet,2015-10-15T21:22:00,"@jmenlis Hi Josean, How can we assist you via Twitter today? ^Martyna",654769336213614592
easyJet,2015-10-15T21:25:00,"@AndrewDoman Hi, Many thanks for sharing this great pic! :) ^Martyna",654770043436199936
easyJet,2015-10-16T07:02:00,"@JustFaaabx Hi Fabienne, we are glad to hear that! Hope to see you soon on our board again! :) ^Alicja",654915392788410368
easyJet,2015-10-16T07:06:00,"@BackToSeanio Hi Sean, I'm sorry to hear about that. Please see this link for your entitlements: http://t.co/9qVm4267CW. ^Alicja",654916253245702144
easyJet,2015-10-16T07:28:00,"@maryann1977 Hi Maryann, it will be updated on our webpage, few days before the actual release: http://t.co/c4xIUbhNQK. ^Alicja",654921820399882240
easyJet,2015-10-16T07:35:00,"@dazznutts Hi Darren, please have a look at this link: http://t.co/14MEE5C30K. ^Alicja",654923681135730688
easyJet,2015-10-16T10:48:00,"@Yatesy72 Hi Yatesy, we don't know the exact time yet, so please check our website. ^Alicja",654972144099721217
easyJet,2015-10-16T11:18:00,"@socialsoprano Hi Penny, please just download your boarding pass once again from our website, it should already be updated. ^Alicja",654979656937009152
easyJet,2015-10-16T13:34:00,@denzil72 Where do you start Denzil? Awesome plate. YUM!,655013980033916928
easyJet,2015-10-16T13:45:00,@waitingtoobored Yum yum! 🇪🇸 🍤,655016794114125829
easyJet,2015-10-16T14:42:00,"@drcolette30 Hi Colette, please have a look at this link: http://t.co/AhNnutXVA9. ^Alicja",655031157592084480
easyJet,2015-10-16T16:06:00,@MatthioFishal I'm afraid we have no information regarding buses. ^Martyna 2/2,655052198741700608
easyJet,2015-10-16T16:53:00,"@horn_nigel Hi Nigel, Please contact our staff with this query. ^Martyna",655064052008361984
easyJet,2015-10-16T17:01:00,"@RebeccavdP Hi Rebecca, Please note that we always provide our Customers with estimated time of delay, so it may change. ^Martyna",655066025235496961
easyJet,2015-10-16T17:04:00,"@GreigChristie Hi Greig, We're awaiting your feedback then! ^Martyna",655066711100624896
easyJet,2015-10-16T17:08:00,@1elizadoolittle  booking. ^Martyna,655067798083928064
easyJet,2015-10-16T17:14:00,"@1elizadoolittle Hi Ianydoo, No, it's not necessary at this point. ^Martyna",655069194640314369
easyJet,2015-10-16T17:15:00,"@alex_westley Hi Alex, Please have a look at Flight Tracker in reply to your query: http://t.co/wJaEeGPHSw. ^Martyna",655069602192478212
easyJet,2015-10-16T21:24:00,"@chelseacalum Hi Calum,Sorry to hear you feel this way. Please note some Passengers are allowed to travel with 2 items of cabin bag:",655132291778367488
easyJet,2015-10-16T21:31:00,"@Lizbuffff Hi Lizzie, Sorry to hear that. Please delete and re-install the app. Log out and in again and advise",655134069299281924
