screen_name,created_at,text,id
Superior_Stevie,2015-10-14T16:15:00,@easyJet  seriously guys #wereareyou,654329613070540800
Muz73,2015-10-14T16:17:00,@easyJet #timeflies Berlin 2014 http://t.co/neR9ff9XFJ,654330114155630593
Muz73,2015-10-14T16:18:00,@easyJet #timeflies Athens 2012 http://t.co/8LIRIewd43,654330531832832000
Muz73,2015-10-14T16:20:00,@easyJet #timeflies Tossa De Mar 2014 http://t.co/UN1UphmuzB,654330925308882944
UtterHannarchy,2015-10-14T16:29:00,"@easyJet thank you for your help Martyna. Your ground staff, all bar one, have not been helpful at all.",654333321158225922
UtterHannarchy,2015-10-14T16:40:00,@easyJet The captain would have allowed us to board had their been a representative at the gate to speak to us and facilitate that. 2/2,654336003273060352
UtterHannarchy,2015-10-14T16:43:00,"@easyJet We were ready to board and tried to find someone to speak to, to no avail.",654336802770321409
UtterHannarchy,2015-10-14T16:48:00,@easyJet Can you send me the link to that please.,654337984758743040
OriginalPattyM,2015-10-14T17:49:00,@easyJet it's not food I intend on eating on the flight. If the food is vac packed is that OK ? As 100g isn't a lot &amp; we all like sausage,654353441251282944
sophieb1986,2015-10-14T17:55:00,@easyJet any chance of one of your agents answering the phone? Have been on hold for 2.5 hours over last three days with no answer!,654354960663060481
sarapgirl,2015-10-14T18:48:00,@easyJet what is the time difference between the uk and Turkey between the 25/10 and the 8/11? Thanks for the info,654368121206214656
CatAsbestos,2015-10-14T19:23:00,@easyJet #Timeflies back in time to the 80s http://t.co/WAeOtVmFHl,654377012317028352
SaH_Sariiiiiz,2015-10-14T20:04:00,@easyJet thank you!,654387395605995521
ailsadudley,2015-10-14T20:16:00,@easyJet sat in split waiting to fly to Gatwick! Flight due to depart 22:05??????? No updates 😡😡😡,654390400036274176
diane_83,2015-10-14T20:35:00,@easyJet #TimeFlies little trip to Moulin Rouge whilst in #Paris #2011 http://t.co/ZmD1ILc0UI,654395063846465537
ailsadudley,2015-10-14T21:04:00,@easyJet that's not that helpful to be honest?,654402486502096904
kjknol,2015-10-14T21:25:00,"@easyJet hello Easy, whats is the status of my request? Reference ID: 110678708",654407808838971392
easyjetruinedit,2015-10-15T07:30:00,@easyJet Thanks Anna but I am claiming for a whole lot more than the clothes I bought during the 3 days my bag was missing. #ruinedholiday,654560061910597632
tailsy2508,2015-10-15T08:13:00,"@easyJet 
Hi pal
any chance of taking our dog to spain from Belfast on the plane hold or in cabin? She is a diva so we will buy her own seat",654570798540267520
