screen_name,created_at,text,id
LolaBeeNetwork,2015-10-07T01:43:00,@Experian I cancelled my subscription and was told I would get a refund but I was charged again.,651573423718567936
carolanntincan,2015-10-07T10:39:00,@Experian  Please can you tell me the best fax number to fax a certificate of satisfaction to please 👍,651708307909017600
NottsWiesn,2015-10-07T11:19:00,"@Experian ever thought of Oktoberfest for your company/customer party? If not, start considering :)",651718478173478916
tazsababy,2015-10-07T15:59:00,"@Experian Your site is glitchy,need assistance w disputing a creditor that is reporting, I paid. ATG Credit 1700 Cortland Street Chicago.",651788967164182528
MesaDodgers,2015-10-07T17:07:00,@Experian  Who's the #CIO over there anyway? They should be removed . You have the #worst #IT people in the world. Period. #FIRETHEM #FAIL,651805944507006979
12_survivor,2015-10-07T17:42:00,@Experian is the WORST SCAM EVER!!!!!!!!!!,651814921596964865
12_survivor,2015-10-07T17:43:00,"@Experian NEVER SIGNED UP FOR A MEMBERSHIP BUT IF YOU PAY $1 FOR FICO SCORE ON TOP OF ORDERING YOUR ""FREE"" REPORT...YOU BECOME....",651815174509342720
12_survivor,2015-10-07T17:44:00,@Experian  A MEMBER WITHOUT EVEN WANTING TO!!! LITTLE PRINT TO CALL IN 7 DAYS TO CANCEL SOMETHING YOU NEVER WANTED IN THE FIRST PLACE!!,651815343183265792
paulrwillis,2015-10-07T20:44:00,@Experian can you tell me when you are going to sort out incident EXP201300X ? Any questions please ask me or @rhyswillis,651860584187736064
paulrwillis,2015-10-07T22:21:00,"@Experian @ExperianExperts @rhyswillis thanks Roy, I'll pursue it with uk.",651885133205782528
NigelMendonca1,2015-10-08T08:19:00,@Experian was on hold for 10 minutes couldn't get through to customer services then got charged £14.99. #badcustomerservice,652035528657907712
sugar_spce,2015-10-08T19:22:00,@experian that's awesome #credit4rent #wbchat,652202533058924544
sugar_spce,2015-10-08T19:23:00,@experian thank you every little bit helps #credit4rent  #wbchat,652202724549902336
sugar_spce,2015-10-08T19:25:00,@experian @wisebread I know this will help alot of people who can't get credit because they have none #credit4rent #wbchat,652203171947905024
ZENEDGEprotect,2015-10-08T22:00:00,@Experian announced that #cyberthieves stole the sensitive info of 15M people in the US. #ZENEDGE #cybersecurity http://t.co/en0XAeHwhw,652242066789937152
Mirelle_Mktg,2015-10-09T17:39:00,"@Experian research reveals that #customer data is essential for #marketing #success http://t.co/vgbF2GEVnE

#marketingtips #business #friday",652538962058285056
UKDatingAwards,2015-10-09T23:15:00,"@Experian Hi guys, have you seen this year's Awards? The ceremony is on Nov 26 &amp; a great opportunity to network with the dating industry",652623427078066176
euroinfosec,2015-10-10T10:32:00,@Experian dismisses “dark web” #fraudster report from @trustev http://t.co/61l4Q1QW8P #tmobile,652793718072741888
