screen_name,created_at,text,id
riveradelcondor,2015-10-06T21:09:00,"@exxonmobil SONNENKÖNIG_RIVERA MUÑOZ HUGO IVÁN_11_10_1977.
Yá te voy a dar el Alien,extraterrestre.
Nuclear Technology Provinzial_1977.",651504581927698432
EddaGarzo,2015-10-06T21:22:00,@exxonmobil @Chevron @Shell  https://t.co/jwNtn46K9i,651507886644838400
valleylist,2015-10-06T21:24:00,"@exxonmobil ""valleylist"" v356 r.1—top 10 science museums
https://t.co/S3LnY6fXJB",651508343643619328
karlamoPA,2015-10-06T22:58:00,@exxonmobil What Exxon Knew About Climate Change - The New Yorker http://t.co/yHkkJQCeBA,651532110747029504
BlebNet,2015-10-07T02:45:00,"@ExxonMobil How did Japan change their image from WWII? #entity",651589022154776576
DisasterConv,2015-10-07T05:46:00,"@exxonmobil Do you know about the 4 day #InternationalDisasterConvention2015 in #Dubai ??
More Details at https://t.co/r4aRauCsnS",651634755289505792
FutureTrendsUSA,2015-10-07T13:52:00,"@exxonmobil 
Please see special China reception invitation. http://t.co/b9DcXEVeW6",651756944563159040
brigo061,2015-10-08T00:07:00,@exxonmobil thanks for providing me the best training in oil &amp; gas. So many opportunities to look forward to with this company. #PNGLNG,651911646365913088
CarlosMBorbon,2015-10-08T17:43:00,VKON™ Coal-Diamonds-Platinum-Gold in the USA; @exxonmobil @Chevron @Citi USA Gold Value = $93B-$90T (Pic Graph=Gold):https://t.co/FHWIOpuBo6,652177493802254336
CarlosMBorbon,2015-10-08T17:44:00,VKON™ Diamonds-Gold in the USA @Citi @exxonmobil @Citibank @Chevron; US-MT Gold-Diamonds @googleearth (Zoom-Out 175):http://t.co/237ja7lRn8,652177648257511424
Grady_76,2015-10-08T18:01:00,@exxonmobil thanks for attending Texas A&amp;M Bush School!,652182098057424896
ArminiusAsociad,2015-10-08T19:17:00,@ExxonMobil @Chevron + #US firms will not join effort of 6 European #oil&amp;gas firms to address #ClimateChange: http://t.co/f52pHa2IEO via @FT,652201137299288064
riveradelcondor,2015-10-08T19:19:00,"@exxonmobil Der Chiasmus 1979, Ella es Santa ella no Culea, not Toma Alkohol,Fuma,Not dice Mala Palabras y Obra Mal
Nuclear Provinzial_1977.",652201721675010049
PolandBrad,2015-10-08T21:01:00,@exxonmobil @shereestockwell,652227234711732224
Newarkelement14,2015-10-08T22:07:00,@exxonmobil Thanks for sharing the content from #ImAnEngineer! We'd love to work together to help elevate interest in the profession.,652243832222969856
James_TBM,2015-10-08T23:37:00,@Exxonmobil Global CIO Mike Brown will keynote #TBMC15  https://t.co/Vb4WECXdkl,652266662943526912
ExxonMobil_AK,2015-10-09T01:56:00,@ExxonMobil is proud to sponsor the annual meeting for @AKAlliance,652301693804244992
josh_hagens,2015-10-09T03:09:00,@exxonmobil focusing on sustainable production in Argentina  http://t.co/3Gz5kRhSLq #operationalEfficiency sustains http://t.co/neBaEroEbQ,652319827508469760
GtownLawProfDev,2015-10-09T13:59:00,@exxonmobil Tax Department attorneys will be here next week to talk about tax in-house in a major corp. http://t.co/kurfIaQH7l,652483413597814784
DaytonaGo2015,2015-10-09T16:45:00,"@exxonmobil A piece of French taste 🇫🇷 in @NASCAR, interesting or not ? #NASCAR #newfaces #expending #worldwide http://t.co/2K6SdPXu9d",652525318025166848
riveradelcondor,2015-10-09T22:01:00,"@exxonmobil SONNENKÖNIG_RIVERA MUÑOZ HUGO IVÁN_11_10_1977.
Y pon en mí una Flor dolores dame lá por Caridad.
1866.
1845 Mitglied Provinzial.",652604829471232000
riveradelcondor,2015-10-10T00:46:00,"@exxonmobil SONNENKÖNIG_RIVERA MUÑOZ HUGO IVÁN_11_10_1977
Jamás en la vida podrás tú saber,hasta en el momento te habré de querer
Provinzial",652646469871214592
idrobinhood,2015-10-10T02:30:00,@exxonmobil must have paid off the #GOP to also downplay global warming for over a decade. #Congress #Senate #corruption #scandal,652672530365329408
Woofhowl,2015-10-10T03:23:00,@exxonmobil F**ked us all. Prosecute ExxonMobil now! http://t.co/4fBabWbkqc @GetUp @Avaaz @dailykos @SumOfUs @CARE @rootstrikers @freepress,652685981158502400
