screen_name,created_at,text,id
VPOutlet_UK,2015-10-15T13:46:00,@facebook We've been trying to get some assistance with our dynamic ads - do you have a support team? If so why aren't they replying to us?,654654551891447808
liamdixon,2015-10-15T16:49:00,@facebook have locked me out of my account until I send ID to them... WTF,654700675880779776
ImagineMediaCon,2015-10-15T18:12:00,"@facebook #Singapore office will give you total #OfficeEnvy #GravityBooth #TechGear
http://t.co/Azh1S6L5xJ",654721403569082369
grizfolkupdates,2015-10-15T19:37:00,@facebook yes! We want their page back 😿 https://t.co/bWpJSYfpPh,654742797774290944
JoeMillerPhoto,2015-10-15T20:20:00,@facebook Yep. Reinstalling took care of it. Thanks.,654753665819893760
1_Last_Thing,2015-10-15T20:20:00,@facebook your iOS App sucks....that is all.,654753860536274946
nalashaa,2015-10-15T20:33:00,@Facebook tests a new #Video tab and improves publisher tools - #SocialMedia - http://t.co/XDh4dBiLRh,654756922243989505
Bruninha_Alves_,2015-10-15T22:44:00,"@facebook I have one suggestion,a device or alarm on facebook to find the phone en casa or places next forgot or show where he is.",654789849082294272
CarlDFoy,2015-10-16T01:34:00,"@facebook is there something going on with the ""pages"" app?  I can't use it at all",654832726642589696
Sawroze,2015-10-16T02:01:00,@facebook via twitter,654839500456095744
khan52532,2015-10-16T04:25:00,@facebook salam,654875796230770688
word_number,2015-10-16T04:58:00,"@facebook 

Not all friends are able to be news feed prioritized...what the fuck?!",654884122737770496
DaveMoore20,2015-10-16T05:10:00,@facebook y is there no customer service phone line like. Y is customer svc non existant at facebook,654887215273656320
tweetnotii,2015-10-16T06:55:00,@facebook CEO #Mark Zuckerberg to visit #India on 28 October &amp;  will host Townhall Q&amp;A in Delhi http://t.co/vJVeBndBIL,654913561731272705
soozstewart1,2015-10-16T08:20:00,@facebook hi Facebook. For some reason I have been asked to change my name again and I have already been verified. This will be the 4th time,654934924408049664
IE_RoseJ,2015-10-16T10:30:00,@Facebook is launching real-time #news app is reportedly called Notify #DigiPub http://t.co/X4gnntyVHl,654967651773632512
DarrenJones00,2015-10-16T10:43:00,@facebook Privacy Basics https://t.co/RmovyekYdN,654970821983600640
WeAreWorkshop,2015-10-16T14:15:00,@Facebook video has really taken of in 2015 but finding #VideoContant can be a challenge http://t.co/x1sH3K1rcD In steps the new #VideoFeed,655024349108420608
Joe_Khawly,2015-10-16T15:41:00,@Facebook app draining battery - Business Insider http://t.co/Gf6Ahc31bF #SocialMedia,655046024403288065
o2okito,2015-10-16T17:21:00,@facebook someone create a fake page on the web site of facebook and say some dirty and fake things on them. How can unmask who do that ?,655071127539163136
wee_kezza,2015-10-16T18:37:00,@facebook what is going on with having u send yous ID!! I can't sign into my account it's a joke 😡,655090325577465857
Sociograph,2015-10-16T19:02:00,"@facebook aumenta su popularidad y compite con @YouTube en la emisión de videos. Descubre los motivos. #publicidad

http://t.co/Kh6u8NOgVs",655096423650893824
Fuckensio88,2015-10-16T19:26:00,"@facebook do you have some issues with service?  I can't open a link directly from FB, appears a message advising problems with dns server",655102647700029440
stanislawolszak,2015-10-16T19:55:00,@facebook please do something about it http://t.co/qGupIskWjy,655109925081710592
Mark_Sonnier,2015-10-16T21:18:00,@facebook just blocked me for unfollowing too many people lol,655130834836455424
mdevine928,2015-10-16T21:35:00,@facebook will stop at nothing to be more like @YouTube http://t.co/m1Ir3GXYoo via @WIRED,655134879009624066
SoyBialet,2015-10-17T00:25:00,"@facebook y su recordadera de mariqueras si uno quisiera recordar se mete, revisa y ya.😒",655177787637125120
shohid_rakib,2015-10-17T01:43:00,@facebook  Dear costomer. I do massage block to a person.now i will do unblock him but invild program.why??,655197449464643585
xElmoskush420x,2015-10-17T02:42:00,@facebook when are you gonna check my account I've been waiting for 5 hours.,655212249980628998
1dijad,2015-10-17T02:51:00,@facebook  is shutting down? #MarkZuckerberg  .so I guess next option will be Twitter..,655214561176383488
Womenwthoutrlgn,2015-10-17T03:11:00,@facebook stop allowing death threats against the trans community. #FixItFacebook #NoTransHate  https://t.co/0P9Vz4jAfS,655219651308355584
ImMrKent1279,2015-10-17T08:10:00,@facebook why my FB account is Blocked? This is my original account and i already send all my Valid ID but still Blocked its almost a Week,655294714418176000
kurstinanett92,2015-10-17T09:10:00,@facebook because my account was disabled and I had to absurdly comply to sending a photo of my license....and then your servers stop,655309813837078528
chocolateluv44,2015-10-17T13:38:00,@facebook @FBIWFO @AllenWest  Tony cruz is on Allen West fb page but admits he's a domestic terrorist. FB said nata http://t.co/H6bXbwmeUv,655377221125844992
rob_spenc06,2015-10-17T14:01:00,@facebook Is #Facebook's website down or something?,655383087753265152
fpjindia,2015-10-17T14:51:00,"@facebook CEO @finkd ’s Townhall in Delhi on October 28
http://t.co/uqvrmq2Hao",655395798910283776
Fleur_Wever,2015-10-17T15:45:00,@facebook Are pictures sometimes checked by you and marked as offensive automaticaly? Or do they have to be marked by someone deliberately?,655409260143247360
kds07,2015-10-17T17:51:00,@facebook why you are turning your good product into bad one? Woaking Images are not loading #facebook #facebookdown,655441057585348608
bryanhee,2015-10-17T18:30:00,@facebook  Viral Trick Piles Up $45 Monthly Commissions! ==&gt; http://t.co/T5LAdLnAe8,655450742124249088
ClarissaSmith89,2015-10-17T20:29:00,@facebook you need to rethink your community standards #TransLivesMatter,655480884905291776
Frango_Queimado,2015-10-17T20:43:00,@facebook I appreciate if you upload,655484364730605568
mokki072,2015-10-17T21:26:00,"@facebook Why cant i sign into my facebook user? its says that the email or the password is wrong, and both of them is right ???",655495145543090176
MarcalSalvador,2015-10-17T22:00:00,"@facebook VÍDEO QUE ESTÁ BOMBANDO NO FACEBOOK 
&gt;&gt;&gt; ASSISTA E COMPARTILHE &lt;&lt;&lt;
https://t.co/sSaQn2JWct",655503554417926144
gustavobastos21,2015-10-17T22:52:00,@facebook cade meu facebook ?? eu preciso do meu facebook,655516750147158020
awujciak,2015-10-17T23:33:00,"@facebook will you design a ""go green"" prof pic edit now? 💚",655527091396616192
Rsgla,2015-10-18T00:47:00,@facebook not work,655545780892258304
bsmoove,2015-10-18T02:16:00,@facebook how come I haven’t been getting my push notifications in IOS 9.1 beta for like a month now? I’ve tried EVERYTHING by the way.,655568160985325568
york_jptyork,2015-10-18T05:37:00,"@facebook PLEASE Vote! FOR My Video ""Short Mix III"" it's in the BEAT100 Original Video Chart http://t.co/lFIqmFifP1 via @beat_100",655618655284166657
Kass_Kardash,2015-10-18T08:18:00,"@facebook should get rid of the ability to report things,because if people hate you they report EVERY thing you post.Dunno who it is. 👿",655659087644852225
Dimach_Ka,2015-10-18T09:41:00,"@facebook nice one 
http://t.co/pk2dwVBzWQ 
how are you today?Are u fly like a Valentine? http://t.co/yybLcTjaEH",655679968756805632
61d8b4755c7e440,2015-10-18T13:35:00,@facebook @DevKaoru Hi,655738895775236096
blackheartsblog,2015-10-18T14:04:00,@facebook This is OUR legacy. WE have to fix it. #whiteprivilege #WhitePeople #love #change #fbblackout http://t.co/uwUURYNpTy,655746299099267073
asdas76tyufj3f1,2015-10-18T14:13:00,"@Facebook and everyone Please report this group, Spammers and Scammers are active there (Spam en oplichting) !

http://t.co/CVAmC1zgag",655748506578194432
ParisRomuald,2015-10-18T15:11:00,"@facebook lance six ""réactions"" en plus de son bouton ""j'aime""http://t.co/shXC5KTmQQ",655763138671984640
katmeresin,2015-10-18T15:46:00,"@facebook I'd appreciate some more varied stickers in chat. Things with fine filigree, thin lines, etc. Something I could term delicate—thx!",655771904121376768
sigilo_,2015-10-18T16:46:00,"@Facebook and everyone Please report this group, Spammers and Scammers are active there (Spam en oplichting) !

http://t.co/ikj0MiszN7",655787117663141888
NomanSohail,2015-10-18T18:52:00,"@facebook is awesome, more close more connected. Install latest update of #FacebookMessenger &amp; get all phone contacts in #messenger list.",655818756283891713
AnnaMimms,2015-10-18T19:55:00,@facebook is advertising on my telly. I resent them being in my front room. Get off &amp; pay some tax!,655834487352393728
alexbaker420,2015-10-18T21:03:00,@facebook #FacebookBlackout #fbblackout #FacebookingWhileBlack  https://t.co/wh55oMW7bS,655851822243053572
