screen_name,created_at,text,id
sticksy,2015-10-06T20:34:00,"@Garmin hi guys, are u at Kona expo? My Garmin screen cracked in travel..",651495783531806720
madebyhector,2015-10-06T20:36:00,@Garmin I just got a really bad service/support at @EnduroSport Canada.  Would rather talk to you guys about the Garmin Pedals.,651496246562136064
sticksy,2015-10-07T04:44:00,@Garmin all sorted with the new one.Many thanks 👌,651619174398033920
UASquaero,2015-10-07T06:18:00,@Garmin Will do!  Thank you!,651642689901887488
Nutrideon,2015-10-07T08:00:00,@Garmin VivoActive  como estilo de vida en tu día a día. http://t.co/aM2h30enqf http://t.co/RzQdpPqFDl,651668373538013184
RSmith_OIFVet,2015-10-07T11:45:00,@Garmin needs to allow an interactive GPS to allow users to avoid dangerous neighborhoods. Directs woman to her death http://t.co/zxI7BoJW4G,651724929516367872
Mitjetitalian,2015-10-07T14:14:00,@Garmin  nuovo #PartnerTecnico per @Mitjetitalian   http://t.co/es0b5omP49 http://t.co/hIjdCei3Jv,651762648334344192
ScottWickham,2015-10-07T20:42:00,"@Garmin, Question for you. Why does it take 10-14 days to get a replacement? I live 70 miles from your HQ / service center. (1 day mail time",651860278213148672
BillConner77,2015-10-07T22:02:00,@Garmin Thanks for replacing my watch!!! #IMKona2015 #GARMIN http://t.co/5TpHQj4SXZ,651880366693683200
ScottWickham,2015-10-07T22:21:00,"@Garmin I figured, under promise over deliver, right? I’m hoping for only a couple days! :)",651885117577764864
Garmin,2015-10-08T00:13:00,"@ScottWickham Exactly. I found your order. No promises, as it hasn't yet shipped, but I see it's scheduled to ship tomorrow. :) *CG",651913334590148609
SethSchneids,2015-10-08T03:33:00,@Garmin I'll check it out. Thanks,651963615839322112
GeekAndRun,2015-10-08T08:15:00,@Garmin vient se sortir de 2 nouveaux coloris de sa #Fenix 3 et ont les même fonctions http://t.co/uUFXeOQoEP http://t.co/cSzQKet8jG,652034596968787968
madkins79,2015-10-08T11:49:00,"@Garmin Yeah, this isn't helpful at all. http://t.co/Ptpa7WVZsO",652088387416014848
MrBranklin,2015-10-08T14:15:00,@Garmin Your GPS units should have a white people mode. Mine just took a shortcut through a New Orleans ghetto. #didntgetshot,652125204240404480
HayleyHentzen,2015-10-08T14:40:00,@Garmin why is my heart rate monitor crapping out after only 2 months of usage? The HR monitor wont stay connected for more than 1 min,652131447029960704
kjc287,2015-10-08T16:18:00,@Garmin My Garmin Vivosmart screen has stopped working and I've only had it 2 months. Please help!,652156057620320256
kmaecain,2015-10-08T16:37:00,@Garmin... Training for 3 half marathons in 3 months and always #upformore http://t.co/nM9XyVgucN,652160982131707904
Gjohnsy,2015-10-08T18:49:00,"@Garmin fenix arrived in time for Gower 50, just need to figure out how it works #complicated",652194153447751681
velokrishan,2015-10-08T20:12:00,@Garmin just tried it and success thanks again,652214974421426176
kjc287,2015-10-08T20:38:00,"@Garmin thank you, were would I find the serial number please?",652221464603688960
velokrishan,2015-10-08T21:43:00,@Garmin will do,652237935933190145
HayleyHentzen,2015-10-08T23:36:00,@Garmin FANTASTIC Customer service. New HR Monitor is in the mail. Couldn't be happier to haven chosen your product over competitors!,652266314774392834
7eki8,2015-10-09T00:12:00,@Garmin sorry but location on map is correct and satelite should send time to device. Worked before update. Any other advice?,652275482549989376
Garmin,2015-10-09T00:29:00,"@kjc287 Kirsty, it's on the underside of the band. Bottom middle in a white bar, next to S/N. *CG",652279729245061121
Garmin,2015-10-09T03:37:00,@7eki8 Great to hear Eric. Thanks for the update. *CG,652326940163051521
ACook667,2015-10-09T08:57:00,"@Garmin can someone get in touch ASAP, had my fenix 3 weeks and can't get a reply!",652407506938003456
batmanphoto,2015-10-09T09:00:00,"@Garmin My Vivoactive keeps disconnecting from my phone. I've tried all updates, reboots, etc. What's up?",652408309992042496
ACook667,2015-10-09T10:50:00,@Garmin I am having major problems with your customer service! Please get in touch,652436018541498368
