screen_name,created_at,text,id
Pennydeanlane,2015-10-06T12:08:00,@generalelectric @HomeDepot WHY WONT GE and HOME DEPOT HONOR WARRANTY ON FAULTY HOT WATER HEATER?? HORRIBLE CUSTOMER SERVICE!!! 36,651368412850069504
CFm_hyekkunc,2015-10-06T15:26:00,@generalelectric would love everyone to know your warranties are a joke $3000 fridge been broken since May still under warranty #notfixed,651418205400006656
felixculpa52,2015-10-06T18:57:00,"@generalelectric Your latest TV ad is tedious, in that the protagonist coming to work at GE is surrounded by idiots. Idiots=don't work at GE",651471331431710720
jwgreenapple,2015-10-06T21:32:00,@generalelectric Predix platform conducts predictive analytics with incredible velocity and deliver breakthrough insights #IoT #analytics,651510404372398080
iYarn,2015-10-06T21:49:00,"@generalelectric CEO to CIOs ""Demand your seat at the table &amp; make your CEOs paranoid"" #GartnerSYM",651514678309462016
egmartin1,2015-10-06T22:42:00,@generalelectric @USChamber @techreview @kathleenkennedy looks like great synergy opportunity with ge and #MITSolve,651527926660395008
DanyLW4DMS,2015-10-07T01:59:00,@generalelectric Empresa N°1 http://t.co/mpxm0eQ3gl,651577526930833408
fastbreakbreak,2015-10-07T02:21:00,@generalelectric did Jack Donaghy start a microwave and podcast division?,651583104130396160
OpenBox3D,2015-10-07T09:46:00,@generalelectric http://t.co/piNg2zsHQo,651695059587362816
HighTechSharma,2015-10-07T11:51:00,@generalelectric #DigitalTwin an enabler for #Industry40  https://t.co/jUgJrdN2QP,651726421602123776
MREConsulting,2015-10-07T12:06:00,@generalelectric Immelt Has Advice for Tech Chiefs (Get a Seat at the Table) and for CEOs (Stay Paranoid) http://t.co/rIVTGtbIqf,651730294182150144
TechReact,2015-10-07T12:06:00,@generalelectric Immelt Has Advice for Tech Chiefs (Get a Seat at the Table) and for CEOs (Stay Paranoid) http://t.co/j2l8lKqV2w,651730290528886785
CompeteNow,2015-10-07T12:39:00,@Generalelectric’s new additive #mfg cntr. will test new design &amp; production techniques; http://t.co/TKD4B1eyjV |@CarnegieMellon.@PittTweet,651738509909188608
RobertAeder,2015-10-07T13:23:00,"@GeneralElectric CEO to #CIO: ""Have to be an active leader, demand seat at table because your company needs you"" https://t.co/TqMQVWDn8D",651749650358104064
originemonde,2015-10-07T14:26:00,@generalelectric justo acabo de llamar a GE por un problema con el lavarropas y me parece esto. Menos publicidad mas servicio técnico.,651765473110065152
agmilmoe,2015-10-07T15:02:00,"@generalelectric can spawn a ""unicorn"" billion dollar start up without breaking s sweat! http://t.co/Weh1YdrBhk",651774617263075328
crosslogic,2015-10-07T16:53:00,@generalelectric Oil&amp;Gas sector &gt; 50% of core applications running on #AWS today. GE plans to migrate 5k out of 9k corporate apps #reinvent,651802623293718528
RichCrane,2015-10-07T16:55:00,@generalelectric all in on the cloud.  Moving to 60% in cloud and 40% in their own data centers. http://t.co/QInNyj2vbS,651802994657263616
Chuy_Varo,2015-10-07T17:01:00,@generalelectric ilumina tu vida y hasta más fácil solo con @generalelectric,651804668733947904
GlenGarrick,2015-10-07T17:18:00,@generalelectric takes ownership / stewardship responsibilities. #environment #sustainability http://t.co/gIUPNzpOoy http://t.co/06InjNqkXv,651808796394700800
CompeteNow,2015-10-07T17:45:00,"@Generalelectric spins off new co. to offer products &amp; services in #energy eff., renewable generation &amp; storage; http://t.co/80fJMmQJ5K",651815688118603776
lovenfl1,2015-10-07T18:19:00,@generalelectric all you picked all winners for GE360 sweep,651824197493235712
filipesaraiva,2015-10-07T19:13:00,@generalelectric @currentbyge please get my curriculum!!1!,651837833938866176
MREConsulting,2015-10-07T22:17:00,@generalelectric #CIO Jim Fowler to Focus on Internal Industrial Internet in New Job http://t.co/JEpu7SP21C,651883979558268930
ZacheriahW,2015-10-07T23:17:00,@generalelectric @elmclaughlin YOURE ON A COMMERCIAL!!?!?!??,651899256224268288
Brio_Energy,2015-10-07T23:28:00,"@generalelectric goes energy efficient with new service called ""Current""
http://t.co/NOVAaJd7Sg",651902037420978176
expfuture,2015-10-08T02:11:00,@GeneralElectric creates #Current to house energy businesses &amp; SCALE PLATFORM #Predix @sanguit @InfoEcon #ॐ http://t.co/uoaInN1EYz,651942955582812160
RanjanPant,2015-10-08T02:16:00,@GeneralElectric Nurtures Its Industrial Internet Ecosystem | Automation World @InfoEcon @balaiyer  http://t.co/Umw8Z0dr2p,651944270186713088
allison_mahala,2015-10-08T04:38:00,@generalelectric The E-Drink was great!! To be able to give your phone a boost with your cup of coffee?! Great idea!! #Fallonventions,651979878208786434
SharonZurcher,2015-10-08T04:39:00,@generalelectric @FallonTonight I always love Fallonventions some of the brightest minds of the future right there,651980213803458560
Ryan9520,2015-10-08T04:44:00,@generalelectric hands down the e cup 👏🏻👏🏻,651981565833158656
annmakosinski,2015-10-08T05:21:00,@generalelectric awesome :) let me know if there's anyway I can help you out in the future!,651990758094843904
LowClassCaptain,2015-10-08T05:29:00,"@generalelectric Finally the day has come. The tough warrior, after years of loyal service to King Vegeta and Lord Frieza, has been --",651992769855000576
SamehAbuHeiba,2015-10-08T07:59:00,"@generalelectric im very sad to use product GE because i don't found helpful service center in Alexandria,Egypt.I called them more10times",652030540682391553
HZoghmar,2015-10-08T10:10:00,@generalelectric @currentbyge,652063389133479938
gulf_intel,2015-10-08T13:45:00,@generalelectric launches #energy #efficiency subsidiary https://t.co/rju3kMrQwR #technology #energyefficiency #giforum,652117553339334656
Khullani_,2015-10-08T15:50:00,@generalelectric CEO Jeff Immelt is leading another era of Pivoting at GE. The company just has extraordinary CEOs. http://t.co/7RZNfuiXi5,652149033889206272
SharonZurcher,2015-10-08T16:53:00,@generalelectric your wecome..it's nice  to see people interested in science stuff like that,652164884931604480
stevekleber,2015-10-08T18:06:00,@generalelectric FirstBuild tackles universal smart-home interface: http://t.co/5lFfzPbppc,652183175108542464
VictoriaRodolfo,2015-10-08T18:59:00,@generalelectric Ha de ser no contaminante. Quizás.,652196626048659456
CREDnation,2015-10-08T21:26:00,"@generalelectric’s new business, Current, is a great example of what the Internet of things can do http://t.co/ooWKfB7tMc",652233609550688257
codoritos,2015-10-08T22:38:00,"@generalelectric and their ""imagination at work"" commercial is amazing!",652251766625579009
CAMouflage__,2015-10-08T23:25:00,@generalelectric who passed this knowledge down to you. Let's have a chat,652263556163854336
DuaneMcClellan,2015-10-08T23:50:00,@generalelectric I KNOW WHAT GE IS! Seriously love the new commercials!  Can you all lift a hammer though?,652269988737347584
