screen_name,created_at,text,id
SarahLaVoi,2015-10-06T11:30:00,@GeneralMills recalls 1.8MM boxes of #Cheerios mislabeled as #glutenfree. Apologizes &amp; engages w/community @cheerios. http://t.co/SPSEWzFUcl,651358760548610048
Gator995,2015-10-06T12:06:00,"@GeneralMills voluntary recall of #cheerios #honeynutcheerios, may not be gluten-free.  #Read before you buy.
http://t.co/0sCAV1cDQW",651367861466763264
KTVU,2015-10-06T14:15:00,"@GeneralMills plant in #Lodi involved in #cheerios #recall, plant  introduced wheat flour in oat flour system http://t.co/Fhdu4R442J",651400355792580608
DianaDePriest,2015-10-06T14:47:00,"@GeneralMills wheat in Cheerios? How at a ""dedicated"" plant? For some gluten free is critical not a trend. How do we trust you now??",651408381383569409
ilikedesigning,2015-10-06T15:34:00,@GeneralMills recalled the #glutenfreecheerios. That explains so much. Thanks a lot jerks.,651420293508927488
_JakeFleming,2015-10-06T15:38:00,@GeneralMills I submitted a claim to your website two weeks ago and haven't heard back. Is there a way I can talk to a human?,651421393112842240
RebelSoloo,2015-10-06T15:38:00,@GeneralMills hi,651421314289434624
joansalgeblake,2015-10-06T16:03:00,@GeneralMills recalls &gt;1million boxes of gluten-free Cheerios http://t.co/pot0dJsmhT @Reuters #eatright #Celiac #GlutenFree,651427607603449856
HCITExpert,2015-10-06T18:10:00,"@GeneralMills You've been quoted in my #Storify story ""@Gartner_Events Predictions during #GartnerSYM"" http://t.co/LhdRzRdGLk",651459601066536960
jlane90,2015-10-06T18:10:00,"@GeneralMills I was in the hospital twice last week over half a box of honey nut cheerios, I have some choice words for that bee.",651459526999298048
pmgnetinc,2015-10-06T18:15:00,"@GeneralMills presenting at #GartnerSYM to learn more, visit us at booth 425 #bpm #UX http://t.co/5w3H12L2JC",651460739929141248
littlespider9,2015-10-06T18:34:00,@GeneralMills Thank you! Very impressed by your handling of this situation.,651465603664900097
ImGinaDiPietro,2015-10-06T19:17:00,"@GeneralMills recalls 1.8 million boxes of @cheerios, Honey Nut #Cheerios produced in CA. Cereal is labeled gluten-free but contains wheat",651476315636387841
Neal_Dewing,2015-10-06T19:20:00,@GeneralMills really glad to hear. Shame for it to go to waste.,651477066827829249
WilliamTammen,2015-10-06T19:41:00,@GeneralMills  Have customers with gluten intolerance donate the cereal to food banks and shelters.,651482311385464832
WilliamTammen,2015-10-06T19:43:00,@GeneralMills  The receipts from food banks and shelters can be used to provide the reimbursement announced.,651483006314524672
tRox210,2015-10-06T19:49:00,"@GeneralMills thanks, I sent an email",651484399586947076
marksilva,2015-10-06T20:09:00,"Ugh ^AH @GeneralMills. You wouldn't the passive voice if ""mistake was made"" w/rat poison which is how serious gluten contamination can be.",651489488263229440
robleathern,2015-10-06T20:10:00,"@GeneralMills @marksilva you can start by using the active voice ""we made a mistake""",651489746095468544
mindnmybiznezz,2015-10-06T20:11:00,@GeneralMills did they get the green bean situation strait &amp; I'd the cereal still kool to eat😩,651489891679797248
Hlest6,2015-10-06T20:18:00,@GeneralMills   Ad Agency Unlimited U S A    *Specialty Advertising Agency  *Online Ad Solutions  *E- Mail Us  For Best Results,651491787916230656
female999,2015-10-06T20:54:00,@GeneralMills Thank you Nichole for interviewing me today. I hope to hear from you soon!,651500795251195904
Nikki_Nies,2015-10-06T21:40:00,@GeneralMills has recalled 1.8 million boxes of #cereal that was wrongly labeled #GF http://t.co/Jh7zB76OOK http://t.co/88X0CX49ib,651512274293620737
WeDishNutrition,2015-10-06T21:40:00,@GeneralMills has recalled 1.8 million boxes of #cereal that was wrongly labeled #GF http://t.co/FtU5cqsAEQ http://t.co/JSahcjT1P6,651512274285236224
ann_drury,2015-10-06T23:21:00,"@GeneralMills,  Poorly done. #Cheerios. As a parent of a celiac child, this is really not ok. Big setback",651537854632357888
BRVX00,2015-10-07T00:15:00,@GeneralMills FROSTED* and thank you 😁,651551496312647680
JereCTN,2015-10-07T01:24:00,@GeneralMills @KelloggsUS THIS!!! http://t.co/QQulHqrJ1i,651568691327467520
bittripfan,2015-10-07T01:30:00,@GeneralMills  Cherrios   #elmercaditopromo,651570245153488897
jcasarezg,2015-10-07T02:32:00,"@GeneralMills Thank you,I will.",651585847435788292
MAD_atude,2015-10-07T03:04:00,@GeneralMills y u gotta change trix cereal from fruit shapes to circles.,651593885706256385
Michelerun_72,2015-10-07T03:47:00,@GeneralMills it just doesn't taste the same. 😔 #disappointing,651604626412863488
SteveOzanCFE,2015-10-07T19:19:00,@GeneralMills if I were eating food mislabeled gluten free I would be Reintroducing that poison into my system over-and-over again. #NotOkay,651839310791090176
WhyLizLovesYou,2015-10-08T00:05:00,@GeneralMills PLEASE keep the Mini Trix around!! They are PERFECT for making Trix Treats!! http://t.co/O4tWnzdiPZ,651911185567219713
WhyLizLovesYou,2015-10-08T00:08:00,@GeneralMills #minitrix need to stay in my life foreverrrr!,651911900389900288
roundmola,2015-10-08T00:45:00,@GeneralMills where is my gardetto bag with NO rye chips,651921308620492800
Alexandrafunfit,2015-10-08T04:04:00,"@GeneralMills, U support education w/ BoxTops, yet don't want us educated about yr ingredients. Stop supporting the DARK act. #JustLabelIt",651971363222200320
Karolin34637231,2015-10-08T11:32:00,@GeneralMills Turning this incident into something good could be also great for your business. Consumers would buy even more of Ur products,652084084261326848
kreigdominic,2015-10-08T17:52:00,@GeneralMills why not resealable yet? It's 2015. http://t.co/0iSAoN9MDQ,652179754620190725
HEARTHIS12,2015-10-09T01:32:00,"@GeneralMills @GenMillsCareers @GeneralMillsAnn   SUPPORT OUR VETS!
SALES GO TO VETS &amp; THEIR FAMILIES!! 
REAL HEROS! https://t.co/9MY4RAil5m",652295480295075840
TheFrontofThe__,2015-10-09T01:56:00,@GeneralMills I wanna know why the fuck you dont have resealable bags by now.,652301505916203008
stevetu37749940,2015-10-09T03:36:00,"@GeneralMills hey guy, wanna triple your sales over night.
Put vets on your cereal boxes real Heroes http://t.co/dAEqSpcsDg",652326774622150657
Moirraines,2015-10-09T04:59:00,"@generalmills And they should go organic to stop pumping Roundup Ready into millions of kids too. Yeah, right. https://t.co/Xp1XfmyPF8",652347576860086273
kyleman7871,2015-10-09T06:24:00,"@GeneralMills Can't find #monstercereals anywhere in Dallas, TX 75214.  What gives?  Help me!  We need our fix.",652369108374126592
