screen_name,created_at,text,id
CureHepatitisC,2015-10-07T01:01:00,@GileadSciences Releases Topline Data on Investigational #HepatitisC Drug #Velpatasvir http://t.co/rTwTjpkDSl #HepC http://t.co/tCQ4fkKdGm,651562955880964100
HeyFromAD,2015-10-07T12:29:00,@GileadSciences is another of our @TheIconAwards Marketing Campaign of the Year finalists: http://t.co/Au3gTfs8Ia http://t.co/XvbMOSJd7x,651736225322266624
HcvNyheter,2015-10-07T13:17:00,@GileadSciences #Sweden #hepatitis nobeltrauma:Conference infectious disease prevention-available interviews:http://t.co/2Ov9uzAIA7,651748177905889280
raredisorders,2015-10-07T18:56:00,@GileadSciences Canadian President Ed Gudaitis notes the policy needs to be there - solution is pan-Canadian #Canada4Rare @Durhane,651833550484799488
raredisorders,2015-10-07T19:10:00,@GileadSciences we need national AND global collaboration #Canada4Rare @FredHorneAB @Durhane,651837018968756224
Skwirrlmaster,2015-10-07T19:16:00,@GileadSciences #WallStreet.  1 share IBB buys 5shares #Gild leverage &amp; costs 3x.  Trade 1 share IBB for every 3 GILD.  Free shares!!!,651838495669878785
CureHepatitisC,2015-10-08T01:02:00,@GileadSciences Releases Topline Data on Investigational #HepatitisC Drug #Velpatasvir http://t.co/rTwTjpkDSl #HepC http://t.co/PWukIE8UqG,651925487426621440
CureHepatitisC,2015-10-09T03:01:00,@GileadSciences Releases Topline Data on Investigational #HepatitisC Drug #Velpatasvir http://t.co/rTwTjpkDSl #HepC http://t.co/nglUFc4oh2,652317913429483520
CureHepatitisC,2015-10-10T00:01:00,@GileadSciences Releases Topline Data on Investigational #HepatitisC Drug #Velpatasvir http://t.co/rTwTjpkDSl #HepC http://t.co/jvaj2qIMDl,652635020654419968
HcvNyheter,2015-10-11T15:27:00,"@GileadSciences #hepatitis @WHO ""Some people shine more then others"" Young women speech #Glasgow 2015 https://t.co/ldQGlpx3sg",653230558047272964
CureHepatitisC,2015-10-11T20:01:00,@GileadSciences Releases Topline Data on Investigational #HepatitisC Drug #Velpatasvir http://t.co/rTwTjpkDSl #HepC http://t.co/xLpN10iuq1,653299526183292928
OTTSLLC,2015-10-11T22:12:00,"@GileadSciences  needing help in your supply chain &amp; logistics network, call on the experts https://t.co/CTo7UHb0iy",653332334129770496
CureHepatitisC,2015-10-12T17:01:00,@GileadSciences Releases Topline Data on Investigational #HepatitisC Drug #Velpatasvir http://t.co/rTwTjpkDSl #HepC http://t.co/qTkHGHyO2R,653616530329063424
HcvNyheter,2015-10-12T22:55:00,@GileadSciences #Sweden OBVIOUIS #HEPATITIS #DISCRIMINATION NO ONE HAVE CLICK - listen speech Jazzy de Lisser: https://t.co/dina0llCp6,653705502917033984
HcvNyheter,2015-10-13T14:37:00,@GileadSciences Infected healthcare worker democracy force-Discrimination TOPIC NEVER INDIVIDUAL PROJECT THEME pharmaceutical Company @LIFse,653942699909885952
CureHepatitisC,2015-10-13T19:01:00,@GileadSciences Releases Topline Data on Investigational #HepatitisC Drug #Velpatasvir http://t.co/rTwTjpkDSl #HepC http://t.co/1QPzFPnQ7X,654009190323761152
Aris_Angelis,2015-10-14T14:18:00,"@GileadSciences President John Milligan on #HepC drugs: operating within the industry's norm, pricing similar to predecessors @JohnCFierce",654300162098098176
afterglowkrush,2015-10-14T14:31:00,@GileadSciences  https://t.co/rSDRjY1Sy8,654303445873258496
CureHepatitisC,2015-10-14T21:01:00,@GileadSciences Releases Topline Data on Investigational #HepatitisC Drug #Velpatasvir http://t.co/rTwTjpkDSl #HepC http://t.co/ARGExiqKl0,654401714343280640
UWBiostat,2015-10-14T22:12:00,@GileadSciences Fifth Seattle Symposium deadlines are fast approaching! Register NOW! http://t.co/EZyxpXNDgY,654419638076338176
ManhattanPHD,2015-10-15T19:32:00,@GileadSciences Why is my prescription so expensive? Does my pain and suffering mean nothing to you and your wallets?,654741635931107328
