screen_name,created_at,text,id
TomOstrowsi19,2015-10-06T21:04:00,"@GSK Hi, when will I be able to apply for one of your undergraduate placement roles? Thanks",651503204413390848
CaptainJudas,2015-10-07T05:18:00,@GSK hello! How can I get nasal Bactroban in Mexico?,651627591070285826
DisasterConv,2015-10-07T05:47:00,"@GSK Do you know about the 4 day #InternationalDisasterConvention2015 in #Dubai ??
More Details at https://t.co/r4aRauCsnS",651634923837632512
shirleydnm,2015-10-07T08:39:00,@GSK thank you very much. I shouldn't think I am the only one. The foil is quite sharp x,651678138964045824
TomOstrowsi19,2015-10-07T09:29:00,@GSK Thank you!,651690692360671232
Tomorrows_Eng,2015-10-07T10:21:00,"@GSK Hi there, are you involved in Tomorrow's Engineers Week (#TEWeek15)? Please add your activity to our map! http://t.co/CNcIY5jyb2",651703925234601984
andrewspong,2015-10-07T11:28:00,@GSK How about organising a #PatientsIncluded event to celebrate? Details here: http://t.co/TCPBiDdF4E #pharma,651720775943200768
LotusWorksJobs,2015-10-07T11:38:00,Happy Twitter birthday! @GSK,651723167367589888
engagementstrat,2015-10-07T11:39:00,@GSK congratulations. Ahead of the 'pack' :-),651723634281709569
Brianm69,2015-10-07T13:05:00,"@GSK Who the frigging hell thinks up yr TV ads? Latest Sensodyne White claims are dubious to say the least.GSK &amp; Colgate, saturation TV ads.",651745075777679360
Wayne90921,2015-10-07T17:14:00,@GSK Has Anyone Ever Tried To Utilize The Mold From Coffee For Revitalization MEDS? A Euphoric Drug?,651807931550277633
Acedotor,2015-10-08T15:35:00,@GSK presenta un análisis post-hoc de los datos de marcadores del deterioro de la EPOC obtenidos con Anoro®: http://t.co/XUpst5GJNP #salud,652145397842907136
michael_ogilvy,2015-10-08T16:22:00,"@GSK This is disingenuous. They had nothing to do with G, or SK. All Wellcome.",652157144377110529
InterbrandUK,2015-10-08T18:05:00,@GSK’s VP of Design @andrewbarracl1 takes the stage #BGB2015 #Purpose,652183068007092225
martiendas,2015-10-09T07:52:00,@GSK please could you sell Parodontax without unnecassary packaging? #CSR http://t.co/GSuBjkvJmA,652391063638908928
sudiptamisra,2015-10-09T12:38:00,@GSK @ViiVHC congratulations to the entire team who worked behind this pioneer initiative.,652463128744210432
Vanguard144,2015-10-09T15:04:00,@GSK Aha- zidovudine - I was involved in 1987 - some really good scientists at a very active Dartford site then!,652499851129810945
saidurh,2015-10-09T16:20:00,"@GSK Next time try the @crowdcst hangout app to make it super interactive, reach more people, &amp; get analytics :) http://t.co/OgTxecox3U",652519123386277888
maxdd11,2015-10-09T18:17:00,@GSK,652548399821099008
fundacionvihda,2015-10-09T19:37:00,@GSK: The search continues: discovering new #HIV medicines @ViiVHC: http://t.co/lNTG5yTcIv #leadingscience http://t.co/99txSCFOET @GSKUS,652568510141440000
Fiddaman,2015-10-09T22:10:00,"@GSK Defending Paxil and suicide - it's revealing, it's unbelievable - It's GlaxoSmithKrime at their very worst. Blog coming soon. @kslaw",652607038648881153
narratif2,2015-10-10T08:06:00,@GSK,652757052381601792
manuelcapella,2015-10-10T17:01:00,@GSK Bnas tardes busco Daivobet para paciente complicado por psoariasis #Venezuela #ServicioPublico,652891782276059136
JesseMillette,2015-10-11T07:49:00,@GSK I would really appreciate a follow back from you!,653115128821489665
don_flkyd,2015-10-12T02:54:00,@GSK I would like to point out on your TV commercial about whooping cough that the :w in whooping cough is silent.,653403318740455424
USJobsForAll,2015-10-12T03:27:00,"@GSK 
Connect to me on LinkedIn 
http://t.co/awL0e9JYeK",653411734703575040
USJobsForAll,2015-10-12T03:28:00,"@GSK Name (First &amp; Last) 
Contact No. 
Email ID  
Current Location 
Willing to Relocate if need 
Work VisA Status 
Availability * 
Skype ID",653411838747504640
isciencewriter,2015-10-12T07:47:00,@GSK submits regulatory application for chlorhexidine gel to prevent infection in newborns http://t.co/dD0eC3DS6S #pharma #infectioncontrol,653477016474398720
DrSuePearson,2015-10-12T07:47:00,@GSK submits regulatory application for chlorhexidine gel to prevent infection in newborns http://t.co/CxZqx8Upa4 #pharma #infectioncontrol,653477016478593024
DrSuePearson,2015-10-12T11:00:00,@GSK submits regulatory application for chlorhexidine gel to prevent infection in newborns http://t.co/YseMeQYQWt #pharma #infectioncontrol,653525754869907456
daktari1,2015-10-12T11:41:00,@GSK Pulse beneficiary Quitaba participating in a communications and fundraising forum for @Amref_Worldwide http://t.co/yw9jjI97Bc,653535995254677504
CoherantIndian,2015-10-12T18:13:00,"@GSK You have got a great candidate in Shailee from NIPER :)
#Placements",653634725349756928
Farazsakur,2015-10-13T10:18:00,@GSK hi I just need to enquire when is the deadline for industry placement,653877509579239424
nafdacsummex,2015-10-13T10:52:00,"@GSK The planned NAFDACSummEx scheduled for october 13-15, 2015 has been postponed. A new date will be communicated soon.",653886113661222915
ZenopaLtd,2015-10-13T12:15:00,@GSK seeks EU approval for new chlorhexidine gel: http://t.co/zaXsC8DGDc #pharmanews #gsk http://t.co/sA3h2jJcVQ,653906922266038272
DaveAlsop,2015-10-13T15:07:00,@GSK random question but I picked up a GSk science = awesome wrist band from the science museum. How do I get some for school prizes?,653950073441796098
ZenopaLtd,2015-10-13T16:20:00,@GSK seeks EU approval for new chlorhexidine gel: http://t.co/cVUsURLzNn #pharmanews #gsk http://t.co/mBLsGLMqcU,653968606351503360
meena_shafaq,2015-10-13T18:53:00,@GSK great work .,654006954004754433
WahalaComedyEnt,2015-10-14T01:14:00,@GSK WAHALA Comedy: WEST INDIES Vs AFRICA Sat 24th Oct @ Athena LEICESTER. Tkts&gt;http://t.co/hgT2MrQwOt http://t.co/Y1iLFZvC5Q,654102838415650816
rlclab,2015-10-14T09:17:00,@GSK pls RT...free industry STEM resource for UK schools http://t.co/JB2uv8EAan … gsk sponsor http://t.co/hrro0Bua6U,654224465853874176
ACCESSHealthW,2015-10-14T15:19:00,@ACCESSHealthW has case studies showing how businesses are helping. See Building Knowledge on our website @GSK @Primad77 @3BLMedia #sdgforum,654315573191512064
OverlordNoni,2015-10-14T15:45:00,"@gsk 
RT @markessien: By the way - the current batch of Ventolin Asthma inhalers being sold in Nigeria are fake/not working.",654322118902050816
Awex_EastEurope,2015-10-14T17:47:00,@GSK @AWEX_Belgium  #WalPol  https://t.co/NpUSLwuDJe,654352938224218112
jose_jagd,2015-10-14T20:16:00,"@GSK, exciting article on @ScienceInsider- chlorhexidine gel for umbilical chord stumps! Look forward to seeing you at #LUautumnfair2015",654390418793197569
Acedotor,2015-10-14T20:32:00,@GSK presenta la solicitud de registro de su #gel de clorhexidina : http://t.co/HqEx6CamLQ #salud #pacientes,654394279922659329
AnnaStove,2015-10-14T21:35:00,@GSK NZ taking part in the #ShakeOut #Earthquake Drills this morning. http://t.co/bfLxbYMHrV,654410306244874240
Daniel_Creasey,2015-10-14T22:06:00,@GSK and @savechildrenaus submit product for umbilical cord infections in new-born babies http://t.co/VifiNZQDwq #CSR #neonatal,654418125283155968
isciencewriter,2015-10-15T07:46:00,@GSK submits regulatory application for chlorhexidine gel to prevent infection in newborns http://t.co/HeOIN2M0XO #pharma #infectioncontrol,654563887887581184
Awex_EastEurope,2015-10-15T10:58:00,@GSK at the Poland-Wallonia Crossing Paths seminar #WalPol #BELstatevisitPOL @AWEX_Belgium http://t.co/Y7ASUzpLLH,654612379368562689
UlfJonassonPhD,2015-10-15T18:27:00,"@GSK - Darvon http://t.co/0TGSesJr2a http://t.co/uIM0Mf8kew http://t.co/8sD6Jk7pOm 
http://t.co/xfIrCyK6J2 http://t.co/ukk5uvhGRX",654725213280595969
UlfJonassonPhD,2015-10-15T18:27:00,@GSK - Some of my most important tweets about Darvon &amp; Darvocet fatalities http://t.co/wXLwLjGAlI http://t.co/xtIDeBKAR4,654725303726551040
DrUlfJonasson,2015-10-15T18:27:00,@GSK - Some of my most important tweets about Darvon &amp; Darvocet fatalities http://t.co/wXLwLjGAlI http://t.co/xtIDeBKAR4,654725303726551040
DrUlfJonasson,2015-10-15T18:27:00,"@GSK - Darvon http://t.co/0TGSesJr2a http://t.co/uIM0Mf8kew http://t.co/8sD6Jk7pOm 
http://t.co/xfIrCyK6J2 http://t.co/ukk5uvhGRX",654725213280595969
mefloq_vets_aus,2015-10-15T22:04:00,@GSK @MedsforMalaria Breakthrough status to shortcut #neurotoxic #tafenoquine tested on soldiers? Not on our watch. http://t.co/49IHyNkUJu,654779841984618497
stevegould1433,2015-10-16T07:38:00,@GSK du hast mich? Mucho or piquano? Mucho 🙈,654924355793756160
AnneThitu,2015-10-16T15:54:00,@GSK @AMREF_UK @HandwashingSoap  Yes!!!,655049252419301376
TheMikes_,2015-10-16T22:03:00,@GSK @southwesttrain1 @Woking you guys are pretty mad online,655141965986689024
ColeyColeSwim,2015-10-16T23:00:00,@GSK I'm attending the careers Fair at Loughborough Uni on Tuesday 20th Oct 2015 - wondering who I would be able to speak to there please?,655156430954196992
litchfield_ian,2015-10-17T07:28:00,@GSK Tremendous work by all with many risks.,655284304126332928
delosclinical,2015-10-17T12:45:00,@GSK presenta registro gel de clorhexidina para infecciones cordón umbilical http://t.co/BIL2VqvGFP,655364090513199104
manuelenciso,2015-10-17T18:38:00,@GSK eligió a la Argentina para producir su marca de adhesivos dentales fuera de Irlanda http://t.co/8v3xXXZXrD,655452737157615616
ColeyColeSwim,2015-10-18T16:53:00,"@GSK I'm attending the @lborouniversity Grad Fair 20/10/15. I'm interested in speaking with someone, wondering who I could chat to please?",655788893124599808
CloudCounselage,2015-10-19T15:28:00,@GSK 'enables' 200 Apps on 31K iPads with @AirWatch; https://t.co/3Oauch09mJ #EnterpriseMobility! @PGelsinger @DuncanYB @JoeBaguley @spoonen,656129928669229056
Brianm69,2015-10-19T16:38:00,@GSK Along with Colgate you're  coming up with unbelieveable new formula toothpastes on almost a daily basis.Who you trying to kid? Scammers,656147408892633088
NMSDCHQ,2015-10-19T20:50:00,@gsk Thank you for your support! #NMCDCConference #Diversity @SDConventionCtr Business Opportunity Exchange Co-Sponsor,656210713526996992
widescreenJohn,2015-10-19T22:47:00,"@gsk Over $320 for Advair without insurance? I can't say ""F*ck you"" loudly enough. Proof that healthcare should be nonprofit.",656240299426107392
IN_PART,2015-10-20T08:31:00,"@GSK and @UCSF_catalyst have launched a new collaboration focusing on #Cancer, #Obesity and #InfectiousDisease https://t.co/BG2A6PkZim",656387268647768064
SimonStacey,2015-10-20T13:00:00,"@GSK Hi there, my company would like to nominate your company for the Corporate Entrepreneur Awards https://t.co/lPIBVrGomA",656454890210873344
axoncorporation,2015-10-20T18:01:00,"@GSK Our business has an idea that could change oral cleaning and we would love it if you could get behind that idea.
(Ps. Check your email)",656530798003093504
anitayayay,2015-10-20T23:20:00,@GSK cuando se regularizara el abastecimiento de los vacunatorios con infanrix hexa?,656610911399059456
Internshala,2015-10-21T07:49:00,"@GSK Hi, u may want to try @Internshala for Intern hiring. It’s free &amp; hassle free-.https://t.co/G5U1xoEuFp https://t.co/u4NApMG6Sd",656739162809241600
GreensleevesHT,2015-10-21T08:17:00,@GSK launches global fund to find #dementia cure by 2025 https://t.co/aZ2tdfxG68 @DementiaFriends @alzheimerssoc https://t.co/4U0EP6MxwC,656746223882387456
EmmaKilbey,2015-10-21T08:40:00,@GSK about to embark on part two of the 'Hero's Journey' with @Roy_Leighton https://t.co/lUHqF8NK8s,656751940542550016
Bridges_BV,2015-10-21T09:32:00,"@GSK, @ARUKnews and Dept of Health launch global fund to prevent and treat dementia https://t.co/suVgqDPjI9 https://t.co/asrNzpTreO",656764947502899200
gabycec_says,2015-10-21T09:35:00,@GSK - are you going to be opening your Communications and Government Affairs programme again for 2016 entry?,656765844299632640
gabycec_says,2015-10-21T09:43:00,@GSK Thank you Seb!,656767829434322944
CareersatQueens,2015-10-21T11:01:00,@GSK #GlaxoSmithKline recruiters are here looking for top candidates! stop by to see what they have for you! #qubjobfair #qubcareers,656787349272141824
frutod00,2015-10-21T12:02:00,RT @GSK: Are we entering the era of cures? Our top scientist speaks @dundeeuni on opportunities &amp; obstacles #leadingscience...,656802633454374912
axrolim,2015-10-21T12:42:00,@GSK does GSK Brasil have a Twitter account?,656812736840642560
MarkJSandeen,2015-10-21T14:07:00,@GSK @ARUKnews #https://youtu.be/4B8U7AfnbXk#at minute 11:30 single injection of hMSC,656834301208596480
GSK,2015-10-21T19:42:00,"@gabycec_says I spoke with Recruitment &amp; unfortunately applications for our 2016 CGA program are closed. Thanks for your interest, Abby",656918537248878592
