screen_name,created_at,text,id
nollyebuka1,2015-10-06T19:27:00,@GM why do Britain always supports Muslims to kill christians all over the world? check the case of #Biafra,651478948514242561
slowcb7,2015-10-06T19:56:00,"@GM track day in a turbocharged, AWD @Buick Regal GS is fun. Let loose ye boost. #sleeper #turbotuesday #cheatsheet http://t.co/Kux9fwPRWl",651486162813489152
2hanzome,2015-10-06T20:25:00,@GM why do Britain always supports Muslims to kill christians all over the world? check the case of #Biafra http://t.co/dPpz4bnHs3,651493482943660032
Ahmed_AlMalki,2015-10-07T00:05:00,"@GM I wish you interest in the Middle East customers, agents in Saudi Arabia are the worst, not specifications, obscene expensive...(1)",651548761190236160
Ahmed_AlMalki,2015-10-07T00:15:00,@GM i hope you do not help agents in Saudi Arabia to bring poor and bad options and sell the cars with high price as full options ones !!,651551459797020672
urbeconomica,2015-10-07T00:51:00,@GM Mantiene #Mexico crecimientos en mercado de autos en #EEUU. Aporta 11.4% de vehículos enero-septiembre http://t.co/zZUmgarJfo,651560416565440512
riveradelcondor,2015-10-07T00:55:00,"@GM SONNENKÖNIG_RIVERA MUÑOZ HUGO IVÁN_11_10_1977.
Te Espera Fidel Para darte Tú Muerte Santa.
Nuclear Technology Provinzial_1977.",651561353266769920
Hess25B,2015-10-07T15:55:00,"@GMCustomerSvc recognize this?It's the fuel pump on my 09 cobalt xfe.Burned, how many people have to die? Close one. http://t.co/R4FKWlp0aK",651787947944058880
riveradelcondor,2015-10-07T18:24:00,"@GM SONNENKÖNIG_RIVERA MUÑOZ HUGO IVÁN_11_10_1977.
1919 ZENTRAL DIE RUßLAND,GEGRÜNDET 1949.
Nuclear Technology Provinzial_1977.",651825315321376768
becky_pontiff,2015-10-07T19:29:00,@GM just gave me an offer!!!,651841856045625344
Ebscer,2015-10-07T19:33:00,"@GMCustomerSvc Had a recall, and after three trips to the dealership you eventually refused to fix anything #WastingMyTime",651842919998062596
BCrums,2015-10-07T20:27:00,@GM @Buick Buick is bringing back the colored trishield?! Darn it now I gotta get an upgraded #Regal.,651856360104165376
riveradelcondor,2015-10-08T00:12:00,"@GM SONNENKÖNIG_RIVERA MUÑOZ HUGO IVÁN_11_10_1977.

Fellah You played many matches with él.
Nuclear Technology Provinzial_1977.",651913071200456704
MbamaraC,2015-10-08T01:07:00,@GM why do Britain always supports Muslims to kill christians all over the world? check the case of #Biafra,651926755624812544
Ahmed_AlMalki,2015-10-08T01:31:00,"@GMCustomerSvc no,I want to buy one, but there is no options for Tahoe LT or Accessories as the car catalog !! No leather, No front console!",651933008879054848
Ahmed_AlMalki,2015-10-08T01:34:00,@GMCustomerSvc look to different between options between Saudi Arabia and Bahrain !! http://t.co/M0y1St7i6z,651933753296691200
