screen_name,created_at,text,id
HLInvest,2015-10-06T19:00:00,UK house prices dip as Halifax sees robust underlying growth http://t.co/GV0fXWt4ID from Bloomberg,651471992718262272
HLInvest,2015-10-06T20:00:00,Shell CEO sees first signs of oil price recovery http://t.co/UAbxcFJA9n from Reuters,651487096255942656
HLInvest,2015-10-06T21:00:00,New VW CEO tells staff to brace for 'massive cutbacks' http://t.co/o5qLTPeiLe from Reuters,651502193795833856
HLInvest,2015-10-07T05:35:00,"WATCH: An exclusive interview with Mike Coupe, Sainsbury's CEO http://t.co/HpdRscI9sG http://t.co/mZtkzQfDj9",651631798666047488
HLInvest,2015-10-07T06:00:00,L&amp;G chief executive calls for flat UK pension tax rate http://t.co/8lTY8ft39q from Reuters,651638105167003648
HLInvest,2015-10-07T07:00:00,Six rules to disciplined investing http://t.co/RloCm6ow0e from Forbes,651653226069102592
HLInvest,2015-10-07T07:40:00,Tesco profits more than halved http://t.co/yXbxBUX6Yk from The Guardian,651663367317389312
HLInvest,2015-10-07T14:01:00,Five things everyone is talking about this Wednesday http://t.co/jZKSl1uRbx from Bloomberg,651759147315277824
HLInvest,2015-10-07T15:00:00,"PREVIEW: ECB minutes to focus on any hints of more QE, deposit rate cut http://t.co/y0nXbx7xQc from Bloomberg",651774015166660608
HLInvest,2015-10-07T20:00:00,Investors concerned as Adidas declines to join Blatter exit call http://t.co/1UMM5avXof from Reuters,651849483320446976
HLInvest,2015-10-07T21:00:00,Lloyds: three reasons to buy into retail share offer - or not http://t.co/Z56fdbU02D from The Week,651864583091699712
HLInvest,2015-10-08T06:00:00,VW: What Happened and What Happens Next? http://t.co/CYxfcGSh5z from Forbes,652000479002673152
HLInvest,2015-10-08T08:30:00,Lloyds: three reasons to buy into retail share offer - or not http://t.co/pRSunJnisP from The Week,652038225654059011
HLInvest,2015-10-08T09:15:00,Head of VW in US will tell Congress he knew of emissions rigging in early 2014 http://t.co/hHxEEuonQj from The Guardian,652049551247994880
HLInvest,2015-10-08T09:40:00,Deutsche Bank Warning: Brace for $7 Billion Loss and Zero Dividend http://t.co/ccIY0fLcFY from Bloomberg,652055841433100288
HLInvest,2015-10-08T11:35:00,"Mike Coupe @SainsburysNews CEO, discusses the discounters, the recent dividend cut and more: http://t.co/UHI2x5WiWw http://t.co/vI5kophuMo",652084784462696448
HLInvest,2015-10-08T11:39:00,"Sepp Blatter, Michael Platini suspended from soccer by FIFA's ethics body http://t.co/xAvndtX9ew from Reuters #FIFA",652085827535831041
HLInvest,2015-10-08T13:30:00,BOE Signals Rate Can Stay Low as Inflation Weakness Persists http://t.co/Bu3fGORJHK from Bloomberg,652113723067396097
HLInvest,2015-10-08T16:00:00,AB InBev says SABMiller board has 'refused to engage with us' http://t.co/7iGofQvl3G from The Guardian,652151513163259905
HLInvest,2015-10-08T20:00:00,"VW facilities, employee homes raided in emissions investigation http://t.co/kSkhLyN1lP from Bloomberg",652211872326897664
HLInvest,2015-10-09T06:00:00,"Fidelity MoneyBuilder Income - 20 years old http://t.co/ReDiGhb20U

NB Risk of loss",652363009474588672
HLInvest,2015-10-09T08:00:00,The 10 most important things in the world this Friday http://t.co/S5XpuuoHIE from Business Insider,652393264570609664
HLInvest,2015-10-09T08:00:00,UK home sales rising at fastest pace in more than a year http://t.co/XGsYsuoVNh from Bloomberg,652393242923782144
HLInvest,2015-10-09T09:19:00,"Dolly mixed it up at the @shaun_inthecity auction, fetching a sweet £8.5K #BaagreavesLansdown #shaunauction http://t.co/JX25fdBWMs",652413142903955456
HLInvest,2015-10-09T11:00:00,Carney says BoE rate hike not Fed-dependent http://t.co/M6xLYZqgNw from Reuters,652438363534921728
HLInvest,2015-10-09T12:00:00,Governments should avoid arbitrary changes to the tax treatment of pensions http://t.co/L0BkTCSXHt from The Economist,652453486781689856
HLInvest,2015-10-09T16:00:00,How friends and family can help parents when saving for a new child http://t.co/cy96JZjXoa NB Risk of loss,652513860029648896
HLInvest,2015-10-09T20:00:00,"Standard Chartered CEO plans to cut about 1,000 top staff http://t.co/DH2N7E3CKw from Reuters",652574257659138048
HLInvest,2015-10-10T21:00:00,IMF's Lagarde says open to a second term if called http://t.co/VzD9o0blhY from Reuters,652951745295970304
