screen_name,created_at,text,id
ShiresCrashing,2015-10-06T19:17:00,@HLInvest @mark_the_burly comedy gold.,651476488466890753
DaveHibbert,2015-10-06T22:22:00,@HLInvest And they'll end up owned by the big financial companies. Another state rip-off!,651523055446003713
Hedgewic,2015-10-07T13:25:00,@HLInvest Really!!!  After waiting for my payout this time I cant see the point .... £1.41.. cant even afford to text with that!!,651750304585752576
WYSIW,2015-10-07T17:36:00,@HLInvest Don't I own it already ?,651813483047161856
Robt_O,2015-10-08T07:58:00,@HLInvest @RedHotSquirrel Are things going wrong for Germany with this and other recent issues like VW,652030327251169280
HakimMobile,2015-10-08T09:45:00,"@HLInvest, your iphone app is pretty dire. Crashes, slow, design is from 4 IOS versions ago ,  and search doesn't work.",652057117139054592
godhelpourkids,2015-10-08T10:42:00,@HLInvest @RedHotSquirrel eu will die without our cash.thats main reason why they cant let uk leave eu,652071558157082624
pdrewienkiewicz,2015-10-09T11:01:00,@HLInvest Presumably he really said living OFF the state pension....,652438786761191424
WineLovingBear,2015-10-09T11:24:00,"@HLInvest That should be ""off""...",652444529254105089
LRossiter,2015-10-09T15:09:00,@HLInvest can this be held within Vantage Stocks and Shares ISA?,652501180501880833
LRossiter,2015-10-09T15:47:00,"@HLInvest thanks, what I really meant was will the 5% discount, and 12m bonus share incentives apply if held in VSS ISA?",652510767342841856
Josh_Flack,2015-10-10T09:34:00,@HLInvest How can I get a 'dummy' account to practise trading on with yourselves? #help #trading,652779204669538304
bobbyGsixty3,2015-10-10T17:48:00,@HLInvest link for you pal! @craigthemiller,652903567343357952
javmctaff,2015-10-11T21:19:00,"@HLInvest typical TORY PISSTAKE, 1ST we all pay for bankers fuck up, &amp; then with a straight face offered to buy back what taxpayers OWN!!!!",653319089008582656
sussexgeezah,2015-10-12T09:08:00,@HLInvest HSTG Floated today.  I see them on http://t.co/goxNLPB7DE but unable to deal online why?,653497333552951296
seanthechyipper,2015-10-12T13:16:00,"@HLInvest An awful &amp; incomplete piece of tax analysis, which suggests to me it is politically inspired.",653559994718265344
seanthechyipper,2015-10-12T13:18:00,"@HLInvest Where is the ""better way"" - reduce bonuses and pay more in corporation tax?  HMRC would've worse off!!",653560253141942272
NewForestObserv,2015-10-12T20:04:00,@HLInvest As I've already said a dozen times before - we ALREADY OWN the shares - think up another scam.,653662489763295233
hammell_ann,2015-10-12T20:50:00,@HLInvest @PensionsMonkey  see @WASPI_Campaign women born in 50s got no warning.  We need our pension !!,653674020529938432
nswessi,2015-10-13T07:08:00,@HLInvest this is not the time for website crashing. Waste of time #SABMiller on the hunt for another broker,653829566822268928
FPM_Online,2015-10-13T08:55:00,"@HLInvest expert gives views on negative inflation announcement…

http://t.co/mDYu9elIAE",653856579285053440
NewForestObserv,2015-10-13T18:03:00,@HLInvest How many times do I have to say this?  We already own the shares!,653994416051503104
Jacksutcliffe88,2015-10-14T07:50:00,"@HLInvest Morning morning, good market opening for you guys. A quick one for you, why is it so difficult to refer people to you?",654202508991143936
TheoneNickPaler,2015-10-14T08:23:00,@HLInvest shares racing back towards record levels today after latest results - inflows of £1.4bn shows volatility hasn't spooked investors,654210977035063296
Jacksutcliffe88,2015-10-14T08:37:00,@HLInvest the form doesn't load and the person I spoke to really really didn't want to take the details. Eventually he did.,654214406830718976
ShineTRodriguez,2015-10-14T15:24:00,@HLInvest I'm a Paralympic swimmer living with #hydrocephalus. Can you RT and support? You can also follow me on @ThomasRoBeltran,654316869638324224
SarahawkinsSara,2015-10-14T19:17:00,@HLInvest 💗 coming home to your marketing magazine 😃 yay! http://t.co/ADxWyydr2t,654375487893045252
sixbellscamb,2015-10-15T11:32:00,"@HLInvest But I thought I already owned shares in Lloyds, along with everyone one else in the country",654620915012116480
CarlsView,2015-10-15T14:17:00,@HLInvest No email market updates received today?,654662282731896832
Madbadger35,2015-10-15T22:22:00,"@HLInvest How long before VW are the ""victim""?",654784454552981504
