screen_name,created_at,text,id
GTAI_Prag,2015-10-07T07:31:00,"@HoneywellNow erweitert Produktion von Turbogebläsen in Prešov #Slowakei. 130 neue Jobs, zweitgrößte Anlage weltweit. http://t.co/N9LC9oWctl",651661153647640577
TheDaniellePage,2015-10-07T16:03:00,@HoneywellNow Looking to get in touch w/ someone from your co for an article I'm writing. http://t.co/dHtwMxeKgN at mcmurrytmg dot com,651790054424223745
JonathanJamesHP,2015-10-09T13:34:00,@HoneywellNow just come to service boiler 3 years after installing cm927 and screen doesn't look good! What to do? http://t.co/jXUNCFNJYR,652477347418013696
FutureTrendsUSA,2015-10-10T08:00:00,"@HoneywellNow 
Please see special invitation to China Reception http://t.co/aHX00900Tu",652755657389658113
Stfbegin,2015-10-11T02:02:00,@HoneywellNow Ready for the #conferences! #notifier #sanantonio,653027936270839808
NoergaardDK,2015-10-14T10:24:00,@HoneywellNow focuses on Energy Management Software with eg @TridiumInc #Niagara4 open software platform for #IoT - http://t.co/7FXrhrBZHH,654241458363461632
NCSCTechNews,2015-10-14T11:51:00,"@HoneywellNow Survey Says Distribution Centers Need New Mobile Technology, Voice Applications #CarolinaTechNews http://t.co/5IfcfO433g",654263248007622656
EbeSoFresh,2015-10-15T18:02:00,@HoneywellNow on stage #launchmobile http://t.co/o9QrHKTbEb,654719027663626241
JohnLFranklin,2015-10-16T16:40:00,@HoneywellNow Gotten 6 calls in 2 days from Indian recruiters re a Mktg Specialist role in Golden Valley. Are they auth'd? Way too many!,655060774910496768
TParker1961,2015-10-21T03:23:00,@HoneywellNow Getting completely jerked around by your rotten customer service over a defective thermostat. Dissatisfied Customer!!,656672069044715524
TParker1961,2015-10-21T03:27:00,"@HoneywellNow Case Number:12188487 
Re: Thermostats - RTH6580WF
[ ref:_00D00hZKZ._50080lk9y3:ref ]
Please do something about this!!!",656673201074737153
TumbleweedYouth,2015-10-23T00:00:00,"@honeywellnow @cleantheworld make 2,200 hygiene kits for r homeless 
youth @westinkierland
 2day. A beautiful thing! https://t.co/REyjIGKhu0",657345813958557697
PSUEngineering,2015-10-26T16:40:00,@HoneywellNow and @NASA are using hip-hop to encourage kids' interest in STEM. https://t.co/EKidqZX37h,658684651515596800
RossHines10,2015-10-27T20:06:00,"@HoneywellNow @Honeywell_Home I didn't see anything on your site's FAQ about this ""Wi-Fi radio failure"" I need help! https://t.co/LkPG9WZqKU",659098776624308224
kingcommsltd,2015-10-28T14:17:00,@HoneywellNow Congratulations! #Innovation,659373313609854976
pbays_cougar,2015-10-28T16:43:00,@HoneywellNow when is the app tc connect 2.0 is going to be available in Europe ? Desperately waiting for it!,659410073182150660
