screen_name,created_at,text,id
Jlm_86,2015-10-06T19:12:00,@Halfords_uk @FitbitUK Awesome #giveaway I'd love to #win please count me in! Following &amp; RT'd 🌟♥️ fantastic #comp,651475042333814784
Aprils_sunbeam,2015-10-06T19:12:00,@Halfords_uk @FitbitUK great prize x,651475132821676032
suzanneTreacy3,2015-10-06T19:41:00,@Halfords_uk @FitbitUK #win# comp yes please,651482477580681216
Rachel1383,2015-10-06T21:13:00,@Halfords_uk #WIN @FitbitUK Wireless Activity Tracker worth £120! Just  RT &amp; FOLLOW this page to have a chance #Comp http://t.co/7hgNZVYYvv,651505466409938944
card_board_duck,2015-10-06T22:16:00,@Halfords_uk theres no ireland one to ask but at how much do i have to spend in one go on car stuff to get spears fitted for free,651521495483707392
SFGfanblog,2015-10-06T22:40:00,@Halfords_uk @FitbitUK pls plsn,651527544525692929
Lisairw79994309,2015-10-07T07:15:00,@Halfords_uk @FitbitUK #win,651657197420703746
valentine6769,2015-10-07T07:34:00,@Halfords_uk: #WIN a @FitbitUK Wireless Activity Tracker worth £120! RT &amp; FOLLOW to have a chance of winning #Comp http://t.co/m2uePfakhJ,651661800178614272
Gerbera4U,2015-10-07T07:58:00,@halfords_uk @fitbituk Brilliant! I am following and have RT :-) Thank you.,651667789351133185
dennygirl2510,2015-10-07T08:13:00,@Halfords_uk @FitbitUK brilliant thanks xxx,651671782924156929
GirlPowerPaige,2015-10-07T08:25:00,"@Halfords_uk @FitbitUK So wonderful, just missing one of these when on my run. Would love to win :)",651674607624298496
RossyP1987,2015-10-07T08:27:00,"@Halfords_uk Just wanna say the service by Gina in your chesterfield store yesterday was exemplary,helped me get the right product 👌 10/10",651675085506539520
MrsDoodlesMum,2015-10-07T09:20:00,@Halfords_uk @FitbitUK my husband has one and would love to compete with him on our daily activities! #win x,651688645527760896
dipsymummy,2015-10-07T10:07:00,"@Halfords_uk 

#WIN a @FitbitUK Wireless Activity Tracker worth £120! Just  RT &amp; FOLLOW this page to have a chance of winning #Comp",651700356213284865
Alexlb20,2015-10-07T10:49:00,@Halfords_uk @FitbitUK followed &amp; RT 🐶 amazing giveaway! http://t.co/4FABKM93Hh,651710904782991360
valentine6769,2015-10-07T11:54:00,@Halfords_uk: #WIN a @FitbitUK Wireless Activity Tracker worth £120! RT &amp; FOLLOW  to have a chance of winning #Comp http://t.co/m2uePfakhJ,651727323016863744
louise2406,2015-10-07T12:21:00,@Halfords_uk @FitbitUK fitbit rocks! X,651734117323796480
dipsymummy,2015-10-07T12:35:00,@Halfords_uk #WIN a @FitbitUK Wireless Activity Tracker worth £120! Just RT &amp; FOLLOW this page to have a chance of winning #Comp .,651737628233043968
jane1346,2015-10-07T12:39:00,@Halfords_uk @FitbitUK #WIN a @FitbitUK Wireless Activity Tracker worth £120! Just  RT &amp; FOLLOW this page to have a chance of winning #Comp,651738623201644544
JustSammeh1,2015-10-07T12:59:00,@Halfords_uk @FitbitUK wow! Such a lovely giveaway :) would absolutely love this so keeping my fingers crossed. RT'ed and following ❤️❤️❤️ x,651743669314265088
whokilledlola,2015-10-07T13:50:00,@Halfords_uk @FitbitUK would be thrilled to win this for my running ! Thank you for the giveaway 😊,651756458359554048
SharmarkeAhmed4,2015-10-07T14:57:00,@Halfords_uk Can you assemble my bike?,651773372318228480
AN15Ax,2015-10-07T15:14:00,"@Halfords_uk @FitbitUK WOW yes please, this would be the best birthday present everrr *fingers crossed* 💖💖💖",651777566328668164
davelondon4u,2015-10-07T18:10:00,"@Halfords_uk  Croydon store third class customer service by Cassius,sales assistant.  #retail #Croydon http://t.co/XHWBguJa4f",651821835361873920
FionaWupwoo,2015-10-07T19:19:00,"@Halfords_uk @FitbitUK 
This would so give me the encouragement I need 👟
https://t.co/IbEPPpKOO6",651839266067234816
sylvia_kasylia,2015-10-07T19:40:00,@Halfords_uk @FitbitUK would be fantastic to #win!,651844595689619456
DaveHarryTB,2015-10-07T20:25:00,"@Halfords_uk It's been illegal to kill someone for years, but that hasn't stopped people doing it!",651855812239982592
StevePGrace,2015-10-07T20:32:00,"@Halfords_uk @cdoney77 @FitbitUK 
Is that you running there @violetjo3010 ?
It sure looks like you!!!",651857540704247809
FionaWupwoo,2015-10-07T21:12:00,@Halfords_uk @FitbitUK https://t.co/hBlMqnZoQd,651867628600958976
Zoeeyy00,2015-10-07T21:22:00,@Halfords_uk @FitbitUK would love this to give me the motivation i need,651870350683279360
ellenmu77089955,2015-10-07T22:49:00,@Halfords_uk @HammerEmma @FitbitUK magnificent competition would be one happy girl if I won thank you for this amazing opportunity,651892065807257600
ellenmu77089955,2015-10-07T22:51:00,@Halfords_uk @HammerEmm @FitbitUKr/t and following magnificent competition I would be one happy girl if I won.thank you for this opportunity,651892559120347137
