screen_name,created_at,text,id
Honda,2015-10-06T18:29:00,@vinzska Congrats! Got a name yet?,651464345700974592
Honda,2015-10-06T18:29:00,"@deon1482 Right on! Don't forget to follow @hondapowersprts for more motorcycles, scooters, SxS and ATVs fun!",651464346023927808
Honda,2015-10-06T18:29:00,@pandahead321 Thanks for the shout out! Honda Fit #FTW ! :) #HondaLove,651464345872912384
Honda,2015-10-06T20:00:00,The all-new 2016 Pilot EX-L has a hands-free power tailgate and a multi-angle rearview camera: http://t.co/66EkgCFiic http://t.co/DYtKl2NLPN,651487092678262784
HondaCustSvc,2015-10-07T14:47:00,@MjSimpki Your case manager will be able to find out what the problem is. We recommend you keep working with her to resolve this. ^CB,651770822890246144
HondaCustSvc,2015-10-07T15:15:00,@bryanmfegan Hello &amp; thanks you  for reaching out. We apologize for any inconvenience this may have caused you. ^GR,651777933003091968
HondaCustSvc,2015-10-07T15:33:00,@smklubz Good morning and thank you for contacting us. Could you please direct message us and elaborate on your experience? ^CB,651782283461029888
HondaCustSvc,2015-10-07T16:41:00,@snholloway We apologize for this inconvenience. For compatibility issues we recommend contacting In-Car Tech Support at (888)528-7876 ^CB,651799502664413184
Honda,2015-10-07T17:00:00,Stop by your nearest Honda dealer for a spin in the 2016 CR-V today! http://t.co/2GIs9K1aCD,651804184191324160
Honda,2015-10-07T18:10:00,Pilot Goes Glamping: How to Dry your Clothes https://t.co/HJ5ggae7Br,651821993197617152
Honda,2015-10-07T18:16:00,@aprilmom00 Right on! Being productive on this Wednesday morning!,651823459211866116
HondaCustSvc,2015-10-07T18:57:00,@Trieuthichoi Sport &amp; Touring. We wouldn't recommend modifying your vehicle as it may ^GR,651833620697645056
HondaCustSvc,2015-10-07T19:08:00,@DRK0008 department and rely on our trained Honda technicians to properly inspect/diagnose our vehicles. ^GR,651836389412196352
HondaCustSvc,2015-10-07T19:08:00,@DRK0008 If you are experiencing issues with your vehicle we'd recommend speaking with a service adviser at your local Honda dealer. ^GR,651836389735165952
Honda,2015-10-07T20:12:00,@goodfruitco Thanks for your interest in working with our brand. We ask that you submit your formal bid to socialmedia@ahm.honda.com.,651852608672501760
HondaCustSvc,2015-10-07T21:55:00,@ericwooley We appreciate your feedback. It is very important to us and it will be properly documented. ^GR,651878416908701696
Honda,2015-10-07T22:00:00,"If only your Honda could fit in the living room, it would gladly watch the first hockey game of the season with you. http://t.co/kqSlClxTBo",651879679725596672
Honda,2015-10-08T00:08:00,@adropofindigo Love it! Thanks for including us on your #ootd post. #HondaLove,651912008724520960
Honda,2015-10-08T00:13:00,@DodgerFan951 Big Game Friday! Do you have a picture of your new ride? Thanks for the #HondaLove,651913144953085952
Honda,2015-10-08T00:17:00,@HondaValleyHi Nice pictures! It's hard to play favorites when they both look so good!,651914257873924096
Honda,2015-10-08T00:24:00,@Mickscuts What a beautiful picture! #HondaLove,651916043326242818
Honda,2015-10-08T15:47:00,@cptmtlcorepromo We are excited for all the variations. Stay tuned for more details!,652148331502632960
HondaCustSvc,2015-10-08T17:22:00,@JoeK20A3 Apple CarPlay &amp; Android Auto will not be backwards compatible. It is currently available on select 16' models. ^ND,652172341649240064
Honda,2015-10-08T17:49:00,Join us at the Seattle Intl Auto Show 10/8 to 10/11 and see all that’s happening at Honda. http://t.co/J47kHYs5v9,652179126653030400
HondaCustSvc,2015-10-08T18:46:00,"@EdavidlLevy Hi, could you please provide the year, make, and model of your vehicle? ^ND",652193376574537728
HondaCustSvc,2015-10-08T21:41:00,@jerryc41 When was the last time the Honda dealership inspected this issue?^ND,652237413755039744
Honda,2015-10-08T23:49:00,@RajagopalDAMOD1 Thanks for the shout out! #HondaLove,652269619424665600
Honda,2015-10-08T23:50:00,@DarthTalbotWWE #FTW!,652269745375416320
Honda,2015-10-08T23:54:00,"@JbielJohn Thanks for the shout out, John! #HondaLove",652270876788920321
Honda,2015-10-08T23:55:00,@ChubbyMcfatfat We can't wait for you to be part of the Honda Family! The 2016 Civic will be yours soon! :),652271120092131328
Honda,2015-10-09T02:24:00,@justgagnon the 2016 Pilot is not equipt with CarPlay.,652308715136286724
HondaCustSvc,2015-10-09T15:19:00,"@niroooppp If there is anything we can assist you with, like filing a formal complaint, please let us know. ^CB",652503688561467392
HondaCustSvc,2015-10-09T15:21:00,@1sttBornUnicorn Thank you for contacting us.We are sorry to hear of your dissatisfaction.Have you encountered an issue with your Civic? ^CB,652504157237211140
HondaCustSvc,2015-10-09T15:44:00,@RajpuraJigar Hello &amp; thank you for reaching out. As this seems to be a workmanship issue and being that Honda dealers are independently ^GR,652509965630967808
Honda,2015-10-09T16:01:00,"Thanks to its grilles, the Accord has been standing out since it hit the road. See the different variations.
https://t.co/1W75d2zLvZ",652514326029295620
HondaCustSvc,2015-10-09T16:10:00,@DWCH_Andrew Thanks for reaching out to us. Could you please DM us &amp; further elaborate on the experience you had? ^NM,652516601468710912
HondaCustSvc,2015-10-09T16:16:00,@IsaiahLive88 Thank you for reaching out to us. We apologize for the negative experience. Could you DM us an elaborate on what happened? ^CB,652518012453568512
HondaCustSvc,2015-10-09T16:32:00,"@sbd1225 Hi, thanks for reaching out to us. Please direct message us and elaborate on your concern. Thank you! ^CB",652522148469280769
Honda,2015-10-09T19:00:00,The Pilot is the ultimate glamping accessory. Check out our “Pilot Goes Glamping” series and take on the outdoors: http://t.co/G4784jM0yX,652559157858566145
HondaCustSvc,2015-10-09T20:57:00,"@lfatnani questions or concerns, please contact your case manager. ^ND",652588701739032578
Honda,2015-10-09T22:00:00,Road trips are the perfect time to bond with the family. The new Pilot is here to help you do that. http://t.co/y33G4Ymv3g,652604458308882434
HondaCustSvc,2015-10-12T14:52:00,@mmadson We apologize for any inconvenience this may have caused you. Please try http://t.co/SsH6I3oKgl &amp; http://t.co/TUz7V8zkf9 ^GR,653583908701904896
