screen_name,created_at,text,id
nicki_chalk,2015-10-08T20:24:00,@Hyundai_UK #Tucson all set up for @thebestofExeter #networking #devonhour #motorhappy @BristolStMotors @Dartington http://t.co/kAVQqMiGQt,652218058145177604
leedsrepublic,2015-10-08T20:49:00,@Hyundai_UK loving my new tuscon but i need floor mats are they available? http://t.co/e3cGZqq2Bp,652224438868549633
Hyundai_UK,2015-10-09T08:36:00,"@EthelEthel If this isn't the case then it will cost to update. Hope this helps, let us know if you need any help with this.",652402345016446976
kevdixon737,2015-10-09T11:18:00,"@Hyundai_UK hi,still having problems with the clutch on my i20,fobbed off by cars2 Barnsley and yourselves ,would not recommend Hyundai !",652443036086083588
kevdixon737,2015-10-09T11:42:00,"@Hyundai_UK what's the point , you'd only tell me a load of rubbish like last time.Not impressed last time they contacted me.",652449103180394497
rusha_mahmoud,2015-10-09T12:00:00,"@Hyundai_Global 
حلم يمشي علي الطريق",652453552493883392
kwaked,2015-10-09T12:58:00,@Hyundai_Global سيارة مميزة جداومكتملةبها  شاشة LED وراديو ومشغل CD وMP3 وخاصية البلوتوث للرد على الهاتف أثناء القيادة وتوجد باكثر من لون,652468095559303168
MilanGM3,2015-10-09T16:52:00,@Hyundai_Global سيارة جيدة,652527185211850753
khalidalabri5,2015-10-09T17:31:00,شكل جميل  وأداء مميز @Hyundai_Global,652536841334190080
myself_turki,2015-10-09T18:56:00,@Hyundai_Global السيارة بشوف عيني وشهادة زميلي الذي يمتلكها عملية واقتصادية وفوق ذلك انيقه,652558389487214592
MIDFFA,2015-10-09T19:26:00,@Hyundai_Global تصميم رائع وتمتاز بجميع الرحلات,652565806803480576
rt_eqa3,2015-10-09T20:46:00,@Hyundai_Global قمه المتعه😊,652586066743021569
Love969Top,2015-10-09T21:04:00,@Hyundai_Global مميزة وديناميكه وجميلة وروعه الجمال والقوة التي تتميز بها سيارة توسان,652590502248902656
azooz_sattan,2015-10-09T21:25:00,"@Hyundai_Global 
لاوالله اللي قعد عماش&amp;وجيوب هواندي خلنه

ينخا خوي النشاما شلاش&amp;يشري له الزيت ويحنه

وجيوب نيسان خوش قماش&amp;ان ابعد المي يردنه",652595832240349185
alaa__makkah,2015-10-09T22:22:00,@Hyundai_Global  ابدعتوو في التغييرات برافو انا انتظر السنتافي,652610032744402944
alaa__makkah,2015-10-09T22:27:00,@Hyundai_Global  ممكن ترسلو صورة الالنترا 2016,652611356793917440
aiid503,2015-10-09T23:06:00,@Hyundai_Global,652621193531531264
aleAndrea22,2015-10-10T00:05:00,"@Hyundai_Global hermoso,cómodo elegante",652636035231424512
aa_zz1413,2015-10-10T00:53:00,@Hyundai_Global توسان للفخامة و الاناقة عنوان,652648233416720384
Fazzza3_RT,2015-10-10T02:40:00,"@Hyundai_Global 

تصميم خارجي وداخلي جميل 🚘.. الراحه في القياده 😍.. محرك قوي وعلى كفاءة عاليه 🚀 .. والأسعار مناسبه وفي متناول الجميع 👌🏼",652674943939911681
Fazzza3_RT,2015-10-10T02:40:00,"@Hyundai_Global 

تصميم خارجي وداخلي جميل 🚘.. الراحه في القياده 😍.. محرك قوي وعلى كفاءة عاليه 🚀 .. والأسعار مناسبه وفي متناول الجميع 👌🏼",652674916370792448
MrxHMS,2015-10-10T04:42:00,@Hyundai_Global تناغم بين الراحة والفخامة ، واداء قوي يعتمد عليه,652705768131678208
0YYR9flslagucvx,2015-10-10T04:55:00,"@Hyundai_Global انسيابية في الأداء 
ابداع في التصميم تناسق في الشكل
جمعت الإنسيابية و الإبداع والفخامة
بالفعل إنها سيارة توسان الجديدة كليا",652708903067758592
ra12990,2015-10-10T06:41:00,@Hyundai_Global سياره مميزه تصميها الخارجي الانيق يعكس فخامتها من الداخل,652735726665232384
ap11112,2015-10-10T10:10:00,"@Hyundai_Global 

فخامة وراحة وكفاءه عاليه",652788256992530433
tarfaltammami,2015-10-10T10:35:00,"هل تريد ان تكون محط الانظار
 آذا عليك اقتناء سيارة Hyundai 👍
@Hyundai_Global",652794685287714816
UKTheScriptFans,2015-10-10T10:57:00,@Hyundai_UK Hi! I have a really long question to ask you. Could you please follow me so I can DM?,652800086976647168
saudi1414,2015-10-10T12:25:00,"@Hyundai_Global 
عندما يتحرك توسان
فلا شيء يصمد أمامه
إنه العملاق الصغير
من هيونداي
تحفة هذا القرن
إنه توسان
الجديد كليا",652822362455441408
aasir251,2015-10-10T12:36:00,@Hyundai_Global تم التعليق في الرابط,652825100987834369
Mohdalfarsi2014,2015-10-10T15:36:00,@Hyundai_Global قوة في الأداء وراحة عند الاستخدام وثبات عند القيادة ✌️,652870293447405568
traceyjr2975,2015-10-10T17:30:00,@Hyundai_UK @padtheplumber enjoy! I'm jealous as we're still waiting for ours!,652899075738718208
aboodi20011,2015-10-10T19:16:00,@Hyundai_Global سيارك لا يوجد لها مثيل ولا توصف بكلمة حتى لو وجدت هذه الكلمة لضاعت بين اناقتها و فخامتها,652925754829873152
mubairi11221,2015-10-10T20:24:00,@Hyundai_Global سيارة توسان سيارة جنان,652942827941425152
zdex,2015-10-10T22:35:00,@Hyundai_Global الراحه والامان والفخاكه والشكل الجميل توسان,652975726619172864
xmzxmx,2015-10-10T22:48:00,"@Hyundai_Global
لا تزال سيارة توسان تزداد فخامةً وتطوراً مع الأيام..
ومن جربها يعرف إمكانياتها ومميزاتها ..
أطلق له العنان واستمتع بالقوة ..",652979044150059013
