screen_name,created_at,text,id
djtippee,2015-10-11T11:22:00,"@ImperialTobacco why does this keep happening to your pouches, I keep loosing all my baccy! http://t.co/zqK3A7vvS5",653168914587906048
BIICL,2015-10-14T10:58:00,"@ImperialTobacco @BIICL is now offering a training course:""Human Rights for Business People"" http://t.co/pVhnDCkPB8 #HumanRightsforBusiness",654249915611258880
TommyZoomm,2015-10-15T17:41:00,@ImperialTobacco keep finding bits of blue string stuff in Golden Virginia. Clearly not acceptable... http://t.co/EJr5BtYr9D,654713766563545088
MSFTDynamics,2015-10-22T17:37:00,@ImperialTobacco was feeling the burn of rapid growth until #MSDynAX brought consistency to their global offices: https://t.co/BqoARyTQD2.,657249306068566016
MSFTDynamicsERP,2015-10-22T21:44:00,@ImperialTobacco was feeling the burn of rapid growth until #MSDynAX brought consistency to their global offices: https://t.co/wyrOhUZ3Pr.,657311465565765633
1961VM,2015-10-23T07:21:00,"@ImperialTobacco İnsanlığın huzur ve mutluluğu için,Dünya-Alemi Sevgi ve Barışa davet etmeye var mısın?Muradım barış dolu bir dünya.",657456877073252352
mikeyyy561,2015-10-23T13:26:00,@ImperialTobacco hello i bought a couple of packets of green rizla papers from my local shop only to find that they were all stuck together,657548773967724544
DrFrankAshall,2015-10-24T17:03:00,"@ImperialTobacco ""The criminals"" includes most major tobacco companies, who supported tobacco smuggling but also sell addiction and death",657965674841690113
DrFrankAshall,2015-10-24T17:05:00,@ImperialTobacco Madagascar has the biggest tobacco problem in Africa. The best way to improve life there is to ban cigarettes altogether!,657966029600071680
DrFrankAshall,2015-10-24T17:06:00,@ImperialTobacco Illicit trade was supported by Big Tobacco. Illicit trade is mainly due to corruption and poor control of smuggling.,657966413827743745
DrFrankAshall,2015-10-24T17:08:00,"@ImperialTobacco Did you add ""fight the tobacco industry,"" which has been hugely involved with and supportive of smuggling?",657966900476026880
MrRickyDosanjh,2015-10-26T11:17:00,@ImperialTobacco ..four different numbers I've called trying to speak to someone. I want someone to call me!,658603461391613952
LaNacion_Ec,2015-10-27T20:02:00,"@ImperialTobacco crea Tabacalera #USA para ampliar negocio de cigarros en #EEUU
 https://t.co/iqdlXcGMLc https://t.co/a9gEp7Csky",659097768149909504
micheledelaunay,2015-10-28T09:20:00,@ImperialTobacco vend 1/4 des 45 millions de cigarettes vendues en France et 20% du tabac à rouler @Le_Cnct @SansTabac92 @DNF_asso,659298693158424576
micheledelaunay,2015-10-28T09:25:00,@ImperialTobacco est également très actif en France ds le champ de la cigarette électronique. Chacun doit réfléchir à ce point,659299913986154502
DaveAtherton20,2015-10-28T11:23:00,"@ImperialTobacco WHO: Questionable science and conflicts of interest, my latest article on Breitbart https://t.co/YGwsVFRCOU",659329644420841472
Bateseyboy,2015-10-28T18:32:00,@ImperialTobacco  https://t.co/n1KTfQ2sp1,659437573933256704
corsefordshop,2015-10-29T22:43:00,"@ImperialTobacco You are doing irreplaceable damage to your so called retailer partnership agreement, short term thinking by the bosses",659863110405259264
