screen_name,created_at,text,id
Thehell88,2015-10-07T07:26:00,@intel @AMDGaming MSI B150M PRO-DH Gaming on a Budget: With its M-ATX form factor the PRO ... http://t.co/r0AOrWOmzZ @IntelGaming @AMDFX,651659766272421888
TechHavenUSA,2015-10-07T11:06:00,@intel,651715194960252928
LingerieInsight,2015-10-07T14:32:00,@Intel chip powers 'shape-changing' #sportsbra http://t.co/w7d75Eichd  #wearabletech 👙 http://t.co/QLH7nhSIMM,651767014168596481
M2MZone,2015-10-07T16:02:00,@intel boosts Wind River Linux for @IoT devices. http://t.co/2XmptXEozn : @yoctoproject @EmbeddedLinuxUA Conference,651789630212296704
ThaBusDriv3r,2015-10-07T16:29:00,"@intel @GIGABYTE_USA @CoolerMaster @CrucialMemory Wife &amp; I attempted 2 build our 1st PC, but failed. Hopefully not your guys' fault.",651796420534468608
gertruda_z,2015-10-07T17:22:00,@intel @BeccaMcCharen 777 1 Arcybiskup Jezusa 7/8 DAN Czluchow Wasz ostatni produkt procesora Intel Core  wersja Q71 BUDZI PODZIW  z 4.5 WAT,651809893125591040
Uber_AZ,2015-10-07T22:12:00,@intel Hey Intel! We are in the Chandler area delivering @sprinkles Cupcakes for a Cause today! Check it out: http://t.co/ObEICXjsDc,651882858236084224
RSOnline_ES,2015-10-08T07:31:00,@intel Edison convierte el #IoT en algo accesible para todos. ¿Algún proyecto en mente?http://t.co/T4qcKJiRaE http://t.co/OLlYzNisCF,652023380938498048
anishtiwariseo,2015-10-08T16:59:00,"@intel decided to collaborate with 100 academic #institutions to push #InternetOfThings into #Indian mainstream
#IoT @kushalnahata @Far_Eye",652166345786716160
rpehrson,2015-10-08T17:30:00,@Intel VP says that #Healthcare is ripe for #innovation (and disruption) through #Analytics. #YepWeKnow.,652174312611426304
Keepyme,2015-10-08T19:17:00,@intel let's connect at #sandboxwest! Visit @keepyme's booth to learn how we unite childhood memories &amp; tech http://t.co/6DTtNiR5gT @offirg,652201149148205056
MikeLindvall,2015-10-08T21:18:00,"@intel has a password storing service called https://t.co/D2du8cexrw - I'm just amazed, no more typing in passwords. #FacialRecognition",652231742137454592
abounawara7,2015-10-08T22:20:00,@intel can I replace the processesor i5 to i7. For my laptop.,652247229831507968
Droidconit,2015-10-09T13:58:00,@intel regala la licenza premium! http://t.co/00ZC8Izdrr @TuttoAndroid @Intel_Italia @intelnews #droidconit @AndroidDev,652483233641295872
Ogega0337,2015-10-09T16:59:00,"@intel am not against girl child education, but i really pitty those who can marry a well educated woman",652528757102759936
Victor_Mgl_,2015-10-09T17:42:00,@intel 2,652539565979377664
dogo_me,2015-10-09T21:37:00,@intel Yikes!! That's definitely a walk on the wild side,652598840357289984
miraannya,2015-10-10T09:11:00,"@intel sir try&amp;create a new chip-SAPIEN-which can be at the back of neck as a necklace-which makes one alive to dangers from the back
 side",652773550927974401
shantalharrison,2015-10-10T09:11:00,@intel,652773423169474560
EriStaruk,2015-10-11T09:42:00,@intel can I Test Drive it. I need one.,653143541204520960
droponic,2015-10-11T21:38:00,@Intel is introducing computer-controlled farms to the agriculture scene - http://t.co/7NjcqsuN1b,653323710426951680
ayO_pisano,2015-10-12T06:50:00,@intel navigating your driver update utility software is slaughtering my brain cells,653462705492373504
Thehell88,2015-10-12T10:05:00,"@intel @AMDGaming Steam weekly top 10 - October 12th 2015: Time for a new update, these ar... http://t.co/i9XI5Hf7Pp @IntelGaming @AMDFX",653511808599232512
Thehell88,2015-10-12T10:05:00,@intel @AMDGaming ASUSTOR Launches 31 Series 4K Multimedia NAS: ASUSTor released the new A... http://t.co/LXEWCuOzDf @IntelGaming @AMDFX,653511810843213824
hunglevan89,2015-10-12T15:55:00,@intel  Invite to install the lovely message application: https://t.co/fysV5ELJZA,653599957052616704
JesseMillette,2015-10-12T17:19:00,@intel I would really appreciate a follow back from you!,653620938811023360
Geekologeek,2015-10-12T18:09:00,@intel lance un show de TV réalité sur le #DIY : America's Greatest Makers. http://t.co/NJ51c1TFmd… via @makeryfr #makers #FabLab,653633723137658881
Sprinxle,2015-10-12T20:40:00,@Intel masters in opening #Remote Working Possibilities with it's vPro™ technology. Learn how &gt; http://t.co/7VtxYJPsEE  #IntelvPro,653671551947116545
Thehell88,2015-10-13T12:45:00,@intel @AMDGaming MSI Launches Next-Gen Nightblade X2 and MI2 Gaming Desktops: MSI is exci... http://t.co/BsUpX7SLYf @IntelGaming @AMDFX,653914552829022208
Thehell88,2015-10-13T16:46:00,@intel @AMDGaming Lexar 128GB 2000x SDXC UHS-II Card does 300MB per second: Lexar announce... http://t.co/BP5A2We31c @IntelGaming @AMDFX,653975217618857984
CFS_Partners,2015-10-13T17:30:00,"@Intel 's Q3'15 Earnings Preview: Growth To Be Driven By #DataCenter, #IoT &amp; NAND
http://t.co/hUmz8HY13z",653986298244517888
chriskanaracus,2015-10-13T19:11:00,@Intel's @EdLGoldman: I don't talk to any IT shops that don't want to have a hybrid cloud posture,654011641068060672
andylanecfs,2015-10-13T19:15:00,"@Intel 's Q3'15 Earnings Preview: Growth To Be Driven By #DataCenter, #IoT &amp; NAND
http://t.co/itoVkVtQwI",654012682727723008
Al3nMicL,2015-10-13T20:36:00,"@intel beats on both top &amp; bottom line. 
Glad I got in at 27.38 !
#NASDAQ 
#winning",654032990469795840
KantanMT,2015-10-13T21:20:00,"@Intel (Julie Chang) talks about categorising translation quality, with a #machinetranslation focus #TAUSac http://t.co/BbUKBfnTlz",654043973670051840
CrabSmith2400,2015-10-13T22:28:00,@Intel and @Lenovo upgraded v570 to win10. Wireless stopped working. When will there be a driver 4 centrino 6150?,654061079652376576
BrandeisGPS,2015-10-13T23:35:00,@intel is helping battle Parkinsons disease by way of #BigData http://t.co/5XfAdl8KQ7,654078019074674688
ChaseTheSwift,2015-10-14T00:29:00,@intel Why doesn't the company produce i3 or i5's with iris level graphics? That would make for perfect $650ish laptops. A Linux win too!,654091557289615360
GTTVappliance,2015-10-14T05:08:00,@Intel Skylake launch #experience6thgen should be interesting! http://t.co/kM7Ddi77Mp,654161952621527040
MPC_MIT,2015-10-14T14:13:00,@Intel’s Dr. George Bourianoff asks can magnetic skyrmions function as a recursive network? #matday15 #quantum materials,654298875759599617
MPC_MIT,2015-10-14T14:14:00,"@Intel’s Bourianoff says if they can, then skyrmion rows are a possibility for implementing reservoir computing #matday15 #quantum materials",654299123726876672
AlphaGeekV2,2015-10-14T15:10:00,@intel cc @Experimentboy,654313218417029120
iqmolly,2015-10-14T19:16:00,@Intel education visionaries are in the design thinking zone! And surprise! Melissa from @teachersguild is here! http://t.co/4izVUVDykO,654375228764647424
ElderMarkhor,2015-10-14T21:53:00,@intel That's funny. Australian politicians use big data to cripple small ISPs and molest privacy.,654414731369799680
_Ritzerfeld_,2015-10-14T22:56:00,@intel Hi.,654430485188362240
JoscelinJ2932,2015-10-15T00:09:00,@intel kitten love it,654448904281436160
DataCenterBPS,2015-10-15T08:38:00,@intel presenta beneficios netos de 3.100 millones de dólares en el tercer trimestre https://t.co/8QOQ7UD40p,654577037852676096
anands_scribble,2015-10-15T12:19:00,@intel Conclude human life with Stephen Hawking's life http://t.co/TZSB7IERdn,654632684904316928
Bulldog_Palm,2015-10-15T16:30:00,@Intel + @McAfee: we discuss what's changed in #cybersecurity over the last five years http://t.co/Ehmph1KEK7  @IntelSecurity @McAfee_Labs,654695800132399104
almuerzonegocio,2015-10-15T18:25:00,"@intel reporta ingresos por unos US$14,500M en el 3er trimestre de este 2015 #CapituloBursátil @Viva_RD @Popularenlinea",654724839047999490
OracleCOL,2015-10-15T18:42:00,@intel patrocinador master del almuerzo en #OracleDigitalDay http://t.co/XlCPalPFFw,654729022862036992
clevetheripper,2015-10-15T19:20:00,@intel #buzzworkshop How many Frozen references can you pack into an asset bundle?,654738652749164544
clevetheripper,2015-10-15T20:27:00,"@intel #buzzworkshop Dear SotA players:here's how game Dev works, stop being mean. #ConstructiveCriticism #TheMoreYouKnow",654755474089218049
raptorcow,2015-10-15T22:00:00,@intel Gaming is life!,654778796709556224
sucessodabeleza,2015-10-16T10:12:00,@intel http://t.co/O3I8835LLf,654963221913276416
arduino,2015-10-16T11:15:00,@Intel and #Arduino just revelead their new partnership: meet #Arduino101 board (US only) and #Genuino101 #MFR15 http://t.co/GvX2SSVNi3,654979008791228416
makeblend,2015-10-16T11:19:00,"@intel e #Arduino: Genuino 101, board per maker a 27 euro #MakerFaireRome @makeblend #joshvaden",654980073192357888
313AbdulLatheef,2015-10-16T12:17:00,@intel @arduino @babusangath #IOT,654994646360178690
GIORGOS_CY,2015-10-16T12:38:00,@intel  Intel and #HP managed with #iastor.sys to  render my HP inoperable with no way to boot any operating system. http://t.co/nyWTnL1Zgt,654999927920037889
murchmeister,2015-10-16T14:06:00,@Intel &amp; @arduino created a new development board based on #IntelCurie called #Arduino101http://intel.ly/1RM220b #MFR15 #MakerFaireRome,655022032392986626
Silicon_LATAM,2015-10-16T15:49:00,@intel presenta tablets para el mercado mexicano. http://t.co/Tuocw3QIH2,655047880789639168
PierluigiRauco,2015-10-16T16:52:00,"@intel beware of the Italian cops at the main gate, good luck!",655063657680891904
qaisarsaeed112,2015-10-16T18:01:00,@intel hi,655081266287656961
cheisback,2015-10-16T18:11:00,@intel good maybe they can reduce online fraud and put fires out using your credit history #overated,655083741463846912
lowbaggagefees,2015-10-16T20:03:00,@intel Passengers negotiate their baggage fees.,655111793409331201
Lowbaggagefees,2015-10-16T20:03:00,@intel Passengers negotiate their baggage fees.,655111793409331201
Goraya4u,2015-10-16T21:19:00,@intel wonderful,655130846056333312
getinsideintel,2015-10-16T22:37:00,@intel has assigned ONE THOUSAND PEOPLE to ensure their 7360 LTE modem chip en... https://t.co/TijhFlQMH4 $INTC #news http://t.co/y0n1VWwfUE,655150701375561728
mattkoppel,2015-10-17T00:25:00,"@intel won't be the same without @SukhySukhy. Queue up the Bolton!
http://t.co/qP81xckNdw",655177736827174912
sdtimes,2015-10-17T02:03:00,@Intel announces Arduino 101: http://t.co/q4yhbiMizb http://t.co/weVsecVfPE,655202319823425536
ARYU22770109,2015-10-17T05:17:00,@intel @arduino right!,655251317896511488
GerardCornelius,2015-10-17T09:17:00,"@intel. Japanese 1980s animé TV series, Macross (Robotech): Veritech fighter plane pilots use #VR headset that can read brain signals too.",655311551755214848
DrBrianHart,2015-10-17T10:15:00,"@intel ($INTC), #DreamFactory pair for #IoT #app development http://t.co/tYGubnjY4o",655326224378679296
quanrel,2015-10-17T10:29:00,@intel may be inside your next #iPhone — and #AppleWatch http://t.co/4MDn7SbEhS #tech #processor #microchip,655329779525287936
nerds_net,2015-10-17T12:47:00,"@intel @Intelinnovation Why do You need ""One place for all Innovators globally | http://t.co/1SILTLbFha "" https://t.co/dSdfYGZQx9",655364579179024384
radhios,2015-10-17T13:28:00,@intel  explore @arduino  ecosystem. http://t.co/1auGLJZ5AM #arduino #intel #IoT,655374876467974144
ThunderBill2,2015-10-17T15:46:00,"@intel Just like people, plants need a little adversity to grow strong and straight. Is it wise to coddle them?",655409509150490624
TorrentialTech,2015-10-17T17:23:00,@intel @RideSnowcookie I would love to try it out. Wish there was a booth at the Toronto Snow Show cause I would definitely check it out.,655433881366188032
YMGain149,2015-10-17T17:53:00,@intel thats sick!,655441440563163136
Awaab_Adam,2015-10-17T18:04:00,@intel #sidemen2years,655444275178700801
vip100date,2015-10-17T19:13:00,"@intel @NASA when do you estimate, a motherboard~, will be able ask a microprocessor? or an upgrade?",655461558621880320
vip100date,2015-10-17T19:14:00,@intel @NASA will it commit suicide when finds it?,655461987397185536
HelgaEbner9999,2015-10-17T20:31:00,@intel super! das ist stark! :-) http://t.co/SEjrOgSPQZ,655481188585443328
Lian_UJ,2015-10-17T21:51:00,@intel Velvet Revolver \m/,655501494771392512
ralakhani,2015-10-18T07:55:00,@intel,655653495324954624
sonycctweets,2015-10-18T10:23:00,@intel affirmative,655690534363770880
DahPandaYT,2015-10-18T11:20:00,@intel oh hi buddy how u doin :D,655705128834637824
carlosrr24,2015-10-18T11:31:00,@intel #mfr15 some dude had like three of these hacking into public wifi and peoples laptops... someone better show me some tech...,655707816846565376
ankulb,2015-10-18T12:17:00,"@Intel Has 1,000 Employees Working on LTE Modem Chip for the Next-Generation #iPhone http://t.co/QB06EGuv1n",655719256651354112
SimoRock1,2015-10-18T12:26:00,@intel Neopixels?,655721544178638848
HRKrazy,2015-10-18T12:40:00,"@intel. Wearable tech is so costly I hardly can even afford a wearable for myself, but you expect me to buy one for my dog (if I had one).😕",655725023517249536
SuepJulius,2015-10-18T14:52:00,"@intel Tonton ""BRITANNICA VISUAL DICTIONARY - PT. PENERBIT LENTERA ABADI"" di YouTube
https://t.co/i1PGzE14K5",655758248717324289
MaHpHuX,2015-10-18T15:30:00,@intel &lt;--- this is real intel. K https://t.co/fVdp8MwIBq,655767833775702016
MTayyabAther1,2015-10-18T17:24:00,"@intel : Education is the right of every baby, but 30%of the parents could not send them to school due to poverty and unemployment .",655796712712310784
LinuxEXPRES,2015-10-18T21:53:00,@Intel a zakladatelé @Arduino představili tvůrčí desku: http://t.co/S5zjF6WZ2A #Genuino101,655864192549953537
sureshkito,2015-10-19T01:28:00,@intel ATM for Medicine like Bank ATM ??? Save Environment/Reduce Drug Addiction&amp; Price of Medicine by 50%• http://t.co/htxrBEEh1h,655918435512115200
kwcdigital,2015-10-19T06:11:00,@intel's itty-bitty Curie CPU for wearables is coming to @arduino early next year http://t.co/REyP5JZ3q7,655989734322237440
hilton_philip,2015-10-19T07:41:00,@intel if you want to make proper special fx videos on android phone devices try GURU FX its a free app try now x http://t.co/JJjv2HhW0Z,656012313766531072
Geekulcha,2015-10-19T08:26:00,@intel empowers TUT students http://t.co/Yx6h3Pqztb @IntelSoftware @Intel_Africa,656023480295538689
AlyaziahNhyan,2015-10-19T11:19:00,@intel @HP @Dell @lenovo @Windows مسوين مؤتمر يتكلمون عن اهمية الابتوب وكيف هو اكثر فعاليه من الماك بوك و ارخص .. و @HP الجديد ب7000 درهم 🙎,656067215402242049
seemabali588,2015-10-19T17:19:00,@intel @malikus26180314,656157761592500224
uacareersvcs,2015-10-19T17:28:00,@intel Meet &amp; Greet begins at 11am today in Career Services #411. Interested in Tech? Don't miss this opportunity! http://t.co/wPwUXSspk4,656160125976121344
murchmeister,2015-10-19T17:57:00,@Intel CEO Brian Krzanich (@bkrunner) announces #climatechange pledge at @WhiteHouse,656167297179123712
earthgaming674,2015-10-20T01:18:00,@intel thanks i will check it out,656278209999319040
ErichSap,2015-10-20T02:13:00,@intel @SAPInMemory nonvolatile in-memory co-innovation,656292149126823936
TaapSafiya,2015-10-20T04:18:00,@intel thanks for the ASUS Fonepad 7 Intel inbuilt  =),656323621363683328
Thehell88,2015-10-20T08:40:00,@intel @AMDGaming Review: MSI Radeon R9 380 Gaming 2G OC Edition: We put the MSI Radeon R9... https://t.co/NWHVsrRkzQ @IntelGaming @AMDFX,656389608687579136
ViveInternet_es,2015-10-20T09:00:00,@intel anuncia que su chip 'Curie' será incorporado por la nueva @arduino 101 https://t.co/iigdQlOrwc https://t.co/Iuy2UANZw8,656394538634878976
TOMMAMANDO,2015-10-20T14:49:00,"@intel Rt por favor✨, desculpa se já pedi https://t.co/dE3925a5py",656482401951064064
DU_B2B,2015-10-20T15:13:00,@intel @arduino #pios,656488300727808000
HotHardware,2015-10-20T15:15:00,@Intel Launches #Xeon E3-1200 v5 Processor Family For Entry-Level Workstations https://t.co/2FiQppP0dF @HotHardware,656488866585694208
moleMan4000,2015-10-20T15:56:00,@Intel today announced industry-leading enhancements to U.S. benefits https://t.co/y4XFTYFFc5,656499328547053568
Think2SpeakOnce,2015-10-20T16:03:00,@intel Goggles should also display direction and distance to the nearest emergency room.,656501016028958720
caritaSonriente,2015-10-20T16:11:00,"@intel in order to do that, they need to be #digitalLiterate and #fairData #Mexico #ict",656503029340835840
BrookeIsaak,2015-10-20T16:55:00,@intel @b2bmarketing11,656514093218598912
mcintosh_callie,2015-10-20T16:58:00,@intel @b2bmarketing11,656514947778637824
adnan_ahmed,2015-10-20T17:53:00,@intel @Dell @HP @lenovo please make it stop.,656528748276158464
PaintLoG,2015-10-20T18:32:00,@intel @Dell @HP @lenovo dfq Oo,656538563333476352
MrCriitz,2015-10-20T19:32:00,"@intel 
What would be the best cpu cooler for the Intel Core i7 5960x",656553533408350208
MichUsagi,2015-10-20T20:49:00,@intel @Dell  quiero una solución para que ya no parpadee la pantalla y ya actualice el controlador.,656572954747101184
_workingmother_,2015-10-21T12:55:00,"@Intel Boosts Fertility and Adoption Benefits Big-Time, Improving Already-Family-Friendly Policies https://t.co/wsA3KnVtJd #workmom",656816041499168768
eahlovesu13,2015-10-21T13:09:00,"@intel ~It ain't heavy, it's r future.",656819570653687808
nGage_Boston,2015-10-21T16:43:00,@intel 's Bill Kirby with @jckgld on enterprise security planning and operations #mboston https://t.co/unSRruAhRL,656873336455241728
JoshuaMinarcik,2015-10-21T19:41:00,"@intel is reportedly suing the US for using its name as an informal use of the noun, ""Intelligence"". A name that originated in the 1960s...",656918302543974400
SherInstitute,2015-10-21T20:15:00,"@intel you rock! Increased their lifetime #IVF max to $40,000 + $20,000 meds + more #fertility benefits. Read more: https://t.co/XMuqaIg68z",656926772815089664
TheFertilityDrs,2015-10-21T21:23:00,@intel quadruples fertility benefits for its employees. https://t.co/MUn8VTueVu,656943794839928832
Bestpriced247,2015-10-21T22:42:00,@intel @RakshiiLive Order one today and save money today https://t.co/VqBfvXQUzw,656963839460700160
PersleyCm,2015-10-22T00:27:00,@intel Please support 1st Rainbow Prod./CMPersley Music by Christian M. Persley on @Kickstarter https://t.co/Sb1EURiXAw Thnx+Blessings,656990102468472833
syedkami70,2015-10-22T04:10:00,@intel says may invest up to $5.5 billion in #China memory chip plant https://t.co/5OizPoWvS9,657046284243632128
Spencer7171,2015-10-22T08:13:00,@intel @techradar I have a surface pro 3 with Intel core i7,657107383810990080
accomtec,2015-10-22T15:10:00,@Intel Network 6235AN.HMWWB Centrino WiFi Half Mini PCI Express Advanced-N 6235 Dual Band Bluetooth https://t.co/VauVIcS558,657212441986768896
GEA_Marketing,2015-10-22T15:42:00,@intel Hello!!! Who is the best person to talk about your Cooling Towers?,657220441233301504
RedNightConsult,2015-10-22T17:00:00,"@Intel even sponsored #NYFW, stressing the convergence of clothing and computing. https://t.co/8nnMCDLswC",657240196761653249
IamRidaAli01,2015-10-22T17:12:00,@intel Hahaha Shd Galte o ghe r Wo b Boht Bari😂😁😂,657243103494062080
aerialsports,2015-10-22T18:32:00,@Intel video dives into #FPVracing with @AerialSports Great coverage of our NYC event &amp; rising star Ken Loo. https://t.co/mHnkVMW9H3,657263259901382656
RedNightConsult,2015-10-22T23:00:00,@Intel faces new competitors as companies like @Qualcomm also announce moves into chips made for the #cloud system https://t.co/5w8DzkUPmI,657330792377524224
ChiefDisrupter,2015-10-23T07:00:00,@intel #DrGeorgeMargolis explains that Intel wants to assist patient experience #HealthHack @okfnau @thoughtworks https://t.co/RtHpWXPmyw,657451400864010240
macphaco,2015-10-23T16:58:00,"@intel hi. How can I get an Intel Edison kit? I'm from Mexico DF Could you help me, please? Thanks",657602112310763521
TaapSafiya,2015-10-23T18:19:00,@intel morning artist,657622475719622657
CRYPT0N1TE,2015-10-23T18:40:00,@intel Save 15%-50% off any Amazon items by paying with #btc use #Amazon &amp; #bitcoin at https://t.co/ZGfpElNIll,657627552899584000
JSh766,2015-10-23T20:06:00,@intel,657649354271006722
scarlet1221,2015-10-23T22:51:00,@intel it was a blast to meet so many talented Makers! https://t.co/UeSdzAU8dX,657690922784653312
meriamtamosa,2015-10-24T03:21:00,@intel @NASA,657758665110220800
Sor_Bir_Neden,2015-10-24T11:15:00,@intel #cihanaracman ile yolları ayırıyormuş; yok bir de tutsaydınız...,657877955687878656
Thehell88,2015-10-24T13:20:00,@intel @AMDGaming ASUS Radeon R9 Nano White edition spotted: Another white version of an A... https://t.co/jsI49UoARN @IntelGaming @AMDFX,657909468831703042
HutchCrowley,2015-10-24T18:07:00,@intel - #GamingForEveryone,657981864477523968
charlesbabb,2015-10-24T18:09:00,@Intel @IntelSoftware has the best tent at @IndieCade #GamingForEveryone https://t.co/MZSJcvcnsS,657982152546521088
pz_grahe,2015-10-24T19:49:00,@intel #anime :),658007356836564992
18O0GhostDance,2015-10-24T19:56:00,@intel @jab50yen weird..............,658009083698540545
agilgur5,2015-10-24T20:11:00,"@intel thanks for stopping support on Sandy Bridge, which is only 4 years old. @AMD supports far older systems- I know where my $ is going!",658013068039974912
alexonrepeat,2015-10-24T20:41:00,@intel @SukebanGames you guys should have a talk about #waifus,658020476468506624
iot_turkey,2015-10-24T20:46:00,"@intel products, solutions, and services are enabling secure and seamless solutions for the Internet of Things #IoT https://t.co/1I15HPWXTA",658021689180233738
seebeedubs,2015-10-25T04:03:00,@intel thanks for letting us play today! #GamingForEveryone @MattWeatherston https://t.co/dRojpJyxvJ,658131688053063681
raptorcow,2015-10-25T07:00:00,@intel We like it!,658176178369400832
Mangapcom,2015-10-25T12:41:00,@intel why De-lidding/ change the paste with GELID GC-Extreme decrease the temp a lot= 12 C @thurrott @tomshardware https://t.co/MGQBAJ4eaN,658262081917972480
atif1sarac,2015-10-25T12:42:00,@intel child can loose one of his eyes and needs a facial esthetical surgery,658262348034154496
thegurns,2015-10-25T13:39:00,"@intel We will be donating $1 to cancer care &amp; research for every copy of our new book ordered 
https://t.co/CHxTdMCJ2Q",658276633565143040
YelloHeadset,2015-10-25T17:22:00,@intel here @Thooorin,658332915647016960
8spinach,2015-10-25T20:04:00,@intel @indiecade that the logo of the #gamingforeveryone tent is an alien is Severely Fucked Up #IndieCade15,658373708101255168
DanaLovesVidya,2015-10-25T20:15:00,@intel @IntelGaming Didn't get to say my peace at #IndieCade15 diversity talk. Keep in mind adversity towards women and LGBT is culture deep,658376399380615168
Hydroking77,2015-10-25T22:03:00,@intel @IntelSoftware #GamingForEveryone  Let's do this,658403647492091904
notTHEmikemoore,2015-10-26T00:17:00,"@intel CEO Brian Krzanich up first - say's he's here to talk all about ""digital transformation"" #OOW2015",658437169246138368
rovaque,2015-10-26T00:34:00,"@intel &amp; @oracle Project Apollo
@bkrunner Make it EASY, Make IT Perform, Maximum Performance https://t.co/O35uS4M0f6",658441550532354048
ZedDBA,2015-10-26T00:43:00,@intel #3D #XPoint #Technology at #OOW15 #Keynotes @Version1Tweets https://t.co/4t9LZB7CW9,658443761261805568
WitoldKepinski,2015-10-26T00:44:00,@Intel ceo Brain Krzanich: Optane ssd powered by 3D XPoint technology available in 2016 &amp; are much faster then NAND based SSD's #oow15,658444002492985344
rovaque,2015-10-26T01:04:00,@intel @oracle #oow2015 Soluciones para la empresa. https://t.co/gICnYjHKf0,658449129807433728
SteevanSaldana,2015-10-26T06:03:00,"@Intel and @Oracle push into #bigdata, label @IBM and @SAP #cloud clowns https://t.co/3bsxR23CD4",658524227079815168
bizAR_reality,2015-10-26T10:10:00,"@intel backs a company that develops #AugmentedReality Snow Goggles.
https://t.co/SGGwVlFkvO  #WearableTech",658586450733174784
bueno_noemz,2015-10-26T11:51:00,@intel,658611986750533632
ischwartz,2015-10-26T12:11:00,@Intel #CEO Brian Krzanich and @Oracle CEO @MarkVHurd are teaming up to take on IBM https://t.co/8Dt2qYrGFs via @bi_enterprise,658616874075209728
mchmarny,2015-10-26T15:00:00,@intel CEO Brian Krzanich talking about @trustedanalytic during keynote at #OracleOpenWorld https://t.co/qpJvGo4NPz https://t.co/XjLR6NTkj3,658659366376050688
Mr_Gpig,2015-10-26T20:14:00,@intel Sry but I don't like mobile banking. It's not safe and there are to many hackers in the world or next to you.,658738396471406592
valleylist,2015-10-26T20:45:00,"@intel ""valleylist"" v359 r.1—top 10 death scenes from movies
https://t.co/oSzatCqPdC",658746292865073152
mu_omega,2015-10-26T21:08:00,"@intel ""... space junk robot eater of space junk ;-)""",658752030693920768
Rm9MiniMarvels,2015-10-27T00:56:00,@intel has links to some great #autism apps.  https://t.co/ejb0HRrjVZ,658809391739772928
rneelmani,2015-10-27T01:22:00,@Intel Announces End of Life for @McAfee #Email #Security Products https://t.co/Lsd7Hp2QcT #antivirus #antispyware,658816026981879808
hinnant,2015-10-27T01:34:00,@intel : OpenStack Carrier Grade is only NFV? Carriers customers need more than just network virtualization #OpenStack,658819096818143232
Thehell88,2015-10-27T10:14:00,@intel @AMDGaming Corsair Releases Strafe RGB Silent with Cherry MX Silent Switches: Corsa... https://t.co/5jP3NhuKrf @IntelGaming @AMDFX,658949874172342272
alishbashahzad5,2015-10-27T13:39:00,@intel,659001434525028352
djhawley,2015-10-27T16:09:00,@intel Are Broadwell-EP Xeon E5-2600s still headed for a Q4 2015 launch?,659039197450342400
nalashaa,2015-10-27T17:04:00,@Intel and @Oracle setup a secret team to take on #cloud computing - https://t.co/kHyqE7YKfo,659052969284018177
pondgroup,2015-10-27T17:13:00,@intel @techradar Only the best!,659055385530269697
ITWepon1,2015-10-27T17:29:00,"@Intel Security Boss, Brent Conran, says his own team attacks Intel to find holes #BestDefenceIsAgoodOffence #FOCUS15",659059291106639872
KaziZakaria2,2015-10-27T17:34:00,@intel @techradar,659060545878753280
rwgresham,2015-10-27T17:37:00,@intel 's own IT team saying #attribution creates #FUD. Don't follow the hype of attribution and go after the motivations of actors to win!,659061437315203072
VahidKadiri,2015-10-27T17:45:00,@intel,659063479966367744
SJSUCareerCntr,2015-10-27T17:55:00,"@Intel will host a FREE information session on Tuesday, Nov. 3! Check out the details on SpartaJobs: https://t.co/5TdWI2r6Ia @IntelInterns",659065976458203136
